PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,season
1,2021/10/10,00:49.0,2021/10/10,00:49.0,1,1,"Seiga, Fujie",1000101238,Left,MEI_MEI,"Yu, Miyazaki",1000073899.0,Left,TOK,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,,140.41014,-2.472202,3.327837,2261.986749,153.071953,11:00,1.802848,-0.551371,1.735712,-41.5091,54.5754,-25.8394,0.683917,0.136556,125.90944,-5.626704,1.513002,0.442671,107.62558,38.595789,-101.513842,5684.548502,,,,,,,,15.8814,30.8079,0.468044,15.24,1.736439,-2.100431,-38.444169,-1.795441,3.010677,9.229049,-3.966333,MEI_MEI,TOK,JinguStadium,Undefined,Team,20211010-JinguStadium-1,81c108b0-2965-11ec-9f18-3da3c1c3b6ae,c86606ad-c0f8-4425-a63d-d12a75557bac,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,137.03173,10.776324,,14.5007,,,,16.702753,-38.793733,4.614524,1.801599,-1.64521,-1.983166,0.549761,-2.214465,1.505338,0.04605,0.612597,-0.12726,51.994609,0.04605,-4.663903,-1.831923,0.222707,-0.044082,0.009816,-0.004866,0.003718,-0.001269,0.612597,18.649785,-6.787223,0.708183,-0.11784,0.031348,-0.010148,0.00571,-0.001875,-0.12726,-22.895504,2.791256,-0.033562,0.013902,0.002863,-0.000624,-0.000764,0.000309,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,21A
2,2021/10/10,01:04.9,2021/10/10,01:04.9,1,2,"Seiga, Fujie",1000101238,Left,MEI_MEI,"Yu, Miyazaki",1000073899.0,Left,TOK,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,LineDrive,Undefined,0,0,,139.37943,-1.853118,3.609918,1965.695512,153.94789,11:15,1.794989,-0.554477,1.749975,-45.7081,50.4492,-23.0358,0.81077,0.241005,126.44738,-5.280805,1.991532,0.442839,96.77857,35.789477,-33.399862,4685.042731,25.335026,11.951131,-21.960466,52.498514,,-45.317284,3.262107,14.4947,28.0792,0.464599,15.24,1.74464,-2.295986,-38.223664,-1.396132,2.749452,8.262713,-4.480377,MEI_MEI,TOK,JinguStadium,Undefined,Team,20211010-JinguStadium-1,8b275850-2965-11ec-9f18-3da3c1c3b6ae,c86606ad-c0f8-4425-a63d-d12a75557bac,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,136.97978,12.400089,,12.93205,,,,16.689351,-38.535693,4.131356,1.794168,-1.226938,-2.240188,0.553264,-2.399815,1.374726,0.398322,0.772018,-0.229406,132.697156,0.398397,18.202647,-3.610197,0.757659,-0.127388,0.019371,-0.009358,0.002983,-0.000306,0.772041,15.720327,-5.80173,0.38235,-0.023446,-0.028666,0.017581,-0.004015,0.000332,-0.229411,-12.004612,-0.013522,0.152315,-0.018422,-0.017297,0.009722,-0.002253,0.000198,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,21A
3,2021/10/10,01:42.3,2021/10/10,01:42.3,1,3,"Seiga, Fujie",1000101238,Left,MEI_MEI,"Yu, Miyazaki",1000073899.0,Left,TOK,Undefined,1,Top,0,0,2,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,127.68105,1.840417,2.438615,1920.965567,230.696642,1:45,1.765469,-0.599209,1.662756,-108.9063,8.7116,5.0983,1.202169,0.147976,114.15435,-6.083305,2.795291,0.489769,,,,,,,,,,,,-0.366,4.2302,0.533235,15.24,1.806263,-1.514469,-34.962184,0.684543,-0.057091,7.927638,-9.146724,MEI_MEI,TOK,JinguStadium,Undefined,Team,20211010-JinguStadium-1,a19b2da0-2965-11ec-9f18-3da3c1c3b6ae,c86606ad-c0f8-4425-a63d-d12a75557bac,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,123.8543,,,13.52669,,,,16.775144,-35.30856,3.963819,1.767623,1.084184,-4.573362,0.599351,-1.511974,-0.028545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,21A
4,2021/10/10,01:58.1,2021/10/10,01:58.2,1,4,"Seiga, Fujie",1000101238,Left,MEI_MEI,"Yu, Miyazaki",1000073899.0,Left,TOK,Undefined,1,Top,0,1,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,LineDrive,Undefined,0,0,,141.0733,-0.683954,3.58543,2053.165933,147.897848,11:00,1.812697,-0.543848,1.746433,-42.4791,51.1495,-30.1089,1.19337,0.174147,127.99613,-3.884369,1.470509,0.436977,112.34593,21.973517,-152.167976,2940.49912,-30.886282,6.640568,-13.044482,53.57802,,-161.271866,2.297058,17.8825,27.3925,0.454845,15.24,1.79219,-2.269261,-38.709666,-0.605732,3.487897,8.283868,-4.463868,MEI_MEI,TOK,JinguStadium,Undefined,Team,20211010-JinguStadium-1,aaff5a60-2965-11ec-9f18-3da3c1c3b6ae,c86606ad-c0f8-4425-a63d-d12a75557bac,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,138.81723,6.944643,,13.07717,,,,16.692626,-39.01929,4.141934,1.811712,-0.438887,-2.231934,0.542098,-2.399627,1.743948,-0.276633,1.100978,-0.180088,71.240251,-0.276704,-25.587997,1.56717,0.121491,-0.262268,0.255122,-0.124651,0.029657,-0.002766,1.100947,11.678855,-6.390166,0.662972,-0.183695,0.093678,-0.030328,0.00423,-0.000127,-0.180187,-13.505409,2.953759,-0.007395,-0.345103,0.36057,-0.180127,0.043592,-0.004132,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,21A
5,2021/10/10,02:21.4,2021/10/10,02:21.4,1,5,"Seiga, Fujie",1000101238,Left,MEI_MEI,"Yu, Miyazaki",1000073899.0,Left,TOK,Undefined,1,Top,0,1,2,Slider,Curveball,StrikeCalled,Strikeout,Undefined,,Undefined,0,0,,122.42934,1.983836,2.331303,2130.3848,315.45064,4:30,1.73073,-0.597581,1.641311,-136.9991,-11.0695,14.9395,0.928203,0.218219,111.84615,-7.842096,3.375935,0.506779,,,,,,,,,,,,-5.6985,-5.6751,0.532755,15.24,1.773327,-1.438244,-33.608485,0.613562,-0.836331,6.343243,-10.639555,MEI_MEI,TOK,JinguStadium,Undefined,Team,20211010-JinguStadium-1,b8c61df0-2965-11ec-9f18-3da3c1c3b6ae,c86606ad-c0f8-4425-a63d-d12a75557bac,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,119.69719,,,10.58319,,,,16.79846,-33.901351,3.171621,1.733659,1.104789,-5.319778,0.598267,-1.399631,-0.418165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.11718,,,0.901318,,,,0.192081,1.59164,-1.555001,20.91219,1.842967,-17.11956,0.209442,24.382063,-1.556692,1.609156,4.075877,-4.223044,-1.58767,-19.211697,2.176124,榊原 啓資,21A
6,2021/10/10,02:52.1,2021/10/10,02:52.1,2,1,"Seiga, Fujie",1000101238,Left,MEI_MEI,"Tetsuya, Nakai",1000073897.0,Left,TOK,Undefined,1,Top,1,0,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,,Out,1,0,,140.36878,-0.982855,3.470737,2226.424484,146.460195,11:00,1.790793,-0.608187,1.695986,-44.0503,51.4201,-31.8799,1.069892,0.062478,126.99235,-4.293389,1.237599,0.441254,118.56437,58.627981,-20.841537,,,,,,,,,18.7742,27.7066,0.519429,15.24,1.761559,-2.168975,-38.498778,-0.815765,3.608732,8.461445,-4.480969,MEI_MEI,TOK,JinguStadium,Undefined,Team,20211010-JinguStadium-1,cb2fb5a0-2965-11ec-9f18-3da3c1c3b6ae,c86606ad-c0f8-4425-a63d-d12a75557bac,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,137.4717,32.215995,,13.37643,,,,16.743225,-38.827758,4.230722,1.789889,-0.641546,-2.240484,0.606486,-2.309282,1.804366,0.121644,1.01517,-0.063831,160.330646,0.121644,16.023643,-4.90512,1.434387,-0.346075,0.07513,-0.014663,0.001804,-6.8e-05,1.01517,28.119702,-6.97882,0.606181,-0.067877,-0.000111,0.002124,-0.000568,0.000108,-0.063831,-6.100105,-0.467805,0.406432,-0.146668,0.040736,-0.009494,0.00159,-0.000138,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,21A
7,2021/10/10,03:28.4,2021/10/10,03:28.4,3,1,"Seiga, Fujie",1000101238,Left,MEI_MEI,"Shuhei, Ohto",1000101206.0,Right,TOK,Undefined,1,Top,2,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,105.08676,5.417804,0.577098,2013.753512,329.338481,5:00,1.730485,-0.49899,1.506005,-218.2227,-41.7401,28.4913,1.113628,-0.047836,95.1298,-10.079752,2.552924,0.599937,,,,,,,,,,,,-13.3421,-22.6115,0.478985,15.24,1.86984,-0.413966,-28.737392,1.904367,-1.415494,5.094955,-12.205552,MEI_MEI,TOK,JinguStadium,Undefined,Team,20211010-JinguStadium-1,e0f7ba90-2965-11ec-9f18-3da3c1c3b6ae,c86606ad-c0f8-4425-a63d-d12a75557bac,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,101.11063,,,9.95697,,,,16.935038,-29.036356,2.547478,1.737082,2.62057,-6.102776,0.500839,-0.330907,-0.707747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,21A
8,2021/10/10,03:41.4,2021/10/10,03:41.4,3,2,"Seiga, Fujie",1000101238,Left,MEI_MEI,"Shuhei, Ohto",1000101206.0,Right,TOK,Undefined,1,Top,2,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,140.72026,-0.79579,2.23728,2248.148537,147.13555,11:00,1.774485,-0.55182,1.64606,-40.6467,55.4364,-33.5255,1.140544,-0.24776,126.41431,-3.87806,-0.107878,0.442668,,,,,,,,,,,,18.4888,29.3805,0.49386,15.24,1.749597,-1.323609,-38.587448,-0.671925,3.545891,8.997255,-4.17188,MEI_MEI,TOK,JinguStadium,Undefined,Team,20211010-JinguStadium-1,e85d7f40-2965-11ec-9f18-3da3c1c3b6ae,c86606ad-c0f8-4425-a63d-d12a75557bac,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,137.03271,,,14.30595,,,,16.792234,-38.947694,4.498627,1.773157,-0.504885,-2.08594,0.549699,-1.465585,1.772946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,21A
9,2021/10/10,04:01.1,2021/10/10,04:01.1,3,3,"Seiga, Fujie",1000101238,Left,MEI_MEI,"Shuhei, Ohto",1000101206.0,Right,TOK,Undefined,1,Top,2,2,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,,140.94422,-1.859852,2.817349,2262.360152,152.53736,11:00,1.763219,-0.576419,1.663297,-36.6896,58.5831,-28.6733,0.864861,-0.058688,127.26649,-4.651257,0.811021,0.440797,125.44721,70.601859,107.637131,5240.538435,,,,,,,,16.6403,31.9298,0.503131,15.24,1.710356,-1.749772,-38.647699,-1.375108,3.215314,8.709014,-3.637018,MEI_MEI,TOK,JinguStadium,Undefined,Team,20211010-JinguStadium-1,f439d7f0-2965-11ec-9f18-3da3c1c3b6ae,c86606ad-c0f8-4425-a63d-d12a75557bac,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,137.61427,20.678002,,13.67772,,,,16.775759,-38.992237,4.354507,1.761911,-1.231224,-1.818509,0.57487,-1.876974,1.607657,0.292612,0.864633,0.062413,341.573918,0.292612,-3.506649,-3.139822,1.470779,-0.453189,0.11843,-0.023687,0.002826,-0.000452,0.864633,32.868329,-9.861932,1.416932,-0.240056,0.018667,0.010956,-0.004235,-0.000675,0.062413,11.029546,-1.581014,0.687398,-0.205196,0.052046,-0.009757,0.001029,-0.000228,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,21A
10,2021/10/10,04:24.5,2021/10/10,04:24.5,3,4,"Seiga, Fujie",1000101238,Left,MEI_MEI,"Shuhei, Ohto",1000101206.0,Right,TOK,Undefined,1,Top,2,2,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Popup,Out,1,0,,141.87304,-2.19176,3.348311,2103.86122,159.947593,11:15,1.786811,-0.553688,1.716536,-37.1966,57.3219,-19.5746,0.790182,0.203844,126.87427,-5.043965,1.975592,0.439049,117.54495,58.143172,24.144214,5008.559187,26.962761,29.552621,19.928274,50.086351,,38.618611,5.036159,12.7769,31.9222,0.468295,15.24,1.727154,-2.168151,-38.83728,-1.602734,2.466221,9.586828,-3.644959,MEI_MEI,TOK,JinguStadium,Undefined,Team,20211010-JinguStadium-1,022c1850-2966-11ec-9f18-3da3c1c3b6ae,c86606ad-c0f8-4425-a63d-d12a75557bac,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,138.1622,31.430399,,14.99877,,,,16.72183,-39.201357,4.793414,1.785392,-1.46431,-1.822479,0.552413,-2.26181,1.233111,0.161135,0.727586,-0.218738,201.23082,0.163029,15.680148,-4.478934,0.947437,0.103289,-0.141008,0.041881,-0.005573,0.000284,0.725778,27.765097,-7.589243,0.889368,-0.207652,0.036012,-0.001885,-0.000383,4.2e-05,-0.219385,7.064086,0.042389,-0.052495,-0.066715,0.049876,-0.014345,0.001919,-9.9e-05,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,21A
