PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,season
1,2021/10/12,01:04.7,2021/10/12,01:04.7,1,1,"Ginji, Miura",1000073786,Right,HOS_HOS,"Moeto, Suzuki",1000074064,Left,WAS_EDA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,GroundBall,Undefined,0,0,,144.44075,-1.983097,-0.888779,2207.160039,205.595414,12:45,1.63555,0.339179,1.951457,-36.2278,50.4817,22.8088,0.717161,0.31814,131.54637,-4.752247,0.738581,0.420521,86.74626,8.921869,-137.68722,2855.233477,,,,22.666974,,-138.30421,1.045095,-12.6236,28.7391,-0.320993,15.24,1.590197,0.50937,-39.742803,-1.481471,-2.594518,8.756881,-3.899926,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,NL,20211012-JinguStadium-1,05be51c0-2b11-11ec-8ade-0382e77a96c1,ea236298-8438-46b4-877e-1edc4e2286a9,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,144.24951,1.471849,,12.89439,,,,16.488272,-40.0169,4.378441,1.634658,-1.3594,-1.949963,-0.338208,0.590581,-1.297259,0.782889,0.659088,-0.248244,117.161433,0.782888,-17.602929,0.656784,-0.01748,0.081342,-0.288401,0.368635,-0.224824,0.054035,0.659087,3.737115,-4.388949,0.209857,0.087093,-0.284814,0.343107,-0.204419,0.048485,-0.248246,-16.024415,1.873016,-0.126139,0.198816,-0.603379,0.775634,-0.47643,0.114999,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,21A
2,2021/10/12,01:29.8,2021/10/12,01:29.8,1,2,"Ginji, Miura",1000073786,Right,HOS_HOS,"Moeto, Suzuki",1000074064,Left,WAS_EDA,Undefined,1,Top,0,0,1,Splitter,Changeup,InPlay,Undefined,FlyBall,FlyBall,Out,1,0,,120.36627,0.128074,-1.509395,1366.031644,244.236325,2:15,1.581437,0.318263,1.919152,-103.7531,20.1163,34.234,0.579888,0.236601,111.42651,-7.464454,0.930058,0.502616,124.83094,39.919911,-2.346738,2932.419759,33.306285,23.634946,-3.848934,73.63417,,-11.505185,5.00145,-18.9501,11.4168,-0.286446,15.24,1.578241,0.741013,-33.166956,-0.261556,-2.745039,5.450575,-8.152863,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,NL,20211012-JinguStadium-1,14c5aba0-2b11-11ec-8ade-0382e77a96c1,ea236298-8438-46b4-877e-1edc4e2286a9,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,120.68846,25.995746,,8.93976,,,,16.521249,-33.376849,2.725288,1.582268,0.052398,-4.076432,-0.317017,0.84672,-1.372519,0.584094,0.595421,-0.234756,163.365079,0.584837,26.55685,-5.65679,1.276859,-0.218038,0.027136,-0.002926,0.000335,-2.2e-05,0.595317,22.252066,-5.419583,0.272993,0.007703,-0.024014,0.008326,-0.001244,6.9e-05,-0.234651,-1.091309,-1.029261,0.298099,-0.062736,0.008817,-0.000623,6e-06,1e-06,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,21A
3,2021/10/12,02:01.4,2021/10/12,02:01.4,2,1,"Ginji, Miura",1000073786,Right,HOS_HOS,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,143.39314,-3.291094,-3.210304,2343.024828,209.56002,1:00,1.621556,0.32856,1.913492,-34.9238,53.6716,28.7745,0.345236,-0.28655,130.88724,-5.955186,-1.166497,0.42507,,,,,,,,,,,,-17.2261,31.1103,-0.257876,15.24,1.545223,2.068573,-39.355272,-2.365847,-3.484201,8.314116,-3.514196,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,NL,20211012-JinguStadium-1,27966990-2b11-11ec-8ade-0382e77a96c1,ea236298-8438-46b4-877e-1edc4e2286a9,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,142.70598,,,12.5059,,,,16.526075,-39.626035,4.157058,1.620407,-2.251401,-1.757098,-0.32709,2.182042,-1.7421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,21A
4,2021/10/12,02:12.4,2021/10/12,02:12.5,2,2,"Ginji, Miura",1000073786,Right,HOS_HOS,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,142.89134,-2.184827,-1.207601,2270.455634,213.776386,1:15,1.616737,0.348896,1.920688,-40.4028,48.1802,30.3426,0.598739,0.313156,130.77374,-5.237261,0.953184,0.42504,,,,,,,,,,,,-16.5445,27.4056,-0.323492,15.24,1.56541,0.681908,-39.311829,-1.62424,-3.345827,8.138408,-4.264341,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,NL,20211012-JinguStadium-1,2e1e0340-2b11-11ec-8ade-0382e77a96c1,ea236298-8438-46b4-877e-1edc4e2286a9,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,142.71601,,,12.1176,,,,16.518752,-39.575673,4.069204,1.615826,-1.485991,-2.13217,-0.347358,0.790378,-1.672913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,21A
5,2021/10/12,02:26.9,2021/10/12,02:26.9,2,3,"Ginji, Miura",1000073786,Right,HOS_HOS,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Top,1,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,145.10358,-1.959386,-1.459541,2195.528237,214.79165,1:15,1.616959,0.348373,1.939292,-36.8873,49.0439,32.1303,0.698101,0.260198,132.3416,-4.769124,0.830803,0.41863,,,,,,,,,,,,-17.7131,27.7742,-0.317835,15.24,1.571563,0.860004,-39.916321,-1.474212,-3.681752,8.634598,-4.033661,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,NL,20211012-JinguStadium-1,36cc7490-2b11-11ec-8ade-0382e77a96c1,ea236298-8438-46b4-877e-1edc4e2286a9,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,144.90127,,,12.76198,,,,16.500097,-40.187977,4.317299,1.615948,-1.347307,-2.016831,-0.346714,0.975837,-1.840876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,21A
6,2021/10/12,02:44.5,2021/10/12,02:44.5,2,4,"Ginji, Miura",1000073786,Right,HOS_HOS,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Top,1,1,2,Fastball,Four-Seam,InPlay,Undefined,FlyBall,FlyBall,Out,1,0,,144.85285,-2.054141,-2.431387,2208.098017,211.168505,1:00,1.597317,0.331992,1.942347,-38.1058,47.4084,27.1294,0.639431,-0.07898,133.26705,-4.932229,-0.498843,0.417613,152.99452,42.439521,6.374141,3364.221358,33.510757,30.477254,1.07423,88.500851,,-3.797267,6.091237,-15.8411,26.9375,-0.279993,15.24,1.549906,1.566414,-39.865323,-1.550566,-3.314481,7.889897,-4.170426,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,NL,20211012-JinguStadium-1,41463000-2b11-11ec-8ade-0382e77a96c1,ea236298-8438-46b4-877e-1edc4e2286a9,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,145.25416,39.404317,,11.58581,,,,16.497862,-40.113499,3.944948,1.596616,-1.419386,-2.085213,-0.330905,1.670671,-1.65724,0.422831,0.597257,0.080374,161.972493,0.424871,31.129319,-8.08248,2.013901,-0.322355,0.017724,0.003756,-0.000708,3.5e-05,0.593394,28.74223,-6.080913,0.381957,-0.07776,0.020658,-0.00285,0.000141,0.0,0.081085,3.466248,-3.008406,1.024155,-0.226016,0.029257,-0.001383,-8.6e-05,9e-06,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,21A
7,2021/10/12,03:19.7,2021/10/12,03:19.7,3,1,"Ginji, Miura",1000073786,Right,HOS_HOS,"Takuya, Hiruma",1000074108,Left,WAS_EDA,Undefined,1,Top,2,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,109.57114,4.628176,-0.887584,2765.126027,18.194784,6:30,1.611896,0.282111,1.902407,-197.738,-44.3855,-16.2965,0.938657,-0.130406,99.76803,-9.732205,-2.04658,0.559242,,,,,,,,,,,,7.6149,-24.624,-0.261113,15.24,1.706044,0.529434,-30.082668,1.784089,0.888684,5.415263,-12.680341,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,NL,20211012-JinguStadium-1,562f94c0-2b11-11ec-8ade-0382e77a96c1,ea236298-8438-46b4-877e-1edc4e2286a9,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,108.46817,,,9.80311,,,,16.538916,-30.315587,2.707631,1.617578,2.329492,-6.340171,-0.283062,0.49121,0.444342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,21A
8,2021/10/12,03:34.7,2021/10/12,03:34.7,3,2,"Ginji, Miura",1000073786,Right,HOS_HOS,"Takuya, Hiruma",1000074108,Left,WAS_EDA,Undefined,1,Top,2,0,1,Slider,Curveball,InPlay,Undefined,FlyBall,Popup,Out,1,0,,124.88577,2.438159,-0.734118,2282.545236,45.314337,7:30,1.584556,0.378509,1.845079,-137.1034,-19.9182,-23.7763,0.901888,-0.066387,114.6183,-7.498963,-2.42004,0.488867,142.05239,66.194447,-7.484787,5798.785596,,,,39.720355,,-32.88822,6.363335,11.7482,-11.0031,-0.359589,15.24,1.633506,0.542279,-34.367697,0.953308,1.811234,6.368654,-11.50302,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,NL,20211012-JinguStadium-1,5f3770b0-2b11-11ec-8ade-0382e77a96c1,ea236298-8438-46b4-877e-1edc4e2286a9,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,124.08273,52.148622,,10.26747,,,,16.595627,-34.617996,3.184327,1.587155,1.405396,-5.75151,-0.379502,0.471095,0.905617,0.302749,0.863866,0.070578,170.694872,0.303219,15.775497,-6.09902,1.852222,-0.375294,0.049289,-0.003612,0.000118,-3e-06,0.859749,36.164815,-8.139373,0.979433,-0.212531,0.040419,-0.005173,0.000349,-1.2e-05,0.069899,-2.065196,-1.032385,0.427324,-0.124436,0.026407,-0.003671,0.000293,-1.1e-05,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,21A
9,2021/10/12,06:10.9,2021/10/12,06:10.9,1,1,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Tomoya, Nishimura",1000101193,Right,HOS_HOS,Undefined,1,Bottom,0,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,121.23522,3.146051,-0.918532,2330.756909,56.682912,8:00,1.720801,0.520475,1.87366,-144.4168,-20.2583,-36.6411,1.163685,-0.104651,111.16004,-7.342463,-3.518891,0.503203,,,,,,,,,,,,18.1253,-11.3608,-0.497066,15.24,1.785153,0.689819,-33.344702,1.312453,2.628282,6.041355,-11.454041,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,NL,20211012-JinguStadium-1,bc4464c0-2b11-11ec-8ade-0382e77a96c1,ea236298-8438-46b4-877e-1edc4e2286a9,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,120.54785,,,10.07518,,,,16.566956,-33.584258,3.020677,1.724106,1.766636,-5.727021,-0.522353,0.585601,1.314141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,21A
10,2021/10/12,06:24.4,2021/10/12,06:24.4,1,2,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Tomoya, Nishimura",1000101193,Right,HOS_HOS,Undefined,1,Bottom,0,1,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,146.42576,-1.42615,-5.069643,2011.620541,232.646932,1:45,1.684285,0.606601,1.979484,-49.7002,34.9195,42.0216,0.786609,-0.395336,133.08419,-5.158487,-2.082156,0.415423,,,,,,,,,,,,-25.5347,20.1511,-0.500038,15.24,1.651053,3.35575,-40.152315,-1.170698,-5.362381,8.856468,-5.574858,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,NL,20211012-JinguStadium-1,c58bbab0-2b11-11ec-8ade-0382e77a96c1,ea236298-8438-46b4-877e-1edc4e2286a9,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,146.01988,,,13.34157,,,,16.459901,-40.420496,4.428234,1.683946,-1.001888,-2.787429,-0.604111,3.518127,-2.681191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,21A
