PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,season
1,2021/10/16,00:55.9,2021/10/16,00:55.9,1,1,"Kosuke, Morita",1000073314,Right,KEI_KEI,"Satoru, Michihara",1000074062,Left,RIK,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,,144.53384,-2.34231,-1.409883,2010.200357,202.348051,12:45,1.704328,0.389533,1.732994,-35.9951,54.0402,20.8572,0.678371,0.197486,130.21205,-5.086473,0.057875,0.42851,,,,,,,,,,,,-11.6955,30.2531,-0.35495,15.24,1.641609,0.864307,-39.651812,-1.737014,-2.369722,9.460268,-3.676795,KEI_KEI,RIK,JinguStadium,TeamExclusive,Team,20211016-JinguStadium-1,84e9a770-2e1c-11ec-b2e5-19288f7a4736,943271ba-c09a-44d8-8d57-0a04032086c8,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,141.56028,,,14.32179,,,,16.705722,-39.99998,4.730134,1.703047,-1.601696,-1.838398,-0.388365,0.95152,-1.184861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,21A
2,2021/10/16,01:18.6,2021/10/16,01:18.6,1,2,"Kosuke, Morita",1000073314,Right,KEI_KEI,"Satoru, Michihara",1000074062,Left,RIK,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,146.48464,-1.882269,-0.514363,2173.758912,204.801107,12:45,1.715493,0.411655,1.795166,-33.3065,53.6405,23.315,0.849518,0.499233,131.84956,-4.443942,1.133048,0.421097,,,,,,,,,,,,-12.2424,29.799,-0.400571,15.24,1.666955,0.235943,-40.217061,-1.419005,-2.549742,9.794449,-3.600375,KEI_KEI,RIK,JinguStadium,TeamExclusive,Team,20211016-JinguStadium-1,9270c9f0-2e1c-11ec-b2e5-19288f7a4736,943271ba-c09a-44d8-8d57-0a04032086c8,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,144.05239,,,14.63509,,,,16.643299,-40.55738,4.897225,1.714087,-1.293906,-1.800188,-0.410308,0.324537,-1.274871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,21A
3,2021/10/16,01:43.1,2021/10/16,01:43.1,1,3,"Kosuke, Morita",1000073314,Right,KEI_KEI,"Satoru, Michihara",1000074062,Left,RIK,Undefined,1,Top,0,1,1,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,134.26057,1.177477,-1.189719,2148.607643,136.560247,10:30,1.671604,0.417888,1.763774,-84.388,18.3348,-14.229,1.161723,-0.061802,122.34635,-4.990904,-2.192704,0.457707,,,,,,,,,,,,6.3431,9.5172,-0.387004,15.24,1.695147,0.835981,-36.907723,0.426549,1.125628,7.474604,-8.117761,KEI_KEI,RIK,JinguStadium,TeamExclusive,Team,20211016-JinguStadium-1,a0f2c730-2e1c-11ec-b2e5-19288f7a4736,943271ba-c09a-44d8-8d57-0a04032086c8,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,132.53006,,,11.91422,,,,16.675391,-37.197285,3.737302,1.672531,0.741026,-4.058881,-0.418544,0.792374,0.562814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,21A
4,2021/10/16,02:01.3,2021/10/16,02:01.3,1,4,"Kosuke, Morita",1000073314,Right,KEI_KEI,"Satoru, Michihara",1000074062,Left,RIK,Undefined,1,Top,0,2,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,FlyBall,Undefined,0,0,,144.17778,-2.340997,-1.797546,2037.140836,203.55033,12:45,1.682319,0.41877,1.779816,-41.7511,47.755,19.4481,0.600965,0.103884,130.65243,-5.483391,-0.42519,0.427249,139.14269,32.105991,-42.903728,4646.061386,21.818641,16.343646,-25.457234,82.493864,,-57.858703,3.909228,-11.2894,27.0972,-0.375494,15.24,1.621238,1.140834,-39.579738,-1.761523,-2.291627,9.008685,-4.306202,KEI_KEI,RIK,JinguStadium,TeamExclusive,Team,20211016-JinguStadium-1,abe5d150-2e1c-11ec-b2e5-19288f7a4736,943271ba-c09a-44d8-8d57-0a04032086c8,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,141.97812,18.139765,,13.52535,,,,16.659147,-39.901441,4.504342,1.681397,-1.607747,-2.153101,-0.417694,1.222668,-1.145814,0.046567,0.501931,-0.073276,127.132487,0.046546,23.983128,-6.836053,1.925951,-0.507316,0.1258,-0.027537,0.003873,-0.000232,0.502235,20.533364,-6.782888,0.470932,0.065561,-0.078041,0.027517,-0.00456,0.000295,-0.073243,-22.289782,1.182984,0.161001,-0.099055,0.018763,3.1e-05,-0.0005,4.6e-05,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,21A
5,2021/10/16,02:31.7,2021/10/16,02:31.7,1,5,"Kosuke, Morita",1000073314,Right,KEI_KEI,"Satoru, Michihara",1000074062,Left,RIK,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,,145.75114,-2.297438,-1.193897,2145.185859,200.043992,12:45,1.680483,0.413168,1.75819,-32.0014,55.7947,19.2309,0.708302,0.266776,131.91384,-4.751114,0.161509,0.423148,,,,,,,,,,,,-10.6896,31.0653,-0.384472,15.24,1.620271,0.731805,-40.018658,-1.701688,-2.21756,9.234328,-3.362112,KEI_KEI,RIK,JinguStadium,TeamExclusive,Team,20211016-JinguStadium-1,bf3c6110-2e1c-11ec-b2e5-19288f7a4736,943271ba-c09a-44d8-8d57-0a04032086c8,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,143.35411,,,13.8373,,,,16.680791,-40.349752,4.617164,1.679123,-1.581141,-1.681056,-0.412137,0.811315,-1.10878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,21A
6,2021/10/16,02:54.2,2021/10/16,02:54.2,1,6,"Kosuke, Morita",1000073314,Right,KEI_KEI,"Satoru, Michihara",1000074062,Left,RIK,Undefined,1,Top,0,2,2,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,114.45599,4.681428,1.747969,2359.121168,15.059161,6:30,1.67913,0.328279,1.546287,-188.0019,-40.6143,-12.3266,1.147955,0.707451,103.56322,-8.702967,0.890908,0.548258,,,,,,,,,,,,7.448,-21.8965,-0.377609,15.24,1.797045,-0.898711,-31.33007,1.805943,0.942596,5.882821,-12.577817,KEI_KEI,RIK,JinguStadium,TeamExclusive,Team,20211016-JinguStadium-1,cb6af870-2e1c-11ec-b2e5-19288f7a4736,943271ba-c09a-44d8-8d57-0a04032086c8,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,110.64132,,,10.89277,,,,16.894366,-31.639184,2.94141,1.684788,2.466847,-6.288909,-0.329085,-0.948239,0.471298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,21A
7,2021/10/16,03:15.4,2021/10/16,03:15.4,1,7,"Kosuke, Morita",1000073314,Right,KEI_KEI,"Satoru, Michihara",1000074062,Left,RIK,Undefined,1,Top,0,3,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,141.44289,-2.056217,-2.076636,1944.13217,205.832731,12:45,1.655137,0.420333,1.757208,-44.4222,48.3639,21.912,0.626993,0.050115,128.79588,-5.380248,-0.532929,0.435007,140.71731,-14.251768,26.44911,,,,,2.451623,,22.732802,0.060158,-12.7154,27.0975,-0.369568,15.24,1.600055,1.297784,-38.850387,-1.551529,-2.499536,8.303565,-4.479923,KEI_KEI,RIK,JinguStadium,TeamExclusive,Team,20211016-JinguStadium-1,d934c940-2e1c-11ec-b2e5-19288f7a4736,943271ba-c09a-44d8-8d57-0a04032086c8,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,139.44607,0.579844,,12.64701,,,,16.68223,-39.157424,4.151783,1.654362,-1.385877,-2.239961,-0.419264,1.390208,-1.249768,0.217273,0.579844,-0.069395,180.0,0.216735,33.97537,,,,,,,,0.579997,-9.638633,,,,,,,,-0.069663,16.901833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,21A
8,2021/10/16,03:48.1,2021/10/16,03:48.1,2,1,"Kosuke, Morita",1000073314,Right,KEI_KEI,"Shoto, Tanaka",1000101293,Left,RIK,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,114.84131,3.598231,0.951265,2463.897351,29.119996,7:00,1.703603,0.275283,1.615091,-188.4362,-43.2699,-27.0027,0.850375,0.277486,104.05633,-9.866435,-0.938476,0.544111,,,,,,,,,,,,14.1172,-22.5581,-0.299266,15.24,1.787195,-0.399412,-31.494261,1.23361,1.797716,6.149944,-12.679261,KEI_KEI,RIK,JinguStadium,TeamExclusive,Team,20211016-JinguStadium-1,eba5b3f0-2e1c-11ec-b2e5-19288f7a4736,943271ba-c09a-44d8-8d57-0a04032086c8,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,111.48458,,,10.78497,,,,16.825681,-31.802392,3.074972,1.709472,1.868881,-6.33963,-0.276998,-0.489483,0.898858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,21A
9,2021/10/16,04:08.0,2021/10/16,04:07.9,2,2,"Kosuke, Morita",1000073314,Right,KEI_KEI,"Shoto, Tanaka",1000101293,Left,RIK,Undefined,1,Top,1,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,111.21092,5.772251,1.021954,2350.562773,29.917499,7:00,1.684619,0.302378,1.556937,-196.9897,-40.9469,-26.6824,1.378209,0.329056,100.54486,-8.261216,-0.832483,0.564127,,,,,,,,,,,,13.8836,-22.8607,-0.329143,15.24,1.83253,-0.42217,-30.411449,2.305982,1.658365,5.466476,-12.537308,KEI_KEI,RIK,JinguStadium,TeamExclusive,Team,20211016-JinguStadium-1,f75445e0-2e1c-11ec-b2e5-19288f7a4736,943271ba-c09a-44d8-8d57-0a04032086c8,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,107.52907,,,10.66606,,,,16.88407,-30.705549,2.733238,1.690322,2.980499,-6.268654,-0.30403,-0.511391,0.829183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,21A
10,2021/10/16,04:24.9,2021/10/16,04:24.9,2,3,"Kosuke, Morita",1000073314,Right,KEI_KEI,"Shoto, Tanaka",1000101293,Left,RIK,Undefined,1,Top,1,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,143.21454,-2.174188,-2.820208,1951.801462,198.940229,12:45,1.668461,0.44221,1.826607,-49.4762,40.2707,12.804,0.55854,-0.226987,130.64727,-5.854496,-1.915089,0.427823,,,,,,,,,,,,-8.6198,23.1629,-0.375278,15.24,1.612904,1.87292,-39.326183,-1.672589,-1.738205,8.419887,-5.135809,KEI_KEI,RIK,JinguStadium,TeamExclusive,Team,20211016-JinguStadium-1,01792a90-2e1d-11ec-b2e5-19288f7a4736,943271ba-c09a-44d8-8d57-0a04032086c8,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,141.78753,,,12.56727,,,,16.612632,-39.618979,4.209944,1.667962,-1.493995,-2.567905,-0.441459,1.933365,-0.869103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,21A
