PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,season
1,2021/10/16,32:06.6,2021/10/16,32:06.6,1,1,"Yu, Takeda",1000073601,Right,MEI_MEI,"Takuya, Hiruma",1000074108,Left,WAS_EDA,Undefined,1,Top,0,0,0,Cutter,Slider,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,135.20273,-1.255147,-2.049914,2212.24876,200.620709,12:45,1.702323,0.42095,1.7813,-85.9621,14.7505,4.3673,0.486897,-0.116262,124.2479,-7.495408,-1.74145,0.453207,,,,,,,,,,,,-3.6569,9.4568,-0.370392,15.24,1.665179,1.309247,-37.171264,-1.157538,-0.661352,7.260706,-8.096392,MEI_MEI,WAS_EDA,JinguStadium,TeamExclusive,Team,20211016-JinguStadium-2,05192e80-2e3a-11ec-b2e5-19288f7a4736,5bffe7eb-8eee-4801-bf05-ca213592b5c0,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,133.84615,,,10.95483,,,,16.658029,-37.447225,3.630353,1.703326,-0.849814,-4.048196,-0.420632,1.334383,-0.330676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松本 知一,21A
2,2021/10/16,32:29.8,2021/10/16,32:29.8,1,2,"Yu, Takeda",1000073601,Right,MEI_MEI,"Takuya, Hiruma",1000074108,Left,WAS_EDA,Undefined,1,Top,0,0,1,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,134.9461,-0.244103,-1.074751,2257.477861,198.807382,12:45,1.679692,0.47675,1.751487,-94.0616,7.3456,1.4232,0.669794,0.185964,123.82357,-7.058397,-0.974358,0.454767,,,,,,,,,,,,-1.4777,5.002,-0.449637,15.24,1.666707,0.689314,-37.11934,-0.54542,-0.266306,7.289031,-8.905206,MEI_MEI,WAS_EDA,JinguStadium,TeamExclusive,Team,20211016-JinguStadium-2,13026e30-2e3a-11ec-b2e5-19288f7a4736,5bffe7eb-8eee-4801-bf05-ca213592b5c0,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,133.38695,,,11.12254,,,,16.687818,-37.402564,3.644515,1.681177,-0.199397,-4.452603,-0.476622,0.699662,-0.133153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松本 知一,21A
3,2021/10/16,32:43.2,2021/10/16,32:43.2,1,3,"Yu, Takeda",1000073601,Right,MEI_MEI,"Takuya, Hiruma",1000074108,Left,WAS_EDA,Undefined,1,Top,0,1,1,Cutter,Slider,InPlay,Undefined,GroundBall,,Out,1,0,,134.26988,-1.712043,-2.357542,2308.003093,185.155844,12:15,1.676626,0.432574,1.798319,-81.6601,20.4579,1.5533,0.375043,-0.219342,123.28028,-7.654703,-2.247773,0.456358,147.22909,-0.794761,26.792536,,,,,,,,,-2.4852,12.6826,-0.374888,15.24,1.629016,1.512014,-36.902414,-1.417342,-0.442097,7.288868,-7.55051,MEI_MEI,WAS_EDA,JinguStadium,TeamExclusive,Team,20211016-JinguStadium-2,1c226600-2e3a-11ec-b2e5-19288f7a4736,5bffe7eb-8eee-4801-bf05-ca213592b5c0,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,132.92188,0.307534,,10.98959,,,,16.641345,-37.178173,3.644434,1.677234,-1.131684,-3.775255,-0.432408,1.52874,-0.221048,0.26716,0.307534,0.217183,180.0,0.267181,36.499926,,,,,,,,0.307534,-0.567225,,,,,,,,0.217193,18.431472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松本 知一,21A
4,2021/10/16,33:23.5,2021/10/16,33:23.5,2,1,"Yu, Takeda",1000073601,Right,MEI_MEI,"Sho, Fukumoto",1000074069,Right,WAS_EDA,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,112.74229,2.549617,-0.054451,2317.580512,19.896229,6:45,1.724433,0.385635,1.6694,-203.384,-52.0648,-20.995,0.418232,0.160156,101.59605,-12.01653,-1.532634,0.555523,,,,,,,,,,,,10.4884,-26.844,-0.382419,15.24,1.77618,0.119897,-30.928119,0.612105,1.268268,6.639213,-13.052658,MEI_MEI,WAS_EDA,JinguStadium,TeamExclusive,Team,20211016-JinguStadium-2,32ebd560-2e3a-11ec-b2e5-19288f7a4736,5bffe7eb-8eee-4801-bf05-ca213592b5c0,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,109.19448,,,11.14624,,,,16.771422,-31.255134,3.319607,1.730197,1.255016,-6.526329,-0.386786,0.057428,0.634134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松本 知一,21A
5,2021/10/16,33:37.5,2021/10/16,33:37.5,2,2,"Yu, Takeda",1000073601,Right,MEI_MEI,"Sho, Fukumoto",1000074069,Right,WAS_EDA,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,143.4733,-0.586174,-2.131315,2107.471232,210.021055,1:00,1.666236,0.396848,1.866671,-46.0499,43.6178,23.3516,1.040457,0.029569,129.32349,-4.069737,-0.475409,0.427634,,,,,,,,,,,,-13.6615,23.8555,-0.348501,15.24,1.649669,1.347471,-39.407593,-0.555493,-2.73722,9.257439,-5.026949,MEI_MEI,WAS_EDA,JinguStadium,TeamExclusive,Team,20211016-JinguStadium-2,3b565fe0-2e3a-11ec-b2e5-19288f7a4736,5bffe7eb-8eee-4801-bf05-ca213592b5c0,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,141.85016,,,14.14981,,,,16.571885,-39.71924,4.62872,1.665521,-0.386263,-2.513474,-0.395414,1.439619,-1.36861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松本 知一,21A
6,2021/10/16,33:54.9,2021/10/16,33:54.8,2,3,"Yu, Takeda",1000073601,Right,MEI_MEI,"Sho, Fukumoto",1000074069,Right,WAS_EDA,Undefined,1,Top,1,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,144.63332,-1.243836,-2.711223,2221.517898,214.259956,1:15,1.665619,0.410884,1.944217,-45.8518,41.0484,25.9528,0.857875,-0.0904,131.28163,-4.705864,-0.862837,0.420984,,,,,,,,,,,,-15.4629,23.1661,-0.352588,15.24,1.635653,1.754162,-39.747635,-1.012156,-3.172967,8.90294,-5.053006,MEI_MEI,WAS_EDA,JinguStadium,TeamExclusive,Team,20211016-JinguStadium-2,45a89620-2e3a-11ec-b2e5-19288f7a4736,5bffe7eb-8eee-4801-bf05-ca213592b5c0,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,144.09115,,,13.35169,,,,16.494728,-40.027691,4.45147,1.664992,-0.853206,-2.526503,-0.409338,1.853973,-1.586483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松本 知一,21A
7,2021/10/16,34:10.1,2021/10/16,34:10.1,2,4,"Yu, Takeda",1000073601,Right,MEI_MEI,"Sho, Fukumoto",1000074069,Right,WAS_EDA,Undefined,1,Top,1,2,1,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,135.07818,-2.273975,-2.112892,2277.436552,226.473736,1:30,1.688159,0.42719,1.827807,-90.5819,10.0561,7.2141,0.139309,-0.097701,124.20884,-8.838849,-1.601419,0.453039,,,,,,,,,,,,-5.2706,7.7254,-0.376971,15.24,1.627545,1.336696,-37.127979,-1.826498,-0.947739,7.475763,-8.417496,MEI_MEI,WAS_EDA,JinguStadium,TeamExclusive,Team,20211016-JinguStadium-2,4e9a5200-2e3a-11ec-b2e5-19288f7a4736,5bffe7eb-8eee-4801-bf05-ca213592b5c0,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,133.89575,,,10.86934,,,,16.612187,-37.40325,3.737881,1.689093,-1.516551,-4.208748,-0.426833,1.371593,-0.47387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松本 知一,21A
8,2021/10/16,34:27.5,2021/10/16,34:27.5,2,5,"Yu, Takeda",1000073601,Right,MEI_MEI,"Sho, Fukumoto",1000074069,Right,WAS_EDA,Undefined,1,Top,1,3,1,Cutter,Slider,BallCalled,Walk,Undefined,,Undefined,0,0,,135.17144,-1.574601,-1.775284,2294.798066,204.570901,12:45,1.670233,0.436853,1.820657,-87.3682,12.6694,4.3987,0.351302,-0.02095,124.60283,-7.9166,-1.463662,0.451686,,,,,,,,,,,,-3.4937,8.5109,-0.394331,15.24,1.626396,1.132202,-37.187252,-1.362632,-0.633338,7.163694,-8.263817,MEI_MEI,WAS_EDA,JinguStadium,TeamExclusive,Team,20211016-JinguStadium-2,59265cf0-2e3a-11ec-b2e5-19288f7a4736,5bffe7eb-8eee-4801-bf05-ca213592b5c0,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,134.29696,,,10.56861,,,,16.619282,-37.452012,3.581847,1.671113,-1.057213,-4.131909,-0.436608,1.155609,-0.316669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松本 知一,21A
9,2021/10/16,35:08.8,2021/10/16,35:08.8,3,1,"Yu, Takeda",1000073601,Right,MEI_MEI,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Top,1,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,1,135.44574,-1.364199,-3.704156,2219.663971,201.885281,12:45,1.655944,0.445508,1.785374,-77.5959,22.8883,7.9369,0.49279,-0.525525,124.44354,-7.012672,-3.14515,0.452693,,,,,,,,,,,,-6.6346,13.6207,-0.354345,15.24,1.616706,2.369795,-37.189763,-1.188199,-1.202192,7.203696,-7.338589,MEI_MEI,WAS_EDA,JinguStadium,TeamExclusive,Team,20211016-JinguStadium-2,71c883f0-2e3a-11ec-b2e5-19288f7a4736,5bffe7eb-8eee-4801-bf05-ca213592b5c0,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,133.99812,,,11.0022,,,,16.654219,-37.462697,3.601848,1.656457,-0.910155,-3.669294,-0.444995,2.415344,-0.601096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松本 知一,21A
10,2021/10/16,35:29.8,2021/10/16,35:29.8,3,2,"Yu, Takeda",1000073601,Right,MEI_MEI,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Top,1,1,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,LineDrive,Undefined,0,0,1,142.96854,-0.978197,-2.611915,2122.827019,200.358151,12:45,1.653901,0.415453,1.902364,-42.6508,47.2889,16.3549,0.952073,-0.155813,128.94418,-4.225257,-1.450431,0.428282,166.03187,20.882063,50.60813,3641.369012,19.639032,10.408949,27.173906,89.943767,,61.377482,3.059398,-10.6283,26.2766,-0.357111,15.24,1.629162,1.712512,-39.271001,-0.804527,-2.113373,9.242384,-4.581712,MEI_MEI,WAS_EDA,JinguStadium,TeamExclusive,Team,20211016-JinguStadium-2,7e3005a0-2e3a-11ec-b2e5-19288f7a4736,5bffe7eb-8eee-4801-bf05-ca213592b5c0,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,141.63553,11.940982,,14.02437,,,,16.536866,-39.575039,4.621192,1.653149,-0.653807,-2.290856,-0.41459,1.782034,-1.056687,0.549317,0.939603,0.191709,,0.549332,27.344404,-7.640963,1.805426,-0.298777,-0.021239,0.029382,-0.007473,0.00068,0.939592,16.439698,-7.013842,0.820403,-0.185603,0.04934,-0.012551,0.002273,-0.000189,0.191774,33.299345,-2.885143,0.101448,0.051106,-0.024366,0.006514,-0.00127,0.000115,,,,,,,,,,,,,,,,,,,,,,,松本 知一,21A
