PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,season
1,2021/10/18,00:34.1,2021/10/18,00:34.1,1,1,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Yuki, Suyama",1000073581,Left,MEI_MEI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,144.88399,-1.131313,-1.566232,2307.841295,218.771222,1:15,1.897702,0.578,1.800225,-34.2714,54.9016,41.3901,1.234756,0.548673,129.77529,-3.781345,1.358314,0.426453,,,,,,,,,,,,-22.2373,29.8558,-0.542335,15.24,1.867637,0.864622,-39.764427,-0.881212,-4.508608,9.898887,-3.753398,WAS_EDA,MEI_MEI,JinguStadium,Fall,Team,20211018-JinguStadium-1,2e739490-2fb7-11ec-aeb7-c107d07e6221,012f63b0-0867-4374-bfcc-aae35c4c3c8d,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,142.24305,,,15.1087,,,,16.638053,-40.110946,4.949443,1.896185,-0.749821,-1.876699,-0.575364,1.02245,-2.254304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,21A
2,2021/10/18,00:47.8,2021/10/18,00:47.8,1,2,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Yuki, Suyama",1000073581,Left,MEI_MEI,Undefined,1,Top,0,1,0,Slider,Slider,FoulBall,Undefined,Undefined,GroundBall,Undefined,0,0,,133.41329,-0.233525,-2.998182,2243.590704,219.139876,1:15,1.804187,0.63954,1.795124,-90.8935,11.8051,7.1705,0.829071,-0.138041,123.1937,-6.824658,-2.492159,0.457654,139.67373,-20.991168,76.230002,,,,,2.139002,,54.921235,0.047726,-5.6845,7.034,-0.566361,15.24,1.79208,1.889497,-36.698911,-0.502904,-1.007808,6.695971,-8.559596,WAS_EDA,MEI_MEI,JinguStadium,Fall,Team,20211018-JinguStadium-1,36a64630-2fb7-11ec-aeb7-c107d07e6221,012f63b0-0867-4374-bfcc-aae35c4c3c8d,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,132.54565,0.664631,,10.2196,,,,16.645188,-36.954408,3.347985,1.805038,-0.176297,-4.279798,-0.639192,1.927951,-0.503904,0.816977,0.664631,0.068044,180.0,0.816845,8.639225,,,,,,,,0.664843,-13.926104,,,,,,,,0.067507,35.252299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,21A
3,2021/10/18,01:07.8,2021/10/18,01:07.8,1,3,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Yuki, Suyama",1000073581,Left,MEI_MEI,Undefined,1,Top,0,1,1,ChangeUp,Changeup,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,130.91208,0.091215,-2.212338,1276.013823,268.539071,3:00,1.82344,0.633903,1.664689,-104.5027,4.0114,29.6749,0.804455,0.299191,120.65863,-7.419053,-0.131013,0.470433,144.72215,-16.444638,-7.825809,,,,,2.869456,,-13.575591,0.068653,-16.5122,2.8928,-0.577052,15.24,1.817236,1.24862,-36.006778,-0.376314,-2.812295,6.579423,-9.313965,WAS_EDA,MEI_MEI,JinguStadium,Fall,Team,20211018-JinguStadium-1,42971140-2fb7-11ec-aeb7-c107d07e6221,012f63b0-0867-4374-bfcc-aae35c4c3c8d,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,128.94506,0.782958,,10.25345,,,,16.775608,-36.28629,3.289711,1.824818,0.01937,-4.656983,-0.632635,1.368094,-1.406147,0.161361,0.782958,-0.312355,180.0,0.160465,38.278136,,,,,,,,0.783225,-11.404495,,,,,,,,-0.312232,-5.26102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,21A
4,2021/10/18,01:41.9,2021/10/18,01:41.9,2,1,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Kaito, Muramatsu",1000073668,Left,MEI_MEI,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,,147.48648,-2.791986,-2.667486,2342.590948,207.362973,1:00,1.858766,0.528204,1.804212,-22.6002,63.1031,31.0372,0.841568,0.083532,132.91008,-4.595146,-0.476802,0.418074,122.70006,56.150335,-108.881156,5186.838532,,,,,,,,-18.0017,35.425,-0.46518,15.24,1.78901,1.720692,-40.448879,-2.019434,-3.801644,9.718005,-2.325514,WAS_EDA,MEI_MEI,JinguStadium,Fall,Team,20211018-JinguStadium-1,57018200-2fb7-11ec-aeb7-c107d07e6221,012f63b0-0867-4374-bfcc-aae35c4c3c8d,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,145.09385,21.755473,,14.5764,,,,16.634934,-40.78264,4.859002,1.856995,-1.939565,-1.162757,-0.526518,1.851259,-1.900822,0.26466,0.837409,-0.085026,31.179249,0.264663,-6.14425,-2.179977,0.367261,0.169026,-0.269489,0.152461,-0.033325,-0.000316,0.837412,28.305612,-9.317035,1.162423,0.000566,-0.236578,0.1367,-0.022538,-0.003316,-0.085023,-17.964118,2.39723,-0.441902,0.42266,-0.42615,0.255823,-0.074725,0.006848,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,21A
5,2021/10/18,01:58.8,2021/10/18,01:58.8,2,2,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Kaito, Muramatsu",1000073668,Left,MEI_MEI,Undefined,1,Top,1,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,,130.09872,1.145747,-2.196075,1337.180033,263.142013,2:45,1.842404,0.593001,1.59793,-103.5759,7.279,32.759,1.13513,0.291217,119.57154,-6.289698,0.090421,0.47548,,,,,,,,,,,,-17.7734,3.9509,-0.534489,15.24,1.86529,1.207094,-35.758065,0.274004,-2.986978,6.454388,-9.142662,WAS_EDA,MEI_MEI,JinguStadium,Fall,Team,20211018-JinguStadium-1,60fb3800-2fb7-11ec-aeb7-c107d07e6221,012f63b0-0867-4374-bfcc-aae35c4c3c8d,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,127.5764,,,10.52718,,,,16.841945,-36.046059,3.227194,1.843963,0.681949,-4.571331,-0.591322,1.340373,-1.493489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,21A
6,2021/10/18,02:11.9,2021/10/18,02:11.9,2,3,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Kaito, Muramatsu",1000073668,Left,MEI_MEI,Undefined,1,Top,1,1,1,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,134.45221,0.771915,-1.485964,2135.330882,171.878569,11:45,1.805574,0.680833,1.747736,-94.021,7.5897,-0.6596,1.084548,0.252373,123.88365,-6.03581,-1.532437,0.455223,,,,,,,,,,,,-0.6456,4.3218,-0.643057,15.24,1.818255,0.963055,-37.001749,0.11418,-0.116339,6.811038,-9.027796,WAS_EDA,MEI_MEI,JinguStadium,Fall,Team,20211018-JinguStadium-1,68cbcc70-2fb7-11ec-aeb7-c107d07e6221,012f63b0-0867-4374-bfcc-aae35c4c3c8d,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,133.25332,,,10.56855,,,,16.69206,-37.268076,3.405519,1.806888,0.467188,-4.513898,-0.680803,0.967604,-0.05817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,21A
7,2021/10/18,02:28.9,2021/10/18,02:28.9,2,4,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Kaito, Muramatsu",1000073668,Left,MEI_MEI,Undefined,1,Top,1,2,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,,129.76924,1.285772,-2.169326,1298.839071,268.901167,3:00,1.829716,0.593594,1.661721,-106.3596,3.6202,25.9729,1.133323,0.234038,119.90562,-6.357909,-0.349624,0.473599,,,,,,,,,,,,-14.428,2.0226,-0.537432,15.24,1.855514,1.226693,-35.698591,0.360323,-2.429088,6.107423,-9.466124,WAS_EDA,MEI_MEI,JinguStadium,Fall,Team,20211018-JinguStadium-1,72cfbba0-2fb7-11ec-aeb7-c107d07e6221,012f63b0-0867-4374-bfcc-aae35c4c3c8d,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,128.08296,,,9.86361,,,,16.778454,-35.960831,3.053712,1.831316,0.766779,-4.733062,-0.592343,1.330993,-1.214544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,21A
8,2021/10/18,02:46.1,2021/10/18,02:46.1,2,5,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Kaito, Muramatsu",1000073668,Left,MEI_MEI,Undefined,1,Top,1,3,1,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,133.00075,0.482521,-3.018324,1263.387566,282.883414,3:30,1.773261,0.659312,1.694717,-107.8876,-3.0729,27.0963,0.831983,0.069979,122.55211,-7.271677,-1.116434,0.462344,,,,,,,,,,,,-15.7132,-0.8925,-0.582015,15.24,1.777415,1.795705,-36.564324,-0.146896,-2.761613,6.738226,-9.963514,WAS_EDA,MEI_MEI,JinguStadium,Fall,Team,20211018-JinguStadium-1,7d3a0dc0-2fb7-11ec-aeb7-c107d07e6221,012f63b0-0867-4374-bfcc-aae35c4c3c8d,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,131.20088,,,10.44864,,,,16.745532,-36.840725,3.369113,1.775059,0.261806,-4.981757,-0.657998,1.908986,-1.380807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,21A
9,2021/10/18,03:02.9,2021/10/18,03:02.9,2,6,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Kaito, Muramatsu",1000073668,Left,MEI_MEI,Undefined,1,Top,1,3,2,Slider,Slider,InPlay,Undefined,GroundBall,GroundBall,Single,0,0,,136.52585,-0.953843,-2.849629,2254.830846,205.601274,12:45,1.752839,0.677118,1.798782,-80.964,17.1924,6.8407,0.672955,-0.061428,125.9048,-6.838406,-2.366643,0.447419,160.83993,-2.989332,34.653144,,,,,9.53451,,34.460934,0.206665,-5.4489,10.2806,-0.607754,15.24,1.723817,1.83729,-37.549503,-0.943017,-1.009914,7.109053,-7.901224,WAS_EDA,MEI_MEI,JinguStadium,Fall,Team,20211018-JinguStadium-1,872df760-2fb7-11ec-aeb7-c107d07e6221,012f63b0-0867-4374-bfcc-aae35c4c3c8d,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,135.57775,0.71841,,10.62105,,,,16.641449,-37.813901,3.554526,1.753425,-0.649157,-3.950612,-0.676784,1.87485,-0.504957,0.639826,0.71841,0.08589,279.747101,0.640317,36.670951,-8.383915,,,,,,,0.718677,-2.347113,-5.475791,,,,,,,0.085463,25.396961,1.436096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,21A
10,2021/10/18,04:04.1,2021/10/18,04:04.1,3,1,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Kazuya, Maruyama",1000073566,Left,MEI_MEI,Undefined,1,Top,1,0,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,1,129.39845,-0.906603,-2.76994,1259.455648,260.819368,2:45,1.790772,0.661454,1.685887,-102.1418,8.3803,31.9141,0.510726,0.190782,119.85044,-8.239714,-0.5288,0.474766,,,,,,,,,,,,-17.9479,5.8186,-0.590718,15.24,1.75854,1.571179,-35.584941,-0.977544,-2.996815,6.188591,-8.835105,WAS_EDA,MEI_MEI,JinguStadium,Fall,Team,20211018-JinguStadium-1,ab8d0830-2fb7-11ec-aeb7-c107d07e6221,012f63b0-0867-4374-bfcc-aae35c4c3c8d,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,127.76832,,,9.54801,,,,16.754368,-35.847338,3.094296,1.792046,-0.602934,-4.417552,-0.66003,1.698244,-1.498407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,21A
