PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,Catcher Pos,Unnamed: 157,umpire,season
1,2021/10/18,16:43.9,2021/10/18,16:43.9,1,1,"Kosei, Shoji",1000101253,Right,RIK,"Haruto, Watanabe",1000073445,Right,KEI_KEI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,148.75148,-3.760216,-1.646381,2092.56325,208.855474,1:00,1.848411,0.446493,1.935378,-31.5184,51.1616,26.5747,0.476305,0.250204,134.78568,-6.184503,0.247219,0.410634,,,,,,,,,,,,-14.9893,30.333,-0.411406,15.24,1.76321,1.037406,-40.817775,-2.767893,-3.233793,9.636265,-3.262585,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20211018-JinguStadium-2,9768d3f0-2fd2-11ec-92d8-01c9a8af093c,ac41f0bb-f905-49e2-ab75-3b7652dbfde4,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,147.72276,,,13.9658,,,,16.503477,-41.114975,4.818132,1.847025,-2.667269,-1.631293,-0.44494,1.137142,-1.616897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,山口 智久,21A
2,2021/10/18,16:55.5,2021/10/18,16:55.5,1,2,"Kosei, Shoji",1000101253,Right,RIK,"Haruto, Watanabe",1000073445,Right,KEI_KEI,Undefined,1,Top,0,0,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,LineDrive,Out,1,0,,147.03123,-2.379392,-2.065308,2197.504869,200.730204,12:45,1.843502,0.465741,1.929954,-27.8005,57.3039,20.4855,0.896891,0.090706,132.11246,-4.569747,-0.607114,0.416611,153.51752,20.240687,0.873454,1805.50065,33.520378,11.527371,-0.705443,98.670149,,-4.296889,4.053637,-12.4037,32.7392,-0.420977,15.24,1.788982,1.354234,-40.366609,-1.74211,-2.59562,10.078443,-2.955574,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20211018-JinguStadium-2,9d1eecd0-2fd2-11ec-92d8-01c9a8af093c,ac41f0bb-f905-49e2-ab75-3b7652dbfde4,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,145.60348,14.887786,,14.91877,,,,16.509125,-40.682241,5.039221,1.842092,-1.649549,-1.477787,-0.464661,1.435523,-1.29781,0.350653,0.868933,-0.088746,155.939978,0.350448,40.012063,-7.50102,1.701106,-0.405662,0.104142,-0.023228,0.003245,-0.000191,0.869193,14.744729,-3.859904,-0.160195,0.166148,-0.076253,0.021188,-0.002999,0.000165,-0.088701,0.610235,-1.79558,0.695896,-0.209829,0.055215,-0.011504,0.001484,-8.3e-05,,,,,,,,,,,,,,,,,,,,,,,7,,山口 智久,21A
3,2021/10/18,17:24.5,2021/10/18,17:24.4,2,1,"Kosei, Shoji",1000101253,Right,RIK,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,1,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,139.11709,-2.532984,-2.190258,2075.665037,170.647831,11:45,1.856181,0.488813,1.995392,-81.8014,11.1083,-1.3465,0.329185,-0.137155,127.92239,-8.524876,-2.286672,0.435296,,,,,,,,,,,,-0.8822,8.526,-0.442595,15.24,1.798585,1.469262,-38.262593,-1.988314,-0.168438,7.95653,-8.178793,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20211018-JinguStadium-2,ae4be5d0-2fd2-11ec-92d8-01c9a8af093c,ac41f0bb-f905-49e2-ab75-3b7652dbfde4,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,139.35331,,,11.1947,,,,16.444617,-38.512273,3.978265,1.856953,-1.73166,-4.089396,-0.488785,1.474548,-0.084219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,山口 智久,21A
4,2021/10/18,17:37.9,2021/10/18,17:37.9,2,2,"Kosei, Shoji",1000101253,Right,RIK,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,149.41733,-2.949056,-1.02808,2175.916245,202.012443,12:45,1.83891,0.455758,1.964617,-23.7609,57.8585,22.2108,0.774553,0.38992,134.9938,-4.834863,0.557429,0.407992,,,,,,,,,,,,-12.6046,33.6996,-0.43476,15.24,1.773884,0.631503,-41.064273,-2.168231,-2.741399,10.078222,-2.477267,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20211018-JinguStadium-2,b775efc0-2fd2-11ec-92d8-01c9a8af093c,ac41f0bb-f905-49e2-ab75-3b7652dbfde4,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,148.67948,,,14.42353,,,,16.47534,-41.366346,5.039111,1.83776,-2.09398,-1.238633,-0.45492,0.713671,-1.370699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,山口 智久,21A
5,2021/10/18,17:53.8,2021/10/18,17:53.8,2,3,"Kosei, Shoji",1000101253,Right,RIK,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,1,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,148.36803,-2.917867,-1.543389,2077.210909,205.374657,12:45,1.850047,0.442338,1.937305,-31.2299,51.4138,23.0492,0.718203,0.239763,134.83201,-5.321251,0.099098,0.410544,,,,,,,,,,,,-13.0064,29.6593,-0.409364,15.24,1.783616,0.979817,-40.759665,-2.160173,-2.809529,9.275069,-3.399921,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20211018-JinguStadium-2,bfdb9840-2fd2-11ec-92d8-01c9a8af093c,ac41f0bb-f905-49e2-ab75-3b7652dbfde4,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,147.75517,,,13.53603,,,,16.501443,-41.045709,4.637535,1.848619,-2.055319,-1.69996,-0.440917,1.066464,-1.404764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,山口 智久,21A
6,2021/10/18,18:07.5,2021/10/18,18:07.5,2,4,"Kosei, Shoji",1000101253,Right,RIK,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,1,2,1,Cutter,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,139.59653,-1.834048,-1.054973,2108.657913,170.126657,11:45,1.824376,0.48769,2.023143,-76.3983,15.2323,-2.1543,0.548379,0.171746,128.28666,-7.465871,-1.209574,0.43229,,,,,,,,,,,,0.3818,10.2426,-0.465887,15.24,1.782937,0.717355,-38.436676,-1.500859,0.073718,7.879599,-7.829161,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20211018-JinguStadium-2,c7f1c130-2fd2-11ec-92d8-01c9a8af093c,ac41f0bb-f905-49e2-ab75-3b7652dbfde4,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,140.32255,,,11.30987,,,,16.416497,-38.677109,3.9398,1.825089,-1.261966,-3.914581,-0.487741,0.715105,0.036859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,山口 智久,21A
7,2021/10/18,18:23.8,2021/10/18,18:23.7,2,5,"Kosei, Shoji",1000101253,Right,RIK,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,1,2,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,,120.52802,1.684479,-0.877315,2394.719579,14.480814,6:30,1.859974,0.367209,1.553174,-181.7176,-49.575,-13.9798,0.526829,-0.024601,110.06778,-11.191564,-1.854387,0.51913,,,,,,,,,,,,6.2218,-24.7211,-0.34058,15.24,1.891228,0.572785,-33.106236,0.207842,0.877012,6.703278,-13.291264,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20211018-JinguStadium-2,d1c0e4c0-2fd2-11ec-92d8-01c9a8af093c,ac41f0bb-f905-49e2-ab75-3b7652dbfde4,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,116.84935,,,10.46025,,,,16.888025,-33.43826,3.351639,1.864629,0.866178,-6.645632,-0.367875,0.529345,0.438506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,山口 智久,21A
8,2021/10/18,18:54.6,2021/10/18,18:54.6,3,1,"Kosei, Shoji",1000101253,Right,RIK,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,148.1968,-1.259245,-1.552001,2320.537725,205.504101,12:45,1.85718,0.450548,1.926329,-31.4291,51.9168,23.3498,1.189209,0.248264,133.61233,-3.699504,0.110606,0.412284,,,,,,,,,,,,-13.2164,28.704,-0.417124,15.24,1.827161,0.981762,-40.723711,-0.975417,-2.829525,9.838963,-3.661334,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20211018-JinguStadium-2,e41df950-2fd2-11ec-92d8-01c9a8af093c,ac41f0bb-f905-49e2-ab75-3b7652dbfde4,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,147.13149,,,14.58447,,,,16.512049,-41.029891,4.919481,1.855743,-0.86148,-1.830667,-0.449045,1.069814,-1.414762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,山口 智久,21A
9,2021/10/18,19:07.0,2021/10/18,19:07.0,3,2,"Kosei, Shoji",1000101253,Right,RIK,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Undefined,1,Top,2,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,147.77652,-4.015493,-1.495544,2302.587666,207.090136,1:00,1.861261,0.450571,2.030787,-24.706,58.0427,28.1893,0.49208,0.315269,133.93135,-5.968214,0.524701,0.410805,,,,,,,,,,,,-15.8624,34.4223,-0.421085,15.24,1.777528,0.921794,-40.566025,-2.891135,-3.381089,9.493929,-2.469502,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20211018-JinguStadium-2,eb620530-2fd2-11ec-92d8-01c9a8af093c,ac41f0bb-f905-49e2-ab75-3b7652dbfde4,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,147.66148,,,13.84517,,,,16.408159,-40.838502,4.746964,1.859487,-2.82026,-1.234751,-0.448933,1.018831,-1.690544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,山口 智久,21A
10,2021/10/18,19:22.3,2021/10/18,19:22.3,3,3,"Kosei, Shoji",1000101253,Right,RIK,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Undefined,1,Top,2,2,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,137.18372,-1.722315,-1.340894,2099.751013,167.52439,11:30,1.847245,0.477855,1.964314,-80.6683,14.6401,-2.6019,0.55794,0.076242,126.49661,-7.635803,-1.526896,0.44088,,,,,,,,,,,,0.4381,9.7719,-0.448753,15.24,1.805717,0.895731,-37.770097,-1.428331,0.08196,7.359474,-7.978473,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20211018-JinguStadium-2,f4a58a90-2fd2-11ec-92d8-01c9a8af093c,ac41f0bb-f905-49e2-ab75-3b7652dbfde4,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,137.58847,,,10.68711,,,,16.475406,-38.010053,3.679737,1.848047,-1.168193,-3.989236,-0.477915,0.893058,0.04098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,山口 智久,21A
