PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,Catcher Pos,Unnamed: 157,umpire,season
1,2021/10/20,00:38.7,2021/10/20,00:38.7,1,1,"Shota, Masui",1000073328,Left,KEI_KEI,"Tomoya, Nishimura",1000101193,Right,HOS_HOS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,133.65985,-0.508227,0.675717,2209.338801,156.652813,11:15,1.643377,-0.488674,1.775255,-54.6586,48.5366,-19.5204,0.952769,-0.492401,122.00013,-4.580796,-0.701939,0.458759,,,,,,,,,,,,10.3886,26.1078,0.4732,15.24,1.626847,-0.338926,-36.759017,-0.511875,1.833891,7.225778,-5.197847,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20211020-JinguStadium-1,499a9d50-315a-11ec-88fd-cb5956ef165b,1843bbb6-e304-487f-b02e-41e6b5e5d2d6,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,132.22639,,,11.65972,,,,16.663697,-37.037818,3.612889,1.642728,-0.31132,-2.598924,0.487642,-0.409685,0.916946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,安 秀明,21A
2,2021/10/20,00:49.8,2021/10/20,00:49.8,1,2,"Shota, Masui",1000073328,Left,KEI_KEI,"Tomoya, Nishimura",1000101193,Right,HOS_HOS,Undefined,1,Top,0,1,0,Fastball,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,,133.28126,-0.874333,0.68532,2215.377427,155.14777,11:15,1.637051,-0.503525,1.807368,-51.4316,53.4709,-22.9795,0.875442,-0.539506,119.95483,-4.763874,-0.939648,0.462538,,,,,,,,,,,,12.193,29.1213,0.488304,15.24,1.612281,-0.324977,-36.597079,-0.717803,2.101453,8.154449,-4.787639,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20211020-JinguStadium-1,50401f40-315a-11ec-88fd-cb5956ef165b,1843bbb6-e304-487f-b02e-41e6b5e5d2d6,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,131.14596,,,13.32643,,,,16.630643,-36.905637,4.077224,1.636015,-0.536642,-2.39382,0.502105,-0.404494,1.050726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,安 秀明,21A
3,2021/10/20,01:04.5,2021/10/20,01:04.5,1,3,"Shota, Masui",1000073328,Left,KEI_KEI,"Tomoya, Nishimura",1000101193,Right,HOS_HOS,Undefined,1,Top,0,2,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,,133.3406,-1.07588,2.701573,2197.966644,163.213448,11:30,1.656475,-0.459798,1.976973,-51.0894,51.3992,-14.3944,0.844143,0.152813,120.37414,-4.965429,1.674687,0.457185,145.06406,61.979438,-58.902073,4096.699939,,,,,,,,9.7586,28.8766,0.402704,15.24,1.630702,-1.665939,-36.633859,-0.83321,1.687624,8.079609,-4.812805,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20211020-JinguStadium-1,58fc9a50-315a-11ec-88fd-cb5956ef165b,1843bbb6-e304-487f-b02e-41e6b5e5d2d6,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,132.6814,30.842926,,12.96646,,,,16.462142,-36.902419,4.039805,1.655738,-0.673236,-2.406402,0.45901,-1.722034,0.843812,0.518116,0.937806,-0.177952,161.957877,0.518115,9.777894,-5.31013,1.755347,-0.427903,0.025228,0.065487,-0.044234,0.01029,0.937806,35.571965,-7.55687,0.699033,-0.092171,0.031401,-0.032068,0.018328,-0.004138,-0.177952,-16.209838,3.37194,-0.687343,0.110051,-0.009424,-0.003419,0.002474,-0.000548,,,,,,,,,,,,,,,,,,,,,,,7.0,,安 秀明,21A
4,2021/10/20,01:36.7,2021/10/20,01:36.7,1,4,"Shota, Masui",1000073328,Left,KEI_KEI,"Tomoya, Nishimura",1000101193,Right,HOS_HOS,Undefined,1,Top,0,2,1,Fastball,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,,133.52401,-0.306602,1.134781,2169.420221,149.816895,11:00,1.628453,-0.462426,1.869945,-49.1765,53.184,-28.9945,1.0503,-0.432659,121.60802,-4.019738,-0.922931,0.4569,,,,,,,,,,,,15.6915,28.6284,0.437717,15.24,1.618195,-0.591892,-36.731536,-0.344982,2.760226,7.351013,-4.770743,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20211020-JinguStadium-1,6c1e1050-315a-11ec-88fd-cb5956ef165b,1843bbb6-e304-487f-b02e-41e6b5e5d2d6,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,132.76439,,,11.91599,,,,16.56902,-36.996554,3.675506,1.627532,-0.172987,-2.385371,0.46085,-0.691403,1.380113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,安 秀明,21A
5,2021/10/20,01:55.2,2021/10/20,01:55.2,1,5,"Shota, Masui",1000073328,Left,KEI_KEI,"Tomoya, Nishimura",1000101193,Right,HOS_HOS,Undefined,1,Top,0,3,1,Fastball,Changeup,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,136.13248,-2.463751,3.663261,2170.957814,149.490845,11:00,1.631815,-0.486136,1.852752,-42.846,56.312,-31.2186,0.506719,0.236137,124.05639,-5.705995,1.455744,0.449695,,,,,,,,,,,,18.7151,31.7864,0.40168,15.24,1.570873,-2.243748,-37.351734,-1.738107,3.405449,7.576017,-4.022693,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20211020-JinguStadium-1,772dca30-315a-11ec-88fd-cb5956ef165b,1843bbb6-e304-487f-b02e-41e6b5e5d2d6,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,134.89129,,,12.07609,,,,16.586614,-37.623875,3.788008,1.630713,-1.593606,-2.011347,0.484476,-2.366076,1.702725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,フォアになりたかった,安 秀明,21A
6,2021/10/20,02:17.0,2021/10/20,02:17.0,1,6,"Shota, Masui",1000073328,Left,KEI_KEI,"Tomoya, Nishimura",1000101193,Right,HOS_HOS,Undefined,1,Top,0,3,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Popup,Undefined,0,0,,136.2641,-1.473062,2.727019,2218.772269,150.188259,11:00,1.670823,-0.483379,1.910142,-51.3959,45.5578,-24.4584,0.742371,0.038911,125.54823,-5.307264,0.988742,0.444669,89.69824,60.355549,150.341305,4720.832914,,,,40.722941,,153.737117,3.678289,14.5185,25.545,0.423244,15.24,1.634489,-1.6762,-37.495658,-1.1321,2.690459,6.89847,-5.072828,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20211020-JinguStadium-1,843360a0-315a-11ec-88fd-cb5956ef165b,1843bbb6-e304-487f-b02e-41e6b5e5d2d6,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,136.41602,18.476355,,10.71587,,,,16.529814,-37.732213,3.449235,1.670327,-0.958148,-2.536414,0.482305,-1.768458,1.345229,0.271989,0.690283,-0.044104,347.782167,0.271694,-10.70051,-0.635112,0.550371,-0.199989,0.045817,-0.001804,-0.001239,0.000158,0.690583,21.64494,-7.569424,0.66771,0.043048,-0.106841,0.040611,-0.006854,0.000442,-0.043945,6.093438,-0.486099,0.022249,0.056238,-0.035383,0.009589,-0.001205,5.6e-05,,,,,,,,,,,,,,,,,,,,,,,7.0,,安 秀明,21A
7,2021/10/20,02:43.5,2021/10/20,02:43.5,1,7,"Shota, Masui",1000073328,Left,KEI_KEI,"Tomoya, Nishimura",1000101193,Right,HOS_HOS,Undefined,1,Top,0,3,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,GroundBall,Undefined,0,0,,135.85839,-1.453667,2.889024,2163.506045,146.810203,11:00,1.662737,-0.478272,1.88582,-52.561,46.7939,-28.3689,0.727419,0.051774,123.30769,-5.404486,0.876207,0.450142,127.07353,-36.584785,-58.120083,,,,,1.334707,,-39.639842,0.03471,16.9396,26.363,0.41354,15.24,1.626099,-1.752656,-37.319392,-1.116752,3.059673,7.950202,-5.044889,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20211020-JinguStadium-1,93ebe210-315a-11ec-88fd-cb5956ef165b,1843bbb6-e304-487f-b02e-41e6b5e5d2d6,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,134.75756,0.73225,,12.55071,,,,16.553601,-37.598189,3.975101,1.662159,-0.939839,-2.522445,0.476884,-1.859952,1.529837,0.506795,0.73225,-0.013777,,0.506565,15.010553,,,,,,,,0.732573,-21.095963,,,,,,,,-0.013407,-24.134314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,安 秀明,21A
8,2021/10/20,03:12.5,2021/10/20,03:12.5,1,8,"Shota, Masui",1000073328,Left,KEI_KEI,"Tomoya, Nishimura",1000101193,Right,HOS_HOS,Undefined,1,Top,0,3,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,,Undefined,0,0,,135.61105,-2.379648,2.033968,2249.114397,152.397561,11:00,1.661338,-0.460415,1.841844,-50.0954,50.5874,-24.5555,0.488054,-0.131756,122.72024,-6.149694,0.294568,0.45314,,,,,,,,,,,,14.2208,28.97,0.41365,15.24,1.601548,-1.204752,-37.224128,-1.707005,2.545591,8.172649,-4.620884,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20211020-JinguStadium-1,a54f0640-315a-11ec-88fd-cb5956ef165b,1843bbb6-e304-487f-b02e-41e6b5e5d2d6,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,133.86596,,,12.89082,,,,16.597039,-37.520886,4.086324,1.660485,-1.539216,-2.310442,0.459074,-1.297185,1.272795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,安 秀明,21A
9,2021/10/20,03:41.6,2021/10/20,03:41.6,2,1,"Shota, Masui",1000073328,Left,KEI_KEI,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,Undefined,1,Top,1,0,0,Fastball,Changeup,FoulBall,Undefined,Undefined,Popup,Undefined,0,0,,132.70244,-1.993898,3.057664,2232.748329,157.354682,11:15,1.606599,-0.464057,1.869363,-53.43,50.7369,-19.6975,0.509564,0.201169,120.88155,-5.998537,1.662101,0.460914,100.29644,62.472543,-143.166648,4759.329802,-30.513228,19.643464,-13.894897,47.489821,,-157.410055,4.118149,12.4674,28.759,0.394071,15.24,1.556804,-1.857208,-36.438974,-1.438299,2.153768,7.371968,-4.838463,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20211020-JinguStadium-1,b6a3d290-315a-11ec-88fd-cb5956ef165b,1843bbb6-e304-487f-b02e-41e6b5e5d2d6,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,131.60812,22.889248,,11.8209,,,,16.569961,-36.707053,3.685984,1.605908,-1.262351,-2.419231,0.463032,-1.935529,1.076884,0.464638,0.49829,-0.198717,22.88242,0.464199,-10.299192,-1.464332,0.728402,-0.114702,-0.052405,0.034786,-0.007287,0.00053,0.499698,24.666521,-7.915825,0.510389,0.288996,-0.227865,0.069361,-0.010046,0.000565,-0.199627,-7.693528,1.605432,-0.152711,-0.206761,0.144565,-0.042959,0.00614,-0.000344,,,,,,,,,,,,,,,,,,,,,,,7.0,,安 秀明,21A
10,2021/10/20,04:03.6,2021/10/20,04:03.6,2,2,"Shota, Masui",1000073328,Left,KEI_KEI,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,Undefined,1,Top,1,0,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,119.90648,0.901212,2.329659,1944.105498,203.84329,12:45,1.633673,-0.494023,1.817847,-112.9758,16.3214,5.1943,0.758839,0.216672,108.7125,-7.365638,2.696834,0.51351,,,,,,,,,,,,-0.7529,9.1206,0.437378,15.24,1.648092,-1.361738,-32.91726,0.126395,-0.105213,6.481057,-8.532136,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20211020-JinguStadium-1,c3a60da0-315a-11ec-88fd-cb5956ef165b,1843bbb6-e304-487f-b02e-41e6b5e5d2d6,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,118.12806,,,11.19398,,,,16.620681,-33.187988,3.240529,1.635368,0.482801,-4.266068,0.494169,-1.357343,-0.052607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,安 秀明,21A
