PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,season
1,2021/10/24,00:58.6,2021/10/24,00:58.6,1,1,"Yusuke, Okuno",1000073942,Right,TOK,"Tomoya, Nishimura",1000101193,Right,HOS_HOS,Undefined,1,Top,0,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,128.38563,-0.043243,-0.846851,2181.742963,157.057095,11:15,1.749478,0.702863,1.701177,-79.2417,33.4965,-12.6779,0.94475,0.335012,117.59808,-5.829261,-1.737588,0.479502,,,,,,,,,,,,5.7866,18.0789,-0.679683,15.24,1.742197,0.582335,-35.300447,-0.324601,0.943602,6.561889,-6.858575,TOK,HOS_HOS,JinguStadium,TeamExclusive,Team,20211024-JinguStadium-1,d9a78b20-3465-11ec-b0e3-eb8f26fda802,b0cbde3a-5366-407d-add2-ebb3637b52db,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,126.50631,,,10.78755,,,,16.737818,-35.577782,3.280945,1.749791,-0.034727,-3.429287,-0.703452,0.542454,0.471801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宮田 勝行,21A
2,2021/10/24,01:08.7,2021/10/24,01:08.7,1,2,"Yusuke, Okuno",1000073942,Right,TOK,"Tomoya, Nishimura",1000101193,Right,HOS_HOS,Undefined,1,Top,0,0,1,Slider,Curveball,InPlay,Undefined,FlyBall,FlyBall,Out,1,0,,117.11622,2.528153,-2.225317,2284.582607,118.5814,10:00,1.721394,0.771311,1.608398,-120.8598,17.7879,-24.1418,1.237541,-0.107463,106.442,-6.203011,-3.9073,0.531754,125.40491,47.483786,-2.646806,4537.873903,33.525065,31.566847,-0.440963,69.48134,,1.081791,5.495527,10.3954,8.2423,-0.70714,15.24,1.781237,1.355288,-32.115687,0.969715,1.389764,5.915131,-8.704731,TOK,HOS_HOS,JinguStadium,TeamExclusive,Team,20211024-JinguStadium-1,dfbc65d0-3465-11ec-b0e3-eb8f26fda802,b0cbde3a-5366-407d-add2-ebb3637b52db,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,114.07524,32.805568,,10.67422,,,,16.831002,-32.407396,2.957565,1.72283,1.398995,-4.352365,-0.772287,1.286751,0.694882,0.385446,1.176678,0.117731,183.052563,0.385372,23.51188,-6.159169,1.749008,-0.32981,0.030288,0.001912,-0.000671,4e-05,1.174183,25.72568,-6.096906,0.564834,-0.191555,0.066928,-0.01329,0.001301,-5.3e-05,0.117658,-1.084961,0.583304,-0.11247,0.003396,0.006193,-0.001941,0.000245,-1.2e-05,,,,,,,,,,,,,,,,,,,,,,,宮田 勝行,21A
3,2021/10/24,01:42.3,2021/10/24,01:42.3,2,1,"Yusuke, Okuno",1000073942,Right,TOK,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,Undefined,1,Top,1,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,126.8589,-0.050605,-2.988838,2226.050623,120.470529,10:00,1.758478,0.724877,1.659951,-99.4818,16.9863,-22.69,0.749199,-0.355715,116.5219,-7.217527,-4.575179,0.487369,,,,,,,,,,,,9.268,9.7387,-0.642448,15.24,1.748953,1.926425,-34.835333,-0.424316,1.469433,6.484255,-8.262576,TOK,HOS_HOS,JinguStadium,TeamExclusive,Team,20211024-JinguStadium-1,f3960840-3465-11ec-b0e3-eb8f26fda802,b0cbde3a-5366-407d-add2-ebb3637b52db,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,124.46415,,,10.33701,,,,16.779471,-35.120722,3.242128,1.759626,-0.060659,-4.131288,-0.725812,1.861751,0.734716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宮田 勝行,21A
4,2021/10/24,01:52.5,2021/10/24,01:52.5,2,2,"Yusuke, Okuno",1000073942,Right,TOK,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,134.9367,-1.291926,-1.741782,2226.436393,196.291086,12:30,1.7608,0.722095,1.8518,-51.9549,50.2068,13.5446,0.876673,0.366174,121.15096,-5.225081,-0.781845,0.456456,,,,,,,,,,,,-8.3633,27.9664,-0.681821,15.24,1.727013,1.059708,-37.0297,-0.996005,-1.471271,8.547162,-4.886823,TOK,HOS_HOS,JinguStadium,TeamExclusive,Team,20211024-JinguStadium-1,f9c76ba0-3465-11ec-b0e3-eb8f26fda802,b0cbde3a-5366-407d-add2-ebb3637b52db,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,132.8935,,,13.78573,,,,16.586043,-37.3391,4.273581,1.759866,-0.819106,-2.443412,-0.721146,1.112967,-0.735635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宮田 勝行,21A
5,2021/10/24,02:02.7,2021/10/24,02:02.7,2,3,"Yusuke, Okuno",1000073942,Right,TOK,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,Undefined,1,Top,1,1,1,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,129.00171,1.465314,-1.25355,2200.477665,155.045144,11:15,1.747226,0.723251,1.63929,-88.3645,24.519,-9.7342,1.282454,0.267677,117.66442,-4.954001,-1.934332,0.479811,,,,,,,,,,,,3.9479,12.3909,-0.688222,15.24,1.779825,0.823667,-35.433724,0.553753,0.647283,6.742037,-7.775084,TOK,HOS_HOS,JinguStadium,TeamExclusive,Team,20211024-JinguStadium-1,ffdcbb80-3465-11ec-b0e3-eb8f26fda802,b0cbde3a-5366-407d-add2-ebb3637b52db,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,126.42486,,,11.33729,,,,16.799547,-35.729229,3.371019,1.748085,0.894537,-3.887542,-0.723701,0.795296,0.323642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宮田 勝行,21A
6,2021/10/24,02:17.2,2021/10/24,02:17.2,2,4,"Yusuke, Okuno",1000073942,Right,TOK,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,Undefined,1,Top,1,2,1,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,128.54415,-1.388915,-2.248595,2250.66603,120.267854,10:00,1.734624,0.715126,1.696805,-92.1336,20.7147,-29.429,0.417447,-0.219723,118.29077,-8.032891,-4.314257,0.479736,,,,,,,,,,,,13.3722,12.5227,-0.653608,15.24,1.69084,1.523006,-35.321875,-1.214883,2.178106,6.714358,-7.766908,TOK,HOS_HOS,JinguStadium,TeamExclusive,Team,20211024-JinguStadium-1,086ef240-3466-11ec-b0e3-eb8f26fda802,b0cbde3a-5366-407d-add2-ebb3637b52db,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,126.44462,,,10.25338,,,,16.74308,-35.60645,3.357179,1.735355,-0.885698,-3.883454,-0.716202,1.430691,1.089053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宮田 勝行,21A
7,2021/10/24,02:31.9,2021/10/24,02:31.9,2,5,"Yusuke, Okuno",1000073942,Right,TOK,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,Undefined,1,Top,1,3,1,Fastball,Four-Seam,BallCalled,Walk,Undefined,,Undefined,0,0,,136.07687,-2.501943,-2.731766,2253.130886,199.174766,12:45,1.721471,0.738072,1.89911,-47.0336,52.1396,16.9126,0.546356,0.138461,123.38332,-6.058905,-1.530805,0.44973,,,,,,,,,,,,-10.8729,29.9894,-0.676852,15.24,1.661634,1.703212,-37.348764,-1.774536,-1.963708,8.076239,-4.390367,TOK,HOS_HOS,JinguStadium,TeamExclusive,Team,20211024-JinguStadium-1,1140a300-3466-11ec-b0e3-eb8f26fda802,b0cbde3a-5366-407d-add2-ebb3637b52db,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,134.88093,,,12.69355,,,,16.539831,-37.628787,4.03812,1.720522,-1.622311,-2.195184,-0.737087,1.771298,-0.981854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宮田 勝行,21A
8,2021/10/24,03:06.2,2021/10/24,03:06.2,3,1,"Yusuke, Okuno",1000073942,Right,TOK,"Daiki, Saitoh",1000073731,Right,HOS_HOS,Undefined,1,Top,1,0,0,Cutter,Slider,InPlay,Undefined,LineDrive,LineDrive,Out,1,0,1,125.10334,0.575169,-1.536626,2197.789306,133.201603,10:30,1.720877,0.743273,1.635984,-107.5319,12.8128,-9.4476,0.809997,0.209545,114.29756,-7.18146,-2.197818,0.495414,160.39564,6.276011,-37.403597,2462.344987,,,,41.147354,,-42.347497,1.042635,3.6406,7.0311,-0.700405,15.24,1.727422,0.965651,-34.375233,-0.07826,0.55937,6.594782,-8.726353,TOK,HOS_HOS,JinguStadium,TeamExclusive,Team,20211024-JinguStadium-1,25b2b4e0-3466-11ec-b0e3-eb8f26fda802,b0cbde3a-5366-407d-add2-ebb3637b52db,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,122.44308,1.931244,,10.80577,,,,16.803903,-34.673965,3.297391,1.722015,0.317028,-4.363177,-0.743573,0.940313,0.279685,0.998539,0.919706,-0.256271,88.763198,1.055562,34.42877,-6.064178,,,,,,,0.94594,4.525563,-5.232474,,,,,,,-0.239043,-27.136004,0.735693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宮田 勝行,21A
9,2021/10/24,03:55.7,2021/10/24,03:55.6,4,1,"Yusuke, Okuno",1000073942,Right,TOK,"Yuki, Okada",1000073821,Left,HOS_HOS,Undefined,1,Top,2,0,0,Fastball,Cutter,BallCalled,Undefined,Undefined,,Undefined,0,0,1,135.81742,-0.19439,-1.564418,2334.074228,184.526683,12:15,1.741242,0.768851,1.877915,-48.0113,51.8179,3.8225,1.206375,0.366484,122.51608,-3.843079,-1.293143,0.451215,,,,,,,,,,,,-3.2099,27.8757,-0.7329,15.24,1.733743,1.000674,-37.314746,-0.269722,-0.576983,8.259642,-4.795942,TOK,HOS_HOS,JinguStadium,TeamExclusive,Team,20211024-JinguStadium-1,43259dd0-3466-11ec-b0e3-eb8f26fda802,b0cbde3a-5366-407d-add2-ebb3637b52db,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,134.43703,,,13.30134,,,,16.560331,-37.605866,4.129821,1.740271,-0.100683,-2.397971,-0.768528,1.021011,-0.288491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宮田 勝行,21A
10,2021/10/24,04:13.6,2021/10/24,04:13.6,4,2,"Yusuke, Okuno",1000073942,Right,TOK,"Yuki, Okada",1000073821,Left,HOS_HOS,Undefined,1,Top,2,1,0,Fastball,Cutter,StrikeCalled,Undefined,Undefined,,Undefined,0,0,1,135.41659,-1.966591,-2.353337,2348.995195,187.959643,12:15,1.737804,0.714117,1.865725,-47.0495,54.5777,7.0811,0.712484,0.12144,121.35982,-5.553793,-1.851473,0.45526,,,,,,,,,,,,-5.6715,30.9175,-0.65961,15.24,1.688936,1.491959,-37.134258,-1.413087,-1.000537,8.783006,-4.352309,TOK,HOS_HOS,JinguStadium,TeamExclusive,Team,20211024-JinguStadium-1,4decb5f0-3466-11ec-b0e3-eb8f26fda802,b0cbde3a-5366-407d-add2-ebb3637b52db,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,133.24245,,,14.05677,,,,16.572364,-37.448063,4.391503,1.736645,-1.257585,-2.176155,-0.713555,1.527707,-0.500268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宮田 勝行,21A
