PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,season
1,2021/10/27,00:38.2,2021/10/27,00:38.2,1,1,"Hikaru, Yamashita",1000073788,Left,HOS_HOS,"Kazuya, Maruyama",1000073566,Left,MEI_MEI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,146.99538,-2.077843,2.584047,2151.724383,142.907542,10:45,1.991751,-0.54208,1.760637,-40.1259,46.0347,-32.5686,1.000336,-0.134406,133.36881,-5.095014,0.289986,0.419188,,,,,,,,,,,,18.4119,25.8322,0.479332,15.24,1.936514,-1.644695,-40.346209,-1.60618,3.894363,9.139927,-4.342801,HOS_HOS,MEI_MEI,JinguStadium,TeamExclusive,Team,20211027-JinguStadium-1,723662a0-36da-11ec-ad02-3b1f7c8114fd,5a97555a-a1ba-47fd-bd1e-8bffe4987931,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,144.70827,,,13.62657,,,,16.678353,-40.670744,4.569964,1.990808,-1.451979,-2.171401,0.540185,-1.782974,1.947181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,瀧口 耕介,21A
2,2021/10/27,00:49.8,2021/10/27,00:49.8,1,2,"Hikaru, Yamashita",1000073788,Left,HOS_HOS,"Kazuya, Maruyama",1000073566,Left,MEI_MEI,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,146.1834,-1.807947,3.739013,2140.089847,149.557003,11:00,2.009987,-0.505923,1.809879,-43.052,43.8116,-23.9748,1.067008,0.313041,132.43831,-5.043711,2.048666,0.420895,,,,,,,,,,,,15.0612,24.6774,0.416502,15.24,1.963034,-2.493507,-40.087912,-1.417815,3.140393,9.138523,-4.661213,HOS_HOS,MEI_MEI,JinguStadium,TeamExclusive,Team,20211027-JinguStadium-1,79226370-36da-11ec-ad02-3b1f7c8114fd,5a97555a-a1ba-47fd-bd1e-8bffe4987931,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,144.12155,,,13.74509,,,,16.629004,-40.403311,4.569261,2.009191,-1.256941,-2.330607,0.504432,-2.601892,1.570196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,瀧口 耕介,21A
3,2021/10/27,01:04.2,2021/10/27,01:04.2,1,3,"Hikaru, Yamashita",1000073788,Left,HOS_HOS,"Kazuya, Maruyama",1000073566,Left,MEI_MEI,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,146.98511,-3.485815,5.175164,2168.552042,155.285287,11:15,1.999827,-0.491334,1.796638,-33.8346,53.1175,-22.977,0.669797,0.74737,132.6448,-6.070155,3.56249,0.421109,,,,,,,,,,,,15.748,30.7585,0.365559,15.24,1.91152,-3.513516,-40.154291,-2.55704,3.282351,9.459448,-3.395694,HOS_HOS,MEI_MEI,JinguStadium,TeamExclusive,Team,20211027-JinguStadium-1,81999820-36da-11ec-ad02-3b1f7c8114fd,5a97555a-a1ba-47fd-bd1e-8bffe4987931,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,144.0482,,,14.34031,,,,16.641965,-40.483215,4.729724,1.99838,-2.438965,-1.697847,0.489715,-3.62765,1.641175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,瀧口 耕介,21A
4,2021/10/27,01:20.9,2021/10/27,01:20.9,1,4,"Hikaru, Yamashita",1000073788,Left,HOS_HOS,"Kazuya, Maruyama",1000073566,Left,MEI_MEI,Undefined,1,Top,0,1,2,Splitter,Changeup,FoulBall,Undefined,Undefined,,Undefined,0,0,,138.40494,-3.029205,2.398295,1656.727796,133.242216,10:30,1.989177,-0.413125,1.798142,-67.4056,28.0604,-26.8227,0.456438,-0.002343,128.02411,-7.932727,0.50188,0.441244,,,,,,,,,,,,15.3934,17.2341,0.356215,15.24,1.910143,-1.466068,-38.039491,-2.275449,2.935839,7.102527,-6.519755,HOS_HOS,MEI_MEI,JinguStadium,TeamExclusive,Team,20211027-JinguStadium-1,8b9bd9a0-36da-11ec-ad02-3b1f7c8114fd,5a97555a-a1ba-47fd-bd1e-8bffe4987931,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,137.47488,,,10.38084,,,,16.642046,-38.300379,3.551264,1.989325,-2.035967,-3.259877,0.412046,-1.573907,1.46792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,瀧口 耕介,21A
5,2021/10/27,01:45.4,2021/10/27,01:45.4,1,5,"Hikaru, Yamashita",1000073788,Left,HOS_HOS,"Kazuya, Maruyama",1000073566,Left,MEI_MEI,Undefined,1,Top,0,1,2,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,135.75823,0.849634,3.045861,2243.558013,283.807052,3:30,1.973752,-0.510908,1.689931,-104.0609,-2.2349,22.5136,1.175517,0.582643,123.91315,-6.645891,4.62232,0.455705,,,,,,,,,,,,-9.0227,-0.6838,0.428646,15.24,1.988012,-2.097295,-37.267224,0.104671,-1.628384,7.79301,-9.930062,HOS_HOS,MEI_MEI,JinguStadium,TeamExclusive,Team,20211027-JinguStadium-1,9a43d570-36da-11ec-ad02-3b1f7c8114fd,5a97555a-a1ba-47fd-bd1e-8bffe4987931,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,133.1124,,,11.84508,,,,16.749591,-37.581571,3.896505,1.975711,0.505221,-4.965031,0.51192,-2.031611,-0.814192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,瀧口 耕介,21A
6,2021/10/27,02:01.8,2021/10/27,02:01.8,1,6,"Hikaru, Yamashita",1000073788,Left,HOS_HOS,"Kazuya, Maruyama",1000073566,Left,MEI_MEI,Undefined,1,Top,0,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,148.04453,-0.186242,1.600766,2024.181625,147.072078,11:00,1.970139,-0.524036,1.75614,-47.4512,37.2598,-22.3032,1.442772,-0.29283,134.35618,-3.720904,0.029225,0.415647,,,,,,,,,,,,12.4632,19.9167,0.485215,15.24,1.962011,-1.015246,-40.685425,-0.315519,2.683305,9.213867,-5.518642,HOS_HOS,MEI_MEI,JinguStadium,TeamExclusive,Team,20211027-JinguStadium-1,a3f3b130-36da-11ec-ad02-3b1f7c8114fd,5a97555a-a1ba-47fd-bd1e-8bffe4987931,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,145.94116,,,13.68835,,,,16.682756,-41.010859,4.606933,1.969713,-0.1206,-2.759321,0.522747,-1.11002,1.341652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,瀧口 耕介,21A
7,2021/10/27,02:21.8,2021/10/27,02:21.8,1,7,"Hikaru, Yamashita",1000073788,Left,HOS_HOS,"Kazuya, Maruyama",1000073566,Left,MEI_MEI,Undefined,1,Top,0,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,,Undefined,0,0,,147.18298,-0.744581,1.684299,2095.24133,147.933117,11:00,1.959367,-0.552142,1.821834,-43.8115,41.2548,-24.0549,1.310774,-0.316669,133.55837,-4.035835,-0.017542,0.416518,,,,,,,,,,,,13.5197,22.5407,0.51308,15.24,1.938492,-1.062493,-40.456219,-0.681322,2.87573,9.175521,-5.012102,HOS_HOS,MEI_MEI,JinguStadium,TeamExclusive,Team,20211027-JinguStadium-1,aff56c30-36da-11ec-ad02-3b1f7c8114fd,5a97555a-a1ba-47fd-bd1e-8bffe4987931,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,145.63611,,,13.62462,,,,16.617084,-40.767347,4.58776,1.958713,-0.51137,-2.506051,0.550761,-1.160004,1.437865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,瀧口 耕介,21A
8,2021/10/27,02:59.9,2021/10/27,02:59.9,2,1,"Hikaru, Yamashita",1000073788,Left,HOS_HOS,"Yuki, Suyama",1000073581,Left,MEI_MEI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,1,143.69553,-1.253368,3.129275,2090.081231,149.314481,11:00,1.960258,-0.556059,1.862672,-45.6557,43.5372,-24.0024,1.149881,0.086717,130.13564,-4.693137,1.429636,0.426501,,,,,,,,,,,,14.6879,24.2817,0.484235,15.24,1.928011,-2.034568,-39.448533,-1.016957,2.963616,8.901408,-4.907272,HOS_HOS,MEI_MEI,JinguStadium,TeamExclusive,Team,20211027-JinguStadium-1,c6a4c3e0-36da-11ec-ad02-3b1f7c8114fd,5a97555a-a1ba-47fd-bd1e-8bffe4987931,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,142.22718,,,13.55989,,,,16.576118,-39.748879,4.450704,1.959531,-0.851378,-2.453636,0.554571,-2.134565,1.481808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,瀧口 耕介,21A
9,2021/10/27,03:24.3,2021/10/27,03:24.3,2,2,"Hikaru, Yamashita",1000073788,Left,HOS_HOS,"Yuki, Suyama",1000073581,Left,MEI_MEI,Undefined,1,Top,0,0,1,Fastball,Sinker,FoulBall,Undefined,Undefined,,Undefined,0,0,1,145.25439,-1.747151,3.494105,2089.038268,144.519504,10:45,1.975302,-0.576303,1.807599,-42.0722,45.4534,-30.3208,1.059428,0.109817,132.1788,-4.907764,1.355322,0.422496,,,,,,,,,,,,18.1282,25.4595,0.49323,15.24,1.929852,-2.280252,-39.873898,-1.364979,3.756118,8.698575,-4.531517,HOS_HOS,MEI_MEI,JinguStadium,TeamExclusive,Team,20211027-JinguStadium-1,d51c60e0-36da-11ec-ad02-3b1f7c8114fd,5a97555a-a1ba-47fd-bd1e-8bffe4987931,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,143.57542,,,13.07559,,,,16.63201,-40.17642,4.349288,1.974583,-1.207381,-2.265759,0.574805,-2.410883,1.878059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,瀧口 耕介,21A
10,2021/10/27,04:05.3,2021/10/27,04:05.3,2,3,"Hikaru, Yamashita",1000073788,Left,HOS_HOS,"Yuki, Suyama",1000073581,Left,MEI_MEI,Undefined,1,Top,0,0,2,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,1,131.02357,-0.945197,4.071522,2159.855667,185.265313,12:15,1.961604,-0.551089,1.746791,-87.666,22.4783,1.695,0.815944,0.62352,118.21653,-7.346546,4.190485,0.473953,,,,,,,,,,,,2.5862,13.4804,0.447374,15.24,1.931213,-2.561838,-35.874509,-0.928972,0.427251,7.987854,-7.579617,HOS_HOS,MEI_MEI,JinguStadium,TeamExclusive,Team,20211027-JinguStadium-1,edac1150-36da-11ec-ad02-3b1f7c8114fd,5a97555a-a1ba-47fd-bd1e-8bffe4987931,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,127.98727,,,12.80704,,,,16.69151,-36.196261,3.993927,1.962483,-0.623664,-3.789809,0.550912,-2.579048,0.213626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,瀧口 耕介,21A
