PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,Catcher Pos,Unnamed: 157,season
1.0,2021/4/11,15:55.9,2021/4/11,15:55.9,1,1.0,"Kei, Nishiyama",1000073965,Right,TOK,"Moeto, Suzuki",1000074064,Left,WAS_EDA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,135.41864,-0.046382,-1.65596,2072.530175,184.42256,12:15,1.736848,0.766203,1.949825,-52.069,46.9822,3.3742,1.203151,0.335635,122.76149,-3.986873,-1.415441,0.449453,,,,,,,,,,,,-3.0085,25.4587,-0.730157,15.24,1.732863,1.060739,-37.235092,-0.185496,-0.541079,7.898109,-5.227888,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20210411-JinguStadium-2,fe9af1e0-9a84-11eb-8896-731334d77316,adc9df7d-d1ed-43f8-ad5d-f55132000d6d,v3,,,,"Taiki, Matsuoka",1000073870.0,Right,TOK,134.96397,,,12.65715,,,,16.488602,-37.499004,3.949055,1.736143,-0.010809,-2.613944,-0.765903,1.078819,-0.27054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
2.0,2021/4/11,16:08.6,2021/4/11,16:08.6,1,2.0,"Kei, Nishiyama",1000073965,Right,TOK,"Moeto, Suzuki",1000074064,Left,WAS_EDA,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,136.41889,-2.004733,-2.386283,2065.577503,188.352158,12:15,1.740264,0.740185,1.978638,-54.1499,42.7152,5.8084,0.637113,0.130186,124.70715,-6.062654,-1.971606,0.444466,,,,,,,,,,,,-4.7617,24.7748,-0.689472,15.24,1.694476,1.536994,-37.506866,-1.482101,-0.873869,7.622746,-5.259948,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20210411-JinguStadium-2,0627eda0-9a85-11eb-8896-731334d77316,adc9df7d-d1ed-43f8-ad5d-f55132000d6d,v3,,,,"Taiki, Matsuoka",1000073870.0,Right,TOK,136.47847,,,11.71174,,,,16.460578,-37.754116,3.811373,1.739782,-1.31149,-2.629974,-0.739786,1.565339,-0.436934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
3.0,2021/4/11,16:21.8,2021/4/11,16:21.8,1,3.0,"Kei, Nishiyama",1000073965,Right,TOK,"Moeto, Suzuki",1000074064,Left,WAS_EDA,Undefined,1,Top,0,1,1,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,127.62061,2.391558,-0.478536,2331.306109,94.355797,9:15,1.702341,0.856289,1.705997,-108.9039,5.3842,-23.7941,1.294274,0.48217,116.6103,-5.494737,-2.149872,0.482787,,,,,,,,,,,,11.6171,2.2083,-0.841945,15.24,1.756423,0.406494,-35.07192,1.030736,1.867086,6.569605,-9.451735,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20210411-JinguStadium-2,0e035780-9a85-11eb-8896-731334d77316,adc9df7d-d1ed-43f8-ad5d-f55132000d6d,v3,,,,"Taiki, Matsuoka",1000073870.0,Right,TOK,125.6456,,,11.01031,,,,16.733534,-35.350579,3.284802,1.7042,1.431644,-4.725867,-0.857508,0.327299,0.933543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
4.0,2021/4/11,16:35.4,2021/4/11,16:35.4,1,4.0,"Kei, Nishiyama",1000073965,Right,TOK,"Moeto, Suzuki",1000074064,Left,WAS_EDA,Undefined,1,Top,0,2,1,Fastball,Cutter,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,135.90918,-1.143474,-1.944363,2122.863539,185.899479,12:15,1.724242,0.756398,1.932019,-58.4501,39.3191,3.7454,0.818632,0.248015,124.50262,-5.49868,-1.677631,0.446535,144.46615,-26.936717,32.742717,,,,,2.064541,,19.84004,0.047681,-3.338,22.2485,-0.713487,15.24,1.695529,1.253129,-37.401102,-0.939969,-0.610585,7.417094,-5.737011,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20210411-JinguStadium-2,16205e40-9a85-11eb-8896-731334d77316,adc9df7d-d1ed-43f8-ad5d-f55132000d6d,v3,,,,"Taiki, Matsuoka",1000073870.0,Right,TOK,135.84597,0.917,,11.40655,,,,16.50776,-37.651675,3.708547,1.724011,-0.746155,-2.868505,-0.75617,1.273757,-0.305292,0.507203,0.866797,-0.221938,,0.507203,30.091248,,,,,,,,0.866797,-18.178902,,,,,,,,-0.221938,19.349934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
5.0,2021/4/11,17:04.1,2021/4/11,17:04.1,2,1.0,"Kei, Nishiyama",1000073965,Right,TOK,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Top,1,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,123.11884,0.93836,-1.82759,2440.332973,78.559155,8:30,1.690873,0.818875,1.706144,-124.5935,-1.3735,-26.3892,0.71212,0.034744,112.79209,-8.038554,-3.681913,0.501297,,,,,,,,,,,,11.9662,-0.1483,-0.769061,15.24,1.70574,1.199482,-33.837371,0.072621,1.781572,6.387272,-9.828731,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20210411-JinguStadium-2,2736e910-9a85-11eb-8896-731334d77316,adc9df7d-d1ed-43f8-ad5d-f55132000d6d,v3,,,,"Taiki, Matsuoka",1000073870.0,Right,TOK,121.00608,,,10.32675,,,,16.733679,-34.118159,3.193636,1.693051,0.504696,-4.914366,-0.820069,1.121163,0.890786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
6.0,2021/4/11,17:16.5,2021/4/11,17:16.5,2,2.0,"Kei, Nishiyama",1000073965,Right,TOK,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Top,1,0,1,Fastball,Cutter,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,138.8305,-1.208788,-1.177342,2142.56948,177.770602,12:00,1.739286,0.750533,1.919925,-56.3162,37.751,-1.3513,0.836537,0.40634,126.78562,-5.409475,-1.27356,0.438,,,,,,,,,,,,-0.1558,21.4214,-0.72411,15.24,1.708943,0.791348,-38.196869,-0.996532,-0.029652,7.920597,-5.730233,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20210411-JinguStadium-2,2ea78330-9a85-11eb-8896-731334d77316,adc9df7d-d1ed-43f8-ad5d-f55132000d6d,v3,,,,"Taiki, Matsuoka",1000073870.0,Right,TOK,138.4933,,,12.04488,,,,16.519251,-38.461222,3.960298,1.739011,-0.805283,-2.865117,-0.750538,0.792338,-0.014826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
7.0,2021/4/11,17:29.0,2021/4/11,17:29.0,2,3.0,"Kei, Nishiyama",1000073965,Right,TOK,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Top,1,0,2,ChangeUp,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,126.62133,-2.120332,-1.190553,1497.385666,117.074713,10:00,1.742927,0.708103,1.788208,-106.2387,11.6382,-13.682,0.079807,0.234154,114.02043,-9.849931,-2.159274,0.490308,,,,,,,,,,,,5.96,9.1117,-0.677735,15.24,1.683232,0.782652,-34.727296,-1.677041,0.912922,8.099121,-8.410961,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20210411-JinguStadium-2,3617a820-9a85-11eb-8896-731334d77316,adc9df7d-d1ed-43f8-ad5d-f55132000d6d,v3,,,,"Taiki, Matsuoka",1000073870.0,Right,TOK,123.71818,,,12.6009,,,,16.65095,-35.054814,4.049561,1.744172,-1.336913,-4.20548,-0.708638,0.745734,0.456461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
8.0,2021/4/11,17:48.8,2021/4/11,17:48.8,2,4.0,"Kei, Nishiyama",1000073965,Right,TOK,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Top,1,1,2,Fastball,Cutter,FoulBall,Undefined,Undefined,LineDrive,Undefined,0,0,,139.33608,-1.261022,-1.898662,2165.417038,185.478536,12:15,1.714916,0.757383,1.959218,-52.0119,41.2226,3.6568,0.841277,0.261855,126.85614,-5.170235,-1.637811,0.436057,155.81551,19.51208,-30.998804,3613.142546,27.038537,10.219212,-19.825192,92.880418,,-44.932538,3.435626,-3.3251,23.3959,-0.71636,15.24,1.684661,1.253391,-38.320908,-1.010013,-0.634959,8.190312,-5.339045,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20210411-JinguStadium-2,41e003a0-9a85-11eb-8896-731334d77316,adc9df7d-d1ed-43f8-ad5d-f55132000d6d,v3,,,,"Taiki, Matsuoka",1000073870.0,Right,TOK,139.11036,12.115704,,12.47994,,,,16.479909,-38.585003,4.095156,1.714453,-0.837856,-2.669523,-0.757106,1.273865,-0.317479,0.012848,0.74811,-0.21637,124.843661,0.012811,34.970996,-8.337475,1.932085,-0.371164,0.038568,0.003062,-0.001696,0.000178,0.74813,14.455775,-4.870653,0.184134,-0.028832,0.026625,-0.011998,0.00268,-0.000233,-0.216453,-21.007927,-0.003772,0.493342,-0.181519,0.040629,-0.006146,0.000609,-3.4e-05,,,,,,,,,,,,,,,,,,,,,,,,,,21S
9.0,2021/4/11,18:26.8,2021/4/11,18:26.7,2,5.0,"Kei, Nishiyama",1000073965,Right,TOK,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Top,1,1,2,Fastball,Slider,FoulBall,Undefined,Undefined,FlyBall,Undefined,0,0,,136.49423,0.231794,-1.69399,2125.938492,173.086159,11:45,1.72963,0.749864,1.835497,-70.6249,28.7874,-3.0651,1.088847,0.240853,123.28085,-5.000987,-1.910957,0.450272,118.50983,42.849141,-110.747501,4801.98845,-16.81302,17.51316,-29.007653,55.875265,,-128.341542,3.488209,0.1989,15.6583,-0.709255,15.24,1.730618,1.123827,-37.494938,-0.10801,0.036081,8.383355,-6.966614,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20210411-JinguStadium-2,587f2eb0-9a85-11eb-8896-731334d77316,adc9df7d-d1ed-43f8-ad5d-f55132000d6d,v3,,,,"Taiki, Matsuoka",1000073870.0,Right,TOK,134.71866,17.529482,,13.21338,,,,16.603139,-37.798488,4.191678,1.729962,0.144242,-3.483307,-0.749923,1.122521,0.01804,-0.142311,0.987395,-0.203931,43.305005,-0.142261,-8.552718,-1.719892,0.665771,-0.097326,-0.020911,0.016428,-0.003549,0.000269,0.98756,22.380929,-8.97675,1.139981,-0.127075,-0.038927,0.023398,-0.004497,0.000311,-0.204348,-22.556898,3.510821,-0.169259,-0.118681,0.07506,-0.014809,0.000423,0.000108,,,,,,,,,,,,,,,,,,,,,,,,,,21S
10.0,2021/4/11,18:46.3,2021/4/11,18:46.3,2,6.0,"Kei, Nishiyama",1000073965,Right,TOK,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Top,1,1,2,Cutter,Slider,InPlay,Undefined,FlyBall,,Out,1,0,,132.37345,-0.852878,-2.934813,2379.979012,149.759535,11:00,1.696582,0.806928,1.736393,-90.919,15.0658,-6.8266,0.54481,-0.095655,121.47137,-7.433411,-3.414782,0.464918,128.73681,45.34357,20.952996,4578.073188,31.374068,28.497411,11.823276,,,,,1.3724,9.2438,-0.731255,15.24,1.667917,1.89648,-36.365641,-0.90161,0.236907,7.130217,-8.21101,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20210411-JinguStadium-2,64233950-9a85-11eb-8896-731334d77316,adc9df7d-d1ed-43f8-ad5d-f55132000d6d,v3,,,,"Taiki, Matsuoka",1000073870.0,Right,TOK,130.47459,29.955743,,10.90208,,,,16.703447,-36.651456,3.565109,1.697461,-0.572471,-4.105505,-0.807085,1.886984,0.118453,0.499476,0.469943,0.082211,180.576878,0.50064,23.445458,-6.110638,1.679108,-0.267473,0.005036,0.007186,-0.001239,6.6e-05,0.468419,25.466387,-6.32334,0.451695,-0.061365,0.00565,0.001577,-0.000512,3.6e-05,0.08279,8.975232,-2.275207,0.551261,-0.062082,-0.009601,0.004742,-0.000657,3.2e-05,,,,,,,,,,,,,,,,,,,,,,,,,,21S
