PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,Catcher Pos,Unnamed: 157,season
1.0,2021/4/11,00:33.6,2021/4/11,00:33.6,1,1.0,"Shota, Masui",1000073328,Left,KEI_KEI,"Yuta, Kaizaki",1000073730,Left,HOS_HOS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,,140.94913,-1.708173,2.250679,2195.643381,165.192903,11:30,1.764376,-0.397042,1.829156,-37.3028,55.4406,-13.8255,0.908418,0.100657,128.03378,-4.551819,1.272942,0.434907,,,,,,,,,,,,8.5997,30.4089,0.34385,15.24,1.720739,-1.448132,-38.701339,-1.259115,1.677402,8.245391,-3.875281,KEI_KEI,HOS_HOS,JinguStadium,Spring,Team,20210411-JinguStadium-1,b2eca970-9a69-11eb-81f6-dfe88c4afd31,9abb8498-efba-423b-8d9f-ea3a6eb0f3dd,v3,,,,"Shogo, Fukui",1000073400.0,Right,KEI_KEI,139.47812,,,12.91535,,,,16.608665,-38.991845,4.122696,1.762695,-1.122579,-1.93764,0.395912,-1.507231,0.838701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
2.0,2021/4/11,00:52.2,2021/4/11,00:52.2,1,2.0,"Shota, Masui",1000073328,Left,KEI_KEI,"Yuta, Kaizaki",1000073730,Left,HOS_HOS,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,141.91721,-2.280375,3.440814,2096.259046,164.326557,11:30,1.76896,-0.392354,1.784874,-42.345,48.9355,-12.9418,0.698226,0.453799,130.33445,-5.438365,2.529598,0.431463,,,,,,,,,,,,8.9046,27.4023,0.308042,15.24,1.709443,-2.277908,-38.96721,-1.700445,1.777979,7.630526,-4.335274,KEI_KEI,HOS_HOS,JinguStadium,Spring,Team,20210411-JinguStadium-1,be067570-9a69-11eb-81f6-dfe88c4afd31,9abb8498-efba-423b-8d9f-ea3a6eb0f3dd,v3,,,,"Shogo, Fukui",1000073400.0,Right,KEI_KEI,140.59139,,,11.58276,,,,16.654691,-39.243256,3.815263,1.768122,-1.54361,-2.167637,0.391612,-2.342229,0.888989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
3.0,2021/4/11,01:06.9,2021/4/11,01:06.9,1,3.0,"Shota, Masui",1000073328,Left,KEI_KEI,"Yuta, Kaizaki",1000073730,Left,HOS_HOS,Undefined,1,Top,0,0,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,,142.2601,-1.87729,3.369722,2100.567883,158.7511,11:15,1.77698,-0.43509,1.802469,-42.6002,48.0521,-17.5939,0.818818,0.343301,130.47573,-5.061581,2.129286,0.429976,,,,,,,,,,,,11.2655,26.7323,0.353864,15.24,1.728088,-2.21246,-39.074606,-1.428615,2.259763,7.740357,-4.444356,KEI_KEI,HOS_HOS,JinguStadium,Spring,Team,20210411-JinguStadium-1,c6cd9ee0-9a69-11eb-81f6-dfe88c4afd31,9abb8498-efba-423b-8d9f-ea3a6eb0f3dd,v3,,,,"Shogo, Fukui",1000073400.0,Right,KEI_KEI,141.07772,,,11.78437,,,,16.63707,-39.350381,3.870178,1.776166,-1.270271,-2.222178,0.434124,-2.292971,1.129881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.14076,2.218238,1.334938,0.883301,-0.359,0.747454,-0.372285,-0.080378,1.531431,-1.652274,19.66569,1.846913,-18.366276,-0.058783,23.831559,-1.685885,1.547568,3.993818,-4.127129,-1.683283,-20.736992,2.074863,,,,21S
4.0,2021/4/11,01:36.0,2021/4/11,01:36.0,2,1.0,"Shota, Masui",1000073328,Left,KEI_KEI,"Yuki, Okada",1000073821,Left,HOS_HOS,Undefined,1,Top,1,0,0,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,129.72091,-0.298021,2.938584,2216.309002,270.295563,3:00,1.751727,-0.355849,1.72582,-107.4103,3.5305,15.0772,0.592809,0.630856,118.77543,-8.04334,3.998164,0.475664,,,,,,,,,,,,-5.4116,3.2053,0.27893,15.24,1.735984,-1.900526,-35.621495,-0.61702,-0.892774,7.087335,-9.277858,KEI_KEI,HOS_HOS,JinguStadium,Spring,Team,20210411-JinguStadium-1,d8209670-9a69-11eb-81f6-dfe88c4afd31,9abb8498-efba-423b-8d9f-ea3a6eb0f3dd,v3,,,,"Shogo, Fukui",1000073400.0,Right,KEI_KEI,127.52698,,,10.94549,,,,16.713594,-35.913488,3.543667,1.753531,-0.234779,-4.638929,0.356472,-1.863744,-0.446387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
5.0,2021/4/11,01:49.1,2021/4/11,01:49.1,2,2.0,"Shota, Masui",1000073328,Left,KEI_KEI,"Yuki, Okada",1000073821,Left,HOS_HOS,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,142.67261,-1.24268,2.724905,2171.36775,154.078044,11:15,1.758371,-0.396872,1.799356,-41.1766,49.4615,-22.5884,0.994555,0.148797,129.86219,-4.347019,1.130968,0.429942,,,,,,,,,,,,13.4495,27.0458,0.331598,15.24,1.725052,-1.748726,-39.190236,-0.986546,2.694578,8.328718,-4.388107,KEI_KEI,HOS_HOS,JinguStadium,Spring,Team,20210411-JinguStadium-1,dff151f0-9a69-11eb-81f6-dfe88c4afd31,9abb8498-efba-423b-8d9f-ea3a6eb0f3dd,v3,,,,"Shogo, Fukui",1000073400.0,Right,KEI_KEI,141.08876,,,12.81042,,,,16.639647,-39.486569,4.164359,1.757376,-0.830419,-2.194053,0.395522,-1.844598,1.347289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
6.0,2021/4/11,02:05.5,2021/4/11,02:05.5,2,3.0,"Shota, Masui",1000073328,Left,KEI_KEI,"Yuki, Okada",1000073821,Left,HOS_HOS,Undefined,1,Top,1,1,1,Curveball,Curveball,InPlay,Undefined,FlyBall,FlyBall,Out,1,0,,119.53777,2.198231,1.684496,2170.33873,333.080514,5:00,1.764516,-0.327812,1.692078,-157.5904,-26.8379,15.7112,0.815263,0.309195,109.82099,-9.091443,2.788335,0.516392,147.29829,35.009604,-12.317154,3115.213994,32.199865,21.579049,-9.343203,104.337923,,-23.731125,5.283778,-6.7295,-14.1112,0.282106,15.24,1.809866,-1.034922,-32.861448,0.655227,-0.946158,5.956618,-11.790652,KEI_KEI,HOS_HOS,JinguStadium,Spring,Team,20210411-JinguStadium-1,e9c09c90-9a69-11eb-81f6-dfe88c4afd31,9abb8498-efba-423b-8d9f-ea3a6eb0f3dd,v3,,,,"Shogo, Fukui",1000073400.0,Right,KEI_KEI,117.46883,29.051183,,9.71678,,,,16.74883,-33.133816,2.978309,1.767579,1.194359,-5.895326,0.328439,-0.991659,-0.473079,0.485151,0.759084,-0.296224,156.324336,0.485914,32.727192,-6.872028,1.652442,-0.326313,0.055668,-0.00818,0.00086,-4.2e-05,0.759227,23.469544,-5.383466,0.203264,0.048067,-0.035965,0.009817,-0.001264,6.2e-05,-0.296174,-7.150108,-0.43848,0.133585,-0.029938,0.004785,-0.000471,2.4e-05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,21S
7.0,2021/4/11,02:42.2,2021/4/11,02:42.2,3,1.0,"Shota, Masui",1000073328,Left,KEI_KEI,"Daiki, Saitoh",1000073731,Right,HOS_HOS,Undefined,1,Top,2,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,GroundBall,Error,0,0,,140.25123,-1.105041,1.638603,2132.14599,158.363297,11:15,1.760878,-0.413829,1.823352,-44.1801,48.6292,-18.1535,1.006719,-0.132305,128.5187,-4.417017,0.354263,0.435061,159.93405,1.071541,-8.102126,1359.888581,,,,18.231683,,-7.912886,0.419361,10.5253,26.6902,0.375626,15.24,1.731354,-1.017373,-38.594581,-0.894243,2.055865,7.690596,-4.593352,KEI_KEI,HOS_HOS,JinguStadium,Spring,Team,20210411-JinguStadium-1,ff926580-9a69-11eb-81f6-dfe88c4afd31,9abb8498-efba-423b-8d9f-ea3a6eb0f3dd,v3,,,,"Shogo, Fukui",1000073400.0,Right,KEI_KEI,139.42869,1.000337,,11.73253,,,,16.616639,-38.867931,3.845298,1.760237,-0.73098,-2.296676,0.413085,-1.090445,1.027932,0.617696,0.978905,0.144916,19.854373,0.619732,43.910185,-5.560083,,,,,,,0.982457,0.717466,-7.316599,,,,,,,0.14544,-6.277034,-0.133617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
8.0,2021/4/11,03:32.8,2021/4/11,03:32.8,4,1.0,"Shota, Masui",1000073328,Left,KEI_KEI,"Tomoya, Koike",1000073746,Right,HOS_HOS,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,1,139.84317,-2.713294,3.846183,2198.620781,153.788482,11:15,1.781393,-0.362218,1.821054,-45.7204,49.0906,-22.5466,0.555225,0.500715,127.02289,-6.145095,2.255658,0.439728,,,,,,,,,,,,14.4545,28.2098,0.270841,15.24,1.712754,-2.465404,-38.329584,-1.971193,2.758182,8.278863,-4.423694,KEI_KEI,HOS_HOS,JinguStadium,Spring,Team,20210411-JinguStadium-1,1dbb09e0-9a6a-11eb-81f6-dfe88c4afd31,9abb8498-efba-423b-8d9f-ea3a6eb0f3dd,v3,,,,"Shogo, Fukui",1000073400.0,Right,KEI_KEI,137.94894,,,12.82027,,,,16.618082,-38.626091,4.139431,1.780515,-1.812758,-2.211847,0.360908,-2.564189,1.379091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
9.0,2021/4/11,03:50.6,2021/4/11,03:50.6,4,2.0,"Shota, Masui",1000073328,Left,KEI_KEI,"Tomoya, Koike",1000073746,Right,HOS_HOS,Undefined,1,Top,2,1,0,ChangeUp,Changeup,InPlay,Undefined,LineDrive,LineDrive,Single,0,0,1,130.80025,-1.702581,2.714818,1500.719286,117.923058,10:00,1.823508,-0.322559,1.773347,-80.7254,27.6036,-45.2669,0.533077,-0.005301,119.55504,-7.59905,-0.480135,0.470032,126.71224,16.534131,-5.569871,786.782429,33.473286,5.196906,-1.913328,57.915565,,-1.503298,2.074057,25.2294,16.4189,0.258114,15.24,1.77526,-1.494981,-35.930964,-1.369623,4.239431,7.14227,-7.047701,KEI_KEI,HOS_HOS,JinguStadium,Spring,Team,20210411-JinguStadium-1,285dd120-9a6a-11eb-81f6-dfe88c4afd31,9abb8498-efba-423b-8d9f-ea3a6eb0f3dd,v3,,,,"Shogo, Fukui",1000073400.0,Right,KEI_KEI,129.05512,5.255955,,11.24522,,,,16.666591,-36.213428,3.571135,1.823914,-1.090899,-3.523851,0.320553,-1.662643,2.119715,0.648791,0.50135,0.015554,251.924895,0.648791,33.583111,-3.948922,0.734177,-0.147854,0.027817,-0.005098,0.000749,-5.6e-05,0.50135,10.016826,-5.6718,0.489327,-0.098708,0.020362,-0.003327,0.000482,-4e-05,0.015554,-3.275023,1.641059,-0.288965,0.057438,-0.010475,0.001951,-0.000284,2.1e-05,,,,,,,,,,,,,,,,,,,,,,,,,,21S
10.0,2021/4/11,04:47.1,2021/4/11,04:47.1,5,1.0,"Shota, Masui",1000073328,Left,KEI_KEI,"Katsuki, Gotoh",1000073837,Right,HOS_HOS,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,"1,2",144.96845,-2.647571,2.083084,2291.770428,153.762452,11:15,1.833359,-0.372552,1.827177,-36.2104,51.1664,-23.8105,0.722422,-0.022032,132.33761,-5.387975,0.398499,0.422136,,,,,,,,,,,,13.673,29.0064,0.324068,15.24,1.767308,-1.326925,-39.825174,-1.957188,2.833341,8.476188,-3.795912,KEI_KEI,HOS_HOS,JinguStadium,Spring,Team,20210411-JinguStadium-1,4a0710c0-9a6a-11eb-81f6-dfe88c4afd31,9abb8498-efba-423b-8d9f-ea3a6eb0f3dd,v3,,,,"Shogo, Fukui",1000073400.0,Right,KEI_KEI,143.69761,,,12.63084,,,,16.612191,-40.116161,4.238094,1.832262,-1.826875,-1.897956,0.371291,-1.424193,1.41667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
