PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,Catcher Pos,Unnamed: 157,season
1.0,2021/4/17,00:57.8,2021/4/17,00:57.9,1,1.0,"Shunsuke, Izawa",1000073948,Right,TOK,"Yuki, Suyama",1000073581,Left,MEI_MEI,Undefined,1,Top,0,0,0,Fastball,Cutter,InPlay,Undefined,GroundBall,GroundBall,Error,0,0,,133.98058,-1.862075,-1.013949,2129.493965,185.544327,12:15,1.863742,0.511869,1.858232,-56.7532,44.6253,4.0239,0.77101,0.266238,122.99375,-6.075807,-0.728455,0.454703,151.89327,-5.886356,-15.607938,,,,,6.620823,,-16.545227,0.151101,-2.7884,25.3227,-0.488338,15.24,1.816439,0.634205,-36.863131,-1.389105,-0.496476,7.071042,-5.297987,TOK,MEI_MEI,JinguStadium,TeamExclusive,Team,20210417-JinguStadium-1,bca6f400-9f20-11eb-85ba-4b1cfce177a4,507f0029-a077-4162-9d7e-95bd5595ced3,v3,,,,"Taiki, Matsuoka",1000073870.0,Right,TOK,133.40579,0.735531,,10.98684,,,,16.581462,-37.119557,3.535521,1.86333,-1.196977,-2.648994,-0.511663,0.65221,-0.248238,0.238808,0.653828,-0.179162,180.0,0.238808,40.422471,,,,,,,,0.653828,-4.327087,,,,,,,,-0.179162,-11.292194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
2.0,2021/4/17,01:46.5,2021/4/17,01:46.5,2,1.0,"Shunsuke, Izawa",1000073948,Right,TOK,"Kaito, Muramatsu",1000073668,Left,MEI_MEI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,1,0,1,132.44155,-1.992418,-0.433078,2310.58747,197.427512,12:30,1.868868,0.487916,1.870264,-53.0511,50.6708,14.8699,0.776856,0.514616,121.39732,-5.955707,0.622861,0.459928,,,,,,,,,,,,-7.9677,28.5783,-0.478734,15.24,1.81919,0.207757,-36.433502,-1.434779,-1.384398,6.971765,-4.841119,TOK,MEI_MEI,JinguStadium,TeamExclusive,Team,20210417-JinguStadium-1,d9a6cfd0-9f20-11eb-85ba-4b1cfce177a4,507f0029-a077-4162-9d7e-95bd5595ced3,v3,,,,"Taiki, Matsuoka",1000073870.0,Right,TOK,131.89019,,,11.04423,,,,16.569022,-36.686937,3.485882,1.868148,-1.258797,-2.42056,-0.487201,0.258082,-0.692199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.30955,1.921773,0.725606,1.196167,-0.204172,0.709485,-0.521761,0.041601,1.498118,-0.596338,38.525217,1.338062,-0.154946,0.099061,35.831374,-3.087368,1.517431,4.634104,-3.995005,-0.641506,-1.414224,1.513458,,,,21S
3.0,2021/4/17,02:11.4,2021/4/17,02:11.4,2,2.0,"Shunsuke, Izawa",1000073948,Right,TOK,"Kaito, Muramatsu",1000073668,Left,MEI_MEI,Undefined,1,Top,1,1,0,Cutter,Changeup,FoulBall,Undefined,Undefined,,Undefined,0,0,,127.55767,-1.052786,-1.209815,2262.707003,184.209744,12:15,1.880889,0.481024,1.755616,-78.7735,33.3367,2.2234,0.794379,0.159984,118.43032,-6.779707,-1.05303,0.478164,116.9377,60.820206,-58.960722,5088.263863,10.26113,27.153567,-31.919208,,,,,-1.8849,18.6345,-0.450644,15.24,1.848509,0.731934,-35.125828,-0.933704,-0.308034,5.754763,-6.761428,TOK,MEI_MEI,JinguStadium,TeamExclusive,Team,20210417-JinguStadium-1,e87d2ea0-9f20-11eb-85ba-4b1cfce177a4,507f0029-a077-4162-9d7e-95bd5595ced3,v3,,,,"Taiki, Matsuoka",1000073870.0,Right,TOK,126.86014,28.832339,,9.12735,,,,16.684475,-35.361688,2.877381,1.881098,-0.656585,-3.380714,-0.480901,0.744559,-0.154017,0.934511,0.465301,-0.054502,151.034352,0.936329,8.117275,-3.782029,1.033777,0.031346,-0.111728,0.028196,-0.0016,-0.000137,0.464166,28.398084,-8.937052,1.618122,-0.83935,0.450699,-0.153216,0.027218,-0.001933,-0.053716,-13.594218,1.201122,-0.468847,0.394408,-0.241147,0.08173,-0.014009,0.000949,,,,,,,,,,,,,,,,,,,,,,,,,,21S
4.0,2021/4/17,02:34.2,2021/4/17,02:34.2,2,3.0,"Shunsuke, Izawa",1000073948,Right,TOK,"Kaito, Muramatsu",1000073668,Left,MEI_MEI,Undefined,1,Top,1,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,120.96516,-0.434179,0.896234,2264.3342,74.361805,8:30,1.80745,0.539975,1.655235,-135.8982,-7.3978,-41.5271,0.324514,0.380555,111.15196,-10.15369,-2.022904,0.511926,,,,,,,,,,,,21.571,-2.0827,-0.560641,15.24,1.784465,-0.332082,-33.257773,-0.78502,3.096686,6.271883,-10.105645,TOK,MEI_MEI,JinguStadium,TeamExclusive,Team,20210417-JinguStadium-1,f6139360-9f20-11eb-85ba-4b1cfce177a4,507f0029-a077-4162-9d7e-95bd5595ced3,v3,,,,"Taiki, Matsuoka",1000073870.0,Right,TOK,118.49373,,,9.8132,,,,16.784989,-33.547868,3.135941,1.809965,-0.317601,-5.052822,-0.541968,-0.475314,1.548343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
5.0,2021/4/17,02:49.0,2021/4/17,02:49.0,2,4.0,"Shunsuke, Izawa",1000073948,Right,TOK,"Kaito, Muramatsu",1000073668,Left,MEI_MEI,Undefined,1,Top,1,2,1,Cutter,Slider,InPlay,Undefined,LineDrive,LineDrive,Out,1,0,,127.95695,-1.173083,-0.398102,2212.199077,170.496223,11:45,1.863053,0.481855,1.784153,-76.0253,35.5911,-5.4033,0.770528,0.315077,118.13827,-6.730524,-0.779936,0.47711,147.64106,14.827073,-1.221514,1448.531945,33.522084,7.163558,-0.624496,88.702405,,0.051271,2.970275,2.5208,20.0125,-0.471611,15.24,1.82866,0.268622,-35.225434,-0.992601,0.411709,6.174386,-6.538097,TOK,MEI_MEI,JinguStadium,TeamExclusive,Team,20210417-JinguStadium-1,fee56b30-9f20-11eb-85ba-4b1cfce177a4,507f0029-a077-4162-9d7e-95bd5595ced3,v3,,,,"Taiki, Matsuoka",1000073870.0,Right,TOK,127.14045,7.985608,,9.81867,,,,16.655775,-35.472726,3.087193,1.863171,-0.730742,-3.269048,-0.48204,0.252132,0.205854,0.502903,0.73135,-0.307834,195.183884,0.502923,39.635885,-5.148037,0.942535,-0.148337,0.001012,0.009644,-0.002961,0.000317,0.731324,10.496108,-3.941898,0.120618,-0.037513,0.034673,-0.016341,0.004088,-0.000413,-0.307832,-0.845274,0.744954,-0.280555,0.084986,-0.022629,0.005407,-0.000908,7.1e-05,,,,,,,,,,,,,,,,,,,,,,,,,,21S
6.0,2021/4/17,03:20.0,2021/4/17,03:20.0,3,1.0,"Shunsuke, Izawa",1000073948,Right,TOK,"Kazuya, Maruyama",1000073566,Left,MEI_MEI,Undefined,1,Top,2,0,0,Curveball,Curveball,FoulBall,Undefined,Undefined,FlyBall,Undefined,0,0,,107.74967,3.828173,-0.180588,2045.558932,17.411697,6:30,1.873006,0.389046,1.526971,-189.4027,-25.684,-9.6073,1.08195,0.241019,99.40564,-9.605152,-0.848786,0.577835,108.2092,33.859973,-69.498984,4578.907067,9.496682,12.237735,-32.154909,60.435917,,-76.929862,3.036266,4.6493,-14.0572,-0.382773,15.24,1.966455,0.133513,-29.584424,1.275232,0.533061,4.563639,-11.418363,TOK,MEI_MEI,JinguStadium,TeamExclusive,Team,20210417-JinguStadium-1,11612b50-9f21-11eb-85ba-4b1cfce177a4,507f0029-a077-4162-9d7e-95bd5595ced3,v3,,,,"Taiki, Matsuoka",1000073870.0,Right,TOK,104.97805,12.292067,,8.34402,,,,16.91424,-29.841572,2.28182,1.876473,1.918623,-5.709181,-0.38945,0.103476,0.26653,0.300374,0.970292,-0.197654,120.481368,0.300388,8.741097,-2.385035,0.499205,-0.082973,0.00465,0.003048,-0.001065,0.000116,0.970279,16.747882,-7.009375,0.7762,-0.181912,0.046002,-0.011948,0.002277,-0.000193,-0.197676,-23.378548,2.176599,-0.431377,0.059184,0.005887,-0.006843,0.001895,-0.00019,,,,,,,,,,,,,,,,,,,,,,,,,,21S
7.0,2021/4/17,03:39.0,2021/4/17,03:39.0,3,2.0,"Shunsuke, Izawa",1000073948,Right,TOK,"Kazuya, Maruyama",1000073566,Left,MEI_MEI,Undefined,1,Top,2,0,1,Cutter,Slider,FoulBall,Undefined,Undefined,LineDrive,Undefined,0,0,,130.03562,-0.880061,-1.264346,2355.732069,173.506208,11:45,1.887695,0.473851,1.724567,-77.5455,31.1769,-3.1891,0.862011,0.082523,120.20412,-6.51694,-1.488773,0.470884,145.27339,9.527825,-49.464097,3503.501656,19.932919,2.566769,-26.959142,49.321014,,-55.697748,1.470585,0.8129,17.3819,-0.440989,15.24,1.859082,0.804634,-35.78915,-0.843964,0.137348,6.236684,-6.869883,TOK,MEI_MEI,JinguStadium,TeamExclusive,Team,20210417-JinguStadium-1,1caa6bc0-9f21-11eb-85ba-4b1cfce177a4,507f0029-a077-4162-9d7e-95bd5595ced3,v3,,,,"Taiki, Matsuoka",1000073870.0,Right,TOK,128.82148,2.938549,,9.8315,,,,16.715344,-36.045329,3.118342,1.887954,-0.561775,-3.434941,-0.473924,0.798992,0.068674,0.38935,0.799285,-0.030818,100.467548,0.38935,25.865083,-6.692636,1.662963,-0.404869,0.086289,-0.019133,0.003833,-0.000431,0.799285,6.679611,-5.49576,0.470139,-0.060022,0.006878,0.000437,-0.000245,2.1e-05,-0.030818,-30.245721,1.67491,0.180438,-0.148292,0.053895,-0.013369,0.002189,-0.00017,,,,,,,,,,,,,,,,,,,,,,,,,,21S
8.0,2021/4/17,04:04.4,2021/4/17,04:04.4,3,3.0,"Shunsuke, Izawa",1000073948,Right,TOK,"Kazuya, Maruyama",1000073566,Left,MEI_MEI,Undefined,1,Top,2,0,2,Cutter,Slider,FoulBall,Undefined,Undefined,GroundBall,Undefined,0,0,,130.71998,-0.713087,-0.580357,2383.006416,151.562184,11:00,1.858112,0.454981,1.755667,-91.6746,15.3385,-6.6569,0.739044,0.223761,121.14611,-7.342945,-1.050188,0.467168,150.2835,3.629943,-48.685158,3599.587322,,,,23.413562,,-50.66638,0.610049,3.0447,9.1791,-0.439828,15.24,1.833353,0.395033,-36.000966,-0.804226,0.520813,6.274534,-8.236505,TOK,MEI_MEI,JinguStadium,TeamExclusive,Team,20210417-JinguStadium-1,2bd468d0-9f21-11eb-85ba-4b1cfce177a4,507f0029-a077-4162-9d7e-95bd5595ced3,v3,,,,"Taiki, Matsuoka",1000073870.0,Right,TOK,129.84623,0.923532,,9.57386,,,,16.684565,-36.251862,3.137267,1.858926,-0.474878,-4.118252,-0.455207,0.374208,0.260406,0.270783,0.652078,-0.125399,76.615603,0.283188,27.22896,-5.549512,,,,,,,0.660359,2.458983,-5.825808,,,,,,,-0.127854,-31.23835,2.895281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
9.0,2021/4/17,04:29.9,2021/4/17,04:29.9,3,4.0,"Shunsuke, Izawa",1000073948,Right,TOK,"Kazuya, Maruyama",1000073566,Left,MEI_MEI,Undefined,1,Top,2,0,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,,Undefined,0,0,,139.82557,-2.637188,-0.785777,2300.290613,188.870122,12:15,1.839804,0.447499,1.86825,-37.6051,56.7348,8.3253,0.720176,0.309358,126.43146,-5.517761,-0.194876,0.438634,,,,,,,,,,,,-4.8899,32.291,-0.429688,15.24,1.775952,0.485492,-38.393659,-1.872491,-0.931381,8.679447,-3.656228,TOK,MEI_MEI,JinguStadium,TeamExclusive,Team,20210417-JinguStadium-1,3b101920-9f21-11eb-85ba-4b1cfce177a4,507f0029-a077-4162-9d7e-95bd5595ced3,v3,,,,"Taiki, Matsuoka",1000073870.0,Right,TOK,138.29293,,,13.3941,,,,16.570342,-38.693234,4.339723,1.838404,-1.746294,-1.828114,-0.446999,0.517639,-0.465691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.27529,,,,,,,-0.103009,1.212246,-0.649001,,,,-0.107917,16.021732,-0.567329,1.235215,5.781784,-5.078316,-0.661246,-10.434921,1.124143,,,,21S
10.0,2021/4/17,07:00.5,2021/4/17,07:00.5,1,1.0,"Yu, Takeda",1000073601,Right,MEI_MEI,"Reo, Akutsu",1000101208,Left,TOK,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,FlyBall,Undefined,0,0,,143.61488,-2.025861,-2.923233,2237.042588,205.648343,12:45,1.849138,0.741164,1.951458,-39.6743,48.354,21.7916,0.883609,0.139043,130.57025,-5.045708,-1.371252,0.423707,113.22845,46.820926,-56.478858,5007.952248,14.469887,21.103996,-30.244762,63.33669,,-70.250365,4.052192,-13.5354,27.6168,-0.678406,15.24,1.802575,1.91069,-39.456737,-1.514994,-2.740012,8.68706,-4.216085,TOK,MEI_MEI,JinguStadium,TeamExclusive,Team,20210417-JinguStadium-1,94cb7130-9f21-11eb-85ba-4b1cfce177a4,507f0029-a077-4162-9d7e-95bd5595ced3,v3,,,,"Rikuto, Ueta",1000073554.0,Right,MEI_MEI,143.16495,21.105037,,13.04462,,,,16.487888,-39.730531,4.34353,1.84823,-1.382113,-2.108042,-0.739987,1.997048,-1.370006,0.05874,0.75003,-0.091394,136.243753,0.058486,11.892177,-3.333199,0.82079,-0.219483,0.064648,-0.014545,0.001847,-9.5e-05,0.750195,22.931923,-7.720024,0.961745,-0.205899,0.043501,-0.009865,0.001629,-0.000116,-0.091272,-17.945975,1.612951,-0.394577,0.108895,-0.034191,0.008218,-0.0011,5.9e-05,,,,,,,,,,,,,,,,,,,,,,,,,,21S
