PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,Catcher Pos,Unnamed: 157,season
1,2021/4/18,06:33.5,2021/4/18,06:33.5,1,1,"Shumpei, Isomura",1000073597,Left,MEI_MEI,"Reo, Akutsu",1000101208,Left,TOK,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,138.89633,-1.482267,3.589369,2229.653054,172.811504,11:45,1.917492,-0.556899,1.744075,-30.4023,67.0067,-8.0083,1.191731,0.383375,125.19495,-3.853267,3.027443,0.445712,,,,,,,,,,,,6.8861,36.0724,0.466012,15.24,1.877452,-2.345862,-38.061741,-1.058306,1.288917,8.534769,-3.054724,MEI_MEI,TOK,JinguStadium,Undefined,Team,20210418-JinguStadium-2,d708db40-a003-11eb-94eb-3d772dcb7f2f,625241d2-e83e-4433-8a7c-171bc482cb4a,v3,,,,"Rikuto, Ueta",1000073554,Right,MEI_MEI,136.09683,,,13.70138,,,,16.694217,-38.386442,4.267384,1.915504,-0.942091,-1.527362,0.556192,-2.394898,0.644458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
2,2021/4/18,06:46.1,2021/4/18,06:46.1,1,2,"Shumpei, Isomura",1000073597,Left,MEI_MEI,"Reo, Akutsu",1000101208,Left,TOK,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,139.82693,-3.338217,2.858974,2234.191819,170.912249,11:45,1.901726,-0.584166,1.72577,-31.4511,63.8263,-9.7067,0.63617,0.132018,127.74775,-5.737695,2.177622,0.440808,,,,,,,,,,,,6.9195,35.6304,0.511175,15.24,1.813163,-1.865218,-38.346144,-2.328372,1.331208,7.756849,-2.951944,MEI_MEI,TOK,JinguStadium,Undefined,Team,20210418-JinguStadium-2,de91df60-a003-11eb-94eb-3d772dcb7f2f,625241d2-e83e-4433-8a7c-171bc482cb4a,v3,,,,"Rikuto, Ueta",1000073554,Right,MEI_MEI,137.61087,,,12.07918,,,,16.713455,-38.643052,3.878424,1.900123,-2.215381,-1.475972,0.583545,-1.916173,0.665604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
3,2021/4/18,06:59.8,2021/4/18,06:59.8,1,3,"Shumpei, Isomura",1000073597,Left,MEI_MEI,"Reo, Akutsu",1000101208,Left,TOK,Undefined,1,Top,0,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,141.34,-2.012589,3.135595,2174.351093,165.181668,11:30,1.92581,-0.535604,1.739052,-35.9094,57.4376,-14.361,0.994073,0.212145,128.47497,-4.74034,2.126925,0.43632,,,,,,,,,,,,9.5617,31.5268,0.456514,15.24,1.871673,-2.049275,-38.775656,-1.475056,1.872523,8.265214,-3.632589,MEI_MEI,TOK,JinguStadium,Undefined,Team,20210418-JinguStadium-2,e6b88310-a003-11eb-94eb-3d772dcb7f2f,625241d2-e83e-4433-8a7c-171bc482cb4a,v3,,,,"Rikuto, Ueta",1000073554,Right,MEI_MEI,139.02652,,,12.86504,,,,16.699872,-39.085595,4.132607,1.924433,-1.338836,-1.816294,0.534677,-2.119493,0.936261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
4,2021/4/18,07:16.0,2021/4/18,07:16.0,1,4,"Shumpei, Isomura",1000073597,Left,MEI_MEI,"Reo, Akutsu",1000101208,Left,TOK,Undefined,1,Top,0,1,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,FlyBall,Undefined,0,0,,141.40655,-2.475799,3.532478,2305.465283,168.429569,11:30,1.925845,-0.583987,1.75629,-26.2966,68.7561,-13.2943,0.958752,0.286459,125.98757,-4.578662,2.598709,0.440288,102.28445,37.396853,-146.905103,4276.878286,-30.202068,9.956283,-14.558876,47.548876,,-159.034254,2.733536,9.8794,38.1558,0.495694,15.24,1.861401,-2.318432,-38.688585,-1.726595,1.885849,9.761594,-2.523195,MEI_MEI,TOK,JinguStadium,Undefined,Team,20210418-JinguStadium-2,f05b6680-a003-11eb-94eb-3d772dcb7f2f,625241d2-e83e-4433-8a7c-171bc482cb4a,v3,,,,"Rikuto, Ueta",1000073554,Right,MEI_MEI,137.77345,11.207571,,15.41897,,,,16.681884,-39.050695,4.880797,1.923714,-1.632996,-1.261598,0.582994,-2.388388,0.942924,0.105036,0.875222,-0.292703,40.650255,0.105053,-18.911454,0.691379,0.109728,0.046809,-0.075905,0.045399,-0.012417,0.001273,0.875251,17.254354,-8.147475,0.938102,-0.149566,-0.004171,0.014107,-0.003649,0.000302,-0.292689,-12.326331,2.72044,-0.322768,0.164263,-0.122281,0.065027,-0.017636,0.001831,,,,,,,,,,,,,,,,,,,,,,,,,,21S
5,2021/4/18,07:33.8,2021/4/18,07:33.8,1,5,"Shumpei, Isomura",1000073597,Left,MEI_MEI,"Reo, Akutsu",1000101208,Left,TOK,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,141.29969,-0.429041,3.652659,2198.619232,160.577206,11:15,1.931946,-0.551551,1.717232,-47.6074,46.8172,-15.3143,1.333615,0.335417,127.31522,-3.998499,2.579487,0.438831,,,,,,,,,,,,10.5715,24.9437,0.4579,15.24,1.91722,-2.389453,-38.72085,-0.459084,2.047696,8.838984,-4.975064,MEI_MEI,TOK,JinguStadium,Undefined,Team,20210418-JinguStadium-2,fb042130-a003-11eb-94eb-3d772dcb7f2f,625241d2-e83e-4433-8a7c-171bc482cb4a,v3,,,,"Rikuto, Ueta",1000073554,Right,MEI_MEI,138.2309,,,13.98447,,,,16.720933,-39.057446,4.419492,1.931095,-0.26963,-2.487532,0.550377,-2.467431,1.023848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
6,2021/4/18,07:49.8,2021/4/18,07:49.8,1,6,"Shumpei, Isomura",1000073597,Left,MEI_MEI,"Reo, Akutsu",1000101208,Left,TOK,Undefined,1,Top,0,2,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,,140.67346,-1.310345,3.237847,2172.678654,153.32905,11:00,1.909723,-0.571828,1.757955,-51.869,42.4079,-19.6664,1.018685,0.150927,127.54416,-5.171625,1.854511,0.438488,,,,,,,,,,,,12.3913,23.5114,0.491517,15.24,1.872905,-2.080807,-38.591055,-1.072523,2.395376,8.4373,-5.261622,MEI_MEI,TOK,JinguStadium,Undefined,Team,20210418-JinguStadium-2,048b1830-a004-11eb-94eb-3d772dcb7f2f,625241d2-e83e-4433-8a7c-171bc482cb4a,v3,,,,"Rikuto, Ueta",1000073554,Right,MEI_MEI,138.33915,,,13.1293,,,,16.68071,-38.904768,4.21865,1.909146,-0.876887,-2.630811,0.57054,-2.169871,1.197688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.78124,,,0.861963,,,,0.409809,1.686172,-2.022261,18.879599,2.089798,-19.152265,0.438514,22.59551,-1.379559,1.682386,3.105079,-3.055671,-2.066635,-21.562563,1.997959,,,,21S
7,2021/4/18,08:18.5,2021/4/18,08:18.5,2,1,"Shumpei, Isomura",1000073597,Left,MEI_MEI,"Tetsuya, Nakai",1000073897,Left,TOK,Undefined,1,Top,1,0,0,Cutter,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,139.95813,-2.592723,3.320424,2213.6721,190.060252,12:15,1.911127,-0.570955,1.706904,-38.2329,58.4961,9.7448,0.789297,0.472375,126.17128,-5.493295,4.002758,0.444153,,,,,,,,,,,,-2.1729,32.6585,0.483453,15.24,1.840432,-2.274653,-38.3195,-1.855938,-0.411036,8.860649,-3.628828,MEI_MEI,TOK,JinguStadium,Undefined,Team,20210418-JinguStadium-2,159f0af0-a004-11eb-94eb-3d772dcb7f2f,625241d2-e83e-4433-8a7c-171bc482cb4a,v3,,,,"Rikuto, Ueta",1000073554,Right,MEI_MEI,136.57441,,,13.78685,,,,16.731387,-38.662817,4.430324,1.909619,-1.715334,-1.814414,0.571279,-2.258727,-0.205518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
8,2021/4/18,08:31.7,2021/4/18,08:31.7,2,2,"Shumpei, Isomura",1000073597,Left,MEI_MEI,"Tetsuya, Nakai",1000073897,Left,TOK,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,141.37778,-1.62989,1.904347,2216.219163,180.34225,12:00,1.902383,-0.579739,1.733963,-40.2536,52.7488,0.2968,1.036452,-0.035591,128.8192,-4.656729,1.92522,0.435514,,,,,,,,,,,,1.2308,28.8383,0.530901,15.24,1.857598,-1.292802,-38.835516,-1.240406,0.242178,8.170977,-4.132508,MEI_MEI,TOK,JinguStadium,Undefined,Team,20210418-JinguStadium-2,1d837580-a004-11eb-94eb-3d772dcb7f2f,625241d2-e83e-4433-8a7c-171bc482cb4a,v3,,,,"Rikuto, Ueta",1000073554,Right,MEI_MEI,139.28378,,,12.55857,,,,16.705005,-39.142539,4.085488,1.901289,-1.085127,-2.066254,0.579648,-1.301902,0.121089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
9,2021/4/18,08:47.0,2021/4/18,08:47.0,2,3,"Shumpei, Isomura",1000073597,Left,MEI_MEI,"Tetsuya, Nakai",1000073897,Left,TOK,Undefined,1,Top,1,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,141.75266,-0.899346,3.554142,2205.950957,151.234536,11:00,1.908173,-0.620653,1.767388,-45.6701,46.6271,-23.9273,1.196001,0.148943,128.98925,-4.317287,1.871245,0.433859,,,,,,,,,,,,14.6938,25.2849,0.533221,15.24,1.88234,-2.292736,-38.906169,-0.771509,2.901944,8.192936,-4.813031,MEI_MEI,TOK,JinguStadium,Undefined,Team,20210418-JinguStadium-2,26a716d0-a004-11eb-94eb-3d772dcb7f2f,625241d2-e83e-4433-8a7c-171bc482cb4a,v3,,,,"Rikuto, Ueta",1000073554,Right,MEI_MEI,139.81489,,,12.76341,,,,16.671679,-39.206495,4.096468,1.907387,-0.595079,-2.406516,0.619215,-2.399112,1.450972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
10,2021/4/18,09:02.1,2021/4/18,09:02.1,2,4,"Shumpei, Isomura",1000073597,Left,MEI_MEI,"Tetsuya, Nakai",1000073897,Left,TOK,Undefined,1,Top,1,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,138.62714,-1.023573,1.597166,2210.207244,175.079517,11:45,1.918978,-0.590977,1.801843,-32.2935,64.562,-5.2575,1.30634,-0.19161,124.85627,-3.540866,1.225856,0.444444,,,,,,,,,,,,3.9485,34.7079,0.552273,15.24,1.891688,-1.034474,-38.061378,-0.757012,0.738031,8.632823,-3.319298,MEI_MEI,TOK,JinguStadium,Undefined,Team,20210418-JinguStadium-2,2f988490-a004-11eb-94eb-3d772dcb7f2f,625241d2-e83e-4433-8a7c-171bc482cb4a,v3,,,,"Rikuto, Ueta",1000073554,Right,MEI_MEI,136.48526,,,13.77087,,,,16.636376,-38.376788,4.316411,1.917131,-0.635738,-1.659649,0.590561,-1.061438,0.369016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
