PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,Catcher Pos,Unnamed: 157,season
1,2021/4/25,28:01.6,2021/4/25,28:01.6,1,1,"Yosuke, Ikeda",1000089900,Right,RIK,"Moeto, Suzuki",1000074064,Left,WAS_EDA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,143.62849,-0.962361,-0.625092,2103.541676,201.529083,12:45,1.872917,0.571049,2.010094,-47.2997,38.9499,14.3428,1.131132,0.539909,131.90022,-4.51836,0.402145,0.419404,,,,,,,,,,,,-7.914,21.9139,-0.558653,15.24,1.85041,0.364779,-39.570437,-0.814909,-1.627872,7.946025,-5.299097,RIK,WAS_EDA,JinguStadium,TeamExclusive,Team,20210425-JinguStadium-2,9f27f370-a57e-11eb-a54b-b12b8878b5be,cd09bd8f-ca67-4607-bcf6-cac846eeda31,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,144.63354,,,11.72828,,,,16.42932,-39.808545,3.973013,1.87245,-0.656119,-2.649548,-0.570314,0.413559,-0.813936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
2,2021/4/25,28:11.6,2021/4/25,28:11.6,1,2,"Yosuke, Ikeda",1000089900,Right,RIK,"Moeto, Suzuki",1000074064,Left,WAS_EDA,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,144.47321,-1.749871,-1.505402,2096.76412,184.573636,12:15,1.858308,0.564091,2.020836,-40.3782,45.0113,3.3895,0.965869,0.177778,132.44719,-4.811088,-1.262629,0.417308,,,,,,,,,,,,-2.8122,25.6836,-0.533188,15.24,1.820066,1.029471,-39.774007,-1.333711,-0.583228,8.18817,-4.48006,RIK,WAS_EDA,JinguStadium,TeamExclusive,Team,20210425-JinguStadium-2,a516a880-a57e-11eb-a54b-b12b8878b5be,cd09bd8f-ca67-4607-bcf6-cac846eeda31,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,145.36014,,,12.02602,,,,16.41853,-40.015893,4.094085,1.85751,-1.201367,-2.24003,-0.563854,1.0467,-0.291614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
3,2021/4/25,28:26.9,2021/4/25,28:26.9,1,3,"Yosuke, Ikeda",1000089900,Right,RIK,"Moeto, Suzuki",1000074064,Left,WAS_EDA,Undefined,1,Top,0,1,1,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,136.19472,-1.958532,-1.915732,2136.638833,138.322999,10:30,1.822274,0.569894,1.910412,-83.4735,13.3565,-9.4634,0.436675,-0.063255,126.49683,-8.029338,-2.589642,0.444385,,,,,,,,,,,,3.7298,9.0078,-0.526135,15.24,1.773137,1.295933,-37.502117,-1.592679,0.692273,6.814346,-8.134757,RIK,WAS_EDA,JinguStadium,TeamExclusive,Team,20210425-JinguStadium-2,ae38c330-a57e-11eb-a54b-b12b8878b5be,cd09bd8f-ca67-4607-bcf6-cac846eeda31,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,136.50314,,,9.69789,,,,16.529987,-37.735787,3.407173,1.822968,-1.313732,-4.067379,-0.570166,1.272195,0.346137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
4,2021/4/25,28:42.5,2021/4/25,28:42.5,1,4,"Yosuke, Ikeda",1000089900,Right,RIK,"Moeto, Suzuki",1000074064,Left,WAS_EDA,Undefined,1,Top,0,2,1,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,135.6959,-1.587543,-0.574406,2151.034685,132.596125,10:30,1.823105,0.589038,1.900588,-88.5458,9.4555,-7.1214,0.491143,0.356314,125.40365,-8.03545,-1.081856,0.447065,,,,,,,,,,,,3.303,6.9292,-0.575589,15.24,1.781818,0.407033,-37.366976,-1.370451,0.60579,7.091489,-8.535781,RIK,WAS_EDA,JinguStadium,TeamExclusive,Team,20210425-JinguStadium-2,b7887d90-a57e-11eb-a54b-b12b8878b5be,cd09bd8f-ca67-4607-bcf6-cac846eeda31,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,135.68494,,,10.29225,,,,16.539288,-37.612746,3.545744,1.824188,-1.074627,-4.267891,-0.589332,0.386038,0.302895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
5,2021/4/25,28:57.6,2021/4/25,28:57.6,1,5,"Yosuke, Ikeda",1000089900,Right,RIK,"Moeto, Suzuki",1000074064,Left,WAS_EDA,Undefined,1,Top,0,3,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,143.22919,-1.073596,-1.409389,2078.178457,202.432966,12:45,1.825911,0.576934,2.028609,-49.3033,37.2881,14.3145,1.033289,0.326873,131.52527,-4.776832,-0.383281,0.420235,,,,,,,,,,,,-8.4624,21.1826,-0.548652,15.24,1.801419,0.905058,-39.454041,-0.896306,-1.729763,7.929968,-5.476811,RIK,WAS_EDA,JinguStadium,TeamExclusive,Team,20210425-JinguStadium-2,c092f190-a57e-11eb-a54b-b12b8878b5be,cd09bd8f-ca67-4607-bcf6-cac846eeda31,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,144.34778,,,11.70392,,,,16.410906,-39.688687,3.964984,1.825543,-0.734249,-2.738406,-0.57619,0.956241,-0.864881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
6,2021/4/25,29:10.1,2021/4/25,29:10.1,1,6,"Yosuke, Ikeda",1000089900,Right,RIK,"Moeto, Suzuki",1000074064,Left,WAS_EDA,Undefined,1,Top,0,3,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,,Single,0,0,,141.11385,-1.731616,-2.756565,2073.408264,200.071125,12:45,1.833967,0.554511,1.999676,-52.835,36.8565,12.4733,0.821027,-0.091643,129.7511,-5.676648,-1.865203,0.427691,,,,,,,,,,,,-8.4175,21.3843,-0.497197,15.24,1.79481,1.813451,-38.827562,-1.347507,-1.666891,7.656878,-5.571992,RIK,WAS_EDA,JinguStadium,TeamExclusive,Team,20210425-JinguStadium-2,c8044f00-a57e-11eb-a54b-b12b8878b5be,cd09bd8f-ca67-4607-bcf6-cac846eeda31,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,141.83128,,,11.36275,,,,16.44011,-39.063509,3.828439,1.833688,-1.175805,-2.785996,-0.55387,1.864817,-0.833445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
7,2021/4/25,29:52.0,2021/4/25,29:52.0,2,1,"Yosuke, Ikeda",1000089900,Right,RIK,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,1,143.68423,-1.272592,-0.842085,2074.470065,206.393246,1:00,1.830835,0.581722,1.978294,-50.4815,35.9731,16.5742,0.969837,0.511821,132.17341,-5.043272,0.342745,0.419903,,,,,,,,,,,,-9.2036,20.4894,-0.564509,15.24,1.800905,0.503833,-39.580454,-1.048794,-1.896369,7.85617,-5.584889,RIK,WAS_EDA,JinguStadium,TeamExclusive,Team,20210425-JinguStadium-2,e0fb4cc0-a57e-11eb-a54b-b12b8878b5be,cd09bd8f-ca67-4607-bcf6-cac846eeda31,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,144.46203,,,11.51081,,,,16.461289,-39.822126,3.928085,1.830526,-0.876992,-2.792444,-0.580906,0.562169,-0.948184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
8,2021/4/25,30:16.3,2021/4/25,30:16.3,2,2,"Yosuke, Ikeda",1000089900,Right,RIK,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,1,142.1761,-2.000675,-2.038304,2078.177279,187.152442,12:15,1.836799,0.602453,1.976905,-50.0861,38.4867,4.4922,0.775493,0.076742,130.73885,-5.740906,-1.717495,0.425016,,,,,,,,,,,,-3.7317,22.3579,-0.559066,15.24,1.791252,1.371962,-39.127738,-1.532514,-0.750324,7.788228,-5.311209,RIK,WAS_EDA,JinguStadium,TeamExclusive,Team,20210425-JinguStadium-2,ef749770-a57e-11eb-a54b-b12b8878b5be,cd09bd8f-ca67-4607-bcf6-cac846eeda31,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,142.72412,,,11.43726,,,,16.462804,-39.370381,3.894114,1.83642,-1.367044,-2.655604,-0.602173,1.395338,-0.375162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.42795,,0.781312,,-0.175436,0.71355,-0.058599,0.042986,1.718791,-0.145526,,,,0.072698,34.885056,-3.228761,1.717644,1.691063,-3.101805,-0.159903,-2.346218,1.196661,,,,21S
9,2021/4/25,30:55.2,2021/4/25,30:55.2,2,3,"Yosuke, Ikeda",1000089900,Right,RIK,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Top,0,1,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,GroundBall,Single,0,0,2,141.68099,-2.103684,-1.773137,2068.298633,202.724434,12:45,1.860299,0.572659,2.002651,-48.3915,41.308,16.0474,0.788097,0.237584,129.08544,-5.752155,-0.624764,0.42771,157.0539,5.106785,29.83583,2100.162178,,,,37.89199,,31.857809,1.004214,-9.7876,24.1993,-0.536284,15.24,1.813707,1.13393,-38.970738,-1.583048,-1.932351,8.493067,-5.02902,RIK,WAS_EDA,JinguStadium,TeamExclusive,Team,20210425-JinguStadium-2,06a21fd0-a57f-11eb-a54b-b12b8878b5be,cd09bd8f-ca67-4607-bcf6-cac846eeda31,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,141.82501,1.623244,,12.59555,,,,16.436954,-39.230728,4.246534,1.859811,-1.4291,-2.51451,-0.571901,1.193083,-0.966175,0.401518,0.866477,-0.390169,260.307037,0.453123,36.983224,-5.40821,,,,,,,0.883617,3.649584,-4.525918,,,,,,,-0.387657,21.587266,-1.282548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
10,2021/4/25,31:37.8,2021/4/25,31:37.8,3,1,"Yosuke, Ikeda",1000089900,Right,RIK,"Takuya, Hiruma",1000074108,Left,WAS_EDA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,FlyBall,Sacrifice,1,1,"1,3",144.50986,-1.727761,-2.085462,1958.211734,189.538553,12:15,1.857658,0.562955,1.946903,-41.9316,44.5866,7.0251,0.953479,0.048267,131.9799,-4.89495,-1.584855,0.420057,140.90369,30.844901,-11.493506,3903.672394,32.287351,17.675616,-9.0362,91.201824,,-24.025599,4.551226,-5.1714,25.3624,-0.517615,15.24,1.817385,1.414123,-39.749503,-1.332434,-1.066711,8.506121,-4.575149,RIK,WAS_EDA,JinguStadium,TeamExclusive,Team,20210425-JinguStadium-2,1ffe9620-a57f-11eb-a54b-b12b8878b5be,cd09bd8f-ca67-4607-bcf6-cac846eeda31,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,144.40893,21.463975,,12.52996,,,,16.492686,-40.016672,4.253061,1.856978,-1.188733,-2.287575,-0.562558,1.447627,-0.533355,0.101996,0.857893,-0.023108,147.608685,0.101691,32.937387,-6.791515,1.646001,-0.412716,0.104465,-0.021351,0.002661,-0.000141,0.858301,20.057895,-5.458031,0.304804,0.021469,-0.033649,0.010622,-0.00149,7.9e-05,-0.02306,-6.696998,-0.851304,0.255253,-0.059701,0.010403,-0.001189,8.3e-05,-3e-06,,,,,,,,,,,,,,,,,,,,,,,,,,21S
