PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,Catcher Pos,Unnamed: 157,season
1,2021/5/1,05:42.7,2021/5/1,05:42.7,1,1,"Kosuke, Morita",1000073314,Right,KEI_KEI,"Reo, Akutsu",1000101208,Left,TOK,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,,142.8726,-0.717882,-2.128549,2101.082384,202.23646,12:45,1.741094,0.514252,1.738798,-39.9319,51.5593,19.7885,1.13775,0.107367,129.26145,-3.740402,-0.736542,0.431961,,,,,,,,,,,,-11.687,27.6645,-0.46136,15.24,1.719853,1.354996,-39.236935,-0.626037,-2.332122,8.830532,-4.286238,KEI_KEI,TOK,JinguStadium,Spring,NL,20210501-JinguStadium-2,e1e68c60-aa3a-11eb-b224-6fee59d1ac95,dce851ec-750a-4e4f-959b-a5ced5697aaa,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,140.4294,,,13.61115,,,,16.700302,-39.564221,4.415266,1.740112,-0.467176,-2.143119,-0.513182,1.441431,-1.166061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
2,2021/5/1,06:07.0,2021/5/1,06:06.9,1,2,"Kosuke, Morita",1000073314,Right,KEI_KEI,"Reo, Akutsu",1000101208,Left,TOK,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,143.01185,-2.692832,-1.098292,2068.340414,201.996735,12:45,1.763991,0.510104,1.69267,-40.2288,53.4782,20.0517,0.594086,0.397792,127.26741,-5.758682,0.309684,0.43716,,,,,,,,,,,,-11.0288,30.4339,-0.482749,15.24,1.689962,0.640225,-39.153923,-1.97276,-2.149792,10.21644,-3.874328,KEI_KEI,TOK,JinguStadium,Spring,NL,20210501-JinguStadium-2,f06136a0-aa3a-11eb-b224-6fee59d1ac95,dce851ec-750a-4e4f-959b-a5ced5697aaa,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,138.75918,,,15.74445,,,,16.745053,-39.544687,5.10822,1.762583,-1.824573,-1.937164,-0.50881,0.722452,-1.074896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
3,2021/5/1,06:20.9,2021/5/1,06:20.9,1,3,"Kosuke, Morita",1000073314,Right,KEI_KEI,"Reo, Akutsu",1000101208,Left,TOK,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,145.15589,-1.674711,-0.400319,2157.22712,216.950942,1:15,1.723827,0.564909,1.644691,-53.7295,35.3963,24.4327,0.708029,0.694888,132.42248,-5.613903,1.311189,0.42634,,,,,,,,,,,,-12.5066,19.868,-0.556116,15.24,1.673854,0.143684,-39.880089,-1.390637,-2.594803,8.61978,-5.684526,KEI_KEI,TOK,JinguStadium,Spring,NL,20210501-JinguStadium-2,f8b4ddc0-aa3a-11eb-b224-6fee59d1ac95,dce851ec-750a-4e4f-959b-a5ced5697aaa,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,142.28077,,,12.73342,,,,16.794456,-40.21467,4.30989,1.72355,-1.16999,-2.842263,-0.563648,0.244403,-1.297402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
4,2021/5/1,06:44.9,2021/5/1,06:44.9,1,4,"Kosuke, Morita",1000073314,Right,KEI_KEI,"Reo, Akutsu",1000101208,Left,TOK,Undefined,1,Top,0,1,2,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,118.71351,1.107032,-0.577882,2438.018409,31.377629,7:00,1.740856,0.444305,1.613431,-181.1992,-45.8286,-30.8263,0.24573,-0.029342,108.53676,-11.768525,-2.742142,0.525433,,,,,,,,,,,,15.0435,-22.7874,-0.425441,15.24,1.755512,0.466843,-32.624625,-0.094499,2.054257,6.634343,-12.918369,KEI_KEI,TOK,JinguStadium,Spring,NL,20210501-JinguStadium-2,06f209d0-aa3b-11eb-b224-6fee59d1ac95,dce851ec-750a-4e4f-959b-a5ced5697aaa,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,115.44775,,,10.17675,,,,16.827869,-32.945942,3.317171,1.744938,0.531168,-6.459185,-0.445642,0.367351,1.027128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
5,2021/5/1,07:02.8,2021/5/1,07:02.8,1,5,"Kosuke, Morita",1000073314,Right,KEI_KEI,"Reo, Akutsu",1000101208,Left,TOK,Undefined,1,Top,0,2,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,141.80978,-2.232624,-1.567949,2015.672372,203.536618,12:45,1.731219,0.529893,1.738471,-43.5459,49.5718,20.1512,0.661142,0.286,128.31798,-5.504704,-0.149311,0.435783,105.43989,-19.91648,-28.852484,,,,,1.669041,,-23.169774,0.047136,-11.5063,27.9448,-0.491375,15.24,1.670993,0.962092,-38.926246,-1.669754,-2.254558,8.865089,-4.331142,KEI_KEI,TOK,JinguStadium,Spring,NL,20210501-JinguStadium-2,11b3f1d0-aa3b-11eb-b224-6fee59d1ac95,dce851ec-750a-4e4f-959b-a5ced5697aaa,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,139.19756,0.431347,,13.4918,,,,16.70077,-39.257513,4.432545,1.730364,-1.507909,-2.165571,-0.5289,1.046339,-1.127279,0.397568,0.470284,-0.030349,,0.397568,24.11878,,,,,,,,0.470284,-9.977249,,,,,,,,-0.030349,-13.288197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
6,2021/5/1,07:34.7,2021/5/1,07:34.7,2,1,"Kosuke, Morita",1000073314,Right,KEI_KEI,"Yu, Miyazaki",1000073899,Left,TOK,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,144.27099,-1.976584,-1.277152,2075.154977,205.76395,12:45,1.747713,0.504135,1.665305,-33.4105,57.1522,26.0579,0.849375,0.400314,130.6104,-4.522036,0.548981,0.429763,,,,,,,,,,,,-13.9885,31.1096,-0.472017,15.24,1.692026,0.738814,-39.598137,-1.472471,-2.8452,8.935104,-3.479109,KEI_KEI,TOK,JinguStadium,Spring,NL,20210501-JinguStadium-2,24aad560-aa3b-11eb-b224-6fee59d1ac95,dce851ec-750a-4e4f-959b-a5ced5697aaa,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,141.14746,,,13.6606,,,,16.77343,-39.942648,4.467552,1.746214,-1.338327,-1.739554,-0.502618,0.848517,-1.4226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
7,2021/5/1,07:47.2,2021/5/1,07:47.2,2,2,"Kosuke, Morita",1000073314,Right,KEI_KEI,"Yu, Miyazaki",1000073899,Left,TOK,Undefined,1,Top,1,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,143.99915,-1.189687,-1.159772,2158.387123,210.288008,1:00,1.749862,0.494422,1.74358,-44.9331,44.4375,24.2588,0.962651,0.407696,131.27285,-4.541991,0.548881,0.426925,,,,,,,,,,,,-13.0535,24.2637,-0.466641,15.24,1.716247,0.671765,-39.582841,-0.985518,-2.670518,8.420605,-4.842731,KEI_KEI,TOK,JinguStadium,Spring,NL,20210501-JinguStadium-2,2c222640-aa3b-11eb-b224-6fee59d1ac95,dce851ec-750a-4e4f-959b-a5ced5697aaa,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,142.08571,,,12.7263,,,,16.695362,-39.891244,4.210302,1.749094,-0.808154,-2.421366,-0.493035,0.769572,-1.335259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
8,2021/5/1,08:06.4,2021/5/1,08:06.4,2,3,"Kosuke, Morita",1000073314,Right,KEI_KEI,"Yu, Miyazaki",1000073899,Left,TOK,Undefined,1,Top,1,0,2,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,132.97098,-1.280625,-2.408068,2201.759088,126.231179,10:15,1.745889,0.479859,1.687149,-91.9477,14.0346,-14.4318,0.461188,-0.350906,121.75899,-7.913243,-3.42077,0.464913,,,,,,,,,,,,5.5239,9.0583,-0.414956,15.24,1.704673,1.60575,-36.517518,-1.192563,0.958248,7.412571,-8.23526,KEI_KEI,TOK,JinguStadium,Spring,NL,20210501-JinguStadium-2,3799c9b0-aa3b-11eb-b224-6fee59d1ac95,dce851ec-750a-4e4f-959b-a5ced5697aaa,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,130.47613,,,11.21198,,,,16.752503,-36.823256,3.706285,1.746857,-0.852893,-4.11763,-0.480372,1.566226,0.479124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
9,2021/5/1,08:24.2,2021/5/1,08:24.2,2,4,"Kosuke, Morita",1000073314,Right,KEI_KEI,"Yu, Miyazaki",1000073899,Left,TOK,Undefined,1,Top,1,1,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,,139.29073,-2.336603,-1.625744,2081.39168,206.814944,1:00,1.723265,0.501652,1.80085,-53.8812,41.2322,19.2441,0.522774,0.234032,127.107,-6.33142,-0.265287,0.440429,,,,,,,,,,,,-11.0463,23.7901,-0.463194,15.24,1.66239,0.991487,-38.269286,-1.755966,-2.107768,8.028779,-5.267217,KEI_KEI,TOK,JinguStadium,Spring,NL,20210501-JinguStadium-2,4225d4a0-aa3b-11eb-b224-6fee59d1ac95,dce851ec-750a-4e4f-959b-a5ced5697aaa,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,137.72949,,,12.18372,,,,16.638496,-38.56157,4.01439,1.722825,-1.564215,-2.633609,-0.500686,1.068219,-1.053884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
10,2021/5/1,08:54.7,2021/5/1,08:54.7,2,5,"Kosuke, Morita",1000073314,Right,KEI_KEI,"Yu, Miyazaki",1000073899,Left,TOK,Undefined,1,Top,1,1,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,,Undefined,0,0,,144.4061,-2.664112,-1.850438,2154.078565,215.877727,1:15,1.740285,0.497901,1.677474,-42.7969,48.2242,32.4251,0.551933,0.294478,130.01605,-5.875108,0.423774,0.43085,,,,,,,,,,,,-17.758,27.4252,-0.451285,15.24,1.665981,1.100286,-39.580446,-1.997255,-3.581489,9.504071,-4.27543,KEI_KEI,TOK,JinguStadium,Spring,NL,20210501-JinguStadium-2,54557090-aa3b-11eb-b224-6fee59d1ac95,dce851ec-750a-4e4f-959b-a5ced5697aaa,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,140.79155,,,14.39005,,,,16.76114,-39.944033,4.752036,1.739259,-1.833694,-2.137715,-0.495999,1.2373,-1.790745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.96077,,,0.948853,,,,-0.12474,1.529785,-1.056413,21.73079,1.552246,-16.301318,-0.110611,24.375396,-1.422267,1.545167,4.049931,-4.25159,-1.082163,-17.89281,1.939575,,,,21S
