PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,Catcher Pos,Unnamed: 157,season
1.0,2021/5/1,01:19.7,2021/5/1,01:19.6,1,1.0,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Kakeru, Morohashi",1000073749,Left,HOS_HOS,Undefined,1,Top,0,0,0,Fastball,Sinker,FoulBall,Undefined,Undefined,,Undefined,0,0,,143.81982,-2.322235,-3.873796,1943.058999,235.173323,1:45,1.757298,0.735886,1.878809,-53.5806,35.9347,46.9299,0.565813,0.112858,129.74829,-6.329421,-0.547652,0.427271,,,,,,,,,,,,-27.5028,21.4328,-0.649132,15.24,1.700249,2.43961,-39.432686,-1.793296,-5.509434,9.379719,-5.513174,WAS_EDA,HOS_HOS,JinguStadium,Spring,Team,20210501-JinguStadium-1,1f428d30-aa21-11eb-b8ef-41776da97cf5,03bc92fe-8efd-4658-ac24-76840f5d870c,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,141.97077,,,14.07153,,,,16.560812,-39.745621,4.68986,1.75701,-1.60936,-2.756587,-0.733591,2.623422,-2.754717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
2.0,2021/5/1,01:44.0,2021/5/1,01:44.0,1,2.0,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Kakeru, Morohashi",1000073749,Left,HOS_HOS,Undefined,1,Top,0,0,1,Splitter,Splitter,BallCalled,Undefined,Undefined,,Undefined,0,0,,131.27521,-0.993395,-4.521443,1070.988598,288.718179,3:30,1.758718,0.746087,1.837164,-112.0063,-6.3249,27.6215,0.357341,-0.256646,121.84553,-9.060223,-2.568592,0.464252,,,,,,,,,,,,-17.2528,-1.7895,-0.639978,15.24,1.727587,2.73061,-36.068464,-1.058812,-2.959397,6.361822,-10.113599,WAS_EDA,HOS_HOS,JinguStadium,Spring,Team,20210501-JinguStadium-1,2dc61110-aa21-11eb-b8ef-41776da97cf5,03bc92fe-8efd-4658-ac24-76840f5d870c,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,130.66175,,,9.42967,,,,16.603659,-36.308192,3.180911,1.760305,-0.677709,-5.0568,-0.744975,2.842127,-1.479699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
3.0,2021/5/1,02:00.0,2021/5/1,02:00.0,1,3.0,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Kakeru, Morohashi",1000073749,Left,HOS_HOS,Undefined,1,Top,0,1,1,Fastball,Sinker,FoulBall,Undefined,Undefined,,Undefined,0,0,,143.01035,-1.810462,-4.770901,1940.999801,240.148259,2:00,1.750932,0.756675,1.85838,-63.3743,26.4246,40.9172,0.604866,-0.182211,130.59697,-6.477162,-1.880049,0.427947,,,,,,,,,,,,-24.7304,15.8022,-0.647172,15.24,1.704287,3.077405,-39.223745,-1.485737,-4.96639,8.293362,-6.633226,WAS_EDA,HOS_HOS,JinguStadium,Spring,Team,20210501-JinguStadium-1,3749fad0-aa21-11eb-b8ef-41776da97cf5,03bc92fe-8efd-4658-ac24-76840f5d870c,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,141.7465,,,12.41338,,,,16.581874,-39.506449,4.146681,1.751078,-1.259624,-3.316613,-0.75496,3.246699,-2.483195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
4.0,2021/5/1,02:24.2,2021/5/1,02:24.2,1,4.0,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Kakeru, Morohashi",1000073749,Left,HOS_HOS,Undefined,1,Top,0,1,2,Splitter,Splitter,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,,132.13425,-0.275755,-3.57386,1082.584303,269.729273,3:00,1.781619,0.71741,1.829939,-101.6277,3.4642,29.4729,0.687316,0.001565,121.2135,-7.656126,-1.489238,0.462955,,,,,,,,,,,,-17.7216,2.9792,-0.633636,15.24,1.768325,2.132852,-36.30912,-0.5673,-3.052398,7.047558,-9.2935,WAS_EDA,HOS_HOS,JinguStadium,Spring,Team,20210501-JinguStadium-1,45bd5210-aa21-11eb-b8ef-41776da97cf5,03bc92fe-8efd-4658-ac24-76840f5d870c,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,131.02775,,,10.92075,,,,16.610153,-36.574099,3.523779,1.783086,-0.217877,-4.64675,-0.715985,2.247618,-1.526199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.74868,2.423833,1.558989,0.864844,-0.05071,0.621408,0.010716,0.869807,1.625411,-1.015156,20.711269,2.707118,-17.321179,0.914196,24.469746,-1.809217,1.640701,4.45692,-3.722239,-1.073038,-20.618668,2.096183,,,,21S
5.0,2021/5/1,02:56.1,2021/5/1,02:56.1,2,1.0,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Yuki, Okada",1000073821,Left,HOS_HOS,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,,144.2574,-1.558726,-2.325901,2096.147354,231.363315,1:45,1.757502,0.767439,1.885457,-52.8625,34.8557,39.9796,0.789731,0.512292,131.44168,-5.496971,0.513985,0.42296,,,,,,,,,,,,-22.3158,20.0517,-0.716252,15.24,1.718416,1.411993,-39.659139,-1.270115,-4.571246,8.652544,-5.699189,WAS_EDA,HOS_HOS,JinguStadium,Spring,Team,20210501-JinguStadium-1,58c3c600-aa21-11eb-b8ef-41776da97cf5,03bc92fe-8efd-4658-ac24-76840f5d870c,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,143.41776,,,12.81571,,,,16.554065,-39.944804,4.326272,1.757242,-1.081956,-2.849594,-0.765361,1.562913,-2.285623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
6.0,2021/5/1,03:11.1,2021/5/1,03:11.1,2,2.0,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Yuki, Okada",1000073821,Left,HOS_HOS,Undefined,1,Top,1,1,0,Splitter,Splitter,BallCalled,Undefined,Undefined,,Undefined,0,0,,133.9374,-0.946047,-3.679312,1078.367665,282.055394,3:30,1.740959,0.721371,1.834151,-104.4977,-2.8626,27.4553,0.428311,-0.044279,123.85555,-8.494674,-1.735908,0.455278,,,,,,,,,,,,-16.6772,-0.0081,-0.635226,15.24,1.71142,2.243727,-36.825503,-1.019457,-2.973359,6.82746,-9.808089,WAS_EDA,HOS_HOS,JinguStadium,Spring,Team,20210501-JinguStadium-1,61af6760-aa21-11eb-b8ef-41776da97cf5,03bc92fe-8efd-4658-ac24-76840f5d870c,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,133.23733,,,10.08185,,,,16.606461,-37.07798,3.41373,1.742413,-0.656758,-4.904045,-0.720231,2.353681,-1.48668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
7.0,2021/5/1,03:26.9,2021/5/1,03:26.9,2,3.0,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Yuki, Okada",1000073821,Left,HOS_HOS,Undefined,1,Top,1,2,0,Fastball,Sinker,FoulBall,Undefined,Undefined,LineDrive,Undefined,0,0,,144.6716,-1.005642,-3.07175,1935.154543,241.964948,2:00,1.727496,0.77643,1.888166,-58.1776,29.7041,49.9492,0.862311,0.410748,130.77667,-5.340554,0.474504,0.423354,145.27601,11.449155,-36.691826,3528.419129,24.866535,3.743104,-22.489501,55.069418,,-45.368693,1.726262,-28.2622,17.0812,-0.708827,15.24,1.700898,1.883773,-39.737076,-0.913258,-5.764907,9.316929,-6.322425,WAS_EDA,HOS_HOS,JinguStadium,Spring,Team,20210501-JinguStadium-1,6b1f2ce0-aa21-11eb-b8ef-41776da97cf5,03bc92fe-8efd-4658-ac24-76840f5d870c,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,143.28427,3.869296,,13.89493,,,,16.55143,-40.043379,4.658464,1.727505,-0.705402,-3.161212,-0.773873,2.0733,-2.882453,0.230386,0.811313,-0.389294,102.629697,0.230386,31.714753,-7.483222,1.644425,-0.367757,0.070571,-0.012802,0.001861,-0.000146,0.811313,8.010288,-5.57409,0.479579,-0.072429,0.011247,-0.001093,0.000113,-1.4e-05,-0.389294,-23.63242,0.132129,0.574104,-0.239389,0.073079,-0.017489,0.003001,-0.000259,,,,,,,,,,,,,,,,,,,,,,,,,,21S
8.0,2021/5/1,03:56.7,2021/5/1,03:56.7,2,4.0,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Yuki, Okada",1000073821,Left,HOS_HOS,Undefined,1,Top,1,2,1,Fastball,Sinker,InPlay,Undefined,LineDrive,LineDrive,Out,1,0,,145.5393,-1.911863,-2.864179,1921.528768,225.002662,1:30,1.747503,0.73329,1.877175,-50.1161,37.4089,34.1432,0.707132,0.267563,130.86951,-5.678381,-0.441883,0.422494,176.30972,8.100538,16.343833,1705.898478,31.740071,2.670652,10.80164,56.375457,,21.401283,1.392142,-20.0088,21.8718,-0.669017,15.24,1.700163,1.824748,-39.93095,-1.510777,-4.097009,9.865491,-5.328174,WAS_EDA,HOS_HOS,JinguStadium,Spring,Team,20210501-JinguStadium-1,7ce16100-aa21-11eb-b8ef-41776da97cf5,03bc92fe-8efd-4658-ac24-76840f5d870c,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,143.57598,2.767368,,14.66978,,,,16.561819,-40.256199,4.932746,1.747076,-1.335116,-2.664087,-0.731403,1.95982,-2.048504,0.320022,0.673854,-0.275421,268.983722,0.320022,46.526948,-8.451199,1.883975,-0.470443,0.118594,-0.028651,0.005448,-0.000554,0.673854,6.901081,-6.092254,0.757235,-0.188742,0.049216,-0.011664,0.002233,-0.00023,-0.275421,13.644079,1.194402,-0.229345,0.056081,-0.014182,0.003507,-0.000675,6.9e-05,,,,,,,,,,,,,,,,,,,,,,,,,,21S
9.0,2021/5/1,04:28.4,2021/5/1,04:28.4,3,1.0,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Daiki, Saitoh",1000073731,Right,HOS_HOS,Undefined,1,Top,2,0,0,Curveball,Curveball,BallinDirt,Undefined,Undefined,,Undefined,0,0,,118.22658,0.270083,-0.867338,2543.290975,37.621553,7:15,1.811927,0.600182,1.875142,-172.999,-40.3768,-34.7645,0.158005,0.008266,107.9684,-12.211809,-3.348534,0.520071,,,,,,,,,,,,17.3575,-20.0826,-0.577945,15.24,1.807585,0.630793,-32.528984,-0.450784,2.343391,6.876613,-12.51796,WAS_EDA,HOS_HOS,JinguStadium,Spring,Team,20210501-JinguStadium-1,8fccd2e0-aa21-11eb-b8ef-41776da97cf5,03bc92fe-8efd-4658-ac24-76840f5d870c,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,116.63785,,,10.25819,,,,16.565948,-32.808091,3.438306,1.815571,0.057294,-6.25898,-0.601618,0.535679,1.171696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
10.0,2021/5/1,04:50.6,2021/5/1,04:50.6,3,2.0,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Daiki, Saitoh",1000073731,Right,HOS_HOS,Undefined,1,Top,2,1,0,Fastball,Sinker,FoulBall,Undefined,Undefined,,Undefined,0,0,,145.64609,-0.998805,-2.818577,1954.461961,240.887771,2:00,1.770591,0.743358,1.959282,-61.6033,24.7151,38.706,0.874382,0.340173,131.14686,-5.599998,-0.057698,0.419572,,,,,,,,,,,,-22.6431,14.6486,-0.684173,15.24,1.745579,1.783855,-40.010916,-0.92158,-4.655949,9.889496,-6.794552,WAS_EDA,HOS_HOS,JinguStadium,Spring,Team,20210501-JinguStadium-1,9d0204d0-aa21-11eb-b8ef-41776da97cf5,03bc92fe-8efd-4658-ac24-76840f5d870c,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,144.57599,,,14.49924,,,,16.48023,-40.316298,4.944748,1.770797,-0.711768,-3.397276,-0.741477,1.927628,-2.327974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
