PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,Catcher Pos,Unnamed: 157,season
1,2021/5/2,20:02.4,2021/5/2,20:02.4,1,1,"Hikaru, Yamashita",1000073788,Left,HOS_HOS,"Moeto, Suzuki",1000074064,Left,WAS_EDA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,LineDrive,Undefined,0,0,,148.18401,-2.958378,2.746163,2235.84423,162.091896,11:30,2.025908,-0.412539,1.678739,-37.7028,47.2502,-14.4059,0.803901,0.22677,135.86088,-5.761026,1.737135,0.41624,118.04554,20.878953,-125.30659,5978.418574,-22.680114,5.864465,-24.692885,51.635862,,-138.041017,2.155839,9.1354,26.6748,0.340662,15.24,1.944123,-1.872025,-40.668066,-2.246671,1.98375,8.43646,-4.014238,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,Team,20210502-JinguStadium-2,0b9f39f0-ab06-11eb-8a4e-1d2d951cea70,840848a2-473c-40cf-a236-3fb1fa2efc91,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,145.7331,6.244971,,12.32313,,,,16.760889,-40.982355,4.21823,2.025034,-2.097126,-2.007119,0.411778,-1.945927,0.991875,-0.122037,0.700309,-0.221361,70.327051,-0.122037,-17.70685,0.036158,-0.032132,0.003858,-0.00103,0.000195,-1.8e-05,1e-06,0.700309,11.686329,-6.794483,0.7747,-0.148228,0.033804,-0.005821,0.00073,-5.1e-05,-0.221361,-25.002173,5.272565,-0.73774,0.166862,-0.033466,0.005926,-0.000862,6.6e-05,,,,,,,,,,,,,,,,,,,,,,,,,,21S
2,2021/5/2,20:18.6,2021/5/2,20:18.6,1,2,"Hikaru, Yamashita",1000073788,Left,HOS_HOS,"Moeto, Suzuki",1000074064,Left,WAS_EDA,Undefined,1,Top,0,0,1,Curveball,Curveball,InPlay,Undefined,LineDrive,LineDrive,Single,0,0,,121.9462,0.917547,0.970177,2347.575589,305.757709,4:15,1.980318,-0.339203,1.578531,-147.3087,-19.4862,32.8882,0.770434,0.267942,111.78051,-9.569705,3.26827,0.510573,156.24324,8.46989,3.437152,728.639486,,,,37.272612,,2.280917,0.972959,-15.7107,-9.2838,0.308554,15.24,1.992784,-0.720724,-33.512182,-0.069242,-2.286794,6.446193,-11.15797,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,Team,20210502-JinguStadium-2,1545edf0-ab06-11eb-8a4e-1d2d951cea70,840848a2-473c-40cf-a236-3fb1fa2efc91,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,118.80759,2.02848,,10.16569,,,,16.86201,-33.822743,3.223096,1.983171,0.46832,-5.578985,0.340623,-0.610552,-1.143397,0.367414,0.736783,-0.265858,5.628014,0.367414,42.850325,-5.584014,0.607332,-0.113621,0.016052,-0.002017,0.000438,-6.3e-05,0.736783,6.392503,-8.383121,1.278832,-0.275492,0.066996,-0.013997,0.002643,-0.000325,-0.265858,2.573663,-0.596154,-0.259645,0.071897,-0.022577,0.005584,-0.001082,0.000133,,,,,,,,,,,,,,,,,,,,,,,,,,21S
3,2021/5/2,21:01.3,2021/5/2,21:01.3,2,1,"Hikaru, Yamashita",1000073788,Left,HOS_HOS,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,1,144.02831,-1.395441,3.823424,2148.09792,153.585319,11:00,2.020997,-0.4411,1.738394,-44.1874,46.406,-21.4412,1.181856,0.431952,129.98947,-4.714173,2.318872,0.429836,,,,,,,,,,,,13.8423,25.5646,0.344863,15.24,1.982032,-2.52307,-39.469135,-1.120061,2.788185,9.12144,-4.657317,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,Team,20210502-JinguStadium-2,2ebca300-ab06-11eb-8a4e-1d2d951cea70,840848a2-473c-40cf-a236-3fb1fa2efc91,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,141.12352,,,14.03883,,,,16.700308,-39.805186,4.56072,2.020136,-0.948477,-2.328659,0.43971,-2.625792,1.394092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
4,2021/5/2,21:45.4,2021/5/2,21:45.4,2,2,"Hikaru, Yamashita",1000073788,Left,HOS_HOS,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,1,143.68734,-3.636673,4.543774,2178.787413,163.464486,11:30,2.002415,-0.489484,1.761004,-32.5107,58.6563,-16.4285,0.641287,0.637574,129.88445,-6.127198,3.391757,0.431195,,,,,,,,,,,,11.8945,33.6335,0.376134,15.24,1.908223,-3.035381,-39.281644,-2.597501,2.374894,8.979445,-3.091303,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,Team,20210502-JinguStadium-2,490af360-ab06-11eb-8a4e-1d2d951cea70,840848a2-473c-40cf-a236-3fb1fa2efc91,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,140.67884,,,13.80288,,,,16.677815,-39.608953,4.489722,2.00085,-2.48482,-1.545652,0.488354,-3.121948,1.187447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
5,2021/5/2,22:21.7,2021/5/2,22:21.7,2,3,"Hikaru, Yamashita",1000073788,Left,HOS_HOS,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Top,0,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,2,146.2947,-3.374851,2.934968,2241.581966,157.151462,11:15,1.982868,-0.452893,1.704494,-31.7023,56.6258,-22.4952,0.703017,0.158152,132.02591,-5.801812,1.3574,0.424428,,,,,,,,,,,,13.5969,32.1356,0.377846,15.24,1.892034,-1.929008,-40.057842,-2.460535,2.819982,9.425638,-3.141787,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,Team,20210502-JinguStadium-2,5eac5d80-ab06-11eb-8a4e-1d2d951cea70,840848a2-473c-40cf-a236-3fb1fa2efc91,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,142.92175,,,14.26879,,,,16.734053,-40.407863,4.712819,1.98124,-2.343865,-1.570894,0.451425,-2.033729,1.409991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
6,2021/5/2,22:51.9,2021/5/2,22:51.9,2,4,"Hikaru, Yamashita",1000073788,Left,HOS_HOS,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Top,0,2,1,Slider,Cutter,InPlay,Undefined,Bunt,,Sacrifice,0,1,2,135.96706,-1.258272,2.790997,2224.314256,192.317071,12:30,1.981771,-0.476159,1.623926,-75.4768,26.2889,5.0364,0.866655,0.373054,124.66716,-6.714228,3.142661,0.45557,,,,,,,,,,,,-0.5598,15.0378,0.398764,15.24,1.940596,-1.845468,-37.330915,-1.136686,-0.102018,7.387494,-7.066178,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,Team,20210502-JinguStadium-2,70aad750-ab06-11eb-8a4e-1d2d951cea70,840848a2-473c-40cf-a236-3fb1fa2efc91,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,133.15176,,,11.29989,,,,16.8157,-37.641442,3.693747,1.982133,-0.839665,-3.533089,0.476247,-1.841179,-0.051009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
7,2021/5/2,23:54.2,2021/5/2,23:54.2,3,1,"Hikaru, Yamashita",1000073788,Left,HOS_HOS,"Takuya, Hiruma",1000074108,Left,WAS_EDA,Undefined,1,Top,0,0,0,Slider,Curveball,BallinDirt,Undefined,Undefined,,Undefined,0,0,1,126.3722,-1.296587,2.191673,2419.11909,302.322939,4:00,1.977001,-0.452872,1.60844,-144.238,-23.9335,44.638,0.163115,0.62122,115.26937,-11.521129,5.31817,0.495331,,,,,,,,,,,,-20.6964,-9.9615,0.387715,15.24,1.928092,-1.535992,-34.669033,-1.386823,-3.177428,7.747447,-11.335988,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,Team,20210502-JinguStadium-2,95c43770-ab06-11eb-8a4e-1d2d951cea70,840848a2-473c-40cf-a236-3fb1fa2efc91,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,122.46355,,,11.10283,,,,16.832105,-35.023011,3.873724,1.979624,-0.868885,-5.667994,0.454578,-1.390816,-1.588714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
8,2021/5/2,24:41.8,2021/5/2,24:41.8,3,2,"Hikaru, Yamashita",1000073788,Left,HOS_HOS,"Takuya, Hiruma",1000074108,Left,WAS_EDA,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,LineDrive,Undefined,0,0,2,147.65808,-2.421415,3.398408,2215.119504,160.720774,11:15,2.016681,-0.424836,1.713961,-39.2994,47.2277,-15.4273,0.93335,0.388621,133.30552,-5.378221,2.316713,0.420079,147.10144,21.926672,-48.291579,5575.122744,19.677806,11.051406,-27.146097,84.493911,,-61.13837,3.353781,10.4819,26.7151,0.33766,15.24,1.950705,-2.317324,-40.452553,-1.853948,2.216429,9.632303,-4.157673,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,Team,20210502-JinguStadium-2,b22e8a00-ab06-11eb-8a4e-1d2d951cea70,840848a2-473c-40cf-a236-3fb1fa2efc91,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,144.40152,12.325932,,14.35256,,,,16.724824,-40.804578,4.816151,2.015683,-1.702001,-2.078836,0.42383,-2.398326,1.108215,-0.159275,0.826126,-0.385339,123.944042,-0.159292,25.220507,-7.52499,2.071338,-0.509599,0.103515,-0.016069,0.001418,-3e-05,0.826129,15.258631,-5.461879,0.258435,0.009211,-0.004781,-0.001466,0.000978,-0.000127,-0.38531,-28.299062,2.510598,-0.138671,-0.059947,0.028112,-0.006815,0.001043,-8.3e-05,,,,,,,,,,,,,,,,,,,,,,,,,,21S
9,2021/5/2,25:12.7,2021/5/2,25:12.7,3,3,"Hikaru, Yamashita",1000073788,Left,HOS_HOS,"Takuya, Hiruma",1000074108,Left,WAS_EDA,Undefined,1,Top,0,1,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,2,135.53322,-1.425033,2.048359,2261.655259,259.830745,2:45,1.965261,-0.452085,1.673444,-94.4914,7.2789,22.8596,0.61368,0.360814,124.67223,-8.206973,3.652198,0.455581,,,,,,,,,,,,-10.0848,5.6621,0.395504,15.24,1.919542,-1.445964,-37.243263,-1.329212,-1.826784,7.443729,-8.781011,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,Team,20210502-JinguStadium-2,c49d2ac0-ab06-11eb-8a4e-1d2d951cea70,840848a2-473c-40cf-a236-3fb1fa2efc91,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,133.1488,,,10.86099,,,,16.766406,-37.547103,3.721865,1.966483,-0.970787,-4.390505,0.453004,-1.371398,-0.913392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
10,2021/5/2,25:42.1,2021/5/2,25:42.1,3,4,"Hikaru, Yamashita",1000073788,Left,HOS_HOS,"Takuya, Hiruma",1000074108,Left,WAS_EDA,Undefined,1,Top,0,1,2,Slider,Slider,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,2,137.17208,-0.586007,2.452906,2404.947474,263.430175,2:45,1.995683,-0.409906,1.627348,-94.3223,5.6989,22.1708,0.884739,0.513609,125.84332,-7.350301,4.002239,0.451649,144.31173,-10.021111,-0.372693,,,,,4.564598,,-5.883127,0.112646,-9.3894,4.1921,0.340455,15.24,1.971434,-1.727615,-37.681857,-0.800759,-1.739369,7.68983,-9.030061,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,Team,20210502-JinguStadium-2,d61ed370-ab06-11eb-8a4e-1d2d951cea70,840848a2-473c-40cf-a236-3fb1fa2efc91,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,134.30795,0.962747,,11.32875,,,,16.812576,-38.001422,3.844915,1.996913,-0.425499,-4.515031,0.410748,-1.655333,-0.869684,0.093938,0.785765,-0.438945,180.0,0.093938,39.474184,,,,,,,,0.785765,-6.975509,,,,,,,,-0.438945,-0.256772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
