PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,Catcher Pos,Unnamed: 157,season
1,2021/5/9,01:59.2,2021/5/9,01:59.2,1,1,"Kosei, Shoji",1000101253,Right,RIK,"Kenta, Mizukoshi",1000074004,Right,TOK,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,144.66632,-3.537303,-4.251767,2310.878489,198.322653,12:30,1.847852,0.572229,1.911569,-28.921,58.9462,18.4947,0.560731,-0.439669,131.1627,-5.786114,-2.941752,0.423319,,,,,,,,,,,,-12.7947,34.1343,-0.477281,15.24,1.766046,2.853536,-39.616942,-2.523373,-2.605941,8.91147,-2.854394,RIK,TOK,JinguStadium,TeamExclusive,Team,20210509-JinguStadium-1,89949490-b06a-11eb-b664-095a2e377845,3cc22b80-5471-44be-87a7-98ae17c563ac,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,143.29611,,,13.50362,,,,16.527496,-39.905501,4.455735,1.846258,-2.430945,-1.427197,-0.571047,2.937919,-1.30297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
2,2021/5/9,02:09.0,2021/5/9,02:09.0,1,2,"Kosei, Shoji",1000101253,Right,RIK,"Kenta, Mizukoshi",1000074004,Right,TOK,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,143.54848,-2.597024,-3.277565,2350.16535,203.653591,12:45,1.827125,0.634725,1.915118,-33.5772,55.1139,22.8092,0.760114,-0.058905,130.38155,-5.179487,-1.657908,0.425299,,,,,,,,,,,,-14.2184,31.3865,-0.56223,15.24,1.766579,2.143579,-39.395945,-1.878837,-2.869247,8.664887,-3.472904,RIK,TOK,JinguStadium,TeamExclusive,Team,20210509-JinguStadium-1,8f6dc5d0-b06a-11eb-b664-095a2e377845,3cc22b80-5471-44be-87a7-98ae17c563ac,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,142.62895,,,13.16693,,,,16.523945,-39.677335,4.332443,1.825762,-1.766055,-1.736452,-0.633355,2.236758,-1.434623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
3,2021/5/9,02:22.3,2021/5/9,02:22.3,1,3,"Kosei, Shoji",1000101253,Right,RIK,"Kenta, Mizukoshi",1000074004,Right,TOK,Undefined,1,Top,0,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,146.72917,-2.079319,-4.399287,2358.487946,204.354027,12:45,1.830311,0.552214,1.977146,-26.7685,57.635,24.7769,0.978789,-0.433504,133.01682,-4.18366,-2.637393,0.414892,,,,,,,,,,,,-16.171,32.4575,-0.459099,15.24,1.784074,2.973994,-40.244109,-1.520212,-3.403524,9.083392,-2.975268,RIK,TOK,JinguStadium,TeamExclusive,Team,20210509-JinguStadium-1,9750d0d0-b06a-11eb-b664-095a2e377845,3cc22b80-5471-44be-87a7-98ae17c563ac,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,146.20672,,,13.71235,,,,16.461938,-40.518971,4.541696,1.828713,-1.430181,-1.487634,-0.550649,3.076984,-1.701762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
4,2021/5/9,02:35.6,2021/5/9,02:35.6,1,4,"Kosei, Shoji",1000101253,Right,RIK,"Kenta, Mizukoshi",1000074004,Right,TOK,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,145.46079,-3.653107,-2.336041,2366.441769,205.111946,12:45,1.839189,0.6243,1.908985,-28.2506,58.1239,25.8572,0.527832,0.226029,132.32867,-5.844957,-0.498209,0.419708,,,,,,,,,,,,-15.1614,33.7759,-0.573005,15.24,1.754833,1.502025,-39.924316,-2.620769,-3.144131,8.849748,-2.802278,RIK,TOK,JinguStadium,TeamExclusive,Team,20210509-JinguStadium-1,9f4b5b70-b06a-11eb-b664-095a2e377845,3cc22b80-5471-44be-87a7-98ae17c563ac,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,144.52897,,,13.13212,,,,16.530579,-40.209372,4.424874,1.837796,-2.530506,-1.401139,-0.623017,1.603299,-1.572066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
5,2021/5/9,02:53.0,2021/5/9,02:53.0,1,5,"Kosei, Shoji",1000101253,Right,RIK,"Kenta, Mizukoshi",1000074004,Right,TOK,Undefined,1,Top,0,3,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,145.9954,-3.481874,-3.510286,2340.633669,211.765385,1:00,1.826492,0.596389,1.9271,-24.291,61.7088,36.3111,0.603156,-0.027091,132.13323,-5.409657,-0.930644,0.418797,,,,,,,,,,,,-21.4478,35.5528,-0.520053,15.24,1.747216,2.273307,-40.024444,-2.484309,-4.454137,9.175815,-2.423282,RIK,TOK,JinguStadium,TeamExclusive,Team,20210509-JinguStadium-1,a9a69260-b06a-11eb-b664-095a2e377845,3cc22b80-5471-44be-87a7-98ae17c563ac,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,144.84357,,,13.86217,,,,16.512117,-40.315029,4.587908,1.824676,-2.407568,-1.211641,-0.594279,2.414363,-2.227068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
6,2021/5/9,03:07.3,2021/5/9,03:07.3,1,6,"Kosei, Shoji",1000101253,Right,RIK,"Kenta, Mizukoshi",1000074004,Right,TOK,Undefined,1,Top,0,3,2,Fastball,Four-Seam,InPlay,Undefined,FlyBall,FlyBall,Out,1,0,,146.91207,-3.205255,-2.95453,2354.440492,202.490812,12:45,1.842572,0.569963,1.965559,-27.9569,55.8103,21.9671,0.663287,-0.038471,134.07895,-5.374044,-1.389124,0.413325,127.86569,42.028663,13.765921,5140.223501,31.805722,24.118148,10.607367,76.893315,,22.629043,4.676936,-13.5914,32.2981,-0.507236,15.24,1.771598,1.976617,-40.346439,-2.330009,-2.889616,8.728155,-2.939888,RIK,TOK,JinguStadium,TeamExclusive,Team,20210509-JinguStadium-1,b2295fd0-b06a-11eb-b664-095a2e377845,3cc22b80-5471-44be-87a7-98ae17c563ac,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,146.76102,25.742663,,12.83311,,,,16.474093,-40.612533,4.364078,1.841267,-2.240381,-1.469944,-0.568839,2.064713,-1.444808,0.225931,0.579955,0.033769,202.216774,0.226318,25.619493,-5.90009,1.642723,-0.341409,0.059444,-0.009528,0.001184,-7e-05,0.5805,23.764071,-6.233202,0.228102,0.121055,-0.077634,0.021307,-0.00287,0.000151,0.033735,6.278733,0.212061,-0.112367,0.025613,-0.001482,-0.000727,0.000168,-1.1e-05,,,,,,,,,,,,,,,,,,,,,,,,,,21S
7,2021/5/9,03:37.0,2021/5/9,03:37.0,2,1,"Kosei, Shoji",1000101253,Right,RIK,"Reo, Akutsu",1000101208,Left,TOK,Undefined,1,Top,1,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,128.24418,2.23214,-1.015504,2347.320512,54.193023,7:45,1.823947,0.612033,1.743891,-114.1874,-3.1288,-8.4704,1.316206,0.238994,118.89606,-5.997811,-1.611955,0.475916,,,,,,,,,,,,3.6845,-1.961,-0.585554,15.24,1.872293,0.664876,-35.308406,0.922368,0.608926,5.759736,-10.130744,RIK,TOK,JinguStadium,TeamExclusive,Team,20210509-JinguStadium-1,c3daa400-b06a-11eb-b664-095a2e377845,3cc22b80-5471-44be-87a7-98ae17c563ac,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,127.45936,,,9.34812,,,,16.696524,-35.545209,2.879868,1.825809,1.338879,-5.065372,-0.612375,0.639841,0.304463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
8,2021/5/9,03:46.9,2021/5/9,03:46.9,2,2,"Kosei, Shoji",1000101253,Right,RIK,"Reo, Akutsu",1000101208,Left,TOK,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallIntentional,Undefined,Undefined,,Undefined,0,0,,141.41835,-5.112059,-4.625335,2075.990336,189.753332,12:15,1.824204,0.539859,1.985824,-35.0583,55.7366,9.0665,0.035387,-0.66591,129.65439,-7.770925,-3.980856,0.430314,,,,,,,,,,,,-8.1787,34.1001,-0.441952,15.24,1.71323,3.092059,-38.694323,-3.572119,-1.599753,8.009372,-3.136675,RIK,TOK,JinguStadium,TeamExclusive,Team,20210509-JinguStadium-1,c9c699f0-b06a-11eb-b664-095a2e377845,3cc22b80-5471-44be-87a7-98ae17c563ac,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,140.96684,,,11.76396,,,,16.454817,-38.944967,4.004686,1.82348,-3.47396,-1.568338,-0.539498,3.142122,-0.799876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
9,2021/5/9,04:09.5,2021/5/9,04:09.5,2,3,"Kosei, Shoji",1000101253,Right,RIK,"Reo, Akutsu",1000101208,Left,TOK,Undefined,1,Top,1,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,144.34288,-2.754712,-2.695393,2357.897301,203.828458,12:45,1.84999,0.626979,1.949747,-33.7965,52.9406,22.1443,0.738399,0.092318,131.95169,-5.340028,-1.118093,0.420588,,,,,,,,,,,,-13.3933,30.3595,-0.569124,15.24,1.787657,1.76045,-39.662499,-2.002554,-2.756461,8.302263,-3.558399,RIK,TOK,JinguStadium,TeamExclusive,Team,20210509-JinguStadium-1,d7435c30-b06a-11eb-b664-095a2e377845,3cc22b80-5471-44be-87a7-98ae17c563ac,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,144.2266,,,12.39119,,,,16.489677,-39.923228,4.151131,1.848791,-1.890804,-1.779199,-0.625769,1.847016,-1.37823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
10,2021/5/9,04:24.1,2021/5/9,04:24.1,2,4,"Kosei, Shoji",1000101253,Right,RIK,"Reo, Akutsu",1000101208,Left,TOK,Undefined,1,Top,1,2,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,FlyBall,Single,0,0,,147.30337,-2.00377,-2.897584,2280.249113,192.674514,12:30,1.831067,0.549579,1.967647,-27.1568,55.8256,11.9633,0.9975,-0.142798,134.62489,-4.114711,-2.045134,0.411384,109.19827,27.976657,27.800189,1668.056182,29.511598,11.490607,15.91198,67.328619,,28.437084,3.181464,-8.3008,31.4257,-0.487697,15.24,1.786246,1.992789,-40.501735,-1.484239,-1.781816,8.640126,-3.060935,RIK,TOK,JinguStadium,TeamExclusive,Team,20210509-JinguStadium-1,dfea5370-b06a-11eb-b664-095a2e377845,3cc22b80-5471-44be-87a7-98ae17c563ac,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,147.45341,11.521331,,12.67848,,,,16.472096,-40.763727,4.320063,1.829845,-1.391423,-1.530468,-0.548943,2.046819,-0.890908,0.074363,0.98002,0.137332,186.79087,0.074334,23.697039,-3.085818,0.780105,-0.165964,0.046122,-0.016283,0.003689,-0.00033,0.980101,14.22692,-5.068317,0.191755,0.024061,-0.045277,0.021612,-0.00452,0.00035,0.137312,12.494482,-1.431178,0.349736,-0.08309,0.028703,-0.010551,0.002293,-0.000197,,,,,,,,,,,,,,,,,,,,,,,,,,21S
