PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,Catcher Pos,Unnamed: 157,season
1,2021/5/15,01:40.7,2021/5/15,01:40.7,1,1,"Yu, Takeda",1000073601,Right,MEI_MEI,"Moeto, Suzuki",1000074064,Left,WAS_EDA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,143.31924,-2.620552,-4.019908,2172.780098,206.577682,1:00,1.779741,0.649206,1.876125,-39.9204,48.7885,23.0173,0.640266,-0.254469,131.44567,-5.622582,-2.391469,0.425342,,,,,,,,,,,,-14.5887,27.8327,-0.557379,15.24,1.716373,2.651462,-39.332721,-1.93235,-2.964351,7.864389,-4.15121,MEI_MEI,WAS_EDA,JinguStadium,Undefined,Team,20210515-JinguStadium-1,7d981840-b521-11eb-a6f6-41c94ac668d8,04c2a7e5-cf4b-42bb-913a-90f77b42ee4f,v3,,,,"Rikuto, Ueta",1000073554,Right,MEI_MEI,142.6147,,,11.87358,,,,16.563507,-39.596466,3.932195,1.778843,-1.793133,-2.075605,-0.647967,2.750876,-1.482175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
2,2021/5/15,01:53.6,2021/5/15,01:53.6,1,2,"Yu, Takeda",1000073601,Right,MEI_MEI,"Moeto, Suzuki",1000074064,Left,WAS_EDA,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,144.99024,-1.235136,-2.37067,2273.865872,201.389801,12:45,1.81044,0.688668,1.833828,-38.217,49.0692,18.1037,1.079197,0.200004,132.05377,-4.128698,-1.09003,0.421917,,,,,,,,,,,,-10.939,26.8964,-0.633136,15.24,1.778349,1.555961,-39.846605,-0.981724,-2.266847,8.567559,-4.233005,MEI_MEI,WAS_EDA,JinguStadium,Undefined,Team,20210515-JinguStadium-1,854b1290-b521-11eb-a6f6-41c94ac668d8,04c2a7e5-cf4b-42bb-913a-90f77b42ee4f,v3,,,,"Rikuto, Ueta",1000073554,Right,MEI_MEI,143.77218,,,12.93646,,,,16.605162,-40.13906,4.283779,1.809394,-0.837229,-2.116503,-0.68757,1.63334,-1.133424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
3,2021/5/15,02:13.0,2021/5/15,02:13.0,1,3,"Yu, Takeda",1000073601,Right,MEI_MEI,"Moeto, Suzuki",1000074064,Left,WAS_EDA,Undefined,1,Top,0,1,1,Splitter,Changeup,InPlay,Undefined,LineDrive,LineDrive,Single,0,0,,136.42765,-0.444214,-2.700767,1583.560614,242.325655,2:00,1.800103,0.710474,1.664294,-87.7154,12.7453,18.2618,0.796075,0.122012,125.03461,-6.776481,-1.421414,0.45264,162.98617,12.35119,11.202004,2787.699956,32.751416,4.399823,7.174351,61.277226,,13.724393,1.702542,-11.1637,7.6365,-0.639502,15.24,1.780938,1.67687,-37.484694,-0.663205,-2.051247,7.44771,-8.4035,MEI_MEI,WAS_EDA,JinguStadium,Undefined,Team,20210515-JinguStadium-1,90dbe350-b521-11eb-a6f6-41c94ac668d8,04c2a7e5-cf4b-42bb-913a-90f77b42ee4f,v3,,,,"Rikuto, Ueta",1000073554,Right,MEI_MEI,134.01385,4.417797,,11.39304,,,,16.775671,-37.78858,3.723855,1.801004,-0.320321,-4.20175,-0.70963,1.760566,-1.025624,0.445241,0.759364,-0.129735,285.940539,0.44524,43.382974,-7.113135,1.516293,-0.075746,-0.231835,0.167818,-0.055465,0.007394,0.759365,9.684702,-6.966979,0.964487,-0.500825,0.369417,-0.200337,0.061592,-0.007991,-0.129733,8.59233,0.178414,0.014073,-0.336716,0.391584,-0.234039,0.073896,-0.00969,,,,,,,,,,,,,,,,,,,,,,,,,,21S
4,2021/5/15,02:55.6,2021/5/15,02:55.6,2,1,"Yu, Takeda",1000073601,Right,MEI_MEI,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,LineDrive,Single,0,0,1,142.83766,-1.022198,-3.871975,2174.355711,209.513692,1:00,1.797433,0.699724,1.863078,-37.6265,52.5985,28.0263,1.1324,-0.112888,129.3949,-3.896699,-1.890296,0.428961,112.08373,18.649853,9.014615,1324.248554,33.219641,6.548139,4.536668,58.909352,,6.556054,2.43732,-17.3791,28.804,-0.610804,15.24,1.7711,2.514227,-39.199287,-0.813283,-3.467259,8.684816,-4.060049,MEI_MEI,WAS_EDA,JinguStadium,Undefined,Team,20210515-JinguStadium-1,aa3b8df0-b521-11eb-a6f6-41c94ac668d8,04c2a7e5-cf4b-42bb-913a-90f77b42ee4f,v3,,,,"Rikuto, Ueta",1000073554,Right,MEI_MEI,141.41136,6.622419,,13.44276,,,,16.576239,-39.494228,4.342408,1.796379,-0.675402,-2.030025,-0.698189,2.631977,-1.73363,0.101636,1.051639,0.127747,155.69924,0.101647,29.134584,-3.209821,0.650667,-0.09157,-0.0156,0.016986,-0.005311,0.00063,1.051627,9.956911,-4.639373,0.208483,-0.064436,0.046025,-0.023436,0.006688,-0.000776,0.127753,4.621838,-1.123372,0.184987,-0.010596,-0.015196,0.009769,-0.002833,0.000328,,,,,,,,,,,,,,,,,,,,,,,,,,21S
5,2021/5/15,03:48.6,2021/5/15,03:48.6,3,1,"Yu, Takeda",1000073601,Right,MEI_MEI,"Takuya, Hiruma",1000074108,Left,WAS_EDA,Undefined,1,Top,0,0,0,Fastball,Sinker,InPlay,Undefined,FlyBall,FlyBall,HomeRun,0,3,"1,3",145.01102,-1.071847,-3.042223,2191.260701,225.87223,1:30,1.819624,0.684044,1.830294,-46.6102,41.6123,39.6404,1.050376,0.22053,130.79186,-4.58066,-0.239362,0.424174,157.6294,27.342459,-27.013819,3292.73697,28.324862,15.802694,-17.939413,111.674203,,-40.751577,4.405858,-22.6544,23.111,-0.613631,15.24,1.790867,1.909057,-39.801031,-0.908172,-4.634315,9.373608,-5.078924,MEI_MEI,WAS_EDA,JinguStadium,Undefined,Team,20210515-JinguStadium-1,c9cb6370-b521-11eb-a6f6-41c94ac668d8,04c2a7e5-cf4b-42bb-913a-90f77b42ee4f,v3,,,,"Rikuto, Ueta",1000073554,Right,MEI_MEI,143.00729,20.769418,,14.21917,,,,16.608688,-40.122078,4.686804,1.818993,-0.734219,-2.539462,-0.681735,2.067783,-2.317157,-0.189519,0.945935,-0.194427,132.917025,-0.189453,34.650015,-7.998287,2.149879,-0.52209,0.121105,-0.025112,0.003524,-0.000216,0.94649,20.096859,-5.40798,-0.028303,0.227409,-0.115342,0.031713,-0.004432,0.000243,-0.194419,-17.6664,-0.289947,0.447618,-0.172956,0.044183,-0.007694,0.000793,-3.5e-05,,,,,,,,,,,,,,,,,,,,,,,,,,21S
6,2021/5/15,05:02.2,2021/5/15,05:02.2,4,1,"Yu, Takeda",1000073601,Right,MEI_MEI,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,Undefined,1,Top,0,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,136.19634,-0.562462,-3.364331,2367.78544,183.549034,12:00,1.833966,0.695899,1.576291,-92.7828,9.365,0.3806,0.744524,-0.266392,124.87524,-7.205431,-3.337849,0.456425,,,,,,,,,,,,-2.5781,6.085,-0.600356,15.24,1.80953,2.194863,-37.370412,-0.782321,-0.47071,7.419463,-8.695662,MEI_MEI,WAS_EDA,JinguStadium,Undefined,Team,20210515-JinguStadium-1,f5b5e960-b521-11eb-a6f6-41c94ac668d8,04c2a7e5-cf4b-42bb-913a-90f77b42ee4f,v3,,,,"Rikuto, Ueta",1000073554,Right,MEI_MEI,132.90253,,,11.3211,,,,16.863188,-37.691299,3.709732,1.835233,-0.406239,-4.347831,-0.695723,2.215221,-0.235355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
7,2021/5/15,05:16.7,2021/5/15,05:16.7,4,2,"Yu, Takeda",1000073601,Right,MEI_MEI,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,Undefined,1,Top,0,0,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,114.30099,3.532658,-1.49697,2365.039441,15.320289,6:30,1.851008,0.61336,1.597839,-191.6023,-46.2452,-13.9535,0.948553,0.044917,104.78067,-10.092805,-2.471835,0.544468,,,,,,,,,,,,5.7775,-24.1013,-0.570156,15.24,1.932972,0.882355,-31.380504,1.18278,0.738292,5.591967,-12.886484,MEI_MEI,WAS_EDA,JinguStadium,Undefined,Team,20210515-JinguStadium-1,fe553f80-b521-11eb-a6f6-41c94ac668d8,04c2a7e5-cf4b-42bb-913a-90f77b42ee4f,v3,,,,"Rikuto, Ueta",1000073554,Right,MEI_MEI,111.41141,,,9.52032,,,,16.843712,-31.664993,2.795983,1.856122,1.838377,-6.443242,-0.61409,0.844795,0.369146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
8,2021/5/15,05:35.9,2021/5/15,05:35.9,4,3,"Yu, Takeda",1000073601,Right,MEI_MEI,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,Undefined,1,Top,0,0,2,Cutter,Slider,BallinDirt,Undefined,Undefined,,Undefined,0,0,,134.87446,-2.17977,-4.22425,2411.226163,123.617202,10:00,1.806935,0.713597,1.556843,-96.1569,8.1787,-7.5644,0.217398,-0.577318,124.7041,-8.99633,-4.749365,0.461287,,,,,,,,,,,,0.8995,6.4811,-0.59133,15.24,1.735111,2.768996,-36.965831,-1.838963,0.161297,7.002619,-8.644408,MEI_MEI,WAS_EDA,JinguStadium,Undefined,Team,20210515-JinguStadium-1,09c2a9c0-b522-11eb-a6f6-41c94ac668d8,04c2a7e5-cf4b-42bb-913a-90f77b42ee4f,v3,,,,"Rikuto, Ueta",1000073554,Right,MEI_MEI,131.50173,,,10.17036,,,,16.883179,-37.275807,3.501309,1.808045,-1.456312,-4.322204,-0.713743,2.761856,0.080649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
9,2021/5/15,05:54.9,2021/5/15,05:54.9,4,4,"Yu, Takeda",1000073601,Right,MEI_MEI,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,Undefined,1,Top,0,1,2,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,133.32881,-1.487014,-4.319232,2354.104376,162.931627,11:30,1.807126,0.705041,1.612418,-93.3507,11.6734,-2.6974,0.44673,-0.560436,124.12183,-8.131425,-4.506994,0.462806,,,,,,,,,,,,-1.2917,7.6334,-0.584724,15.24,1.757489,2.77734,-36.596848,-1.35235,-0.229194,6.228364,-8.452175,MEI_MEI,WAS_EDA,JinguStadium,Undefined,Team,20210515-JinguStadium-1,152369d0-b522-11eb-a6f6-41c94ac668d8,04c2a7e5-cf4b-42bb-913a-90f77b42ee4f,v3,,,,"Rikuto, Ueta",1000073554,Right,MEI_MEI,131.06997,,,9.20698,,,,16.827882,-36.866096,3.114182,1.808052,-0.986967,-4.226087,-0.705001,2.787248,-0.114597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
10,2021/5/15,06:11.5,2021/5/15,06:11.5,4,5,"Yu, Takeda",1000073601,Right,MEI_MEI,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,Undefined,1,Top,0,2,2,Fastball,Four-Seam,HitByPitch,Undefined,Undefined,,Undefined,0,0,,142.36372,-2.393169,-0.827869,2280.668195,207.60477,1:00,1.79295,0.720338,1.852512,-36.2,54.4534,26.8573,0.755596,0.755429,129.36411,-5.15425,1.076612,0.429979,,,,,,,,,,,,-14.695,31.0098,-0.702632,15.24,1.734313,0.438559,-39.139025,-1.747461,-2.920051,8.727288,-3.644654,MEI_MEI,WAS_EDA,JinguStadium,Undefined,Team,20210515-JinguStadium-1,1efceda0-b522-11eb-a6f6-41c94ac668d8,04c2a7e5-cf4b-42bb-913a-90f77b42ee4f,v3,,,,"Rikuto, Ueta",1000073554,Right,MEI_MEI,141.0768,,,12.99961,,,,16.587613,-39.438374,4.363644,1.792107,-1.622449,-1.822327,-0.719392,0.538717,-1.460026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
