PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,Catcher Pos,Unnamed: 157,season
1,2021/5/16,02:30.7,2021/5/16,02:30.7,1,1,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Yuki, Suyama",1000073581,Left,MEI_MEI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,FlyBall,Undefined,0,0,,147.29365,-0.493383,-4.301803,2381.621183,220.994217,1:15,1.664729,0.762274,1.848776,-43.8857,40.902,33.1049,1.086306,-0.122384,133.78367,-3.790084,-1.964655,0.415835,111.81411,34.17833,-157.748741,3084.313573,-31.154319,10.5231,-12.390839,54.911411,,-158.778804,2.685961,-20.2478,22.2727,-0.662583,15.24,1.65023,2.8724,-40.421334,-0.503947,-4.309326,8.974924,-5.06636,WAS_EDA,MEI_MEI,JinguStadium,Spring,Team,20210516-JinguStadium-2,eb1e22f0-b603-11eb-a3fa-9be7433c7474,5146944e-8b23-43bd-919b-433e9d3f23a5,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,145.87515,10.875388,,13.50998,,,,16.590927,-40.720181,4.487462,1.664202,-0.335247,-2.53318,-0.760617,3.015892,-2.154663,0.324036,1.032797,0.141346,3.34128,0.323897,-23.77506,1.224436,0.507742,-0.384353,0.232895,-0.080901,0.013847,-0.00091,1.03284,17.445831,-8.992334,1.287042,-0.146308,-0.077832,0.059491,-0.015738,0.001504,0.141279,-9.726785,0.682415,0.199527,-0.173249,0.109992,-0.039115,0.006838,-0.000461,,,,,,,,,,,,,,,,,,,,,,,,,,21S
2,2021/5/16,02:46.3,2021/5/16,02:46.3,1,2,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Yuki, Suyama",1000073581,Left,MEI_MEI,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Popup,Undefined,0,0,,146.2426,-1.083906,-3.725204,2462.778429,201.535045,12:45,1.670032,0.758521,1.830042,-29.6976,57.6649,21.461,1.066277,-0.08035,131.02114,-3.408793,-2.21091,0.422102,104.05426,57.741398,-122.536613,5094.021891,-22.316751,18.450635,-25.021772,46.207069,,-133.280949,3.831676,-14.1556,31.4436,-0.670577,15.24,1.642096,2.49849,-40.08626,-0.835948,-2.919405,9.987887,-3.321811,WAS_EDA,MEI_MEI,JinguStadium,Spring,Team,20210516-JinguStadium-2,f4692260-b603-11eb-a3fa-9be7433c7474,5146944e-8b23-43bd-919b-433e9d3f23a5,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,143.70947,21.260404,,15.22146,,,,16.608795,-40.425871,4.993944,1.6686,-0.722999,-1.660905,-0.757219,2.597756,-1.459703,0.228246,1.041418,0.096997,24.865207,0.228199,-8.296164,-1.304498,0.694028,-0.126339,-0.023668,0.021136,-0.004625,0.000344,1.041811,24.431284,-8.755742,0.982464,-0.051359,-0.064016,0.0245,-0.003626,0.000194,0.096666,-12.997118,1.50696,-0.100703,-0.056744,0.026595,-0.001725,-0.000822,0.000114,,,,,,,,,,,,,,,,,,,,,,,,,,21S
3,2021/5/16,03:07.2,2021/5/16,03:07.2,1,3,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Yuki, Suyama",1000073581,Left,MEI_MEI,Undefined,1,Top,0,0,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,FlyBall,Undefined,0,0,,147.43317,-1.266356,-4.040808,2460.018126,221.740751,1:30,1.670327,0.739977,1.794955,-39.7473,46.5593,38.651,0.913508,-0.019009,132.22142,-4.289986,-1.319026,0.419543,140.62582,31.679231,-42.864,4282.130304,22.104134,16.47162,-25.209744,88.741814,,-58.079521,3.904823,-23.1523,25.7907,-0.643261,15.24,1.63647,2.649432,-40.398101,-1.029345,-4.854525,10.060625,-4.398911,WAS_EDA,MEI_MEI,JinguStadium,Spring,Team,20210516-JinguStadium-2,00e823b0-b604-11eb-a3fa-9be7433c7474,5146944e-8b23-43bd-919b-433e9d3f23a5,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,144.58582,18.551965,,15.21175,,,,16.644197,-40.746297,5.030313,1.669461,-0.877099,-2.199455,-0.737865,2.817446,-2.427263,0.283983,0.850018,0.002251,126.843467,0.283894,24.367994,-6.607698,1.743596,-0.430328,0.099473,-0.018857,0.00224,-0.000111,0.850023,20.514436,-6.802039,0.631003,-0.112327,0.024588,-0.006674,0.001355,-0.000113,0.002292,-22.614596,1.245839,-0.111051,-0.004594,0.002967,-0.000345,2.7e-05,-3e-06,,,,,,,,,,,,,,,,,,,,,,,,,,21S
4,2021/5/16,03:26.6,2021/5/16,03:26.6,1,4,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Yuki, Suyama",1000073581,Left,MEI_MEI,Undefined,1,Top,0,0,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,,147.41073,-1.805681,-4.671503,2524.720768,216.848787,1:15,1.643073,0.73742,1.816074,-34.0798,52.8174,36.9759,0.790041,-0.216124,131.24343,-4.448441,-2.068332,0.420976,,,,,,,,,,,,-23.0495,29.6073,-0.626603,15.24,1.597006,3.097922,-40.319578,-1.373914,-4.779658,10.585935,-3.667124,WAS_EDA,MEI_MEI,JinguStadium,Spring,Team,20210516-JinguStadium-2,0c76aa80-b604-11eb-a3fa-9be7433c7474,5146944e-8b23-43bd-919b-433e9d3f23a5,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,144.09368,,,16.1673,,,,16.622576,-40.680955,5.292968,1.641771,-1.248727,-1.833562,-0.735143,3.261087,-2.389829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
5,2021/5/16,03:48.4,2021/5/16,03:48.4,1,5,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Yuki, Suyama",1000073581,Left,MEI_MEI,Undefined,1,Top,0,0,2,ChangeUp,Changeup,BallinDirt,Undefined,Undefined,,Undefined,0,0,,137.88796,-1.982774,-2.991352,1581.420347,252.01481,2:30,1.661745,0.741532,1.750773,-78.7379,19.1206,48.8379,0.310696,0.380243,125.94348,-7.7096,0.450848,0.446739,,,,,,,,,,,,-27.0446,12.2022,-0.669295,15.24,1.605689,1.734675,-37.858115,-1.631614,-5.044506,7.935772,-7.53062,WAS_EDA,MEI_MEI,JinguStadium,Spring,Team,20210516-JinguStadium-2,196891e0-b604-11eb-a3fa-9be7433c7474,5146944e-8b23-43bd-919b-433e9d3f23a5,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,135.78394,,,11.94448,,,,16.689071,-38.160659,3.967886,1.66242,-1.344516,-3.76531,-0.739093,1.926991,-2.522253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
6,2021/5/16,04:04.8,2021/5/16,04:04.8,1,6,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Yuki, Suyama",1000073581,Left,MEI_MEI,Undefined,1,Top,0,1,2,Fastball,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,,146.08201,-2.718298,-4.757919,2522.739143,235.412433,1:45,1.665914,0.723679,1.862446,-48.5475,38.6759,51.3752,0.411103,-0.106603,131.57145,-6.363428,-1.126939,0.421766,,,,,,,,,,,,-30.0566,23.0438,-0.61514,15.24,1.599035,3.058539,-39.979918,-2.075074,-6.193404,9.590358,-5.058296,WAS_EDA,MEI_MEI,JinguStadium,Spring,Team,20210516-JinguStadium-2,2377f2c0-b604-11eb-a3fa-9be7433c7474,5146944e-8b23-43bd-919b-433e9d3f23a5,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,143.82395,,,14.51057,,,,16.576534,-40.29925,4.795179,1.665325,-1.906647,-2.529148,-0.720414,3.264762,-3.096702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
7,2021/5/16,04:20.6,2021/5/16,04:20.6,1,7,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Yuki, Suyama",1000073581,Left,MEI_MEI,Undefined,1,Top,0,2,2,Fastball,Sinker,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,148.42251,-1.429744,-4.985584,2439.888817,234.154305,1:45,1.617559,0.698284,1.842853,-48.2766,35.5248,45.2455,0.729737,-0.259635,134.77122,-5.031322,-1.795147,0.413409,141.66596,-28.173074,48.682152,,,,,2.178047,,38.885762,0.0469,-27.0956,20.1964,-0.582669,15.24,1.580395,3.318743,-40.685591,-1.199593,-5.837481,9.160723,-5.455524,WAS_EDA,MEI_MEI,JinguStadium,Spring,Team,20210516-JinguStadium-2,2c9d1ab0-b604-11eb-a3fa-9be7433c7474,5146944e-8b23-43bd-919b-433e9d3f23a5,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,146.73107,0.817183,,13.6513,,,,16.597168,-40.99003,4.580361,1.617248,-1.018289,-2.727762,-0.696184,3.512741,-2.918741,0.621222,0.871376,0.14538,,0.621222,22.903235,,,,,,,,0.871376,-18.579355,,,,,,,,0.14538,26.053833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
8,2021/5/16,04:58.6,2021/5/16,04:58.6,2,1,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Kaito, Muramatsu",1000073668,Left,MEI_MEI,Undefined,1,Top,1,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,,140.60066,-1.642901,-4.55213,1930.164283,246.621934,2:15,1.645593,0.762706,1.749813,-71.9125,22.4646,44.6193,0.458609,-0.08572,128.11447,-6.891568,-1.417895,0.438721,,,,,,,,,,,,-25.9689,13.6089,-0.650354,15.24,1.598562,2.839711,-38.538407,-1.40236,-5.024276,8.154372,-7.173698,WAS_EDA,MEI_MEI,JinguStadium,Spring,Team,20210516-JinguStadium-2,433fa120-b604-11eb-a3fa-9be7433c7474,5146944e-8b23-43bd-919b-433e9d3f23a5,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,138.26566,,,12.48619,,,,16.689838,-38.843968,4.077186,1.646075,-1.133547,-3.586849,-0.760291,3.02798,-2.512138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
9,2021/5/16,05:10.0,2021/5/16,05:10.0,2,2,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Kaito, Muramatsu",1000073668,Left,MEI_MEI,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,146.36554,-2.36515,-5.414525,2533.836381,210.404188,1:00,1.60724,0.766163,1.862872,-32.0997,54.5884,30.2015,0.616313,-0.462338,132.11921,-4.843393,-3.287113,0.420469,,,,,,,,,,,,-19.6904,30.8108,-0.641004,15.24,1.549594,3.638494,-40.036258,-1.747971,-4.086136,9.285478,-3.412799,WAS_EDA,MEI_MEI,JinguStadium,Spring,Team,20210516-JinguStadium-2,4a150cb0-b604-11eb-a3fa-9be7433c7474,5146944e-8b23-43bd-919b-433e9d3f23a5,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,144.26734,,,14.24633,,,,16.576077,-40.34494,4.642739,1.605817,-1.634518,-1.7064,-0.764218,3.774332,-2.043068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
10,2021/5/16,05:26.0,2021/5/16,05:26.0,2,3,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Kaito, Muramatsu",1000073668,Left,MEI_MEI,Undefined,1,Top,1,2,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,FlyBall,Undefined,0,0,,146.82002,-2.116269,-3.613832,2545.554797,211.128664,1:00,1.665107,0.692268,1.919596,-31.0305,54.0457,30.8169,0.759021,-0.015808,132.66678,-4.524518,-1.425898,0.416542,142.13917,51.000973,-36.744145,4123.986414,23.045706,33.948174,-24.35203,80.619031,,-53.843701,5.482765,-18.843,30.6171,-0.612962,15.24,1.615769,2.391493,-40.2874,-1.573266,-3.956767,9.458035,-3.377498,WAS_EDA,MEI_MEI,JinguStadium,Spring,Team,20210516-JinguStadium-2,539e2690-b604-11eb-a3fa-9be7433c7474,5146944e-8b23-43bd-919b-433e9d3f23a5,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,145.62762,36.852231,,14.15323,,,,16.519786,-40.586735,4.729018,1.66387,-1.466373,-1.688749,-0.690632,2.51672,-1.978383,0.387824,0.666796,0.044925,150.561474,0.390924,19.841358,-6.385236,1.610113,-0.096622,-0.085527,0.029666,-0.003945,0.000193,0.663249,30.745281,-8.083932,0.995278,-0.234728,0.046367,-0.004712,5.8e-05,1.4e-05,0.04552,-14.876731,0.902524,-0.086793,0.023508,-0.014775,0.004348,-0.000576,2.8e-05,,,,,,,,,,,,,,,,,,,,,,,,,,21S
