PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,Catcher Pos,Unnamed: 157,season
1.0,2021/5/22,01:05.9,2021/5/22,01:05.9,1,1.0,"Ginji, Miura",1000073786,Right,HOS_HOS,"Kenta, Mizukoshi",1000074004,Right,TOK,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,145.29935,-2.513593,-1.593111,2355.068771,202.088747,12:45,1.674431,0.371562,1.746041,-28.9014,58.7907,22.7077,0.67116,0.146293,132.69204,-4.728893,0.005658,0.422897,,,,,,,,,,,,-12.5961,32.4395,-0.33272,15.24,1.608349,0.989242,-39.918255,-1.835136,-2.627018,8.376974,-3.041117,HOS_HOS,TOK,JinguStadium,TeamExclusive,Team,20210522-JinguStadium-2,554173f0-bab2-11eb-8d99-ff32db60bd39,9907e35f-9293-4ead-b943-f37977761c6b,v3,,,,"Daichi, Funyuu",1000073839.0,Right,HOS_HOS,143.43912,,,12.60731,,,,16.693228,-40.222064,4.188487,1.672904,-1.724844,-1.520559,-0.370325,1.084516,-1.313509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
2.0,2021/5/22,01:17.9,2021/5/22,01:17.9,1,2.0,"Ginji, Miura",1000073786,Right,HOS_HOS,"Kenta, Mizukoshi",1000074004,Right,TOK,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Popup,Undefined,0,0,,145.5841,-2.662826,-1.823539,2380.050801,203.214195,12:45,1.702622,0.354619,1.655576,-27.1194,61.3337,25.0617,0.670405,0.084541,132.78903,-4.74553,-0.069167,0.424728,99.73468,40.030927,133.742389,5424.394959,-26.349065,12.902093,20.732901,53.337758,,145.630956,3.180595,-13.9391,33.6605,-0.307552,15.24,1.628577,1.137138,-39.973191,-1.941561,-2.911585,8.497062,-2.775702,HOS_HOS,TOK,JinguStadium,TeamExclusive,Team,20210522-JinguStadium-2,5c68a900-bab2-11eb-8d99-ff32db60bd39,9907e35f-9293-4ead-b943-f37977761c6b,v3,,,,"Daichi, Funyuu",1000073839.0,Right,HOS_HOS,142.82069,13.486997,,12.79507,,,,16.784129,-40.300088,4.248531,1.701218,-1.834775,-1.387851,-0.353455,1.249152,-1.455793,0.299874,0.648371,-0.088854,302.561447,0.300085,-14.675493,0.001861,0.031193,0.170171,-0.159546,0.069499,-0.015298,0.001362,0.648353,17.820189,-6.941631,0.682267,-0.165089,0.055192,-0.02034,0.004944,-0.000511,-0.088821,15.324015,-3.219762,0.744014,-0.126831,0.009157,0.002197,-0.001245,0.000183,,,,,,,,,,,,,,,,,,,,,,,,,,21S
3.0,2021/5/22,01:38.7,2021/5/22,01:38.7,1,3.0,"Ginji, Miura",1000073786,Right,HOS_HOS,"Kenta, Mizukoshi",1000074004,Right,TOK,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,146.48211,-0.079974,-3.208115,2273.80513,205.828714,12:45,1.687151,0.384491,1.800296,-34.5641,51.9703,23.7091,1.318848,-0.287004,132.29322,-2.727494,-1.536544,0.420096,,,,,,,,,,,,-14.4148,27.3544,-0.307413,15.24,1.682743,2.124167,-40.197167,-0.158616,-3.020248,9.234364,-4.075226,HOS_HOS,TOK,JinguStadium,TeamExclusive,Team,20210522-JinguStadium-2,68d50cb0-bab2-11eb-8d99-ff32db60bd39,9907e35f-9293-4ead-b943-f37977761c6b,v3,,,,"Daichi, Funyuu",1000073839.0,Right,HOS_HOS,144.39541,,,14.18889,,,,16.638055,-40.517065,4.617182,1.685793,-0.017442,-2.037613,-0.382811,2.228794,-1.510124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
4.0,2021/5/22,01:54.1,2021/5/22,01:54.1,1,4.0,"Ginji, Miura",1000073786,Right,HOS_HOS,"Kenta, Mizukoshi",1000074004,Right,TOK,Undefined,1,Top,0,1,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,,146.38158,-0.964051,-2.51318,2168.381478,208.813817,1:00,1.710552,0.33885,1.759927,-32.9049,53.7616,27.9733,1.107786,-0.094671,132.81391,-3.479032,-0.543499,0.420417,,,,,,,,,,,,-16.1132,28.957,-0.277597,15.24,1.683929,1.617013,-40.211076,-0.780533,-3.389213,8.988641,-3.715917,HOS_HOS,TOK,JinguStadium,TeamExclusive,Team,20210522-JinguStadium-2,726133d0-bab2-11eb-8d99-ff32db60bd39,9907e35f-9293-4ead-b943-f37977761c6b,v3,,,,"Daichi, Funyuu",1000073839.0,Right,HOS_HOS,144.28533,,,13.56767,,,,16.67947,-40.531573,4.49432,1.709398,-0.648039,-1.857958,-0.337407,1.737858,-1.694606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
5.0,2021/5/22,02:18.5,2021/5/22,02:18.5,1,5.0,"Ginji, Miura",1000073786,Right,HOS_HOS,"Kenta, Mizukoshi",1000074004,Right,TOK,Undefined,1,Top,0,1,2,Cutter,Slider,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,,133.45328,-1.125574,-1.76144,2125.041181,151.200759,11:00,1.665241,0.349767,1.623899,-81.1592,24.6446,-11.6559,0.531544,-0.270718,122.08739,-6.99353,-2.576427,0.464521,,,,,,,,,,,,4.554,14.2248,-0.300192,15.24,1.627285,1.186114,-36.6529,-1.056496,0.797688,7.316931,-7.315037,HOS_HOS,TOK,JinguStadium,TeamExclusive,Team,20210522-JinguStadium-2,8089c670-bab2-11eb-8d99-ff32db60bd39,9907e35f-9293-4ead-b943-f37977761c6b,v3,,,,"Daichi, Funyuu",1000073839.0,Right,HOS_HOS,130.58614,,,11.36589,,,,16.815372,-36.96605,3.658465,1.665801,-0.743427,-3.657518,-0.350225,1.151974,0.398844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
6.0,2021/5/22,02:45.9,2021/5/22,02:45.9,2,1.0,"Ginji, Miura",1000073786,Right,HOS_HOS,"Tetsuya, Nakai",1000073897,Left,TOK,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,145.80248,-2.954842,-1.594727,2277.549726,200.576752,12:45,1.687982,0.34541,1.676893,-31.4207,56.1217,20.0434,0.530357,0.091113,133.75713,-5.324572,-0.189417,0.422536,,,,,,,,,,,,-11.179,31.1323,-0.304611,15.24,1.60677,1.007057,-40.049983,-2.173044,-2.356938,8.09209,-3.24284,HOS_HOS,TOK,JinguStadium,TeamExclusive,Team,20210522-JinguStadium-2,90dcda30-bab2-11eb-8d99-ff32db60bd39,9907e35f-9293-4ead-b943-f37977761c6b,v3,,,,"Daichi, Funyuu",1000073839.0,Right,HOS_HOS,143.56167,,,12.04534,,,,16.762786,-40.356489,4.046045,1.686753,-2.050214,-1.62142,-0.344446,1.096331,-1.178469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
7.0,2021/5/22,02:57.1,2021/5/22,02:57.2,2,2.0,"Ginji, Miura",1000073786,Right,HOS_HOS,"Tetsuya, Nakai",1000073897,Left,TOK,Undefined,1,Top,1,0,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,FlyBall,Undefined,0,0,,146.46861,-1.366797,-1.160599,2245.93176,192.368539,12:30,1.691569,0.321841,1.799287,-28.4202,56.9821,11.9127,1.020497,0.112547,133.97261,-3.551269,-0.318981,0.41734,109.37801,39.548841,-153.198151,3779.807433,-30.960703,13.412938,-12.866981,57.854928,,-161.403658,2.985802,-6.903,30.944,-0.29424,15.24,1.656139,0.755022,-40.297072,-1.042857,-1.469522,8.406022,-3.21926,HOS_HOS,TOK,JinguStadium,TeamExclusive,Team,20210522-JinguStadium-2,979791d0-bab2-11eb-8d99-ff32db60bd39,9907e35f-9293-4ead-b943-f37977761c6b,v3,,,,"Daichi, Funyuu",1000073839.0,Right,HOS_HOS,145.34924,13.587152,,12.49599,,,,16.640352,-40.588136,4.203011,1.690318,-0.931388,-1.60963,-0.321264,0.805905,-0.734761,0.079818,0.943334,-0.100785,24.788968,0.079787,-20.910129,0.460628,0.202924,-0.030633,-0.021483,0.021008,-0.006379,0.000658,0.943394,19.343296,-8.437636,0.958953,-0.138764,-0.015893,0.016736,-0.003662,0.000267,-0.100836,-10.562213,1.67,-0.104536,0.023747,-0.02463,0.019547,-0.006119,0.000655,,,,,,,,,,,,,,,,,,,,,,,,,,21S
8.0,2021/5/22,03:17.9,2021/5/22,03:17.9,2,3.0,"Ginji, Miura",1000073786,Right,HOS_HOS,"Tetsuya, Nakai",1000073897,Left,TOK,Undefined,1,Top,1,0,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,,146.81048,-1.850796,-0.753813,2188.43171,201.092064,12:45,1.682126,0.360717,1.799937,-31.8851,53.1006,19.4616,0.839411,0.342049,134.43452,-4.274541,0.621627,0.41632,,,,,,,,,,,,-10.3957,29.169,-0.34354,15.24,1.634547,0.42833,-40.381517,-1.401825,-2.224519,8.361311,-3.564906,HOS_HOS,TOK,JinguStadium,TeamExclusive,Team,20210522-JinguStadium-2,a3f54f80-bab2-11eb-8d99-ff32db60bd39,9907e35f-9293-4ead-b943-f37977761c6b,v3,,,,"Daichi, Funyuu",1000073839.0,Right,HOS_HOS,145.70513,,,12.37596,,,,16.639272,-40.670215,4.180655,1.680824,-1.278737,-1.782453,-0.359656,0.505138,-1.112259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
9.0,2021/5/22,03:44.7,2021/5/22,03:44.7,2,4.0,"Ginji, Miura",1000073786,Right,HOS_HOS,"Tetsuya, Nakai",1000073897,Left,TOK,Undefined,1,Top,1,0,2,Fastball,Four-Seam,InPlay,Undefined,FlyBall,LineDrive,Out,1,0,,146.62389,-0.972013,-1.567435,1960.613417,203.683938,12:45,1.676975,0.346066,1.726709,-35.1943,50.423,21.0031,1.048653,0.110517,134.68927,-3.615385,-0.090323,0.417864,127.16156,27.990741,-11.130717,2234.814938,32.356329,14.641582,-8.78594,85.012748,,-20.8845,4.001197,-11.7085,27.0438,-0.307325,15.24,1.649309,0.993237,-40.345438,-0.808676,-2.510743,8.030285,-4.007452,HOS_HOS,TOK,JinguStadium,TeamExclusive,Team,20210522-JinguStadium-2,b3f7ab30-bab2-11eb-8d99-ff32db60bd39,9907e35f-9293-4ead-b943-f37977761c6b,v3,,,,"Daichi, Funyuu",1000073839.0,Right,HOS_HOS,145.1667,16.27291,,11.93462,,,,16.713173,-40.637597,4.015143,1.676078,-0.662876,-2.003726,-0.345123,1.084583,-1.255372,0.064301,1.036023,-0.10768,145.695084,0.064145,30.608905,-5.191242,1.198748,-0.301868,0.087318,-0.02207,0.003419,-0.000221,1.036283,16.570162,-4.7966,0.109291,0.089208,-0.062701,0.0207,-0.00333,0.000207,-0.107662,-6.021737,-0.932488,0.285772,-0.068712,0.012579,-0.001653,0.000155,-8e-06,,,,,,,,,,,,,,,,,,,,,,,,,,21S
10.0,2021/5/22,04:22.0,2021/5/22,04:22.0,3,1.0,"Ginji, Miura",1000073786,Right,HOS_HOS,"Shuhei, Ohto",1000101206,Right,TOK,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,146.01469,-1.130331,-1.742299,2153.619685,192.196714,12:30,1.684714,0.33859,1.793965,-27.1786,58.5212,12.0951,1.092822,-0.033733,133.99412,-3.221086,-0.888463,0.418066,,,,,,,,,,,,-7.3013,31.4106,-0.296569,15.24,1.654968,1.158945,-40.17497,-0.866372,-1.551743,8.000787,-3.131008,HOS_HOS,TOK,JinguStadium,TeamExclusive,Team,20210522-JinguStadium-2,ca2e2960-bab2-11eb-8d99-ff32db60bd39,9907e35f-9293-4ead-b943-f37977761c6b,v3,,,,"Daichi, Funyuu",1000073839.0,Right,HOS_HOS,145.09686,,,12.02057,,,,16.645493,-40.453903,4.000393,1.68327,-0.757215,-1.565504,-0.337916,1.213044,-0.775871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
