PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,Catcher Pos,Unnamed: 157,season
1,2021/5/23,48:08.1,2021/5/23,48:08.1,1,1,"Yuma, Kurio",1000074151,Right,RIK,"Kaito, Muramatsu",1000073668,Left,MEI_MEI,Undefined,1,Top,0,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,111.98974,2.387884,-1.26239,2051.933633,58.302138,8:00,1.727174,0.824261,1.876999,-170.6254,-22.5142,-45.149,0.693854,0.017249,101.58367,-10.022193,-4.470889,0.549603,,,,,,,,,,,,22.046,-11.9058,-0.79248,15.24,1.772374,0.856742,-30.766699,0.717441,2.665076,6.109701,-11.245909,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20210523-JinguStadium-2,afc2aca0-bb79-11eb-bd6a-9b8c2ad6aabd,ca884587-2150-4a13-8868-4632106332a4,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,110.37067,,,10.40608,,,,16.563219,-31.028353,3.054851,1.731336,1.199059,-5.622955,-0.826727,0.742607,1.332538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
2,2021/5/23,48:17.3,2021/5/23,48:17.3,1,2,"Yuma, Kurio",1000074151,Right,RIK,"Kaito, Muramatsu",1000073668,Left,MEI_MEI,Undefined,1,Top,0,0,1,ChangeUp,Changeup,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,133.79399,-1.536592,-3.517677,1550.527049,237.007379,2:00,1.754052,0.881608,2.026931,-78.3841,20.1915,26.9646,0.540646,0.168716,124.4992,-7.296319,-1.58736,0.448373,170.39694,-6.380625,14.203282,,,,,4.018134,,8.62868,0.0784,-16.4343,12.4131,-0.810613,15.24,1.718597,2.154783,-36.837213,-1.251416,-2.958539,6.218017,-7.572013,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20210523-JinguStadium-2,b547ca70-bb79-11eb-bd6a-9b8c2ad6aabd,ca884587-2150-4a13-8868-4632106332a4,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,135.28916,0.43092,,9.29479,,,,16.413637,-37.03479,3.109009,1.754538,-1.010816,-3.786007,-0.880574,2.24879,-1.479269,0.397514,0.412399,-0.302026,,0.397514,45.601354,,,,,,,,0.412399,-5.260195,,,,,,,,-0.302026,11.541696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
3,2021/5/23,48:42.6,2021/5/23,48:42.6,2,1,"Yuma, Kurio",1000074151,Right,RIK,"Rikuto, Yamada",1000073645,Right,MEI_MEI,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,108.06808,4.000502,-2.32338,2021.590121,48.89845,7:45,1.733278,0.781218,1.961407,-176.4454,-20.9545,-29.6362,1.092141,-0.166295,99.12219,-8.868802,-4.433911,0.563128,,,,,,,,,,,,13.5626,-12.0942,-0.729497,15.24,1.811098,1.313221,-29.682522,1.538419,1.552824,4.942372,-11.191348,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20210523-JinguStadium-2,c456c570-bb79-11eb-bd6a-9b8c2ad6aabd,ca884587-2150-4a13-8868-4632106332a4,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,107.71973,,,8.9459,,,,16.479255,-29.888155,2.471186,1.737404,2.004048,-5.595674,-0.782791,1.248614,0.776412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
4,2021/5/23,48:52.4,2021/5/23,48:52.4,2,2,"Yuma, Kurio",1000074151,Right,RIK,"Rikuto, Yamada",1000073645,Right,MEI_MEI,Undefined,1,Top,1,1,0,Fastball,Cutter,BallCalled,Undefined,Undefined,,Undefined,0,0,,137.94326,-3.780317,-4.150047,2259.919352,165.818407,11:30,1.776912,0.91592,2.222533,-40.8629,51.1101,-12.1939,0.322362,-0.351566,126.98733,-6.890164,-5.030188,0.433097,,,,,,,,,,,,3.7117,31.1821,-0.844536,15.24,1.710394,2.794843,-37.871292,-2.601604,0.697321,7.481269,-3.9484,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20210523-JinguStadium-2,ca321990-bb79-11eb-bd6a-9b8c2ad6aabd,ca884587-2150-4a13-8868-4632106332a4,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,140.06113,,,10.95593,,,,16.217301,-38.063863,3.740635,1.776052,-2.499971,-1.9742,-0.916245,2.776894,0.348661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
5,2021/5/23,49:03.4,2021/5/23,49:03.4,2,3,"Yuma, Kurio",1000074151,Right,RIK,"Rikuto, Yamada",1000073645,Right,MEI_MEI,Undefined,1,Top,1,2,0,Slider,Curveball,FoulBall,Undefined,Undefined,Popup,Undefined,0,0,,124.0284,0.766687,-2.493538,2166.871594,76.073875,8:30,1.673061,0.994199,1.875606,-118.7722,-1.3344,-18.6928,0.701458,0.104636,115.05053,-7.843147,-3.819704,0.489394,112.23796,66.422158,130.308328,5329.191017,-26.634434,27.319805,20.364938,49.882194,,145.990688,4.752367,8.1045,-0.285,-0.93527,15.24,1.683437,1.563714,-34.151791,0.037685,1.244886,5.772096,-9.850431,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20210523-JinguStadium-2,d0bebc50-bb79-11eb-bd6a-9b8c2ad6aabd,ca884587-2150-4a13-8868-4632106332a4,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,123.94918,29.363727,,8.97787,,,,16.565028,-34.375008,2.886048,1.674614,0.418619,-4.925215,-0.99481,1.515572,0.622443,0.72387,0.689772,-0.118709,344.613398,0.7223,-8.025512,-2.219506,1.427512,-0.694215,0.261238,-0.059389,0.007103,-0.000349,0.687087,28.632552,-9.205274,1.649468,-0.528288,0.136344,-0.020262,0.001316,-2.1e-05,-0.118965,9.508066,-0.664371,-0.300978,0.280303,-0.145927,0.040413,-0.005526,0.000299,,,,,,,,,,,,,,,,,,,,,,,,,,21S
6,2021/5/23,49:19.6,2021/5/23,49:19.6,2,4,"Yuma, Kurio",1000074151,Right,RIK,"Rikuto, Yamada",1000073645,Right,MEI_MEI,Undefined,1,Top,1,2,1,Slider,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,125.64413,0.796706,-2.124219,2035.133885,96.560875,9:15,1.659913,1.019279,1.850471,-110.0379,4.3705,-10.6702,0.784408,0.313181,116.64985,-7.182557,-2.880337,0.483041,,,,,,,,,,,,4.1692,2.7721,-0.968476,15.24,1.671683,1.329118,-34.602902,0.081432,0.659986,5.693875,-9.36783,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20210523-JinguStadium-2,da6b8ad0-bb79-11eb-bd6a-9b8c2ad6aabd,ca884587-2150-4a13-8868-4632106332a4,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,125.5795,,,8.99428,,,,16.58979,-34.824301,2.846937,1.661435,0.445687,-4.683915,-1.019658,1.303455,0.329993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
7,2021/5/23,49:34.3,2021/5/23,49:34.3,2,5,"Yuma, Kurio",1000074151,Right,RIK,"Rikuto, Yamada",1000073645,Right,MEI_MEI,Undefined,1,Top,1,2,2,Slider,Curveball,InPlay,Undefined,FlyBall,FlyBall,Out,1,0,,122.70193,0.056918,-2.19945,2163.604948,56.646868,8:00,1.712226,0.908219,2.008632,-123.1775,-5.8297,-13.589,0.496358,0.157759,114.65014,-8.909466,-3.173115,0.489206,142.57623,38.222207,-6.033026,3641.059396,33.454599,23.966627,-2.216728,96.560397,,0.14356,5.34964,5.8432,-2.2671,-0.86172,15.24,1.707209,1.350339,-33.835862,-0.365989,0.88509,5.401146,-10.150059,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20210523-JinguStadium-2,e32323e0-bb79-11eb-bd6a-9b8c2ad6aabd,ca884587-2150-4a13-8868-4632106332a4,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,123.99672,30.616289,,8.05179,,,,16.432317,-34.025657,2.700573,1.713803,-0.009319,-5.07503,-0.908624,1.319237,0.442545,0.597655,0.424654,-0.144897,193.381451,0.598742,30.920745,-6.465916,1.563844,-0.233249,0.011087,0.002413,-0.000389,1.6e-05,0.424565,24.502411,-5.389492,0.145829,0.042673,-0.027459,0.007781,-0.001064,5.5e-05,-0.145114,-3.265855,1.789558,-0.473076,0.079755,-0.006213,-0.000346,9.9e-05,-5e-06,,,,,,,,,,,,,,,,,,,,,,,,,,21S
8,2021/5/23,50:05.8,2021/5/23,50:05.8,3,1,"Yuma, Kurio",1000074151,Right,RIK,"Kazuya, Maruyama",1000073566,Left,MEI_MEI,Undefined,1,Top,2,0,0,ChangeUp,Changeup,FoulBall,Undefined,Undefined,,Undefined,0,0,,132.78745,-1.479111,-3.099468,1479.894808,244.134753,2:15,1.757168,0.886049,2.068017,-84.4988,14.2225,24.3226,0.499929,0.266018,124.63132,-7.670523,-1.352159,0.448704,,,,,,,,,,,,-14.6891,9.1139,-0.825677,15.24,1.723945,1.88771,-36.608618,-1.223229,-2.632435,5.603962,-8.173344,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20210523-JinguStadium-2,f5f0d490-bb79-11eb-bd6a-9b8c2ad6aabd,ca884587-2150-4a13-8868-4632106332a4,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,135.18933,,,8.15613,,,,16.372854,-36.781624,2.801981,1.757813,-0.970901,-4.086672,-0.885209,1.968979,-1.316218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
9,2021/5/23,50:21.5,2021/5/23,50:21.5,3,2,"Yuma, Kurio",1000074151,Right,RIK,"Kazuya, Maruyama",1000073566,Left,MEI_MEI,Undefined,1,Top,2,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,,126.31984,-2.50243,-3.505898,1812.187444,230.141795,1:45,1.699879,0.819822,2.10571,-87.8947,21.4925,22.2479,0.124541,0.067888,118.24686,-8.954586,-1.904254,0.472322,,,,,,,,,,,,-14.0727,13.8052,-0.753553,15.24,1.648057,2.05123,-34.778945,-1.784475,-2.262151,5.436105,-7.58749,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20210523-JinguStadium-2,ff4d8740-bb79-11eb-bd6a-9b8c2ad6aabd,ca884587-2150-4a13-8868-4632106332a4,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,128.42942,,,8.07298,,,,16.335079,-34.949692,2.718053,1.700364,-1.546154,-3.793745,-0.819097,2.122284,-1.131076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
10,2021/5/23,50:33.2,2021/5/23,50:33.2,3,3,"Yuma, Kurio",1000074151,Right,RIK,"Kazuya, Maruyama",1000073566,Left,MEI_MEI,Undefined,1,Top,2,1,1,Slider,Curveball,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,126.87345,-0.151428,-2.052706,2171.307592,77.918244,8:30,1.696168,0.941885,1.941849,-116.4919,-3.3494,-33.1651,0.488753,0.03431,116.05274,-8.651245,-4.417996,0.480361,,,,,,,,,,,,15.7194,-0.5493,-0.894949,15.24,1.68645,1.389236,-34.905057,-0.500319,2.475255,7.159875,-9.893153,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20210523-JinguStadium-2,063eb830-bb7a-11eb-bd6a-9b8c2ad6aabd,ca884587-2150-4a13-8868-4632106332a4,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,126.2801,,,10.82071,,,,16.498228,-35.162203,3.579938,1.698039,-0.145008,-4.946577,-0.943247,1.300337,1.237627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
