PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,Catcher Pos,Unnamed: 157,season
1.0,2021/5/23,00:22.1,2021/5/23,00:22.1,1,1.0,"Yusuke, Okuno",1000073942,Right,TOK,"Yuki, Okada",1000073821,Left,HOS_HOS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,135.896,0.538415,-1.639415,2173.767034,204.56743,12:45,1.620844,0.660028,1.793111,-45.8105,54.3479,23.3166,1.315201,0.429041,123.16483,-2.928438,0.006732,0.451958,,,,,,,,,,,,-13.0378,28.2784,-0.621241,15.24,1.630895,0.952907,-37.343378,0.208719,-2.363459,7.801055,-4.680417,TOK,HOS_HOS,JinguStadium,TeamExclusive,Team,20210523-JinguStadium-1,4008cdc0-bb62-11eb-b7dc-ab999d095fdb,ceab4d8c-2a18-43c7-af76-7f9913df0bf2,v3,,,,"Taiki, Matsuoka",1000073870.0,Right,TOK,134.21593,,,12.73117,,,,16.64552,-37.635847,3.900528,1.61978,0.384192,-2.340208,-0.658627,1.041515,-1.18173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
2.0,2021/5/23,00:32.0,2021/5/23,00:32.0,1,2.0,"Yusuke, Okuno",1000073942,Right,TOK,"Yuki, Okada",1000073821,Left,HOS_HOS,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Popup,Undefined,0,0,,136.45794,-0.976343,-2.927563,2150.718796,201.189059,12:45,1.636625,0.647937,1.831954,-43.8677,55.201,20.0882,0.921875,0.021453,123.76818,-4.3038,-1.507865,0.449493,121.06257,73.922597,-74.38354,2385.132594,,,,41.636187,,-106.051118,5.197939,-12.5547,30.1188,-0.579175,15.24,1.61038,1.820761,-37.476476,-0.773364,-2.289419,7.938559,-4.314337,TOK,HOS_HOS,JinguStadium,TeamExclusive,Team,20210523-JinguStadium-1,45f95790-bb62-11eb-b7dc-ab999d095fdb,ceab4d8c-2a18-43c7-af76-7f9913df0bf2,v3,,,,"Taiki, Matsuoka",1000073870.0,Right,TOK,134.9521,11.010517,,12.68976,,,,16.607294,-37.764996,3.969279,1.635638,-0.616563,-2.157169,-0.646861,1.903968,-1.144709,0.346546,0.871429,-0.010018,163.147785,0.346546,2.507008,-3.410643,1.154305,-0.302178,0.075612,-0.018632,0.003874,-0.00031,0.871429,32.313228,-9.188503,1.217209,-0.24252,0.05642,-0.048113,0.070021,-0.048914,-0.010018,-8.969146,0.183744,0.090258,-0.043872,0.013259,-0.002327,-0.00175,0.001789,,,,,,,,,,,,,,,,,,,,,,,,,,21S
3.0,2021/5/23,00:54.2,2021/5/23,00:54.2,1,3.0,"Yusuke, Okuno",1000073942,Right,TOK,"Yuki, Okada",1000073821,Left,HOS_HOS,Undefined,1,Top,0,1,1,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,126.45065,1.308531,-3.169208,2352.61124,144.370383,10:45,1.618333,0.687356,1.643229,-90.4523,25.8783,-16.216,1.088243,-0.381045,116.85785,-5.219044,-4.300177,0.487081,,,,,,,,,,,,6.1279,13.2343,-0.599647,15.24,1.646388,2.00051,-34.739991,0.440615,0.977558,5.75066,-7.695423,TOK,HOS_HOS,JinguStadium,TeamExclusive,Team,20210523-JinguStadium-1,532e8980-bb62-11eb-b7dc-ab999d095fdb,ceab4d8c-2a18-43c7-af76-7f9913df0bf2,v3,,,,"Taiki, Matsuoka",1000073870.0,Right,TOK,124.53771,,,9.5928,,,,16.796331,-34.996669,2.87533,1.619056,0.784096,-3.847712,-0.687965,1.956878,0.488779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
4.0,2021/5/23,01:05.4,2021/5/23,01:05.4,1,4.0,"Yusuke, Okuno",1000073942,Right,TOK,"Yuki, Okada",1000073821,Left,HOS_HOS,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,136.1378,0.913932,-2.503507,2134.233491,211.098121,1:00,1.628916,0.647408,1.856775,-43.3291,55.9166,31.7077,1.453561,0.258215,123.11833,-2.393134,-0.25786,0.449894,,,,,,,,,,,,-18.0961,28.9959,-0.59045,15.24,1.647578,1.481234,-37.39785,0.473095,-3.284493,7.938447,-4.543811,TOK,HOS_HOS,JinguStadium,TeamExclusive,Team,20210523-JinguStadium-1,59dfcb40-bb62-11eb-b7dc-ab999d095fdb,ceab4d8c-2a18-43c7-af76-7f9913df0bf2,v3,,,,"Taiki, Matsuoka",1000073870.0,Right,TOK,134.83167,,,13.01947,,,,16.581985,-37.681636,3.969223,1.627762,0.635529,-2.271906,-0.6455,1.59865,-1.642247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
5.0,2021/5/23,01:21.1,2021/5/23,01:21.1,1,5.0,"Yusuke, Okuno",1000073942,Right,TOK,"Yuki, Okada",1000073821,Left,HOS_HOS,Undefined,1,Top,0,3,1,Cutter,Slider,BallCalled,Walk,Undefined,,Undefined,0,0,,125.77929,-0.400358,-2.734163,2345.521676,136.877027,10:30,1.588316,0.705544,1.684226,-92.6586,24.0639,-19.4903,0.547518,-0.269036,116.79003,-7.072947,-4.099425,0.487901,,,,,,,,,,,,8.166,13.4401,-0.631445,15.24,1.570247,1.740791,-34.59298,-0.597152,1.292153,5.680938,-7.679958,TOK,HOS_HOS,JinguStadium,TeamExclusive,Team,20210523-JinguStadium-1,6336ffb0-bb62-11eb-b7dc-ab999d095fdb,ceab4d8c-2a18-43c7-af76-7f9913df0bf2,v3,,,,"Taiki, Matsuoka",1000073870.0,Right,TOK,124.32839,,,8.98927,,,,16.755756,-34.841012,2.840469,1.588999,-0.261842,-3.839979,-0.706217,1.684375,0.646077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
6.0,2021/5/23,01:52.4,2021/5/23,01:52.4,2,1.0,"Yusuke, Okuno",1000073942,Right,TOK,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,Undefined,1,Top,0,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,1,126.1813,-0.984517,-2.484836,2275.43389,114.437898,9:45,1.601512,0.739558,1.706332,-103.4669,13.038,-20.9847,0.286398,-0.177815,116.63991,-8.42221,-3.958887,0.487446,,,,,,,,,,,,8.9884,8.3064,-0.672952,15.24,1.567687,1.600006,-34.689155,-0.995973,1.418143,6.221144,-8.496114,TOK,HOS_HOS,JinguStadium,TeamExclusive,Team,20210523-JinguStadium-1,75e652f0-bb62-11eb-b7dc-ab999d095fdb,ceab4d8c-2a18-43c7-af76-7f9913df0bf2,v3,,,,"Taiki, Matsuoka",1000073870.0,Right,TOK,124.44449,,,9.54138,,,,16.733758,-34.956019,3.110572,1.602593,-0.631522,-4.248057,-0.740281,1.539173,0.709071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
7.0,2021/5/23,02:56.4,2021/5/23,02:56.4,2,2.0,"Yusuke, Okuno",1000073942,Right,TOK,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,Undefined,1,Top,0,1,0,Fastball,Four-Seam,InPlay,Undefined,Bunt,,Sacrifice,1,0,2,134.98036,-1.317104,-2.295661,2171.154281,214.125881,1:15,1.585018,0.721117,1.812104,-52.6345,48.2027,30.4528,0.685945,0.376284,123.28179,-5.245225,-0.143248,0.453487,,,,,,,,,,,,-17.3365,26.6867,-0.667484,15.24,1.549502,1.345146,-37.108457,-1.031245,-3.117766,7.387942,-5.007364,TOK,HOS_HOS,JinguStadium,TeamExclusive,Team,20210523-JinguStadium-1,9c02cb30-bb62-11eb-b7dc-ab999d095fdb,ceab4d8c-2a18-43c7-af76-7f9913df0bf2,v3,,,,"Taiki, Matsuoka",1000073870.0,Right,TOK,133.76336,,,11.69857,,,,16.627647,-37.383704,3.693971,1.584447,-0.84469,-2.503682,-0.719763,1.461302,-1.558883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
8.0,2021/5/23,03:35.9,2021/5/23,03:35.8,3,1.0,"Yusuke, Okuno",1000073942,Right,TOK,"Daiki, Saitoh",1000073731,Right,HOS_HOS,Undefined,1,Top,1,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,3,124.66684,0.782041,-2.424433,2279.046729,102.934538,9:30,1.608869,0.683072,1.650644,-110.7459,9.9049,-26.7956,0.724921,-0.277548,114.47279,-7.185115,-4.298086,0.496043,,,,,,,,,,,,11.7466,5.5629,-0.615072,15.24,1.620829,1.574775,-34.250149,0.030826,1.799624,6.292575,-8.954392,TOK,HOS_HOS,JinguStadium,TeamExclusive,Team,20210523-JinguStadium-1,b38d40a0-bb62-11eb-b7dc-ab999d095fdb,ceab4d8c-2a18-43c7-af76-7f9913df0bf2,v3,,,,"Taiki, Matsuoka",1000073870.0,Right,TOK,122.28767,,,10.19404,,,,16.789132,-34.533589,3.146288,1.610357,0.434164,-4.477196,-0.68418,1.493713,0.899812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
9.0,2021/5/23,03:50.7,2021/5/23,03:50.7,3,2.0,"Yusuke, Okuno",1000073942,Right,TOK,"Daiki, Saitoh",1000073731,Right,HOS_HOS,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,3,134.90675,-2.79293,-5.152273,2224.999967,210.239274,1:00,1.613122,0.595795,1.801666,-47.7461,53.7445,29.4242,0.341721,-0.571456,123.64403,-6.354311,-3.085308,0.454954,,,,,,,,,,,,-18.5375,30.4023,-0.47151,15.24,1.541236,3.190801,-36.942372,-1.964265,-3.321001,6.974432,-4.360065,TOK,HOS_HOS,JinguStadium,TeamExclusive,Team,20210523-JinguStadium-1,bc6a3c00-bb62-11eb-b7dc-ab999d095fdb,ceab4d8c-2a18-43c7-af76-7f9913df0bf2,v3,,,,"Taiki, Matsuoka",1000073870.0,Right,TOK,133.33212,,,11.26272,,,,16.637864,-37.205342,3.487216,1.612199,-1.799869,-2.180032,-0.594179,3.316019,-1.6605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
10.0,2021/5/23,04:04.5,2021/5/23,04:04.5,3,3.0,"Yusuke, Okuno",1000073942,Right,TOK,"Daiki, Saitoh",1000073731,Right,HOS_HOS,Undefined,1,Top,1,1,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,3,137.10639,-0.638736,-2.810967,2174.457275,203.279162,12:45,1.600735,0.630384,1.801141,-46.2253,51.1959,20.7424,0.957556,0.041935,125.65499,-4.099873,-1.347511,0.44574,,,,,,,,,,,,-12.4891,27.5476,-0.562996,15.24,1.581906,1.750182,-37.694814,-0.57336,-2.331529,7.199694,-4.663909,TOK,HOS_HOS,JinguStadium,TeamExclusive,Team,20210523-JinguStadium-1,c49a2e80-bb62-11eb-b7dc-ab999d095fdb,ceab4d8c-2a18-43c7-af76-7f9913df0bf2,v3,,,,"Taiki, Matsuoka",1000073870.0,Right,TOK,136.08835,,,11.45139,,,,16.638326,-37.960954,3.599847,1.599914,-0.400957,-2.331954,-0.629286,1.836368,-1.165764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
