PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,Catcher Pos,Unnamed: 157,season
1,2021/5/30,,2021/5/30,,1,1,"Shota, Masui",1000073328,Left,KEI_KEI,"Moeto, Suzuki",1000073403,Left,WAS_EDA,Undefined,1,Top,0,0,0,,,InPlay,Undefined,FlyBall,,Out,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KEI_KEI,WAS_EDA,JinguStadium,Spring,Team,20210530-JinguStadium-1,,918ed510-a4b1-4ab0-88fe-62ebe8bc0c52,v3,,,,"Shogo, Fukui",1000074023,Right,KEI_KEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
2,2021/5/30,,2021/5/30,,2,3,"Shota, Masui",1000073328,Left,KEI_KEI,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Top,1,1,1,,,InPlay,Undefined,GroundBall,,Single,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KEI_KEI,WAS_EDA,JinguStadium,Spring,Team,20210530-JinguStadium-1,,918ed510-a4b1-4ab0-88fe-62ebe8bc0c52,v3,,,,"Shogo, Fukui",1000074023,Right,KEI_KEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
3,2021/5/30,,2021/5/30,,3,1,"Shota, Masui",1000073328,Left,KEI_KEI,"Takuya, Hiruma",1000074108,Left,WAS_EDA,Undefined,1,Top,1,0,0,,,BallCalled,Undefined,Undefined,,Undefined,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KEI_KEI,WAS_EDA,JinguStadium,Spring,Team,20210530-JinguStadium-1,,918ed510-a4b1-4ab0-88fe-62ebe8bc0c52,v3,,,,"Shogo, Fukui",1000074023,Right,KEI_KEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
3,2021/5/30,,2021/5/30,,3,7,"Shota, Masui",1000073328,Left,KEI_KEI,"Takuya, Hiruma",1000074108,Left,WAS_EDA,Undefined,1,Top,1,3,2,,,BallCalled,Walk,Undefined,,Undefined,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KEI_KEI,WAS_EDA,JinguStadium,Spring,Team,20210530-JinguStadium-1,,918ed510-a4b1-4ab0-88fe-62ebe8bc0c52,v3,,,,"Shogo, Fukui",1000074023,Right,KEI_KEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
4,2021/5/30,,2021/5/30,,4,3,"Shota, Masui",1000073328,Left,KEI_KEI,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,Undefined,1,Top,1,0,2,,,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KEI_KEI,WAS_EDA,JinguStadium,Spring,Team,20210530-JinguStadium-1,,918ed510-a4b1-4ab0-88fe-62ebe8bc0c52,v3,,,,"Shogo, Fukui",1000074023,Right,KEI_KEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
5,2021/5/30,,2021/5/30,,5,3,"Shota, Masui",1000073328,Left,KEI_KEI,"Masashi, Maruyama",1000073328,Left,WAS_EDA,Undefined,1,Top,2,0,2,,,InPlay,Undefined,GroundBall,,Single,0,1,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KEI_KEI,WAS_EDA,JinguStadium,Spring,Team,20210530-JinguStadium-1,,918ed510-a4b1-4ab0-88fe-62ebe8bc0c52,v3,,,,"Shogo, Fukui",1000074023,Right,KEI_KEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
6,2021/5/30,,2021/5/30,,6,4,"Shota, Masui",1000073328,Left,KEI_KEI,"Shuto, Imai",1000089826,Right,WAS_EDA,Undefined,1,Top,2,2,2,,,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KEI_KEI,WAS_EDA,JinguStadium,Spring,Team,20210530-JinguStadium-1,,918ed510-a4b1-4ab0-88fe-62ebe8bc0c52,v3,,,,"Shogo, Fukui",1000074023,Right,KEI_KEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
7,2021/5/30,20:37.1,2021/5/30,20:37.1,1,1,"Takuma, Yamashita",1000073328,Right,WAS_EDA,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,143.00216,-3.113655,-3.407239,2276.897757,192.324687,12:30,1.854487,0.274136,1.688915,-34.8746,57.9903,11.9156,0.61633,-0.578449,128.84766,-5.771983,-2.573317,0.435192,,,,,,,,,,,,-8.7431,32.7211,-0.184998,15.24,1.76938,2.265604,-39.135538,-2.240615,-1.726669,9.173039,-3.344565,KEI_KEI,WAS_EDA,JinguStadium,Spring,Team,20210530-JinguStadium-1,6356c830-c0fe-11eb-bb3d-f73f469f60e4,918ed510-a4b1-4ab0-88fe-62ebe8bc0c52,v3,,,,"Hisashige, Iwamoto",1000073400,Right,WAS_EDA,139.38688,,,14.1545,,,,16.749612,-39.487793,4.58652,1.852956,-2.11218,-1.672283,-0.273273,2.33191,-0.863334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
8,2021/5/30,20:49.7,2021/5/30,20:49.7,1,2,"Takuma, Yamashita",1000073328,Right,WAS_EDA,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Bottom,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,142.34014,-2.957008,-2.309974,2289.925025,201.245659,12:45,1.848662,0.321623,1.787195,-42.7896,50.3212,18.1398,0.582071,-0.151397,127.41945,-6.203666,-1.02995,0.435767,,,,,,,,,,,,-11.2316,29.2843,-0.265785,15.24,1.772596,1.478056,-38.987252,-2.153737,-2.182138,9.747432,-4.117121,KEI_KEI,WAS_EDA,JinguStadium,Spring,Team,20210530-JinguStadium-1,6adbfbc0-c0fe-11eb-bb3d-f73f469f60e4,918ed510-a4b1-4ab0-88fe-62ebe8bc0c52,v3,,,,"Hisashige, Iwamoto",1000073400,Right,WAS_EDA,139.20267,,,14.9207,,,,16.651061,-39.338458,4.873716,1.847524,-2.005395,-2.05856,-0.320457,1.55668,-1.091069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
9,2021/5/30,21:02.5,2021/5/30,21:02.5,1,3,"Takuma, Yamashita",1000073328,Right,WAS_EDA,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Bottom,0,1,1,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,125.56898,-1.74506,-0.731567,2289.27658,141.167089,10:45,1.794234,0.341925,1.526727,-91.9921,32.1352,-21.7769,0.372074,-0.086322,112.3061,-8.417287,-2.247165,0.503139,,,,,,,,,,,,10.0785,18.9642,-0.318314,15.24,1.734586,0.548204,-34.365676,-1.413556,1.510809,7.968117,-6.963851,KEI_KEI,WAS_EDA,JinguStadium,Spring,Team,20210530-JinguStadium-1,727616e0-c0fe-11eb-bb3d-f73f469f60e4,918ed510-a4b1-4ab0-88fe-62ebe8bc0c52,v3,,,,"Hisashige, Iwamoto",1000073400,Right,WAS_EDA,120.56301,,,13.26288,,,,16.911242,-34.751015,3.984059,1.794802,-1.076784,-3.481925,-0.343058,0.475141,0.755404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
