PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,Unnamed: 156,Unnamed: 157,umpire,URL,season
1,2022/9/10,00:39.8,2022/9/10,00:39.8,1,1,"Kanta, Ozaki",1000089950,Left,HOS_HOS,"Toyo, Kumada",1000089879,Left,WAS_EDA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,145.23574,-3.559103,4.568601,2303.936682,158.645276,11:15,1.607782,-0.748724,1.824974,-40.0253,46.4554,-17.1873,0.197623,0.372718,134.43886,-6.52711,3.358144,0.419966,,,,,,,,,,,,11.6532,26.8818,0.639826,15.24,1.519162,-3.097051,-39.822286,-2.62522,2.449036,7.350417,-4.157177,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,NL,20220910-JinguStadium-2,21fdd970-30bd-11ed-bdc8-5f49ebebe7dd,242a9ffe-dec0-4bc5-92a5-137f8115a1ab,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,144.44019,,,10.79688,,,,16.615112,-40.075302,3.675209,1.607064,-2.482122,-2.078588,0.747883,-3.181351,1.224518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,https://youtu.be/PUCW9Dz8S7Y/&t=380,22A
2,2022/9/10,00:56.0,2022/9/10,00:56.0,1,2,"Kanta, Ozaki",1000089950,Left,HOS_HOS,"Toyo, Kumada",1000089879,Left,WAS_EDA,Undefined,1,Top,0,1,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,145.62271,-2.431636,4.48109,2246.841433,139.527769,10:45,1.627512,-0.747453,1.802244,-47.1198,39.3803,-31.3645,0.46592,0.209122,133.9795,-5.916124,2.273225,0.420013,,,,,,,,,,,,18.9924,22.5776,0.639898,15.24,1.564641,-2.971751,-39.952151,-1.878392,3.996083,7.826354,-5.056234,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,NL,20220910-JinguStadium-2,2ba5ed00-30bd-11ed-bdc8-5f49ebebe7dd,242a9ffe-dec0-4bc5-92a5-137f8115a1ab,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,144.42407,,,11.64322,,,,16.637718,-40.225022,3.913177,1.627059,-1.702103,-2.528117,0.745939,-3.111077,1.998041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,https://youtu.be/PUCW9Dz8S7Y/&t=396,22A
3,2022/9/10,01:06.8,2022/9/10,01:06.8,1,3,"Kanta, Ozaki",1000089950,Left,HOS_HOS,"Toyo, Kumada",1000089879,Left,WAS_EDA,Undefined,1,Top,0,1,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,143.2055,-1.082622,4.567115,2247.611132,139.361349,10:45,1.615365,-0.793404,1.793259,-49.2272,40.7872,-32.531,0.815653,0.176711,130.75531,-4.741944,2.27945,0.42846,,,,,,,,,,,,19.7141,22.4574,0.683057,15.24,1.585235,-2.97009,-39.279064,-0.924273,3.98406,8.050539,-5.268182,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,NL,20220910-JinguStadium-2,3213bd20-30bd-11ed-bdc8-5f49ebebe7dd,242a9ffe-dec0-4bc5-92a5-137f8115a1ab,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,141.57667,,,12.45019,,,,16.646107,-39.566206,4.02527,1.614851,-0.73637,-2.634091,0.791527,-3.112191,1.99203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,https://youtu.be/PUCW9Dz8S7Y/&t=407,22A
4,2022/9/10,01:21.9,2022/9/10,01:21.9,1,4,"Kanta, Ozaki",1000089950,Left,HOS_HOS,"Toyo, Kumada",1000089879,Left,WAS_EDA,Undefined,1,Top,0,1,2,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,120.93747,4.079962,1.662038,2911.593726,324.750159,4:45,1.594122,-0.745722,1.647214,-177.2161,-47.729,36.729,0.989622,0.096363,110.2871,-8.570317,4.231046,0.513887,,,,,,,,,,,,-16.9525,-25.4404,0.697515,15.24,1.690342,-1.135199,-33.181474,1.636835,-2.41649,6.37697,-13.433055,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,NL,20220910-JinguStadium-2,3b284340-30bd-11ed-bdc8-5f49ebebe7dd,242a9ffe-dec0-4bc5-92a5-137f8115a1ab,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,118.0414,,,10.65038,,,,16.79425,-33.478844,3.188485,1.599408,2.263245,-6.716527,0.747824,-1.022513,-1.208245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,https://youtu.be/PUCW9Dz8S7Y/&t=422,22A
5,2022/9/10,01:39.9,2022/9/10,01:39.9,1,5,"Kanta, Ozaki",1000089950,Left,HOS_HOS,"Toyo, Kumada",1000089879,Left,WAS_EDA,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,,145.91663,-1.398218,3.848306,2389.990386,160.917758,11:15,1.633515,-0.7308,1.800091,-34.1463,51.9711,-17.0723,0.895493,0.188887,133.82505,-3.979724,2.64628,0.419083,111.9199,54.730989,-102.990632,5906.260492,,,,,15.465789,,,11.3361,28.3953,0.637679,15.24,1.596882,-2.609347,-40.078135,-1.091649,2.39486,8.055336,-3.80788,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,NL,20220910-JinguStadium-2,45d1e850-30bd-11ed-bdc8-5f49ebebe7dd,242a9ffe-dec0-4bc5-92a5-137f8115a1ab,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,144.74463,18.344093,,12.09158,,,,16.639771,-40.358495,4.027668,1.63257,-0.959119,-1.90394,0.729946,-2.692698,1.19743,0.197023,0.91431,-0.209777,35.75536,0.197023,-4.035285,-2.277457,0.537798,-0.109972,0.020114,0.00111,-0.00372,0.001276,0.91431,25.382501,-7.823553,1.001183,-0.223723,0.051931,-0.016689,0.006415,-0.001511,-0.209777,-17.49178,2.545038,-0.590221,0.119737,-0.023591,0.001403,0.00216,-0.000834,,,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,https://youtu.be/PUCW9Dz8S7Y/&t=440,22A
6,2022/9/10,02:01.2,2022/9/10,02:01.2,1,6,"Kanta, Ozaki",1000089950,Left,HOS_HOS,"Toyo, Kumada",1000089879,Left,WAS_EDA,Undefined,1,Top,0,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,145.06807,-2.682042,6.212483,2294.214831,150.175261,11:00,1.589197,-0.829521,1.836996,-31.6443,57.0573,-30.8842,0.510644,0.622187,131.07532,-5.125073,4.046011,0.425324,,,,,,,,,,,,20.4846,32.175,0.682803,15.24,1.522729,-4.150882,-39.612921,-1.94989,4.169174,8.949208,-3.258145,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,NL,20220910-JinguStadium-2,527e8950-30bd-11ed-bdc8-5f49ebebe7dd,242a9ffe-dec0-4bc5-92a5-137f8115a1ab,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,142.62056,,,13.99275,,,,16.601795,-39.919387,4.474604,1.587593,-1.838315,-1.629072,0.827395,-4.293656,2.084587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,https://youtu.be/PUCW9Dz8S7Y/&t=461,22A
7,2022/9/10,02:20.1,2022/9/10,02:20.1,1,7,"Kanta, Ozaki",1000089950,Left,HOS_HOS,"Toyo, Kumada",1000089879,Left,WAS_EDA,Undefined,1,Top,0,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,,Undefined,0,0,,147.01122,-3.834957,4.426106,2383.802883,147.857544,11:00,1.630922,-0.74868,1.832744,-38.8614,47.4127,-27.8266,0.154637,0.225265,133.00984,-6.770604,2.46377,0.419464,,,,,,,,,,,,17.7691,28.2968,0.644484,15.24,1.536324,-2.969097,-40.213263,-2.831699,3.717271,9.428225,-3.887001,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,NL,20220910-JinguStadium-2,5dcc3690-30bd-11ed-bdc8-5f49ebebe7dd,242a9ffe-dec0-4bc5-92a5-137f8115a1ab,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,144.61308,,,14.00138,,,,16.606456,-40.53237,4.714113,1.62994,-2.70014,-1.9435,0.747105,-3.094911,1.858636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,https://youtu.be/PUCW9Dz8S7Y/&t=480,22A
8,2022/9/10,02:54.0,2022/9/10,02:54.0,2,1,"Kanta, Ozaki",1000089950,Left,HOS_HOS,"Masaki, Nakamura",1000089877,Right,WAS_EDA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Popup,Undefined,0,0,1,139.64469,-0.429518,3.454613,2236.679879,162.625484,11:30,1.655769,-0.784031,1.832712,-40.4961,53.7957,-15.869,1.12931,0.03388,127.03984,-3.501721,2.33428,0.438522,70.07679,57.744912,-154.174519,2796.268003,,,,29.665628,21.495937,-156.539779,3.098485,10.742,28.9634,0.702425,15.24,1.642864,-2.239608,-38.356895,-0.414631,2.059687,8.04486,-4.25318,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,NL,20220910-JinguStadium-2,71f160f0-30bd-11ed-bdc8-5f49ebebe7dd,242a9ffe-dec0-4bc5-92a5-137f8115a1ab,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,138.32825,12.905118,,12.60485,,,,16.606949,-38.642531,4.02243,1.654905,-0.26362,-2.12659,0.783242,-2.312738,1.029844,0.904702,1.096638,-0.004521,17.144351,0.904656,-9.350026,-0.177473,0.151777,-0.008127,-0.040853,0.028098,-0.007402,0.000693,1.09678,16.455981,-6.215814,0.357989,0.066632,-0.105585,0.042522,-0.007746,0.000537,-0.004591,-4.523003,0.410529,-0.060994,-0.036728,0.031517,-0.009669,0.001254,-4.9e-05,,,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,https://youtu.be/PUCW9Dz8S7Y/&t=514,22A
9,2022/9/10,03:18.3,2022/9/10,03:18.3,2,2,"Kanta, Ozaki",1000089950,Left,HOS_HOS,"Masaki, Nakamura",1000089877,Right,WAS_EDA,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,1,140.47341,-0.427578,2.473456,2273.288825,164.376033,11:30,1.620286,-0.805453,1.891265,-42.1836,50.3683,-13.2267,1.078045,-0.241428,127.58365,-3.632113,1.534783,0.434458,,,,,,,,,,,,8.772,27.4055,0.749633,15.24,1.607963,-1.606643,-38.623423,-0.419413,1.700449,8.370866,-4.49412,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,NL,20220910-JinguStadium-2,807e0c90-30bd-11ed-bdc8-5f49ebebe7dd,242a9ffe-dec0-4bc5-92a5-137f8115a1ab,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,139.62239,,,12.88976,,,,16.548435,-38.905967,4.185433,1.619559,-0.267722,-2.24706,0.804831,-1.664038,0.850225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,https://youtu.be/PUCW9Dz8S7Y/&t=539,22A
10,2022/9/10,03:49.3,2022/9/10,03:49.3,2,3,"Kanta, Ozaki",1000089950,Left,HOS_HOS,"Masaki, Nakamura",1000089877,Right,WAS_EDA,Undefined,1,Top,0,0,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,1,144.11118,-0.197749,2.1334,2346.979992,160.799512,11:15,1.638457,-0.792087,1.860662,-35.1697,53.296,-17.5144,1.230983,-0.365623,130.43669,-2.899156,0.892262,0.424759,134.94638,-33.601894,28.506104,,,,,2.15914,2.15914,33.962191,0.056633,10.6878,28.543,0.743203,15.24,1.631606,-1.388592,-39.612531,-0.239926,2.174427,8.977543,-3.99961,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,NL,20220910-JinguStadium-2,92f62330-30bd-11ed-bdc8-5f49ebebe7dd,242a9ffe-dec0-4bc5-92a5-137f8115a1ab,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,142.81056,1.179421,,13.67449,,,,16.578627,-39.914757,4.488771,1.637416,-0.105281,-1.999805,0.791182,-1.461793,1.087214,0.230955,1.179421,0.35905,180.0,0.229981,27.543224,,,,,,,,1.180157,-20.825773,,,,,,,,0.358521,14.95855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,https://youtu.be/PUCW9Dz8S7Y/&t=570,22A
