PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,Unnamed: 156,Unnamed: 157,umpire,URL,season
1,2022/9/12,01:34.8,2022/9/12,01:34.8,1,1,"Shunsuke, Izawa",1000073948,Right,TOK,"Kaito, Muramatsu",1000073668,Left,MEI_MEI,Undefined,1,Top,0,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,110.89502,2.508113,1.298458,2137.369721,41.846988,7:30,1.716142,0.146014,1.606944,-171.5036,-18.0124,-20.495,0.719804,0.312867,101.99084,-9.732955,-0.135011,0.559495,,,,,,,,,,,,11.1595,-9.2563,-0.180304,15.24,1.770886,-0.60303,-30.466375,0.697926,1.35037,5.060936,-10.92672,TOK,MEI_MEI,JinguStadium,TeamExclusive,Team,20220912-JinguStadium-1,9824ff00-324f-11ed-85dd-07068b105b47,4e2d2089-ef9e-4420-b9b8-1a29df14044d,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,108.41918,,,8.90418,,,,16.833563,-30.72995,2.530468,1.719719,1.266993,-5.46336,-0.147066,-0.673358,0.675185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,https://youtu.be/bYm2f635ATQ/&t=157,22A
2,2022/9/12,01:47.2,2022/9/12,01:47.2,1,2,"Shunsuke, Izawa",1000073948,Right,TOK,"Kaito, Muramatsu",1000073668,Left,MEI_MEI,Undefined,1,Top,0,0,1,Fastball,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,138.92602,-0.136041,-0.875122,2327.680114,183.514833,12:00,1.710083,0.20981,1.876062,-63.4513,30.3752,1.6919,1.037258,-0.019721,127.52177,-4.825408,-0.75496,0.437439,,,,,,,,,,,,-1.4611,16.688,-0.189651,15.24,1.703014,0.576093,-38.248097,-0.322297,-0.280698,7.448025,-6.600674,TOK,MEI_MEI,JinguStadium,TeamExclusive,Team,20220912-JinguStadium-1,9f7f2af0-324f-11ed-85dd-07068b105b47,4e2d2089-ef9e-4420-b9b8-1a29df14044d,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,138.67078,,,11.40426,,,,16.563162,-38.504894,3.724012,1.710203,-0.094716,-3.300337,-0.209681,0.585771,-0.140349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,https://youtu.be/bYm2f635ATQ/&t=169,22A
3,2022/9/12,02:00.5,2022/9/12,02:00.5,1,3,"Shunsuke, Izawa",1000073948,Right,TOK,"Kaito, Muramatsu",1000073668,Left,MEI_MEI,Undefined,1,Top,0,1,1,Fastball,Cutter,BallCalled,Undefined,Undefined,,Undefined,0,0,,138.26109,0.204407,-1.06844,2283.598716,165.751699,11:30,1.719143,0.236249,1.813217,-62.6509,33.2221,-7.6739,1.150428,-0.142565,126.36483,-4.42503,-1.611104,0.442184,,,,,,,,,,,,3.1645,17.8147,-0.209843,15.24,1.719885,0.747018,-38.037169,-0.096943,0.598756,7.664519,-6.435917,TOK,MEI_MEI,JinguStadium,TeamExclusive,Team,20220912-JinguStadium-1,a761e7d0-324f-11ed-85dd-07068b105b47,4e2d2089-ef9e-4420-b9b8-1a29df14044d,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,137.1828,,,11.89626,,,,16.625963,-38.315423,3.83226,1.719163,0.136709,-3.217958,-0.236569,0.72528,0.299378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,https://youtu.be/bYm2f635ATQ/&t=183,22A
4,2022/9/12,02:15.5,2022/9/12,02:15.5,1,4,"Shunsuke, Izawa",1000073948,Right,TOK,"Kaito, Muramatsu",1000073668,Left,MEI_MEI,Undefined,1,Top,0,2,1,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,130.42979,0.694593,-0.90621,2305.662337,134.706574,10:30,1.75125,0.167702,1.600764,-85.5384,24.1344,-21.2207,1.094832,-0.304065,120.40483,-5.472252,-2.387533,0.472938,,,,,,,,,,,,10.0068,12.6255,-0.140434,15.24,1.763098,0.673204,-35.882267,0.081653,1.701231,6.204461,-7.660222,TOK,MEI_MEI,JinguStadium,TeamExclusive,Team,20220912-JinguStadium-1,b05d8ec0-324f-11ed-85dd-07068b105b47,4e2d2089-ef9e-4420-b9b8-1a29df14044d,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,128.26206,,,10.02496,,,,16.838851,-36.15767,3.10223,1.751927,0.421675,-3.830111,-0.16864,0.59769,0.850616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,https://youtu.be/bYm2f635ATQ/&t=198,22A
5,2022/9/12,02:34.1,2022/9/12,02:34.1,1,5,"Shunsuke, Izawa",1000073948,Right,TOK,"Kaito, Muramatsu",1000073668,Left,MEI_MEI,Undefined,1,Top,0,3,1,Fastball,Cutter,BallCalled,Walk,Undefined,,Undefined,0,0,,139.23786,-1.65035,-2.322805,2266.389441,181.385288,12:00,1.732252,0.175556,1.913604,-48.1516,45.9551,1.0345,0.786576,-0.467027,126.61327,-5.275982,-2.249271,0.438092,,,,,,,,,,,,-2.2897,26.028,-0.123346,15.24,1.692233,1.547004,-38.260076,-1.255055,-0.435434,8.231129,-4.856808,TOK,MEI_MEI,JinguStadium,TeamExclusive,Team,20220912-JinguStadium-1,bb697810-324f-11ed-85dd-07068b105b47,4e2d2089-ef9e-4420-b9b8-1a29df14044d,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,138.46422,,,12.6246,,,,16.525256,-38.535589,4.115564,1.731522,-1.092487,-2.428404,-0.175371,1.561579,-0.217717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,https://youtu.be/bYm2f635ATQ/&t=216,22A
6,2022/9/12,03:22.0,2022/9/12,03:22.0,2,1,"Shunsuke, Izawa",1000073948,Right,TOK,"Taiji, Iimori",1000126480,Left,MEI_MEI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,Bunt,,Sacrifice,0,0,1,136.95836,-1.827514,-0.316039,2195.024605,190.58781,12:15,1.678241,0.257503,1.885851,-46.2489,50.8191,8.9072,0.701262,0.257633,125.04235,-5.311351,0.316997,0.444931,,,,,,,,,,,,-4.8892,28.6977,-0.250794,15.24,1.633443,0.16758,-37.683198,-1.348091,-0.904904,7.757685,-4.495171,TOK,MEI_MEI,JinguStadium,TeamExclusive,Team,20220912-JinguStadium-1,d7f3d5c0-324f-11ed-85dd-07068b105b47,4e2d2089-ef9e-4420-b9b8-1a29df14044d,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,136.33576,,,11.91601,,,,16.553988,-37.95274,3.878843,1.67757,-1.191906,-2.247586,-0.257163,0.199021,-0.452452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,https://youtu.be/bYm2f635ATQ/&t=264,22A
7,2022/9/12,04:34.0,2022/9/12,04:34.0,3,1,"Shunsuke, Izawa",1000073948,Right,TOK,"Rui, Muneyama",1000101247,Left,MEI_MEI,Undefined,1,Top,0,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,"2,3",113.04633,1.974978,1.202896,2145.518987,35.92441,7:15,1.719433,0.170987,1.629104,-170.3657,-22.4503,-19.8221,0.580782,0.316732,103.63274,-10.198582,-0.186771,0.549239,,,,,,,,,,,,10.8365,-11.2101,-0.202265,15.24,1.759073,-0.566527,-31.059105,0.43031,1.355286,5.521733,-11.208666,TOK,MEI_MEI,JinguStadium,TeamExclusive,Team,20220912-JinguStadium-1,02f6e1e0-3250-11ed-85dd-07068b105b47,4e2d2089-ef9e-4420-b9b8-1a29df14044d,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,110.44373,,,9.4136,,,,16.811353,-31.337218,2.760867,1.723182,0.994855,-5.604333,-0.172012,-0.634788,0.677643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,https://youtu.be/bYm2f635ATQ/&t=336,22A
8,2022/9/12,04:58.4,2022/9/12,04:58.4,3,2,"Shunsuke, Izawa",1000073948,Right,TOK,"Rui, Muneyama",1000101247,Left,MEI_MEI,Undefined,1,Top,0,0,1,Fastball,Cutter,FoulBall,Undefined,Undefined,GroundBall,Undefined,0,0,"2,3",139.1049,-2.127698,-1.396897,2326.700901,169.469002,11:45,1.705204,0.22743,1.945289,-54.4556,39.3128,-6.7261,0.563616,-0.231582,126.82458,-6.197501,-1.876577,0.437303,125.81023,-16.155099,68.466569,,,,,2.452405,2.224755,60.972123,0.062441,2.4696,23.0763,-0.196421,15.24,1.655451,0.963355,-38.253668,-1.601063,0.46953,8.224625,-5.419383,TOK,MEI_MEI,JinguStadium,TeamExclusive,Team,20220912-JinguStadium-1,116d1f50-3250-11ed-85dd-07068b105b47,4e2d2089-ef9e-4420-b9b8-1a29df14044d,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,138.71375,0.608499,,12.28032,,,,16.494242,-38.522389,4.112312,1.70487,-1.423996,-2.709691,-0.227645,0.948014,0.234765,0.418977,0.608499,0.190349,,0.418703,12.34793,,,,,,,,0.608715,-9.745191,,,,,,,,0.189655,31.293488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,https://youtu.be/bYm2f635ATQ/&t=361,22A
9,2022/9/12,05:34.3,2022/9/12,05:34.3,3,3,"Shunsuke, Izawa",1000073948,Right,TOK,"Rui, Muneyama",1000101247,Left,MEI_MEI,Undefined,1,Top,0,0,2,Fastball,Cutter,BallCalled,Undefined,Undefined,,Undefined,0,0,"2,3",141.41799,0.291327,1.85893,2369.730389,174.553985,11:45,1.696691,0.255601,1.888182,-44.7451,45.6791,-4.0973,1.331259,0.737886,129.62029,-3.072124,1.568066,0.429434,,,,,,,,,,,,3.3543,24.2437,-0.298018,15.24,1.700572,-1.243237,-38.921275,0.053015,0.667816,7.653304,-4.979963,TOK,MEI_MEI,JinguStadium,TeamExclusive,Team,20220912-JinguStadium-1,26d18070-3250-11ed-85dd-07068b105b47,4e2d2089-ef9e-4420-b9b8-1a29df14044d,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,141.25555,,,11.7977,,,,16.551008,-39.178217,3.826652,1.695985,0.220206,-2.489981,-0.255902,-1.265658,0.333908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,https://youtu.be/bYm2f635ATQ/&t=396,22A
10,2022/9/12,06:07.0,2022/9/12,06:07.0,3,4,"Shunsuke, Izawa",1000073948,Right,TOK,"Rui, Muneyama",1000101247,Left,MEI_MEI,Undefined,1,Top,0,1,2,Cutter,Slider,FoulBall,Undefined,Undefined,GroundBall,Undefined,0,0,"2,3",134.76961,-1.085317,-0.976944,2474.595578,144.116134,10:45,1.704194,0.185338,1.737132,-80.7568,19.6558,-12.2723,0.588292,-0.214885,125.46449,-6.91726,-1.841734,0.452532,139.60717,-20.555422,93.678573,,,,,1.957426,0.924946,68.215338,0.045643,5.7246,11.4541,-0.159393,15.24,1.670308,0.690376,-37.128096,-1.026516,1.047331,6.288001,-7.711095,TOK,MEI_MEI,JinguStadium,TeamExclusive,Team,20220912-JinguStadium-1,3a4f4740-3250-11ed-85dd-07068b105b47,4e2d2089-ef9e-4420-b9b8-1a29df14044d,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,134.04592,0.622636,,9.30512,,,,16.703358,-37.375108,3.144001,1.704683,-0.7236,-3.855547,-0.185705,0.649234,0.523666,0.832969,0.622636,0.160639,,0.833001,-2.334004,,,,,,,,0.622822,-13.64144,,,,,,,,0.160144,36.303426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,https://youtu.be/bYm2f635ATQ/&t=429,22A
