PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,URL,season
1,2022/9/17,05:56.2,2022/9/17,05:56.2,1,1,"Kanta, Ozaki",1000089950,Left,HOS_HOS,"Satoru, Michihara",1000074062,Left,RIK,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,145.00389,-2.154462,4.269602,2207.41278,151.793795,11:00,1.625615,-0.749512,1.747376,-43.4578,44.5179,-22.4191,0.577519,0.240437,133.07158,-5.379129,2.696872,0.423581,,,,,,,,,,,,14.2163,24.905,0.642562,15.24,1.567538,-2.852107,-39.774916,-1.661077,2.95861,7.919252,-4.623585,HOS_HOS,RIK,JinguStadium,TeamExclusive,NL,20220917-JinguStadium-2,69a86e50-3646-11ed-b161-23c48877c5a4,a8fb1318-4d1f-428d-ada4-387f84ee9cd4,v3,,,,"Rentaro, Ohgaki",1000089958.0,Right,HOS_HOS,143.20771,,,11.9323,,,,16.692188,-40.063006,3.959626,1.624906,-1.492878,-2.311792,0.748275,-2.959736,1.479305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,https://youtu.be/neAiEQKKYOU/&t=342,22A
2,2022/9/17,06:06.2,2022/9/17,06:06.2,1,2,"Kanta, Ozaki",1000089950,Left,HOS_HOS,"Satoru, Michihara",1000074062,Left,RIK,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,146.06171,-0.167302,3.906444,2116.400693,170.219609,11:45,1.611803,-0.758886,1.694244,-37.9867,49.5189,-8.0611,1.184183,0.274665,133.23348,-3.015787,3.342861,0.422447,,,,,,,,,,,,6.775,25.9124,0.656556,15.24,1.604431,-2.692444,-40.074087,-0.252025,1.424792,8.400452,-4.357252,HOS_HOS,RIK,JinguStadium,TeamExclusive,NL,20220917-JinguStadium-2,6f9ec480-3646-11ed-b161-23c48877c5a4,a8fb1318-4d1f-428d-ada4-387f84ee9cd4,v3,,,,"Rentaro, Ohgaki",1000089958.0,Right,HOS_HOS,143.59186,,,12.82823,,,,16.744794,-40.388294,4.200226,1.61081,-0.089047,-2.178626,0.75826,-2.745736,0.712396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,https://youtu.be/neAiEQKKYOU/&t=352,22A
3,2022/9/17,06:21.6,2022/9/17,06:21.6,1,3,"Kanta, Ozaki",1000089950,Left,HOS_HOS,"Satoru, Michihara",1000074062,Left,RIK,Undefined,1,Top,0,1,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,FlyBall,Out,1,0,,144.80996,-2.84136,4.133927,2266.660506,157.028396,11:15,1.62415,-0.748673,1.723771,-38.077,50.409,-20.2066,0.432942,0.226388,132.98486,-5.681591,2.718263,0.424807,143.57849,32.132021,-8.206063,3468.622317,32.696664,18.471831,-7.419817,101.572078,100.73453,-20.025805,4.730525,13.0614,28.3713,0.643426,15.24,1.547759,-2.766076,-39.711826,-2.112702,2.709859,7.888,-3.920451,HOS_HOS,RIK,JinguStadium,TeamExclusive,NL,20220917-JinguStadium-2,78cc77f0-3646-11ed-b161-23c48877c5a4,a8fb1318-4d1f-428d-ada4-387f84ee9cd4,v3,,,,"Rentaro, Ohgaki",1000089958.0,Right,HOS_HOS,142.79413,23.688147,,11.8251,,,,16.716209,-40.003972,3.944,1.623317,-1.967501,-1.960226,0.747731,-2.86644,1.35493,0.49119,0.447926,-0.224276,147.587561,0.491553,33.420217,-6.675427,1.624011,-0.304582,0.049034,-0.007829,0.001012,-6.1e-05,0.448154,21.206887,-5.164622,0.100392,0.075878,-0.047061,0.013901,-0.001991,0.000109,-0.224097,-4.825059,-1.528607,0.44638,-0.081314,0.007614,5.8e-05,-6.8e-05,3e-06,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,https://youtu.be/neAiEQKKYOU/&t=367,22A
4,2022/9/17,06:52.4,2022/9/17,06:52.4,2,1,"Kanta, Ozaki",1000089950,Left,HOS_HOS,"Shintaro, Nishikawa",1000089917,Right,RIK,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,,144.18352,-1.53415,4.232838,2256.842455,155.789382,11:15,1.613691,-0.757238,1.723437,-38.3624,51.2247,-21.7354,0.792673,0.230827,131.58203,-4.415435,2.710628,0.427442,,,,,,,,,,,,14.1825,28.0864,0.649565,15.24,1.571191,-2.817442,-39.553732,-1.198813,2.90139,8.296806,-4.060852,HOS_HOS,RIK,JinguStadium,TeamExclusive,NL,20220917-JinguStadium-2,8b23c020-3646-11ed-b161-23c48877c5a4,a8fb1318-4d1f-428d-ada4-387f84ee9cd4,v3,,,,"Rentaro, Ohgaki",1000089958.0,Right,HOS_HOS,141.91388,,,12.60149,,,,16.716727,-39.862287,4.148403,1.612966,-1.047791,-2.030426,0.756352,-2.925344,1.450695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,https://youtu.be/neAiEQKKYOU/&t=398,22A
5,2022/9/17,07:06.6,2022/9/17,07:06.6,2,2,"Kanta, Ozaki",1000089950,Left,HOS_HOS,"Shintaro, Nishikawa",1000089917,Right,RIK,Undefined,1,Top,1,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,117.2986,3.903683,-0.217559,2824.771239,320.445402,4:45,1.639032,-0.765262,1.580099,-183.8936,-45.8057,41.4737,0.921264,-0.412913,107.41917,-9.169986,2.677071,0.53068,,,,,,,,,,,,-20.6147,-23.9944,0.767571,15.24,1.732999,-0.070666,-32.208221,1.443265,-2.780044,5.80006,-13.042478,HOS_HOS,RIK,JinguStadium,TeamExclusive,NL,20220917-JinguStadium-2,93a9e8f0-3646-11ed-b161-23c48877c5a4,a8fb1318-4d1f-428d-ada4-387f84ee9cd4,v3,,,,"Rentaro, Ohgaki",1000089958.0,Right,HOS_HOS,114.30622,,,9.87944,,,,16.861668,-32.498939,2.90003,1.644274,2.096997,-6.521239,0.767621,0.068679,-1.390022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,https://youtu.be/neAiEQKKYOU/&t=412,22A
6,2022/9/17,07:25.4,2022/9/17,07:25.4,2,3,"Kanta, Ozaki",1000089950,Left,HOS_HOS,"Shintaro, Nishikawa",1000089917,Right,RIK,Undefined,1,Top,1,1,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,FlyBall,Out,1,0,,145.33381,-0.943158,3.392386,2219.679256,162.339,11:30,1.63602,-0.792184,1.720747,-34.8862,52.8788,-15.9708,1.018516,0.013714,132.95244,-3.574363,2.272438,0.423073,122.68848,30.481484,-23.922344,2561.257758,30.14445,15.555868,-14.67777,87.15943,84.876418,-29.042077,4.145828,10.4464,28.3348,0.705634,15.24,1.609005,-2.282815,-39.919279,-0.777601,2.184513,8.170757,-3.881365,HOS_HOS,RIK,JinguStadium,TeamExclusive,NL,20220917-JinguStadium-2,9ec896f0-3646-11ed-b161-23c48877c5a4,a8fb1318-4d1f-428d-ada4-387f84ee9cd4,v3,,,,"Rentaro, Ohgaki",1000089958.0,Right,HOS_HOS,143.37945,17.240764,,12.38136,,,,16.719013,-40.220867,4.085379,1.635063,-0.634337,-1.940683,0.791383,-2.363447,1.092256,0.450699,1.039729,-0.02271,153.162975,0.45119,26.832739,-3.980415,0.715526,0.022942,-0.084506,0.029119,-0.004267,0.000236,1.039338,17.297865,-5.052247,0.352898,-0.138036,0.056562,-0.011632,0.001058,-3.2e-05,-0.022904,-11.904126,0.49883,0.069863,-0.073856,0.034003,-0.009677,0.001429,-8.3e-05,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,https://youtu.be/neAiEQKKYOU/&t=431,22A
7,2022/9/17,07:56.2,2022/9/17,07:56.2,3,1,"Kanta, Ozaki",1000089950,Left,HOS_HOS,"Kenta, Yamada",1000074117,Right,RIK,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,144.56663,-0.140015,2.539038,2163.252631,151.868591,11:00,1.6432,-0.80432,1.766659,-33.8065,54.2073,-27.5408,1.265401,-0.359426,132.18864,-2.707876,0.599214,0.423672,,,,,,,,,,,,15.6276,28.4451,0.74257,15.24,1.637203,-1.616531,-39.746157,-0.201602,3.242433,8.033283,-3.904816,HOS_HOS,RIK,JinguStadium,TeamExclusive,NL,20220917-JinguStadium-2,b12695e0-3646-11ed-b161-23c48877c5a4,a8fb1318-4d1f-428d-ada4-387f84ee9cd4,v3,,,,"Rentaro, Ohgaki",1000089958.0,Right,HOS_HOS,143.1767,,,12.37798,,,,16.672531,-40.034645,4.016642,1.641925,-0.061373,-1.952408,0.802714,-1.732972,1.621216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,https://youtu.be/neAiEQKKYOU/&t=462,22A
8,2022/9/17,08:07.4,2022/9/17,08:07.4,3,2,"Kanta, Ozaki",1000089950,Left,HOS_HOS,"Kenta, Yamada",1000074117,Right,RIK,Undefined,1,Top,2,1,0,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,129.96365,-1.23885,2.346765,2170.349555,226.262841,1:30,1.658877,-0.69478,1.721979,-97.42,11.2475,8.62,0.332139,0.058944,120.98559,-8.232649,2.953195,0.470766,,,,,,,,,,,,-2.9449,7.3818,0.633441,15.24,1.619328,-1.505173,-35.763605,-1.160194,-0.498402,6.028418,-8.557353,HOS_HOS,RIK,JinguStadium,TeamExclusive,NL,20220917-JinguStadium-2,b7e3e590-3646-11ed-b161-23c48877c5a4,a8fb1318-4d1f-428d-ada4-387f84ee9cd4,v3,,,,"Rentaro, Ohgaki",1000089958.0,Right,HOS_HOS,128.85394,,,8.97806,,,,16.718327,-36.011934,3.014209,1.65986,-0.807691,-4.278676,0.695021,-1.484642,-0.249201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,https://youtu.be/neAiEQKKYOU/&t=473,22A
9,2022/9/17,08:22.1,2022/9/17,08:22.1,3,3,"Kanta, Ozaki",1000089950,Left,HOS_HOS,"Kenta, Yamada",1000074117,Right,RIK,Undefined,1,Top,2,2,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,,Out,1,0,,144.35261,-2.729676,3.839272,2260.465827,155.699633,11:15,1.597148,-0.791203,1.716693,-31.4319,57.9948,-24.8764,0.504236,0.053472,131.87661,-5.119973,2.096231,0.427059,155.28886,53.01149,-4.246014,3772.609842,33.477355,40.872649,1.841572,,51.035967,,,15.3448,32.2367,0.693506,15.24,1.523864,-2.527271,-39.58548,-1.991401,3.149081,8.190184,-3.190982,HOS_HOS,RIK,JinguStadium,TeamExclusive,NL,20220917-JinguStadium-2,c0a8c510-3646-11ed-b161-23c48877c5a4,a8fb1318-4d1f-428d-ada4-387f84ee9cd4,v3,,,,"Rentaro, Ohgaki",1000089958.0,Right,HOS_HOS,142.04113,48.513826,,12.47599,,,,16.723135,-39.891158,4.095092,1.595966,-1.872305,-1.595491,0.790024,-2.644803,1.574541,0.535229,0.53704,-0.054217,202.750077,0.535227,25.882269,-6.508354,1.919258,-0.459302,0.0928,-0.013895,0.001096,-1.3e-05,0.537017,34.455355,-7.576952,0.625133,-0.051267,0.001882,-0.002266,0.000794,-7.3e-05,-0.054218,-1.922015,2.996759,-1.13947,0.321308,-0.07254,0.011856,-0.001081,2.8e-05,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,https://youtu.be/neAiEQKKYOU/&t=488,22A
10,2022/9/17,10:50.4,2022/9/17,10:50.4,1,1,"Kosei, Shoji",1000101253,Right,RIK,"Daiki, Saitoh",1000073731,Right,HOS_HOS,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,149.93957,-1.664285,-1.991258,2278.802658,201.92447,12:45,1.844685,0.409533,1.648064,-32.7744,49.6114,19.0227,1.041242,0.030877,138.35004,-4.1087,-0.660297,0.409903,,,,,,,,,,,,-10.7804,26.7024,-0.357138,15.24,1.796817,1.327451,-41.239921,-1.321926,-2.428142,7.941172,-3.792323,HOS_HOS,RIK,JinguStadium,TeamExclusive,NL,20220917-JinguStadium-2,190a5980-3647-11ed-b161-23c48877c5a4,a8fb1318-4d1f-428d-ada4-387f84ee9cd4,v3,,,,"Yosuke, Kuroiwa",1000089907.0,Right,RIK,147.98634,,,11.58953,,,,16.791766,-41.537654,3.970586,1.843714,-1.179743,-1.896161,-0.408614,1.418488,-1.214071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,https://youtu.be/neAiEQKKYOU/&t=636,22A
