PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,URL,season
1,2022/9/17,00:28.9,2022/9/17,00:28.9,1,1,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Yu, Miyazaki",1000073899,Left,TOK,Undefined,1,Top,0,0,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,128.47221,0.283565,0.401402,2767.494754,80.543608,8:45,1.571763,0.250006,1.551574,-119.3137,-4.3651,-48.0919,0.460086,-0.115605,117.91407,-8.222493,-2.952634,0.48418,,,,,,,,,,,,24.273,-1.3429,-0.256802,15.24,1.568641,-0.009223,-35.32181,-0.34209,3.94658,6.824643,-10.024989,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20220917-JinguStadium-1,816c4210-362c-11ed-9c5c-cf0bd21a0248,628837dd-3e28-4561-b603-366d6ebdddc8,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,125.28406,,,10.55814,,,,16.888829,-35.638962,3.412321,1.573713,0.123787,-5.012494,-0.252112,-0.192627,1.97329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,萩原 俊幸,https://youtu.be/7IVnlDnPsAM/&t=353,22A
2,2022/9/17,00:38.5,2022/9/17,00:38.5,1,2,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Yu, Miyazaki",1000073899,Left,TOK,Undefined,1,Top,0,0,1,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,130.72083,1.127668,-0.548364,2800.976137,95.522329,9:15,1.554736,0.281953,1.597367,-103.8713,7.3693,-37.1762,0.839111,-0.246898,118.72094,-6.359068,-3.144076,0.476306,,,,,,,,,,,,18.0594,3.9763,-0.263178,15.24,1.577152,0.532387,-35.896478,0.263835,3.012726,7.464325,-9.143306,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20220917-JinguStadium-1,87147840-362c-11ed-9c5c-cf0bd21a0248,628837dd-3e28-4561-b603-366d6ebdddc8,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,127.35502,,,11.99988,,,,16.841961,-36.228059,3.732162,1.55641,0.67,-4.571653,-0.283855,0.398555,1.506363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,萩原 俊幸,https://youtu.be/7IVnlDnPsAM/&t=363,22A
3,2022/9/17,00:50.2,2022/9/17,00:50.2,1,3,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Yu, Miyazaki",1000073899,Left,TOK,Undefined,1,Top,0,1,1,TwoSeamFastBall,Changeup,InPlay,Undefined,LineDrive,GroundBall,Out,1,0,,140.06961,-0.867771,-1.978737,2135.866705,257.153592,2:30,1.550234,0.274459,1.732504,-80.8486,13.6872,46.7773,0.495047,0.179847,128.20921,-6.736505,1.316523,0.439089,123.17968,6.096327,3.010151,2095.884766,,,,26.819583,16.248238,2.260482,0.85263,-25.2738,8.4632,-0.227307,15.24,1.521875,1.095384,-38.517489,-0.923354,-4.8937,8.008057,-8.167936,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20220917-JinguStadium-1,8e09c7e0-362c-11ed-9c5c-cf0bd21a0248,628837dd-3e28-4561-b603-366d6ebdddc8,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,138.14963,1.118671,,11.86041,,,,16.707647,-38.821424,4.004029,1.551036,-0.613351,-4.083968,-0.272405,1.281118,-2.44685,0.344253,0.468807,-0.183464,112.060814,0.357544,33.763538,-3.244595,,,,,,,0.477974,3.488669,-4.760953,,,,,,,-0.181525,1.755565,-0.356608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,萩原 俊幸,https://youtu.be/7IVnlDnPsAM/&t=374,22A
4,2022/9/17,01:15.1,2022/9/17,01:15.1,2,1,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Ryohei, Hayashi",1000089940,Right,TOK,Undefined,1,Top,1,0,0,Cutter,Slider,InPlay,Undefined,LineDrive,LineDrive,Out,1,0,,139.29992,0.020391,-1.536672,2462.498503,154.833832,11:15,1.545878,0.246255,1.670529,-77.2383,18.3275,-7.2943,0.779313,-0.265026,128.29121,-5.567944,-2.048032,0.441475,152.2155,17.489098,14.250581,3182.574633,31.854873,8.711782,10.458607,90.818176,87.321387,23.634976,3.094074,2.679,10.0771,-0.20455,15.24,1.540114,1.065301,-38.325047,-0.316583,0.517971,7.303591,-7.858267,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20220917-JinguStadium-1,9cdfb180-362c-11ed-9c5c-cf0bd21a0248,628837dd-3e28-4561-b603-366d6ebdddc8,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,137.40309,9.898787,,11.00871,,,,16.769387,-38.615402,3.651795,1.54649,-0.004177,-3.929133,-0.246492,1.044709,0.258986,0.212692,0.765116,0.278509,232.310766,0.212703,39.086797,-6.687267,1.468215,-0.312638,0.065926,-0.012732,0.001621,-8.2e-05,0.765108,12.706242,-4.603088,0.094239,0.050872,-0.031232,0.009819,-0.001408,7.1e-05,0.278531,9.925371,1.509925,-0.652583,0.242656,-0.08964,0.02609,-0.004473,0.000325,,,,,,,,,,,,,,,,,,,,,,,萩原 俊幸,https://youtu.be/7IVnlDnPsAM/&t=399,22A
5,2022/9/17,01:45.3,2022/9/17,01:45.3,3,1,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Reo, Akutsu",1000101208,Left,TOK,Undefined,1,Top,2,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,121.06393,2.106456,0.692162,2739.200507,59.196604,8:00,1.598391,0.24245,1.588604,-145.2453,-15.9876,-33.8386,0.749992,0.102457,110.75213,-8.273057,-1.671712,0.513432,,,,,,,,,,,,17.3176,-8.1607,-0.258798,15.24,1.644657,-0.242288,-33.261163,0.628537,2.492289,6.148709,-10.981105,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20220917-JinguStadium-1,aeee57f0-362c-11ed-9c5c-cf0bd21a0248,628837dd-3e28-4561-b603-366d6ebdddc8,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,118.14613,,,10.3118,,,,16.851649,-33.557772,3.074355,1.60156,1.158258,-5.490552,-0.24421,-0.362515,1.246145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,萩原 俊幸,https://youtu.be/7IVnlDnPsAM/&t=429,22A
6,2022/9/17,01:54.5,2022/9/17,01:54.5,3,2,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Reo, Akutsu",1000101208,Left,TOK,Undefined,1,Top,2,0,1,TwoSeamFastBall,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,,132.33246,-1.929434,-1.405462,1699.296916,289.649584,3:45,1.568966,0.232615,1.781517,-110.6246,-5.089,23.7225,-0.084156,0.071669,121.7759,-9.888369,0.274912,0.463932,,,,,,,,,,,,-13.3376,-0.3976,-0.19951,15.24,1.513192,0.785574,-36.392234,-1.664834,-2.298017,7.357432,-9.875153,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20220917-JinguStadium-1,b45406e0-362c-11ed-9c5c-cf0bd21a0248,628837dd-3e28-4561-b603-366d6ebdddc8,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,130.75196,,,10.55656,,,,16.658984,-36.677989,3.678716,1.570404,-1.281294,-4.937577,-0.231754,0.874826,-1.149009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,萩原 俊幸,https://youtu.be/7IVnlDnPsAM/&t=439,22A
7,2022/9/17,02:17.1,2022/9/17,02:17.1,3,3,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Reo, Akutsu",1000101208,Left,TOK,Undefined,1,Top,2,1,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,,143.82151,-0.844831,-1.161416,2258.630894,211.169148,1:00,1.552339,0.286022,1.773254,-48.8186,41.1231,22.9829,0.82467,0.186672,130.11755,-4.495354,0.46039,0.428287,,,,,,,,,,,,-12.6271,22.5605,-0.258698,15.24,1.527847,0.682011,-39.51867,-0.761843,-2.551741,9.086404,-5.24754,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20220917-JinguStadium-1,c1e0ceb0-362c-11ed-9c5c-cf0bd21a0248,628837dd-3e28-4561-b603-366d6ebdddc8,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,141.63391,,,13.70396,,,,16.665826,-39.845157,4.543202,1.551834,-0.573291,-2.62377,-0.284851,0.773699,-1.275871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,萩原 俊幸,https://youtu.be/7IVnlDnPsAM/&t=461,22A
8,2022/9/17,02:41.7,2022/9/17,02:41.7,3,4,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Reo, Akutsu",1000101208,Left,TOK,Undefined,1,Top,2,1,2,Splitter,Splitter,BallCalled,Undefined,Undefined,,Undefined,0,0,,132.93149,-1.620866,-1.540238,899.145707,271.262487,3:00,1.57806,0.214553,1.761676,-102.0505,2.7893,27.3669,0.097601,0.051318,122.02548,-8.98434,0.39415,0.4624,,,,,,,,,,,,-15.1948,3.5499,-0.177864,15.24,1.529864,0.855025,-36.54952,-1.443496,-2.641946,7.389904,-9.189424,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20220917-JinguStadium-1,d08ac650-362c-11ed-9c5c-cf0bd21a0248,628837dd-3e28-4561-b603-366d6ebdddc8,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,131.18516,,,10.90601,,,,16.678454,-36.839212,3.694952,1.57939,-1.083261,-4.594712,-0.213411,0.958592,-1.320973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,萩原 俊幸,https://youtu.be/7IVnlDnPsAM/&t=486,22A
9,2022/9/17,02:57.6,2022/9/17,02:57.6,3,5,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Reo, Akutsu",1000101208,Left,TOK,Undefined,1,Top,2,2,2,TwoSeamFastBall,Sinker,InPlay,Undefined,GroundBall,GroundBall,Single,0,0,,144.15751,-1.354628,-0.628763,2318.094934,245.035969,2:15,1.5406,0.291221,1.724385,-68.9227,19.9069,37.0018,0.466235,0.48251,132.63195,-6.359192,1.977123,0.425631,78.24712,-75.493209,-117.82442,,,,,0.604614,0.50453,-100.060594,0.019422,-19.2653,11.8483,-0.277889,15.24,1.500411,0.243783,-39.669522,-1.232474,-3.979427,8.048743,-7.359275,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20220917-JinguStadium-1,d9f27580-362c-11ed-9c5c-cf0bd21a0248,628837dd-3e28-4561-b603-366d6ebdddc8,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,142.51777,0.410397,,11.52557,,,,16.71569,-39.96781,4.024372,1.541033,-0.959737,-3.679637,-0.289656,0.391262,-1.989714,-0.056055,0.410397,-0.501406,,-0.056022,-2.551934,,,,,,,,0.410671,-21.130125,,,,,,,,-0.501343,-4.835177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,萩原 俊幸,https://youtu.be/7IVnlDnPsAM/&t=502,22A
10,2022/9/17,03:48.9,2022/9/17,03:48.9,4,1,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Kotaro, Beppu",1000089944,Left,TOK,Undefined,1,Top,2,0,0,TwoSeamFastBall,Changeup,StrikeCalled,Undefined,Undefined,,Undefined,0,0,1,137.79324,-0.262825,-1.351893,2075.681449,243.173871,2:00,1.555263,0.256902,1.722043,-76.1624,21.1908,36.0092,0.7189,0.232601,126.47355,-5.804991,1.182306,0.445584,,,,,,,,,,,,-19.1893,11.8523,-0.224763,15.24,1.542676,0.714244,-37.911455,-0.485882,-3.616898,7.416271,-7.572681,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20220917-JinguStadium-1,f88e2700-362c-11ed-9c5c-cf0bd21a0248,628837dd-3e28-4561-b603-366d6ebdddc8,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,136.13587,,,11.3197,,,,16.717794,-38.199449,3.708136,1.555834,-0.191815,-3.786341,-0.255226,0.854697,-1.808449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.34349,1.923155,0.718541,1.204614,-0.042018,0.669973,-0.242685,0.026976,1.600683,-0.592248,38.7939,1.429317,-0.488052,0.106943,36.025618,-3.226534,1.610622,4.140758,-3.559171,-0.618565,-0.819245,0.763861,萩原 俊幸,https://youtu.be/7IVnlDnPsAM/&t=553,22A
