PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,URL,season
1,2022/9/21,41:57.1,2022/9/21,41:57.1,1,1,"Shunsuke, Izawa",1000073948,Right,TOK,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Undefined,1,Top,0,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,131.20376,-1.392986,-0.838369,2477.790029,149.870991,11:00,1.755356,0.190298,1.707337,-81.2726,26.6028,-13.4686,0.546148,-0.182955,120.53862,-7.291748,-1.785775,0.469046,,,,,,,,,,,,6.2332,15.5046,-0.167359,15.24,1.71272,0.592402,-36.074722,-1.194159,1.061436,6.857565,-7.166414,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20220921-JinguStadium-2,1b509660-3970-11ed-84c4-abf2fd5eac2c,728a7d95-77b3-46bb-934f-c12035b4d479,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,129.32623,,,10.66513,,,,16.73209,-36.357252,3.428783,1.755837,-0.898904,-3.583207,-0.190865,0.548672,0.530718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,https://youtu.be/vN_kEqdAsgg/&t=337,22A
2,2022/9/21,42:07.1,2022/9/21,42:07.1,1,2,"Shunsuke, Izawa",1000073948,Right,TOK,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Undefined,1,Top,0,0,1,Splitter,Changeup,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,126.67875,-0.599043,0.430948,1435.550805,201.18244,12:45,1.754267,0.167042,1.781845,-76.3635,39.056,13.6241,0.820948,0.425347,115.34827,-6.228941,1.393203,0.48517,,,,,,,,,,,,-6.5743,21.5808,-0.178646,15.24,1.734108,-0.324957,-34.817083,-0.62912,-1.035397,6.814895,-6.40787,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20220921-JinguStadium-2,2145b410-3970-11ed-84c4-abf2fd5eac2c,728a7d95-77b3-46bb-934f-c12035b4d479,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,125.02824,,,11.33049,,,,16.656651,-35.093275,3.407448,1.754343,-0.369425,-3.203935,-0.166326,-0.282995,-0.517698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,https://youtu.be/vN_kEqdAsgg/&t=347,22A
3,2022/9/21,42:23.6,2022/9/21,42:23.6,1,3,"Shunsuke, Izawa",1000073948,Right,TOK,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Undefined,1,Top,0,0,2,Splitter,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,,126.3084,-3.056738,-0.318243,1495.253485,219.280738,1:15,1.776293,0.168189,1.765373,-82.3512,33.4834,24.3456,0.085275,0.321414,116.38323,-9.033208,1.4022,0.486042,,,,,,,,,,,,-12.7628,20.3855,-0.162029,15.24,1.693642,0.086057,-34.70803,-2.148686,-2.009383,6.418873,-6.59714,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20220921-JinguStadium-2,2b20be80-3970-11ed-84c4-abf2fd5eac2c,728a7d95-77b3-46bb-934f-c12035b4d479,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,124.80403,,,9.92516,,,,16.674506,-34.97232,3.209437,1.77652,-1.877056,-3.29857,-0.167275,0.168791,-1.004691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,https://youtu.be/vN_kEqdAsgg/&t=363,22A
4,2022/9/21,42:38.1,2022/9/21,42:38.1,1,4,"Shunsuke, Izawa",1000073948,Right,TOK,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Undefined,1,Top,0,1,2,Cutter,Slider,FoulBall,Undefined,Undefined,,Undefined,0,0,,130.65364,0.645009,-0.801767,2613.596745,120.146853,10:00,1.73006,0.175588,1.673586,-97.1807,10.425,-13.0479,0.94219,-0.183514,121.52123,-6.339959,-1.71731,0.46846,105.97693,38.73043,-178.391855,4438.242065,-33.519607,11.697825,-0.749768,,45.337986,,,6.1913,5.6311,-0.153069,15.24,1.739227,0.564169,-35.995556,0.010027,1.065043,5.886699,-8.837972,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20220921-JinguStadium-2,33bc6b20-3970-11ed-84c4-abf2fd5eac2c,728a7d95-77b3-46bb-934f-c12035b4d479,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,129.4882,12.511245,,9.13241,,,,16.767097,-36.244437,2.94335,1.730905,0.383683,-4.418986,-0.17597,0.519141,0.532522,1.046447,0.982649,0.165694,359.672672,1.046424,-22.95489,1.432945,0.20932,-0.032629,-0.0549,0.055967,-0.019886,0.002447,0.982681,18.416418,-8.447746,1.043158,-0.153919,-0.018253,0.020418,-0.004473,0.000284,0.165693,-0.644461,0.026682,0.032248,-0.005694,-0.003289,0.003669,-0.001276,0.000153,,,,,,,,,,,,,,,,,,,,,,,安 秀明,https://youtu.be/vN_kEqdAsgg/&t=378,22A
5,2022/9/21,43:00.5,2022/9/21,43:00.5,1,5,"Shunsuke, Izawa",1000073948,Right,TOK,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Undefined,1,Top,0,1,2,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,110.80095,4.017425,1.175431,2153.394422,25.959124,6:45,1.747036,0.135601,1.54618,-186.4091,-30.176,-17.2546,1.039504,0.300867,100.98544,-9.254381,-0.025589,0.564471,,,,,,,,,,,,9.4143,-16.3161,-0.167872,15.24,1.845648,-0.547,-30.375035,1.416076,1.125358,5.311824,-11.757029,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20220921-JinguStadium-2,412900c0-3970-11ed-84c4-abf2fd5eac2c,728a7d95-77b3-46bb-934f-c12035b4d479,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,107.46353,,,9.81551,,,,16.894487,-30.662998,2.655912,1.751604,2.053445,-5.878515,-0.136564,-0.608007,0.562679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,https://youtu.be/vN_kEqdAsgg/&t=400,22A
6,2022/9/21,43:14.8,2022/9/21,43:14.8,1,6,"Shunsuke, Izawa",1000073948,Right,TOK,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Undefined,1,Top,0,2,2,Fastball,Cutter,FoulBall,Undefined,Undefined,,Undefined,0,0,,139.39006,-0.141573,-0.664648,2375.373111,179.565165,12:00,1.719582,0.214225,1.818088,-48.1223,46.4185,-0.329,1.198346,0.023092,126.88686,-3.752737,-0.687925,0.439101,113.47437,36.566609,-173.807277,3202.20366,,,,,20.995775,,,-0.3197,24.8949,-0.198147,15.24,1.712974,0.446449,-38.347774,-0.259004,-0.061239,8.083346,-5.038319,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20220921-JinguStadium-2,49a47b30-3970-11ed-84c4-abf2fd5eac2c,728a7d95-77b3-46bb-934f-c12035b4d479,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,138.14592,11.707756,,12.5032,,,,16.621471,-38.637878,4.041673,1.719025,-0.078184,-2.519159,-0.214209,0.448647,-0.030619,0.893437,1.18832,-0.025751,352.093448,0.893437,-25.168601,1.330213,0.029439,0.014852,-0.092023,0.125846,-0.075886,0.017323,1.188321,18.77851,-8.738713,1.050598,-0.103805,-0.225815,0.286619,-0.145803,0.025124,-0.02575,-2.731033,-0.248974,0.26827,0.00506,-0.16194,0.20565,-0.114127,0.023174,,,,,,,,,,,,,,,,,,,,,,,安 秀明,https://youtu.be/vN_kEqdAsgg/&t=415,22A
7,2022/9/21,43:36.0,2022/9/21,43:36.0,1,7,"Shunsuke, Izawa",1000073948,Right,TOK,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Undefined,1,Top,0,2,2,Cutter,Slider,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,,131.49425,-0.719901,-0.921087,2597.533224,128.498288,10:15,1.733113,0.202066,1.652973,-91.3174,15.8238,-16.0633,0.614377,-0.221551,121.85782,-7.281923,-2.047357,0.467447,,,,,,,,,,,,7.5285,9.3619,-0.175771,15.24,1.705998,0.659425,-36.192628,-0.831346,1.302102,6.313689,-8.187438,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20220921-JinguStadium-2,56507ff0-3970-11ed-84c4-abf2fd5eac2c,728a7d95-77b3-46bb-934f-c12035b4d479,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,129.76858,,,9.63643,,,,16.787078,-36.461512,3.156845,1.733979,-0.482664,-4.093719,-0.202673,0.603971,0.651051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.40211,2.461662,1.523405,0.938257,0.000773,0.558545,0.237072,-0.173445,1.582017,0.21757,22.112378,1.523261,-15.920103,-0.157497,25.214663,-1.567728,1.595069,3.649668,-3.963585,0.176394,-19.654244,2.640382,安 秀明,https://youtu.be/vN_kEqdAsgg/&t=436,22A
8,2022/9/21,44:00.4,2022/9/21,44:00.4,2,1,"Shunsuke, Izawa",1000073948,Right,TOK,"Haruto, Asahi",1000073390,Left,KEI_KEI,Undefined,1,Top,1,0,0,Fastball,Cutter,FoulBall,Undefined,Undefined,Popup,Undefined,0,0,,137.24535,-1.522198,0.155598,2218.296836,181.070832,12:00,1.711562,0.188727,1.845373,-55.7836,40.8398,0.7077,0.724163,0.239704,126.02349,-5.657601,0.205781,0.443911,113.81419,46.522648,-122.585364,4764.405055,-22.318299,18.839065,-25.020272,59.158675,32.889446,-138.911725,3.615417,-0.2602,23.0415,-0.192458,15.24,1.671907,-0.105868,-37.77774,-1.199549,-0.048689,7.377994,-5.495112,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20220921-JinguStadium-2,64c97c80-3970-11ed-84c4-abf2fd5eac2c,728a7d95-77b3-46bb-934f-c12035b4d479,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,136.64903,18.873916,,11.22186,,,,16.594488,-38.041352,3.688997,1.711258,-1.003211,-2.747556,-0.188707,-0.104128,-0.024344,0.745453,0.758413,-0.238664,40.02064,0.745637,-11.720471,-1.508446,0.638345,-0.095312,-0.017222,0.012019,-0.002067,0.000115,0.758521,22.938658,-8.543205,1.042903,-0.200274,0.034672,-0.007756,0.001598,-0.00014,-0.238741,-18.328392,3.193714,-0.562553,0.159796,-0.077014,0.032405,-0.006891,0.000548,,,,,,,,,,,,,,,,,,,,,,,安 秀明,https://youtu.be/vN_kEqdAsgg/&t=460,22A
9,2022/9/21,44:13.8,2022/9/21,44:13.8,2,2,"Shunsuke, Izawa",1000073948,Right,TOK,"Haruto, Asahi",1000073390,Left,KEI_KEI,Undefined,1,Top,1,0,1,Splitter,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,,128.16757,-2.671346,0.226414,1397.179032,217.833437,1:15,1.756162,0.128723,1.74148,-80.9923,32.1793,22.0865,0.187169,0.413877,117.57555,-8.557496,1.784492,0.480422,,,,,,,,,,,,-11.1213,19.469,-0.136182,15.24,1.682029,-0.239911,-35.210111,-1.941248,-1.795678,6.819848,-6.663121,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20220921-JinguStadium-2,6ccf78d0-3970-11ed-84c4-abf2fd5eac2c,728a7d95-77b3-46bb-934f-c12035b4d479,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,126.26387,,,10.59202,,,,16.698048,-35.491396,3.409924,1.756429,-1.666427,-3.331561,-0.127814,-0.165847,-0.897839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,https://youtu.be/vN_kEqdAsgg/&t=474,22A
10,2022/9/21,44:27.0,2022/9/21,44:27.0,2,3,"Shunsuke, Izawa",1000073948,Right,TOK,"Haruto, Asahi",1000073390,Left,KEI_KEI,Undefined,1,Top,1,1,1,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,127.39002,0.664342,-0.68863,2502.310641,102.84076,9:30,1.74115,0.179915,1.581929,-108.3304,7.2057,-16.7298,0.848355,-0.184843,117.57118,-7.088596,-1.856352,0.485415,,,,,,,,,,,,7.8892,4.2166,-0.158862,15.24,1.750075,0.502719,-35.041922,-0.048495,1.274876,6.122077,-9.125259,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20220921-JinguStadium-2,74a4a120-3970-11ed-84c4-abf2fd5eac2c,728a7d95-77b3-46bb-934f-c12035b4d479,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,124.96514,,,9.81884,,,,16.857979,-35.323463,3.061039,1.742656,0.371157,-4.562629,-0.180633,0.444091,0.637438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,https://youtu.be/vN_kEqdAsgg/&t=487,22A
