PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,URL,season
1,2022/9/25,00:50.4,2022/9/25,00:50.4,1,1,"Shota, Masui",1000073328,Left,KEI_KEI,"Satoru, Michihara",1000074062,Left,RIK,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,140.91903,-0.811874,3.21797,2219.08982,145.356028,10:45,1.587235,-0.736445,1.705623,-52.2909,41.3905,-26.5472,0.83291,-0.085213,128.77859,-4.675151,1.356406,0.437101,117.29354,2.450684,21.544405,1027.437463,,,,18.085873,17.331622,22.27847,0.58484,15.714,22.4264,0.654444,15.24,1.561982,-2.039807,-38.703388,-0.750255,3.082394,7.837248,-5.407579,KEI_KEI,RIK,JinguStadium,TeamExclusive,Team,20220925-JinguStadium-1,7fb4ca90-3c6d-11ed-8d0e-9d991c333a4f,6d6e25cd-2005-4f7d-b819-be5cfa7f3b27,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,138.77812,0.979118,,12.14044,,,,16.734033,-39.004749,3.918624,1.586833,-0.54232,-2.70379,0.735158,-2.158333,1.541197,0.258392,0.885035,0.11167,279.208064,0.263037,30.170305,-3.439347,,,,,,,0.888467,1.31455,-4.854835,,,,,,,0.1121,11.943858,-0.705335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浅田 祐太朗,https://youtu.be/rNF2WpIKz9w/&t=465,22A
2,2022/9/25,01:19.3,2022/9/25,01:19.3,2,1,"Shota, Masui",1000073328,Left,KEI_KEI,"Shintaro, Nishikawa",1000089917,Right,RIK,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,143.05748,-2.300224,3.391292,2241.971463,145.189609,10:45,1.596459,-0.757321,1.635305,-48.2386,43.9641,-28.4269,0.455167,-0.071233,130.36851,-5.859985,1.406475,0.433637,,,,,,,,,,,,16.7213,24.6451,0.666989,15.24,1.529427,-2.17112,-39.225467,-1.769043,3.357094,8.321253,-4.85872,KEI_KEI,RIK,JinguStadium,TeamExclusive,Team,20220925-JinguStadium-1,90ece720-3c6d-11ed-8d0e-9d991c333a4f,6d6e25cd-2005-4f7d-b819-be5cfa7f3b27,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,139.88655,,,12.68897,,,,16.804112,-39.555885,4.160627,1.595842,-1.576115,-2.42936,0.755846,-2.304422,1.678547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浅田 祐太朗,https://youtu.be/rNF2WpIKz9w/&t=493,22A
3,2022/9/25,01:28.5,2022/9/25,01:28.5,2,2,"Shota, Masui",1000073328,Left,KEI_KEI,"Shintaro, Nishikawa",1000089917,Right,RIK,Undefined,1,Top,1,0,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,141.52878,-1.880955,3.042335,2273.372654,152.666098,11:00,1.619988,-0.732138,1.628987,-45.2594,48.4683,-23.5142,0.628661,-0.096633,129.51773,-5.228778,1.400761,0.437208,113.45082,-26.959659,-50.27603,,,,,1.502407,1.502407,-34.687844,0.043977,13.9462,26.5441,0.650651,15.24,1.564503,-1.940877,-38.850446,-1.452174,2.759644,7.810798,-4.554171,KEI_KEI,RIK,JinguStadium,TeamExclusive,Team,20220925-JinguStadium-1,9673b2a0-3c6d-11ed-8d0e-9d991c333a4f,6d6e25cd-2005-4f7d-b819-be5cfa7f3b27,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,138.74388,0.630167,,12.01105,,,,16.810756,-39.16497,3.905399,1.619287,-1.268788,-2.277085,0.731043,-2.052002,1.379822,0.44359,0.630167,0.097872,,0.443216,18.00445,,,,,,,,0.630465,-14.329388,,,,,,,,0.098322,-21.668013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浅田 祐太朗,https://youtu.be/rNF2WpIKz9w/&t=502,22A
4,2022/9/25,02:00.9,2022/9/25,02:00.9,3,1,"Shota, Masui",1000073328,Left,KEI_KEI,"Jinto, Miyazaki",1000074131,Right,RIK,Undefined,1,Top,2,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,FlyBall,Undefined,0,0,,140.22168,-0.803888,3.838157,2227.141492,151.22952,11:00,1.588683,-0.762381,1.765873,-46.6317,47.4223,-24.3933,0.893921,0.083507,128.03239,-4.285009,2.12364,0.437969,101.64605,30.12344,155.326396,2916.234248,-31.091127,7.351659,12.548644,48.816437,21.785911,158.997466,2.346385,15.132,25.6525,0.667804,15.24,1.565162,-2.460475,-38.494613,-0.705218,2.935437,7.774606,-4.830354,KEI_KEI,RIK,JinguStadium,TeamExclusive,Team,20220925-JinguStadium-1,a9bad910-3c6d-11ed-8d0e-9d991c333a4f,6d6e25cd-2005-4f7d-b819-be5cfa7f3b27,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,138.50294,8.352469,,12.18929,,,,16.673672,-38.783085,3.887303,1.588003,-0.52599,-2.415177,0.761119,-2.569393,1.467718,0.105877,0.859329,-0.097601,329.038836,0.105918,-22.194385,1.149559,-0.069822,0.113975,-0.10156,0.052716,-0.013364,0.001279,0.859326,14.170567,-7.328032,0.739398,-0.212333,0.098661,-0.043883,0.01184,-0.001317,-0.097623,10.196239,-1.551361,0.310195,-0.159273,0.115149,-0.057944,0.015174,-0.001557,,,,,,,,,,,,,,,,,,,,,,,浅田 祐太朗,https://youtu.be/rNF2WpIKz9w/&t=535,22A
5,2022/9/25,02:14.5,2022/9/25,02:14.5,3,2,"Shota, Masui",1000073328,Left,KEI_KEI,"Jinto, Miyazaki",1000074131,Right,RIK,Undefined,1,Top,2,0,1,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,131.53391,0.305855,3.015481,1362.870771,124.387158,10:15,1.600646,-0.723625,1.642542,-83.6409,25.3978,-31.7605,0.851732,-0.178997,119.60285,-5.7773,0.795357,0.471569,,,,,,,,,,,,18.0958,13.6409,0.644198,15.24,1.602022,-1.74131,-36.09422,-0.144841,3.067485,7.226871,-7.494321,KEI_KEI,RIK,JinguStadium,TeamExclusive,Team,20220925-JinguStadium-1,b1dce8e0-3c6d-11ed-8d0e-9d991c333a4f,6d6e25cd-2005-4f7d-b819-be5cfa7f3b27,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,128.63447,,,11.93106,,,,16.796517,-36.404535,3.613435,1.601333,0.176959,-3.74716,0.721796,-1.873025,1.533743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浅田 祐太朗,https://youtu.be/rNF2WpIKz9w/&t=548,22A
6,2022/9/25,02:29.9,2022/9/25,02:29.9,3,3,"Shota, Masui",1000073328,Left,KEI_KEI,"Jinto, Miyazaki",1000074131,Right,RIK,Undefined,1,Top,2,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,143.30508,-2.308136,2.284007,2331.275317,153.781881,11:15,1.606936,-0.764955,1.621093,-42.6786,48.7718,-22.5864,0.519035,-0.337142,131.19817,-5.467611,0.706327,0.431864,,,,,,,,,,,,12.833,26.866,0.7039,15.24,1.539566,-1.445525,-39.343085,-1.750606,2.605707,7.964554,-4.351571,KEI_KEI,RIK,JinguStadium,TeamExclusive,Team,20220925-JinguStadium-1,bb0237e0-3c6d-11ed-8d0e-9d991c333a4f,6d6e25cd-2005-4f7d-b819-be5cfa7f3b27,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,140.46078,,,12.10692,,,,16.818189,-39.661285,3.982277,1.606034,-1.576753,-2.175786,0.763732,-1.549628,1.302853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浅田 祐太朗,https://youtu.be/rNF2WpIKz9w/&t=564,22A
7,2022/9/25,02:42.0,2022/9/25,02:42.0,3,4,"Shota, Masui",1000073328,Left,KEI_KEI,"Jinto, Miyazaki",1000074131,Right,RIK,Undefined,1,Top,2,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,,131.79655,-1.41952,2.360627,1298.349239,133.501652,10:30,1.610469,-0.71767,1.662835,-77.9283,29.3328,-27.4281,0.425745,-0.318042,121.30304,-7.065311,0.438194,0.467709,,,,,,,,,,,,15.4442,16.748,0.656555,15.24,1.565905,-1.359879,-36.220748,-1.208343,2.661425,6.664646,-6.920549,KEI_KEI,RIK,JinguStadium,TeamExclusive,Team,20220925-JinguStadium-1,c2413ab0-3c6d-11ed-8d0e-9d991c333a4f,6d6e25cd-2005-4f7d-b819-be5cfa7f3b27,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,129.69601,,,10.4935,,,,16.776925,-36.502448,3.332323,1.610797,-0.915826,-3.460275,0.716412,-1.472371,1.330713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浅田 祐太朗,https://youtu.be/rNF2WpIKz9w/&t=576,22A
8,2022/9/25,02:58.1,2022/9/25,02:58.1,3,5,"Shota, Masui",1000073328,Left,KEI_KEI,"Jinto, Miyazaki",1000074131,Right,RIK,Undefined,1,Top,2,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,142.17625,-2.224285,4.448941,2272.28456,153.74008,11:00,1.576244,-0.72554,1.739977,-45.4853,47.0997,-21.6776,0.487531,0.323599,129.21985,-5.617966,2.929574,0.434535,,,,,,,,,,,,14.303,26.513,0.613408,15.24,1.515955,-2.917754,-38.944091,-1.679574,2.823011,8.40068,-4.57373,KEI_KEI,RIK,JinguStadium,TeamExclusive,Team,20220925-JinguStadium-1,cbd26ae0-3c6d-11ed-8d0e-9d991c333a4f,6d6e25cd-2005-4f7d-b819-be5cfa7f3b27,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,139.59743,,,12.9564,,,,16.699199,-39.257595,4.20034,1.57545,-1.508888,-2.286865,0.724261,-3.023106,1.411506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浅田 祐太朗,https://youtu.be/rNF2WpIKz9w/&t=592,22A
9,2022/9/25,03:12.3,2022/9/25,03:12.3,3,6,"Shota, Masui",1000073328,Left,KEI_KEI,"Jinto, Miyazaki",1000074131,Right,RIK,Undefined,1,Top,2,3,2,Fastball,Four-Seam,InPlay,Undefined,FlyBall,FlyBall,Out,1,0,,142.83737,-1.471434,3.472447,2339.459241,153.422116,11:00,1.598465,-0.699667,1.730582,-40.9644,50.4489,-23.7106,0.769874,0.05108,129.88523,-4.549762,1.808353,0.431777,133.95611,34.031734,-9.384353,2596.013161,33.19279,19.841749,-4.729191,93.441281,91.99645,-6.109328,4.923589,14.5976,27.6069,0.612206,15.24,1.557588,-2.255428,-39.195121,-1.151079,2.922146,8.412878,-4.280302,KEI_KEI,RIK,JinguStadium,TeamExclusive,Team,20220925-JinguStadium-1,d447f1e0-3c6d-11ed-8d0e-9d991c333a4f,6d6e25cd-2005-4f7d-b819-be5cfa7f3b27,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,140.48919,24.372383,,12.95214,,,,16.708833,-39.509135,4.206439,1.597571,-0.991315,-2.140151,0.698427,-2.364498,1.461073,0.361976,0.757634,-0.049807,189.937838,0.362649,30.411486,-5.23636,1.124702,-0.172228,0.014519,-0.000449,6e-05,-9e-06,0.757484,20.824507,-5.019377,0.225617,-0.006723,-0.013472,0.005726,-0.000949,5.6e-05,-0.049937,-5.026026,1.477687,-0.358241,0.064207,-0.007357,0.000398,-6e-06,0.0,,,,,,,,,,,,,,,,,,,,,,,浅田 祐太朗,https://youtu.be/rNF2WpIKz9w/&t=606,22A
10,2022/9/25,05:43.3,2022/9/25,05:43.3,1,1,"Yosuke, Ikeda",1000089900,Right,RIK,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Undefined,1,Bottom,0,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,134.03436,0.581846,-0.935802,2168.725221,117.985909,10:00,1.628753,0.689206,1.770409,-92.3299,9.9714,-12.9242,0.8704,0.294697,123.1043,-6.124774,-1.847906,0.456768,,,,,,,,,,,,5.9192,5.7121,-0.664913,15.24,1.636742,0.66496,-36.883126,0.00401,1.055656,7.040336,-8.787933,KEI_KEI,RIK,JinguStadium,TeamExclusive,Team,20220925-JinguStadium-1,2e49efe0-3c6e-11ed-8d0e-9d991c333a4f,6d6e25cd-2005-4f7d-b819-be5cfa7f3b27,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,132.80278,,,10.93006,,,,16.669137,-37.154921,3.520168,1.630039,0.343273,-4.393966,-0.689798,0.624206,0.527828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浅田 祐太朗,https://youtu.be/rNF2WpIKz9w/&t=757,22A
