PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,Unnamed: 156,Unnamed: 157,umpire,URL,season
1,2022/9/25,47:17.2,2022/9/25,47:17.2,1,1,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Kaito, Muramatsu",1000073668,Left,MEI_MEI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,140.91485,-1.104632,-2.566208,2154.212356,211.191799,1:00,1.479106,0.185056,1.82977,-43.914,47.6986,27.2236,0.727662,-0.2679,129.53749,-4.389788,-0.640942,0.432247,,,,,,,,,,,,-15.637,26.0762,-0.1253,15.24,1.449678,1.603757,-38.765091,-0.896055,-3.096063,7.40288,-4.643692,WAS_EDA,MEI_MEI,JinguStadium,Fall,Team,20220925-JinguStadium-2,c04720f0-3c84-11ed-937c-6d35909a3bf4,29dbd46f-7daa-4e8a-9b28-cd2c1d82b591,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,140.33633,,,11.37736,,,,16.609912,-39.025823,3.70144,1.478357,-0.732503,-2.321846,-0.183706,1.712802,-1.548031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,https://youtu.be/AcZDaRTVJwE/&t=312,22A
2,2022/9/25,47:28.4,2022/9/25,47:28.4,1,2,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Kaito, Muramatsu",1000073668,Left,MEI_MEI,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,140.20582,0.14407,-2.688627,2139.650903,214.480067,1:15,1.484546,0.203827,1.872249,-48.9652,42.6182,27.5149,1.035518,-0.278866,129.39629,-3.502098,-0.738173,0.432178,,,,,,,,,,,,-15.816,22.7302,-0.142993,15.24,1.484773,1.680507,-38.598331,-0.070191,-3.12086,6.949748,-5.321457,WAS_EDA,MEI_MEI,JinguStadium,Fall,Team,20220925-JinguStadium-2,c6f49220-3c84-11ed-937c-6d35909a3bf4,29dbd46f-7daa-4e8a-9b28-cd2c1d82b591,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,140.35874,,,10.80953,,,,16.567526,-38.83662,3.474874,1.484051,0.112269,-2.660728,-0.202448,1.787514,-1.56043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,https://youtu.be/AcZDaRTVJwE/&t=323,22A
3,2022/9/25,47:39.3,2022/9/25,47:39.3,1,3,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Kaito, Muramatsu",1000073668,Left,MEI_MEI,Undefined,1,Top,0,1,1,ChangeUp,Changeup,BallinDirt,Undefined,Undefined,,Undefined,0,0,,124.2695,-3.317115,-2.799949,1509.182835,240.646972,2:00,1.521676,0.202005,1.96944,-93.5789,22.0949,33.3819,-0.344943,-0.248691,115.94922,-10.120037,-0.412082,0.485704,,,,,,,,,,,,-19.6795,14.5434,-0.143606,15.24,1.444994,1.548198,-34.182839,-2.282269,-3.035677,5.64174,-7.563254,WAS_EDA,MEI_MEI,JinguStadium,Fall,Team,20220925-JinguStadium-2,cd709310-3c84-11ed-937c-6d35909a3bf4,29dbd46f-7daa-4e8a-9b28-cd2c1d82b591,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,124.89075,,,8.32028,,,,16.471571,-34.385504,2.82087,1.522099,-2.010578,-3.781627,-0.20118,1.657247,-1.517838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,https://youtu.be/AcZDaRTVJwE/&t=334,22A
4,2022/9/25,47:59.7,2022/9/25,47:59.7,1,4,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Kaito, Muramatsu",1000073668,Left,MEI_MEI,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,141.81897,-0.152694,-0.420755,2145.321535,205.608824,12:45,1.463923,0.2812,1.766845,-42.0203,49.2156,22.2714,1.000429,0.384627,129.96456,-3.301613,1.150048,0.431358,,,,,,,,,,,,-11.6208,26.0392,-0.272256,15.24,1.45708,0.173412,-39.033512,-0.248852,-2.32581,7.734921,-4.595108,WAS_EDA,MEI_MEI,JinguStadium,Fall,Team,20220925-JinguStadium-2,d990d290-3c84-11ed-937c-6d35909a3bf4,29dbd46f-7daa-4e8a-9b28-cd2c1d82b591,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,140.62573,,,11.85441,,,,16.672652,-39.316383,3.86746,1.463108,-0.080806,-2.297554,-0.280153,0.258469,-1.162905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,https://youtu.be/AcZDaRTVJwE/&t=354,22A
5,2022/9/25,48:13.2,2022/9/25,48:13.2,1,5,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Kaito, Muramatsu",1000073668,Left,MEI_MEI,Undefined,1,Top,0,3,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,140.31847,-0.67776,-1.661568,2092.0733,212.322551,1:00,1.459153,0.229229,1.894541,-48.447,42.8727,25.4636,0.783957,0.016379,129.34513,-4.292944,0.148142,0.431556,,,,,,,,,,,,-14.2438,23.4834,-0.192761,15.24,1.440698,1.000954,-38.648548,-0.620426,-2.808952,7.207325,-5.175603,WAS_EDA,MEI_MEI,JinguStadium,Fall,Team,20220925-JinguStadium-2,e1a4ffb0-3c84-11ed-937c-6d35909a3bf4,29dbd46f-7daa-4e8a-9b28-cd2c1d82b591,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,140.56122,,,10.97333,,,,16.54528,-38.8912,3.603663,1.458653,-0.446177,-2.587801,-0.228052,1.095525,-1.404476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,https://youtu.be/AcZDaRTVJwE/&t=368,22A
6,2022/9/25,48:27.6,2022/9/25,48:27.6,1,6,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Kaito, Muramatsu",1000073668,Left,MEI_MEI,Undefined,1,Top,0,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,,Undefined,0,0,,142.37406,-0.312945,-3.458112,2102.771029,213.049392,1:00,1.462161,0.232578,1.843471,-42.453,47.7577,29.2239,0.949167,-0.452127,129.96629,-3.510855,-1.392621,0.428927,,,,,,,,,,,,-17.3361,25.5995,-0.152262,15.24,1.45192,2.216892,-39.118439,-0.352458,-3.475285,7.976093,-4.674831,WAS_EDA,MEI_MEI,JinguStadium,Fall,Team,20220925-JinguStadium-2,ea386ef0-3c84-11ed-937c-6d35909a3bf4,29dbd46f-7daa-4e8a-9b28-cd2c1d82b591,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,141.42256,,,12.40777,,,,16.595799,-39.393911,3.988047,1.461305,-0.191003,-2.337416,-0.2309,2.336919,-1.737642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,https://youtu.be/AcZDaRTVJwE/&t=382,22A
7,2022/9/25,49:15.5,2022/9/25,49:15.5,2,1,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Taiji, Iimori",1000126480,Left,MEI_MEI,Undefined,1,Top,0,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,1,112.08785,4.362877,0.956258,1597.622768,10.931489,6:15,1.526379,0.276,1.781092,-159.9873,-13.7611,-3.4756,1.164872,0.512133,103.23099,-7.188942,0.711232,0.546094,,,,,,,,,,,,2.3988,-8.4909,-0.299476,15.24,1.623556,-0.499892,-30.788174,1.798154,0.299242,4.725434,-10.865864,WAS_EDA,MEI_MEI,JinguStadium,Fall,Team,20220925-JinguStadium-2,06df2e40-3c85-11ed-937c-6d35909a3bf4,29dbd46f-7daa-4e8a-9b28-cd2c1d82b591,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,111.07979,,,8.85686,,,,16.659486,-31.005275,2.362717,1.529476,2.297364,-5.432932,-0.276194,-0.51364,0.149621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,https://youtu.be/AcZDaRTVJwE/&t=430,22A
8,2022/9/25,49:37.0,2022/9/25,49:37.0,2,2,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Taiji, Iimori",1000126480,Left,MEI_MEI,Undefined,1,Top,0,1,0,Fastball,Changeup,InPlay,Undefined,Bunt,,Sacrifice,1,0,1,138.54645,-1.329715,-2.954535,1959.92272,216.185508,1:15,1.471415,0.286391,1.855178,-53.4832,41.5244,28.1907,0.561089,-0.265503,126.88721,-5.30876,-0.958158,0.440184,,,,,,,,,,,,-16.7785,23.3122,-0.218731,15.24,1.436713,1.836464,-38.094728,-1.071807,-3.187993,7.604128,-5.377227,WAS_EDA,MEI_MEI,JinguStadium,Fall,Team,20220925-JinguStadium-2,1396a4b0-3c85-11ed-937c-6d35909a3bf4,29dbd46f-7daa-4e8a-9b28-cd2c1d82b591,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,137.80613,,,11.65924,,,,16.585019,-38.362269,3.802064,1.471095,-0.882617,-2.688613,-0.285318,1.948629,-1.593997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,https://youtu.be/AcZDaRTVJwE/&t=452,22A
9,2022/9/25,50:14.5,2022/9/25,50:14.5,3,1,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Rui, Muneyama",1000101247,Left,MEI_MEI,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,2,141.41071,-0.884598,-1.784301,2119.127574,210.300156,1:00,1.506183,0.182323,1.829935,-38.6256,53.9458,29.6065,0.869975,-0.025663,127.60825,-3.840195,0.311015,0.434503,,,,,,,,,,,,-16.4769,29.2616,-0.141409,15.24,1.482403,1.058727,-38.844489,-0.713562,-3.213027,8.871639,-4.100583,WAS_EDA,MEI_MEI,JinguStadium,Fall,Team,20220925-JinguStadium-2,29f2fa60-3c85-11ed-937c-6d35909a3bf4,29dbd46f-7daa-4e8a-9b28-cd2c1d82b591,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,139.60773,,,13.80246,,,,16.608654,-39.155827,4.435819,1.504919,-0.569658,-2.050292,-0.180542,1.171484,-1.606513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,https://youtu.be/AcZDaRTVJwE/&t=489,22A
10,2022/9/25,50:36.1,2022/9/25,50:36.1,3,2,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Rui, Muneyama",1000101247,Left,MEI_MEI,Undefined,1,Top,1,0,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,FlyBall,Undefined,0,0,2,140.83354,-0.370702,-1.168812,1976.15841,210.846042,1:00,1.452035,0.223948,1.852326,-50.5833,41.5633,23.0477,0.841637,0.124763,128.35805,-4.155041,0.465327,0.433505,109.24331,27.797553,-156.539715,2957.621526,-31.131821,7.178752,-12.44703,50.253175,38.340322,-158.698049,2.257516,-12.7499,22.5995,-0.197864,15.24,1.440071,0.678996,-38.749809,-0.426223,-2.496417,8.169471,-5.381706,WAS_EDA,MEI_MEI,JinguStadium,Fall,Team,20220925-JinguStadium-2,36d37ca0-3c85-11ed-937c-6d35909a3bf4,29dbd46f-7daa-4e8a-9b28-cd2c1d82b591,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,139.92907,7.887348,,12.47548,,,,16.587196,-39.032799,4.084735,1.451606,-0.2398,-2.690853,-0.222883,0.765472,-1.248209,0.313802,0.784892,-0.113253,30.584007,0.313848,-24.62761,1.544116,0.001832,0.168657,-0.218641,0.133648,-0.038746,0.004296,0.784887,14.151914,-7.821368,0.934913,-0.232535,0.079802,-0.033409,0.010071,-0.001268,-0.113239,-10.687731,1.874478,-0.524245,0.195949,-0.10681,0.053022,-0.015339,0.001781,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,https://youtu.be/AcZDaRTVJwE/&t=511,22A
