PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,Steal,Runner,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,URL,umpire,season
1,2022/10/2,00:33.4,2022/10/2,00:33.5,1,1,"Taisei, Shimizu",1000089854,Left,WAS_EDA,"Yu, Miyazaki",1000073899,Left,TOK,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,LineDrive,Undefined,0,0,,,,138.3994,-2.241185,2.611938,2221.826716,166.348641,11:30,1.703997,-0.620503,1.658854,-41.1464,57.2442,-13.0843,0.651936,-0.005418,125.76209,-5.331299,1.696631,0.447952,95.76708,15.906623,-41.247903,4765.360333,,,,37.411398,36.738046,-49.205035,1.696535,8.5277,31.4653,0.551219,15.24,1.640287,-1.663804,-37.962904,-1.626959,1.598668,8.014772,-3.907941,WAS_EDA,TOK,JinguStadium,Fall,Team,20221002-JinguStadium-1,ff7b0a40-41f5-11ed-800b-a165d4c125bb,cb7240fb-3fe8-4a93-b44e-553f8fa5fcf1,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,135.41635,3.433196,,12.63731,,,,16.780209,-38.286694,4.007386,1.702825,-1.469081,-1.95397,0.61974,-1.728389,0.799334,0.086905,0.625501,-0.00926,112.266048,0.086907,19.235033,-3.59067,0.56718,-0.057145,-0.07343,0.065723,-0.026209,0.004182,0.6255,7.290922,-4.94329,0.306679,-0.070538,0.053908,-0.035102,0.013537,-0.002163,-0.009261,-16.867347,-0.086327,0.195217,-0.066461,0.012997,-0.001804,0.000348,-7.3e-05,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/e38skd1EVpc/&t=321,松本 知一,22A
2,2022/10/2,00:52.5,2022/10/2,00:52.5,1,2,"Taisei, Shimizu",1000089854,Left,WAS_EDA,"Yu, Miyazaki",1000073899,Left,TOK,Undefined,1,Top,0,0,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,122.63198,1.233905,2.135399,2578.300829,314.532169,4:30,1.630575,-0.729241,1.538666,-140.9006,-13.8004,18.268,0.576599,0.067618,112.2247,-8.790451,3.406405,0.509129,,,,,,,,,,,,-7.4001,-6.4133,0.665406,15.24,1.652986,-1.343707,-33.662611,0.130423,-1.08876,6.405099,-10.750228,WAS_EDA,TOK,JinguStadium,Fall,Team,20221002-JinguStadium-1,0adbf160-41f6-11ed-800b-a165d4c125bb,cb7240fb-3fe8-4a93-b44e-553f8fa5fcf1,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,119.14467,,,10.40728,,,,16.901209,-33.977225,3.202549,1.633611,0.658466,-5.375114,0.730095,-1.290228,-0.54438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/e38skd1EVpc/&t=340,松本 知一,22A
3,2022/10/2,01:04.6,2022/10/2,01:04.6,1,3,"Taisei, Shimizu",1000089854,Left,WAS_EDA,"Yu, Miyazaki",1000073899,Left,TOK,Undefined,1,Top,0,0,2,Slider,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,126.33081,0.849305,4.344035,2642.915016,293.783294,3:45,1.638264,-0.731371,1.630249,-120.5477,-4.1378,16.262,0.676309,0.675534,117.89963,-7.720476,5.475827,0.487247,,,,,,,,,,,,-5.5653,-1.5838,0.610538,15.24,1.651222,-2.712226,-34.700041,0.018187,-0.889662,5.472336,-10.059831,WAS_EDA,TOK,JinguStadium,Fall,Team,20221002-JinguStadium-1,12121a90-41f6-11ed-800b-a165d4c125bb,cb7240fb-3fe8-4a93-b44e-553f8fa5fcf1,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,124.49526,,,8.43119,,,,16.810277,-34.946803,2.736168,1.640175,0.471811,-5.029916,0.731935,-2.672109,-0.444831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/e38skd1EVpc/&t=352,松本 知一,22A
4,2022/10/2,01:15.8,2022/10/2,01:15.8,1,4,"Taisei, Shimizu",1000089854,Left,WAS_EDA,"Yu, Miyazaki",1000073899,Left,TOK,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,139.38223,-2.033612,3.95924,2254.783011,169.619935,11:45,1.686408,-0.639565,1.664563,-46.0301,51.5391,-8.8084,0.644312,0.403673,126.18956,-5.468289,3.34439,0.446078,,,,,,,,,,,,7.4698,28.4695,0.533876,15.24,1.628026,-2.594578,-38.164053,-1.521745,1.409913,8.367729,-4.433044,WAS_EDA,TOK,JinguStadium,Fall,Team,20221002-JinguStadium-1,18bd8ff0-41f6-11ed-800b-a165d4c125bb,cb7240fb-3fe8-4a93-b44e-553f8fa5fcf1,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,135.98514,,,13.19268,,,,16.773937,-38.49891,4.183864,1.685373,-1.344345,-2.216522,0.638834,-2.650999,0.704957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/e38skd1EVpc/&t=363,松本 知一,22A
5,2022/10/2,01:30.7,2022/10/2,01:30.7,1,5,"Taisei, Shimizu",1000089854,Left,WAS_EDA,"Yu, Miyazaki",1000073899,Left,TOK,Undefined,1,Top,0,2,2,Slider,Curveball,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,,,122.23765,2.280286,2.742745,1273.980153,319.245872,4:45,1.612197,-0.785866,1.63467,-136.5942,-12.6656,13.6962,0.899073,0.135597,113.88532,-7.452122,3.699135,0.502736,133.96818,-1.524254,10.156025,1845.343204,,,,9.948564,9.811418,9.195847,0.271995,-5.2968,-6.9221,0.709539,15.24,1.662776,-1.671675,-33.62266,0.796461,-0.79492,5.14186,-10.845493,WAS_EDA,TOK,JinguStadium,Fall,Team,20221002-JinguStadium-1,21a42840-41f6-11ed-800b-a165d4c125bb,cb7240fb-3fe8-4a93-b44e-553f8fa5fcf1,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,120.65964,0.865941,,8.35233,,,,16.806407,-33.861361,2.57093,1.614115,1.299942,-5.422747,0.786287,-1.634772,-0.39746,0.290388,0.865941,-0.142636,354.352123,0.29096,36.589413,-5.716796,,,,,,,0.867275,-1.055249,-7.860733,,,,,,,-0.142625,6.558972,-0.696329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/e38skd1EVpc/&t=378,松本 知一,22A
6,2022/10/2,01:58.0,2022/10/2,01:58.0,2,1,"Taisei, Shimizu",1000089854,Left,WAS_EDA,"Reo, Akutsu",1000101208,Left,TOK,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,139.43362,-3.014755,2.986266,2200.244387,158.562969,11:15,1.691541,-0.632017,1.67938,-47.0196,49.965,-18.2905,0.36009,0.037021,126.70328,-6.509049,1.705245,0.44474,,,,,,,,,,,,11.4039,28.4168,0.554056,15.24,1.607539,-1.896436,-38.205369,-2.183917,2.163389,8.179131,-4.415804,WAS_EDA,TOK,JinguStadium,Fall,Team,20221002-JinguStadium-1,31e11bf0-41f6-11ed-800b-a165d4c125bb,cb7240fb-3fe8-4a93-b44e-553f8fa5fcf1,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,136.39428,,,12.73033,,,,16.759299,-38.529253,4.089566,1.690558,-2.009056,-2.207902,0.630848,-1.982103,1.081694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/e38skd1EVpc/&t=405,松本 知一,22A
7,2022/10/2,02:07.8,2022/10/2,02:07.7,2,2,"Taisei, Shimizu",1000089854,Left,WAS_EDA,"Reo, Akutsu",1000101208,Left,TOK,Undefined,1,Top,1,1,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,123.90304,0.673144,2.198185,2524.986621,289.862819,3:45,1.626369,-0.735767,1.586621,-125.5272,-3.1422,18.6706,0.564203,0.081353,114.55613,-8.271744,3.500449,0.499596,,,,,,,,,,,,-7.8421,-0.9069,0.672005,15.24,1.63397,-1.395558,-34.062453,-0.116971,-1.195159,5.893078,-9.94486,WAS_EDA,TOK,JinguStadium,Fall,Team,20221002-JinguStadium-1,37b82a50-41f6-11ed-800b-a165d4c125bb,cb7240fb-3fe8-4a93-b44e-553f8fa5fcf1,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,121.41819,,,9.34691,,,,16.853563,-34.340478,2.946539,1.628421,0.352209,-4.97243,0.736515,-1.339172,-0.597579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/e38skd1EVpc/&t=415,松本 知一,22A
8,2022/10/2,02:17.4,2022/10/2,02:17.4,2,3,"Taisei, Shimizu",1000089854,Left,WAS_EDA,"Reo, Akutsu",1000101208,Left,TOK,Undefined,1,Top,1,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,121.78494,2.79407,1.696725,2515.571946,320.851945,4:45,1.613678,-0.765035,1.640892,-141.6514,-15.9815,15.9375,0.996415,-0.120764,112.46769,-7.33218,2.811318,0.506256,,,,,,,,,,,,-6.8616,-8.6462,0.71741,15.24,1.677876,-1.065034,-33.478436,1.064696,-1.012696,5.553203,-11.082744,WAS_EDA,TOK,JinguStadium,Fall,Team,20221002-JinguStadium-1,3d75bd40-41f6-11ed-800b-a165d4c125bb,cb7240fb-3fe8-4a93-b44e-553f8fa5fcf1,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,119.82079,,,9.31725,,,,16.799687,-33.736155,2.776601,1.616529,1.579037,-5.541372,0.765747,-1.018035,-0.506348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/e38skd1EVpc/&t=425,松本 知一,22A
9,2022/10/2,02:28.5,2022/10/2,02:28.6,2,4,"Taisei, Shimizu",1000089854,Left,WAS_EDA,"Reo, Akutsu",1000101208,Left,TOK,Undefined,1,Top,1,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,137.59435,-2.782591,3.45637,2103.665961,166.628886,11:30,1.665399,-0.638618,1.742416,-45.3636,54.238,-12.0142,0.419644,0.223794,124.1165,-6.197138,2.612683,0.4507,,,,,,,,,,,,8.8863,30.8497,0.551343,15.24,1.591046,-2.214434,-37.675061,-1.982414,1.625917,8.522468,-4.162143,WAS_EDA,TOK,JinguStadium,Fall,Team,20221002-JinguStadium-1,441c0280-41f6-11ed-800b-a165d4c125bb,cb7240fb-3fe8-4a93-b44e-553f8fa5fcf1,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,134.59056,,,13.47785,,,,16.696078,-38.003013,4.261234,1.66425,-1.822251,-2.081071,0.63776,-2.277,0.812958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/e38skd1EVpc/&t=436,松本 知一,22A
10,2022/10/2,02:43.5,2022/10/2,02:43.5,2,5,"Taisei, Shimizu",1000089854,Left,WAS_EDA,"Reo, Akutsu",1000101208,Left,TOK,Undefined,1,Top,1,3,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,,,136.11524,-0.898949,2.599009,2132.856505,162.297414,11:30,1.661662,-0.67454,1.714815,-50.4194,50.8794,-15.1079,0.901514,-0.085928,123.15117,-4.672417,1.53843,0.454524,106.85025,6.179673,11.416186,805.613135,,,,24.28322,24.108551,11.01615,0.907197,9.6753,27.5069,0.608216,15.24,1.634535,-1.619806,-37.354744,-0.761617,1.748148,8.072252,-4.836664,WAS_EDA,TOK,JinguStadium,Fall,Team,20221002-JinguStadium-1,4d03ac40-41f6-11ed-800b-a165d4c125bb,cb7240fb-3fe8-4a93-b44e-553f8fa5fcf1,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,133.45831,1.42492,,12.96407,,,,16.724101,-37.674089,4.036126,1.66088,-0.570274,-2.418332,0.673665,-1.688964,0.874074,0.021694,0.88239,0.076511,139.331038,0.021694,28.924348,-3.454004,0.656732,-0.124414,0.019997,-0.003823,0.000951,-9.8e-05,0.88239,3.19502,-4.77444,0.213171,-0.018286,0.002197,0.000799,-0.000135,-1.9e-05,0.076511,5.840675,-1.136506,0.336516,-0.089578,0.019152,-0.004283,0.000914,-0.000102,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/e38skd1EVpc/&t=451,松本 知一,22A
11,2022/10/2,03:15.1,2022/10/2,03:15.1,3,1,"Taisei, Shimizu",1000089854,Left,WAS_EDA,"Kotaro, Beppu",1000089944,Left,TOK,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,137.82351,-2.480766,3.390904,2210.94997,175.954818,11:45,1.665715,-0.69385,1.704822,-50.6812,47.6458,-3.1437,0.451234,0.24084,126.09863,-6.222429,3.17064,0.447807,,,,,,,,,,,,3.9928,26.8446,0.605382,15.24,1.596847,-2.223848,-37.800354,-1.825691,0.746022,7.577758,-4.79101,WAS_EDA,TOK,JinguStadium,Fall,Team,20221002-JinguStadium-1,5fde7c50-41f6-11ed-800b-a165d4c125bb,cb7240fb-3fe8-4a93-b44e-553f8fa5fcf1,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,135.46005,,,11.72488,,,,16.7344,-38.098756,3.788879,1.665025,-1.637028,-2.395505,0.693533,-2.253225,0.373011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/e38skd1EVpc/&t=482,松本 知一,22A
12,2022/10/2,03:26.5,2022/10/2,03:26.5,3,2,"Taisei, Shimizu",1000089854,Left,WAS_EDA,"Kotaro, Beppu",1000089944,Left,TOK,Undefined,1,Top,2,0,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,,Out,1,0,,,,137.60662,-2.283967,2.81905,2188.61396,173.988957,11:45,1.664478,-0.689911,1.712788,-49.1748,49.7086,-4.8805,0.521935,0.063798,125.24856,-5.939436,2.476589,0.449072,139.60369,52.627056,-5.534102,4718.90416,,,,,58.048296,,,4.5989,27.9378,0.616966,15.24,1.601322,-1.83474,-37.753424,-1.683124,0.852295,7.956666,-4.629095,WAS_EDA,TOK,JinguStadium,Fall,Team,20221002-JinguStadium-1,66a25bb0-41f6-11ed-800b-a165d4c125bb,cb7240fb-3fe8-4a93-b44e-553f8fa5fcf1,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,135.0785,35.734866,,12.35806,,,,16.726589,-38.065438,3.978333,1.663765,-1.501597,-2.314547,0.689569,-1.868162,0.426147,0.599831,0.530718,-0.053446,167.737029,0.599832,23.428961,-6.398056,1.613509,-0.370285,0.07343,-0.007037,-0.001727,0.00051,0.530717,30.817673,-7.233445,0.806095,-0.176163,0.054475,-0.023921,0.007982,-0.00119,-0.053446,-2.270104,-0.702574,0.276813,-0.074378,0.007915,0.00592,-0.003472,0.000614,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/e38skd1EVpc/&t=494,松本 知一,22A
13,2022/10/2,05:40.7,2022/10/2,05:40.7,1,1,"Takeru, Suzuki",1000091927,Left,TOK,"Toyo, Kumada",1000089879,Left,WAS_EDA,Undefined,1,Bottom,0,0,0,Fastball,Changeup,InPlay,Undefined,FlyBall,Popup,Out,1,0,,,,136.58334,-1.529958,2.233738,1951.531544,152.082904,11:00,1.706962,-0.597755,1.80047,-53.1206,46.1719,-22.6524,0.742475,-0.192,123.99343,-5.49842,0.633778,0.45,69.62429,57.626468,-47.469825,5425.468655,,,,25.880222,24.806914,-51.768183,3.08327,13.3254,25.835,0.544646,15.24,1.665898,-1.354007,-37.515412,-1.184811,2.432933,8.014206,-5.08973,WAS_EDA,TOK,JinguStadium,Fall,Team,20221002-JinguStadium-1,b6a43b10-41f6-11ed-800b-a165d4c125bb,cb7240fb-3fe8-4a93-b44e-553f8fa5fcf1,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,134.79986,12.215776,,12.58992,,,,16.638773,-37.813043,4.007103,1.706389,-0.995788,-2.544865,0.596609,-1.444361,1.216467,0.701227,0.458043,0.271117,100.978413,0.701139,7.003094,-0.560417,-0.010604,-0.007058,-0.021678,0.015712,-0.003865,0.000342,0.457962,16.33763,-6.136788,0.464461,-0.177699,0.076105,-0.019874,0.002617,-0.000136,0.271159,-7.632579,0.296612,-0.013696,0.00979,0.006609,-0.006103,0.001586,-0.000144,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/e38skd1EVpc/&t=628,松本 知一,22A
