PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,Steal,Runner,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,URL,umpire,season
1,2022/10/4,00:49.8,2022/10/4,00:49.8,1,1,"Shota, Masui",1000073328,Left,KEI_KEI,"Yu, Miyazaki",1000073899,Left,TOK,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,141.5526,-2.08536,4.525841,2176.363408,138.657807,10:30,1.586086,-0.740944,1.719993,-58.3987,35.1476,-28.1425,0.407073,0.2671,128.89199,-6.375471,2.554702,0.436785,,,,,,,,,,,,17.5447,20.2925,0.625793,15.24,1.527541,-2.922389,-38.773924,-1.646612,3.436405,8.246132,-5.83203,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20221004-JinguStadium-1,5ed67680-4388-11ed-b915-5f80824ec150,706ee6f9-9c6f-4d74-84f9-ada8a866e4b4,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,138.87834,,,12.66061,,,,16.719226,-39.087249,4.123066,1.585897,-1.425015,-2.916015,0.739314,-3.052961,1.718202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/jef8hL3O_3g/&t=167,水沼 大輔,22A
2,2022/10/4,00:59.2,2022/10/4,00:59.2,1,2,"Shota, Masui",1000073328,Left,KEI_KEI,"Yu, Miyazaki",1000073899,Left,TOK,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,GroundBall,Undefined,0,0,,,,141.21873,-2.115928,3.787475,2189.809643,144.844048,10:45,1.595387,-0.750693,1.712967,-49.9795,46.1795,-29.733,0.492142,0.030867,125.55282,-5.878489,1.703027,0.442843,100.6363,-19.230308,71.277044,,,,,1.867428,1.022883,47.350556,0.056231,18.5795,26.4412,0.654486,15.24,1.536586,-2.40061,-38.619816,-1.608826,3.519137,10.027251,-4.798443,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20221004-JinguStadium-1,6475fa20-4388-11ed-b915-5f80824ec150,706ee6f9-9c6f-4d74-84f9-ada8a866e4b4,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,136.97864,0.519308,,15.66591,,,,16.725536,-39.003614,5.013625,1.59465,-1.425164,-2.399222,0.748948,-2.535307,1.759568,0.787337,0.519308,-0.036418,,0.787103,8.498313,,,,,,,,0.519562,-9.235316,,,,,,,,-0.037106,25.074098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/jef8hL3O_3g/&t=176,水沼 大輔,22A
3,2022/10/4,01:19.3,2022/10/4,01:19.3,1,3,"Shota, Masui",1000073328,Left,KEI_KEI,"Yu, Miyazaki",1000073899,Left,TOK,Undefined,1,Top,0,1,1,Curveball,Curveball,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,,,119.213,0.238261,2.171283,2025.839871,312.163921,4:30,1.578424,-0.700294,1.617243,-141.1558,-8.4501,13.993,0.235084,0.061166,109.80268,-9.826802,3.150474,0.520235,,,,,,,,,,,,-5.4314,-3.2047,0.638934,15.24,1.572669,-1.304571,-32.757294,-0.416366,-0.758941,5.909773,-10.254449,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20221004-JinguStadium-1,7079d800-4388-11ed-b915-5f80824ec150,706ee6f9-9c6f-4d74-84f9-ada8a866e4b4,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,116.60116,,,9.41032,,,,16.822939,-33.041639,2.954886,1.580833,0.077021,-5.127224,0.700825,-1.268055,-0.37947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/jef8hL3O_3g/&t=197,水沼 大輔,22A
4,2022/10/4,01:37.6,2022/10/4,01:37.6,1,4,"Shota, Masui",1000073328,Left,KEI_KEI,"Yu, Miyazaki",1000073899,Left,TOK,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,143.49205,-2.219303,5.405798,2265.697685,162.079018,11:30,1.629476,-0.778641,1.711181,-37.0488,55.4724,-16.8103,0.624517,0.595642,128.85537,-5.040444,4.233427,0.434385,,,,,,,,,,,,12.9115,30.81,0.638848,15.24,1.568677,-3.617254,-39.187453,-1.641812,2.551443,9.349802,-3.718298,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20221004-JinguStadium-1,7b545110-4388-11ed-b915-5f80824ec150,706ee6f9-9c6f-4d74-84f9-ada8a866e4b4,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,139.64561,,,14.63669,,,,16.727124,-39.540677,4.674901,1.628049,-1.50134,-1.859149,0.777324,-3.713644,1.275722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/jef8hL3O_3g/&t=215,水沼 大輔,22A
5,2022/10/4,01:50.1,2022/10/4,01:50.1,1,5,"Shota, Masui",1000073328,Left,KEI_KEI,"Yu, Miyazaki",1000073899,Left,TOK,Undefined,1,Top,0,2,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,,,,128.93375,-1.13564,3.059398,2275.0754,301.841151,4:00,1.568965,-0.750478,1.687921,-114.9166,-1.0779,8.1843,0.095774,0.203754,117.40454,-9.390847,3.633849,0.481836,,,,,,,,,,,,-1.6464,1.4815,0.668871,15.24,1.52976,-1.928761,-35.364259,-1.16723,-0.265204,7.56015,-9.568008,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20221004-JinguStadium-1,82c49d10-4388-11ed-b915-5f80824ec150,706ee6f9-9c6f-4d74-84f9-ada8a866e4b4,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,125.89334,,,11.52921,,,,16.751664,-35.685958,3.780075,1.570766,-0.760092,-4.784004,0.750704,-1.917476,-0.132602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/jef8hL3O_3g/&t=227,水沼 大輔,22A
6,2022/10/4,02:18.0,2022/10/4,02:18.0,2,1,"Shota, Masui",1000073328,Left,KEI_KEI,"Reo, Akutsu",1000101208,Left,TOK,Undefined,1,Top,1,0,0,Curveball,Curveball,FoulBall,Undefined,Undefined,,Undefined,0,0,,,,118.15883,2.037867,1.568263,2111.774602,321.472108,4:45,1.577817,-0.694081,1.633436,-160.7356,-25.7641,23.9327,0.55341,-0.006385,108.53171,-9.435572,3.244207,0.524657,,,,,,,,,,,,-10.9208,-13.4376,0.648973,15.24,1.619727,-0.993918,-32.473901,0.530915,-1.496997,5.901489,-11.648643,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20221004-JinguStadium-1,936e5c50-4388-11ed-b915-5f80824ec150,706ee6f9-9c6f-4d74-84f9-ada8a866e4b4,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,115.61829,,,9.62712,,,,16.807479,-32.757521,2.950745,1.580759,1.090737,-5.824322,0.695011,-0.921974,-0.748498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/jef8hL3O_3g/&t=255,水沼 大輔,22A
7,2022/10/4,02:31.5,2022/10/4,02:31.5,2,2,"Shota, Masui",1000073328,Left,KEI_KEI,"Reo, Akutsu",1000101208,Left,TOK,Undefined,1,Top,1,0,1,ChangeUp,Changeup,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,,,133.6336,-0.53385,3.654067,1477.607339,131.843384,10:30,1.593984,-0.69268,1.724221,-72.7951,31.08,-31.0745,0.713975,0.036639,122.46678,-5.85103,1.473069,0.460267,143.02047,-0.215204,15.66142,3642.866292,,,,14.008428,13.696199,15.097318,0.36423,18.3293,17.1209,0.600736,15.24,1.574666,-2.194057,-36.698327,-0.623437,3.236594,6.962457,-6.783437,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20221004-JinguStadium-1,9b7eb8e0-4388-11ed-b915-5f80824ec150,706ee6f9-9c6f-4d74-84f9-ada8a866e4b4,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,131.79293,0.755331,,11.16682,,,,16.715579,-36.977216,3.481228,1.594197,-0.351719,-3.391719,0.691218,-2.323703,1.618297,0.313196,0.755331,-0.082694,340.188165,0.315261,38.176906,-5.257419,,,,,,,0.756598,-0.195659,-5.175143,,,,,,,-0.082239,10.707884,-1.279165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/jef8hL3O_3g/&t=269,水沼 大輔,22A
8,2022/10/4,03:00.8,2022/10/4,03:00.8,3,1,"Shota, Masui",1000073328,Left,KEI_KEI,"Kotaro, Beppu",1000089944,Left,TOK,Undefined,1,Top,2,0,0,Slider,Slider,InPlay,Undefined,FlyBall,FlyBall,Out,1,0,,,,126.57604,0.030122,2.379487,2191.419979,273.264213,3:00,1.580582,-0.754652,1.661068,-113.9159,2.4541,17.9916,0.450026,0.104637,116.87427,-8.132261,3.639884,0.487164,128.65422,34.49262,22.072244,3224.350006,31.265211,18.755274,12.108388,87.698036,86.43356,21.715038,4.47304,-7.515,2.1099,0.689047,15.24,1.57188,-1.528499,-34.804457,-0.437492,-1.193264,6.277999,-9.471632,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20221004-JinguStadium-1,acec8b70-4388-11ed-b915-5f80824ec150,706ee6f9-9c6f-4d74-84f9-ada8a866e4b4,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,124.51663,21.488996,,9.70177,,,,16.779321,-35.081019,3.139,1.581962,-0.020241,-4.735816,0.755223,-1.475933,-0.596632,0.746478,0.505067,-0.08131,176.282061,0.746893,27.287298,-4.801623,1.170532,-0.195306,0.019045,-0.001188,0.000196,-2.1e-05,0.505099,20.234545,-5.206593,0.104686,0.084132,-0.053494,0.016583,-0.002539,0.00015,-0.08114,11.06492,-2.159949,0.592324,-0.111185,0.012482,-0.000573,1e-05,-2e-06,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/jef8hL3O_3g/&t=298,水沼 大輔,22A
9,2022/10/4,05:25.2,2022/10/4,05:25.2,1,1,"Shunsuke, Izawa",1000073948,Right,TOK,"Haruto, Asahi",1000073390,Left,KEI_KEI,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,139.21136,-1.71807,1.151534,2269.899203,198.895833,12:45,1.756702,0.235035,1.842485,-41.3847,54.7009,17.4857,0.857804,0.734878,125.01025,-4.88319,2.389942,0.442674,,,,,,,,,,,,-7.9023,30.5029,-0.263398,15.24,1.713193,-0.856594,-38.205087,-1.26514,-1.479691,9.104557,-4.095041,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20221004-JinguStadium-1,02f38e10-4389-11ed-b915-5f80824ec150,706ee6f9-9c6f-4d74-84f9-ada8a866e4b4,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,137.03098,,,14.20111,,,,16.595423,-38.52674,4.552278,1.755333,-1.120467,-2.04752,-0.234059,-0.804318,-0.739845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/jef8hL3O_3g/&t=442,水沼 大輔,22A
10,2022/10/4,05:36.1,2022/10/4,05:36.1,1,2,"Shunsuke, Izawa",1000073948,Right,TOK,"Haruto, Asahi",1000073390,Left,KEI_KEI,Undefined,1,Bottom,0,1,0,Fastball,Cutter,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,137.08821,-2.337675,0.41198,2249.441097,194.421254,12:30,1.738629,0.232488,1.894333,-50.0505,48.2645,11.4665,0.580208,0.463035,123.47854,-6.120932,1.227429,0.44778,,,,,,,,,,,,-5.535,27.9565,-0.242513,15.24,1.682213,-0.326017,-37.634798,-1.690439,-1.007065,8.742943,-4.720144,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20221004-JinguStadium-1,09840160-4389-11ed-b915-5f80824ec150,706ee6f9-9c6f-4d74-84f9-ada8a866e4b4,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,135.46834,,,13.60967,,,,16.543842,-37.936484,4.371472,1.737734,-1.527565,-2.360072,-0.231863,-0.291267,-0.503532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/jef8hL3O_3g/&t=453,水沼 大輔,22A
