PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,Steal,Runner,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,URL,season
1,2022/10/8,00:08.5,2022/10/8,00:08.5,1,1,"Shota, Masui",1000073328,Left,KEI_KEI,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,Undefined,1,Top,0,0,0,Curveball,Curveball,InPlay,Undefined,LineDrive,LineDrive,Out,1,0,,,,115.74403,2.257449,1.722307,2026.987574,317.352644,4:30,1.5806,-0.702859,1.585489,-155.177,-13.9116,16.9009,0.676594,-0.039972,106.34589,-8.811643,2.901267,0.536751,155.25315,8.101608,38.289885,2887.096369,,,,39.759861,35.318338,42.539509,1.045291,-7.2488,-7.5349,0.652616,15.24,1.63011,-1.029618,-31.79449,0.656994,-0.955283,5.512049,-10.799646,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20221008-JinguStadium-1,efe9f580-46ac-11ed-b08e-c153e9bfc6e0,252c769b-b650-4296-91ad-330c6c2e249a,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,113.01335,2.055304,,9.39814,,,,16.855137,-32.073276,2.756025,1.583068,1.203213,-5.399823,0.70347,-0.981302,-0.477641,0.803605,0.741295,0.039464,284.363387,0.803605,33.511063,-6.947526,1.123083,-0.22226,0.033394,-0.004227,0.000537,-3.7e-05,0.741295,6.077687,-7.495542,1.19072,-0.279637,0.068205,-0.014434,0.00271,-0.000313,0.039464,26.455838,-0.284739,-0.606972,0.217403,-0.068358,0.01715,-0.003529,0.000427,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,https://youtu.be/YqomrZMm068/&t=261,22A
2,2022/10/8,00:34.7,2022/10/8,00:34.7,2,1,"Shota, Masui",1000073328,Left,KEI_KEI,"Kazuhiro, Ura",1000089980,Left,HOS_HOS,Undefined,1,Top,1,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,132.1386,-2.624883,3.719542,1533.415025,129.069014,10:15,1.588486,-0.714353,1.690153,-76.8109,30.4829,-33.204,0.070601,0.014574,121.13926,-8.195295,1.391653,0.46778,,,,,,,,,,,,19.5677,18.3344,0.61883,15.24,1.512948,-2.196989,-36.232741,-1.964108,3.355014,7.04071,-6.66309,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20221008-JinguStadium-1,ff7ffad0-46ac-11ed-b08e-c153e9bfc6e0,252c769b-b650-4296-91ad-330c6c2e249a,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,129.67628,,,10.99934,,,,16.749736,-36.524933,3.520355,1.588721,-1.687587,-3.331545,0.712895,-2.336224,1.677507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,https://youtu.be/YqomrZMm068/&t=287,22A
3,2022/10/8,00:47.3,2022/10/8,00:47.3,2,2,"Shota, Masui",1000073328,Left,KEI_KEI,"Kazuhiro, Ura",1000089980,Left,HOS_HOS,Undefined,1,Top,1,1,0,Slider,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,124.96424,2.030434,1.4285,2136.522677,267.610577,3:00,1.583425,-0.739503,1.707909,-115.2969,4.1883,8.3581,1.008599,-0.249386,114.0562,-6.315035,2.015594,0.493641,,,,,,,,,,,,-3.1561,1.8992,0.701593,15.24,1.627546,-0.89514,-34.330344,0.767105,-0.484735,6.448967,-9.514962,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20221008-JinguStadium-1,06ffb020-46ad-11ed-b08e-c153e9bfc6e0,252c769b-b650-4296-91ad-330c6c2e249a,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,122.88272,,,10.90804,,,,16.731436,-34.609377,3.224483,1.585448,1.178797,-4.757481,0.73987,-0.874167,-0.242367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,https://youtu.be/YqomrZMm068/&t=300,22A
4,2022/10/8,01:01.0,2022/10/8,01:01.0,2,3,"Shota, Masui",1000073328,Left,KEI_KEI,"Kazuhiro, Ura",1000089980,Left,HOS_HOS,Undefined,1,Top,1,1,1,Fastball,Four-Seam,InPlay,Undefined,Popup,,Out,1,0,,,,142.97919,-1.861996,3.728506,2219.63361,147.817953,11:00,1.590868,-0.756642,1.78217,-38.2749,52.6456,-31.1648,0.679432,-0.010756,129.70861,-4.764516,1.534882,0.430611,125.08809,83.77716,-55.672679,2766.467976,,,,,13.687779,,,18.7906,29.2559,0.666355,15.24,1.541985,-2.398408,-39.221867,-1.402229,3.756311,8.631883,-3.958278,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20221008-JinguStadium-1,0f2b0ec0-46ad-11ed-b08e-c153e9bfc6e0,252c769b-b650-4296-91ad-330c6c2e249a,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,140.86948,13.640367,,13.27058,,,,16.657415,-39.532579,4.315941,1.589895,-1.259748,-1.979139,0.755121,-2.533619,1.878156,0.631105,0.635445,0.021796,174.640422,0.635104,1.996272,-2.511898,,,,,,,0.640042,34.396489,-8.702701,,,,,,,0.021724,-3.10821,0.225992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,https://youtu.be/YqomrZMm068/&t=314,22A
5,2022/10/8,01:35.8,2022/10/8,01:35.8,3,1,"Shota, Masui",1000073328,Left,KEI_KEI,"Daiki, Saitoh",1000073731,Right,HOS_HOS,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,143.32193,-1.656154,2.354404,2272.22128,150.6783,11:00,1.604292,-0.789981,1.716833,-35.2751,55.7998,-29.5829,0.780043,-0.415899,129.92297,-4.340473,0.276398,0.430977,,,,,,,,,,,,16.6768,30.3715,0.731185,15.24,1.55867,-1.459542,-39.34364,-1.250077,3.354009,8.696496,-3.698386,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20221008-JinguStadium-1,23e57440-46ad-11ed-b08e-c153e9bfc6e0,252c769b-b650-4296-91ad-330c6c2e249a,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,140.74998,,,13.39897,,,,16.722153,-39.669902,4.348248,1.602966,-1.111327,-1.849193,0.788302,-1.585373,1.677005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,https://youtu.be/YqomrZMm068/&t=348,22A
6,2022/10/8,01:47.4,2022/10/8,01:47.4,3,2,"Shota, Masui",1000073328,Left,KEI_KEI,"Daiki, Saitoh",1000073731,Right,HOS_HOS,Undefined,1,Top,2,0,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,,,,144.2547,-2.234807,3.159046,2285.063633,142.440199,10:45,1.590007,-0.800112,1.702803,-37.6188,52.2339,-37.8568,0.576458,-0.278641,131.31048,-5.067432,0.504076,0.428075,124.09571,49.430293,102.242913,4575.463,,,,,11.44019,,,21.5121,28.9792,0.720438,15.24,1.52858,-1.985568,-39.585344,-1.678247,4.396444,8.511371,-3.884156,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20221008-JinguStadium-1,2ace40c0-46ad-11ed-b08e-c153e9bfc6e0,252c769b-b650-4296-91ad-330c6c2e249a,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,141.70403,12.689929,,12.94422,,,,16.736942,-39.905909,4.255685,1.589033,-1.531958,-1.942078,0.798339,-2.151152,2.198222,0.508887,0.567806,0.260014,316.729111,0.508887,-4.754074,-2.391357,0.796773,-0.348477,0.606486,-1.168401,1.173465,-0.429836,0.567806,26.184719,-7.197327,0.731226,-0.130041,-0.019506,0.090079,-0.100814,0.041614,0.260014,21.909156,-3.537392,0.666808,-0.15508,0.142255,-0.253045,0.245392,-0.084516,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,https://youtu.be/YqomrZMm068/&t=360,22A
7,2022/10/8,02:08.3,2022/10/8,02:08.3,3,3,"Shota, Masui",1000073328,Left,KEI_KEI,"Daiki, Saitoh",1000073731,Right,HOS_HOS,Undefined,1,Top,2,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,141.84771,-0.847703,1.007813,2144.990526,156.550339,11:15,1.597618,-0.803001,1.751153,-39.253,52.5196,-21.5199,0.964475,-0.732178,129.5164,-3.805849,-0.5084,0.432625,,,,,,,,,,,,11.6422,28.1934,0.779062,15.24,1.573297,-0.575841,-39.013621,-0.708262,2.318337,8.032201,-4.19246,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20221008-JinguStadium-1,374a5be0-46ad-11ed-b08e-c153e9bfc6e0,252c769b-b650-4296-91ad-330c6c2e249a,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,140.21396,,,12.33131,,,,16.688208,-39.31065,4.0161,1.596622,-0.553225,-2.09623,0.801941,-0.661572,1.159168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,https://youtu.be/YqomrZMm068/&t=381,22A
8,2022/10/8,02:21.4,2022/10/8,02:21.4,3,4,"Shota, Masui",1000073328,Left,KEI_KEI,"Daiki, Saitoh",1000073731,Right,HOS_HOS,Undefined,1,Top,2,1,2,Slider,Slider,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,,,127.48164,0.552651,1.843536,2185.348647,317.052818,4:30,1.610452,-0.747179,1.638014,-119.4992,-4.8394,7.6181,0.573467,-0.144025,117.87418,-7.991585,2.376989,0.483571,152.42166,-18.971562,-3.409504,,,,,2.354708,2.354708,1.234967,0.041877,-2.6294,-1.9517,0.696152,15.24,1.615244,-1.164361,-35.072419,-0.153669,-0.425223,6.192391,-10.122281,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20221008-JinguStadium-1,3f123dc0-46ad-11ed-b08e-c153e9bfc6e0,252c769b-b650-4296-91ad-330c6c2e249a,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,125.44178,0.577243,,9.60746,,,,16.802522,-35.347222,3.096195,1.612096,0.295532,-5.061141,0.747404,-1.145491,-0.212611,0.677991,0.577243,0.150612,180.0,0.677607,40.025587,,,,,,,,0.577375,-13.784095,,,,,,,,0.150635,-2.384621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,https://youtu.be/YqomrZMm068/&t=394,22A
9,2022/10/8,04:49.4,2022/10/8,04:49.4,1,1,"Kanta, Ozaki",1000089950,Left,HOS_HOS,"Haruto, Asahi",1000073390,Left,KEI_KEI,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,FlyBall,Out,1,0,,,,145.11533,-1.819638,3.704811,2224.056409,158.088866,11:15,1.639815,-0.798783,1.853338,-31.8177,54.8581,-20.9752,0.807267,0.037652,132.82751,-4.250232,2.22251,0.42044,142.87343,33.045849,-16.613937,4103.05222,31.116285,19.168307,-12.486108,96.057318,93.742702,-32.353265,4.867676,13.4577,30.4787,0.71282,15.24,1.594872,-2.479401,-39.863988,-1.364802,2.804737,8.195378,-3.454552,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20221008-JinguStadium-1,9750e0e0-46ad-11ed-b08e-c153e9bfc6e0,252c769b-b650-4296-91ad-330c6c2e249a,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,144.27754,24.085318,,12.28783,,,,16.586779,-40.139908,4.097689,1.638864,-1.248495,-1.727276,0.797886,-2.573831,1.402369,0.78705,0.84252,-0.02312,139.755378,0.787953,31.860695,-6.932365,1.525752,-0.237421,0.017517,-0.000834,0.000353,-4.1e-05,0.842638,21.636351,-5.568552,0.230151,0.04788,-0.039572,0.012949,-0.001944,0.000108,-0.023604,-9.500298,-1.394192,0.735034,-0.244927,0.062729,-0.011742,0.001311,-6.2e-05,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,https://youtu.be/YqomrZMm068/&t=542,22A
10,2022/10/8,05:21.5,2022/10/8,05:21.5,2,1,"Kanta, Ozaki",1000089950,Left,HOS_HOS,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Undefined,1,Bottom,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,145.29957,-3.891088,4.360622,2361.007636,152.887745,11:00,1.618446,-0.752635,1.853907,-27.2767,59.6941,-29.1109,0.24358,0.188254,132.89982,-5.998203,2.305762,0.421155,,,,,,,,,,,,18.0615,34.3666,0.65168,15.24,1.524726,-2.891366,-39.80569,-2.786456,3.751066,8.216957,-2.669281,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20221008-JinguStadium-1,aa74a0d0-46ad-11ed-b08e-c153e9bfc6e0,252c769b-b650-4296-91ad-330c6c2e249a,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,144.03261,,,12.39975,,,,16.586009,-40.08258,4.108478,1.617107,-2.696509,-1.334641,0.751241,-3.017767,1.875533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,https://youtu.be/YqomrZMm068/&t=574,22A
