PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,Steal,Runner,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,URL,season
1,2022/10/8,51:10.0,2022/10/8,51:10.0,1,1,"Takeru, Suzuki",1000091927,Left,TOK,"Shintaro, Nishikawa",1000089917,Right,RIK,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,136.1357,-2.921578,2.443552,1880.900867,154.761583,11:15,1.737713,-0.545964,1.807653,-49.7031,49.1365,-21.7152,0.41302,-0.071686,125.23951,-6.608822,0.909203,0.448973,,,,,,,,,,,,12.7935,28.1248,0.48794,15.24,1.663098,-1.493439,-37.401017,-2.079406,2.352464,7.05285,-4.635083,TOK,RIK,JinguStadium,TeamExclusive,Team,20221008-JinguStadium-2,d41eb530-46c4-11ed-a69b-1f2cfc3e035a,3d2b4fa6-9935-4650-805b-2d6b8e1615ba,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,135.10836,,,10.8962,,,,16.632062,-37.662608,3.526425,1.737035,-1.90749,-2.317542,0.54495,-1.580693,1.176232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,https://youtu.be/l9A4IqlQncM/&t=367,22A
2,2022/10/8,51:22.4,2022/10/8,51:22.4,1,2,"Takeru, Suzuki",1000091927,Left,TOK,"Shintaro, Nishikawa",1000089917,Right,RIK,Undefined,1,Top,0,1,0,Fastball,Changeup,FoulBall,Undefined,Undefined,GroundBall,Undefined,0,0,,,,136.08534,-1.977944,2.665393,1872.283636,156.30217,11:15,1.712219,-0.561019,1.771095,-48.8819,50.695,-20.8608,0.661964,-0.013634,124.6442,-5.618288,1.195553,0.450645,141.63872,-18.992516,-49.213658,,,,,2.790026,2.790026,-39.685957,0.059282,12.5625,28.2643,0.495937,15.24,1.659299,-1.641164,-37.390533,-1.460384,2.300563,7.293797,-4.630629,TOK,RIK,JinguStadium,TeamExclusive,Team,20221008-JinguStadium-2,db8711f0-46c4-11ed-a69b-1f2cfc3e035a,3d2b4fa6-9935-4650-805b-2d6b8e1615ba,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,134.60718,0.760722,,11.44114,,,,16.668673,-37.668194,3.646898,1.711538,-1.284104,-2.315315,0.56008,-1.728742,1.150282,0.703267,0.760722,-0.108171,180.0,0.702759,24.355226,,,,,,,,0.76099,-12.832369,,,,,,,,-0.107583,-28.229403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,https://youtu.be/l9A4IqlQncM/&t=379,22A
3,2022/10/8,51:42.5,2022/10/8,51:42.5,1,3,"Takeru, Suzuki",1000091927,Left,TOK,"Shintaro, Nishikawa",1000089917,Right,RIK,Undefined,1,Top,0,1,1,Slider,Slider,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,,,121.58956,0.798542,0.916408,1714.330371,287.663427,3:30,1.660684,-0.611877,1.675266,-124.765,0.3767,10.0793,0.640742,-0.249794,112.68591,-8.14929,1.624206,0.505191,135.83228,-10.575548,-24.700926,,,,,4.009413,4.009413,-17.04343,0.092677,-4.5307,0.6196,0.586594,15.24,1.67171,-0.579569,-33.473136,-0.012631,-0.668753,5.528255,-9.715189,TOK,RIK,JinguStadium,TeamExclusive,Team,20221008-JinguStadium-2,e78bda30-46c4-11ed-a69b-1f2cfc3e035a,3d2b4fa6-9935-4650-805b-2d6b8e1615ba,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,120.07336,0.642982,,8.90365,,,,16.765237,-33.724096,2.764127,1.662273,0.428398,-4.857595,0.612215,-0.549211,-0.334376,0.704569,0.642982,0.263986,180.0,0.703626,33.759772,,,,,,,,0.643176,-6.937863,,,,,,,,0.26442,-15.528421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,https://youtu.be/l9A4IqlQncM/&t=399,22A
4,2022/10/8,52:15.8,2022/10/8,52:15.8,2,1,"Takeru, Suzuki",1000091927,Left,TOK,"Kyosuke, Shibata",1000101303,Left,RIK,Undefined,1,Top,1,0,0,Cutter,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,122.29947,1.042729,2.546712,1804.844719,221.035081,1:15,1.668006,-0.627321,1.716907,-116.0011,6.8246,2.9935,0.804845,0.127309,113.55053,-7.302569,2.756991,0.500495,,,,,,,,,,,,0.0632,3.9076,0.561029,15.24,1.686113,-1.509826,-33.648335,0.173682,0.00947,5.326947,-9.221144,TOK,RIK,JinguStadium,TeamExclusive,Team,20221008-JinguStadium-2,fb5aa730-46c4-11ed-a69b-1f2cfc3e035a,3d2b4fa6-9935-4650-805b-2d6b8e1615ba,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,121.20012,,,8.74893,,,,16.723198,-33.88233,2.663474,1.669587,0.578736,-4.610572,0.62736,-1.510242,0.004735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,https://youtu.be/l9A4IqlQncM/&t=432,22A
5,2022/10/8,52:27.8,2022/10/8,52:27.8,2,2,"Takeru, Suzuki",1000091927,Left,TOK,"Kyosuke, Shibata",1000101303,Left,RIK,Undefined,1,Top,1,0,1,Cutter,Curveball,InPlay,Undefined,FlyBall,FlyBall,Out,1,0,,,,121.18629,0.283698,2.868701,1683.316929,148.294198,11:00,1.662958,-0.616577,1.630576,-119.9304,8.5611,-2.6908,0.54486,0.177306,111.00636,-8.330086,2.680618,0.511908,131.8657,46.867285,-18.434753,5143.142584,30.129399,30.211,-14.708655,75.531533,71.047546,-33.278697,5.388553,3.4921,5.2448,0.53807,15.24,1.660449,-1.655038,-33.270246,-0.298815,0.503005,6.135247,-9.051185,TOK,RIK,JinguStadium,TeamExclusive,Team,20221008-JinguStadium-2,0286e550-46c5-11ed-a69b-1f2cfc3e035a,3d2b4fa6-9935-4650-805b-2d6b8e1615ba,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,118.4979,32.852253,,10.17993,,,,16.809192,-33.558367,3.067624,1.664501,0.126244,-4.525592,0.616348,-1.67866,0.251503,0.431161,0.575588,-0.178261,156.880463,0.433044,23.719343,-5.975607,1.333895,-0.12817,-0.022727,0.009125,-0.001111,4.8e-05,0.574797,26.744162,-6.47588,0.552914,-0.089131,0.002308,0.003528,-0.000728,4.4e-05,-0.178139,-7.92277,-0.231351,0.131839,-0.01911,-0.003004,0.001678,-0.00025,1.3e-05,,,,,,,,,,,,,,,,,,,,,,,上野 達也,https://youtu.be/l9A4IqlQncM/&t=444,22A
6,2022/10/8,53:01.2,2022/10/8,53:01.2,3,1,"Takeru, Suzuki",1000091927,Left,TOK,"Satoru, Michihara",1000074062,Left,RIK,Undefined,1,Top,2,0,0,Cutter,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,121.34989,-0.148631,2.581131,1906.805183,312.76864,4:30,1.6436,-0.632881,1.656145,-128.0716,-1.0826,5.3886,0.320416,0.158247,112.06588,-9.306419,2.958812,0.508906,,,,,,,,,,,,-0.9069,0.6732,0.562723,15.24,1.628888,-1.527533,-33.352119,-0.584018,-0.131976,5.870669,-9.708684,TOK,RIK,JinguStadium,TeamExclusive,Team,20221008-JinguStadium-2,167e7000-46c5-11ed-a69b-1f2cfc3e035a,3d2b4fa6-9935-4650-805b-2d6b8e1615ba,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,119.19683,,,9.28401,,,,16.783998,-33.622797,2.935334,1.645496,-0.136382,-4.854342,0.633013,-1.521448,-0.065988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,https://youtu.be/l9A4IqlQncM/&t=478,22A
7,2022/10/8,53:12.7,2022/10/8,53:12.7,3,2,"Takeru, Suzuki",1000091927,Left,TOK,"Satoru, Michihara",1000074062,Left,RIK,Undefined,1,Top,2,1,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,135.29498,-1.675766,3.712458,1928.09275,145.70047,10:45,1.693239,-0.58658,1.761105,-61.4867,39.5493,-24.7871,0.601986,0.219886,123.98483,-6.198367,1.969319,0.453934,,,,,,,,,,,,15.1561,22.2917,0.494865,15.24,1.646558,-2.288579,-37.134574,-1.314943,2.739531,7.14766,-5.777333,TOK,RIK,JinguStadium,TeamExclusive,Team,20221008-JinguStadium-2,1d5206d0-46c5-11ed-a69b-1f2cfc3e035a,3d2b4fa6-9935-4650-805b-2d6b8e1615ba,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,133.63178,,,11.31015,,,,16.678249,-37.410384,3.57383,1.692997,-1.092011,-2.888666,0.585215,-2.394291,1.369766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,https://youtu.be/l9A4IqlQncM/&t=489,22A
8,2022/10/8,53:25.3,2022/10/8,53:25.2,3,3,"Takeru, Suzuki",1000091927,Left,TOK,"Satoru, Michihara",1000074062,Left,RIK,Undefined,1,Top,2,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,119.04116,-0.045501,2.169863,1900.921068,258.331073,2:30,1.623495,-0.698499,1.690043,-126.6378,9.7334,19.1986,0.344147,0.111852,106.03458,-9.253477,3.518104,0.527371,,,,,,,,,,,,-7.4561,6.7353,0.639685,15.24,1.612552,-1.32267,-32.584117,-0.494374,-0.996441,7.584617,-8.906535,TOK,RIK,JinguStadium,TeamExclusive,Team,20221008-JinguStadium-2,24dbce40-46c5-11ed-a69b-1f2cfc3e035a,3d2b4fa6-9935-4650-805b-2d6b8e1615ba,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,115.02343,,,13.00658,,,,16.747609,-32.933174,3.792309,1.625872,-0.084481,-4.453267,0.699502,-1.276812,-0.498221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,https://youtu.be/l9A4IqlQncM/&t=502,22A
9,2022/10/8,53:39.8,2022/10/8,53:39.8,3,4,"Takeru, Suzuki",1000091927,Left,TOK,"Satoru, Michihara",1000074062,Left,RIK,Undefined,1,Top,2,2,1,Cutter,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,121.34176,-0.261048,3.174818,1781.614684,234.78746,1:45,1.636092,-0.636711,1.648358,-119.4177,7.4151,5.1481,0.367252,0.322332,112.31208,-8.80214,3.534935,0.508593,,,,,,,,,,,,-0.4558,5.0035,0.550077,15.24,1.618928,-1.872162,-33.339069,-0.61285,-0.066539,5.651873,-9.07623,TOK,RIK,JinguStadium,TeamExclusive,Team,20221008-JinguStadium-2,2d7c83f0-46c5-11ed-a69b-1f2cfc3e035a,3d2b4fa6-9935-4650-805b-2d6b8e1615ba,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,119.2702,,,9.02968,,,,16.79172,-33.601098,2.825936,1.637586,-0.192064,-4.538115,0.636802,-1.869077,-0.033269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,https://youtu.be/l9A4IqlQncM/&t=516,22A
10,2022/10/8,53:55.2,2022/10/8,53:55.2,3,5,"Takeru, Suzuki",1000091927,Left,TOK,"Satoru, Michihara",1000074062,Left,RIK,Undefined,1,Top,2,3,1,Fastball,Changeup,InPlay,Undefined,LineDrive,LineDrive,Single,0,0,,,,136.21869,-1.300934,3.410742,1900.734636,151.704022,11:00,1.693567,-0.618328,1.754235,-56.3513,43.0006,-21.5094,0.760232,0.135426,125.10593,-5.456738,1.898428,0.450135,159.26508,12.911999,17.604163,4181.680665,31.53991,6.122775,11.373352,79.474846,78.385709,23.305816,2.485384,13.3132,23.7427,0.533665,15.24,1.656536,-2.127354,-37.423595,-1.057609,2.450529,7.073986,-5.436375,TOK,RIK,JinguStadium,TeamExclusive,Team,20221008-JinguStadium-2,369d6620-46c5-11ed-a69b-1f2cfc3e035a,3d2b4fa6-9935-4650-805b-2d6b8e1615ba,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,134.75958,6.487946,,11.11277,,,,16.685665,-37.695871,3.536993,1.693216,-0.848364,-2.718187,0.617361,-2.221675,1.225265,0.360425,0.77065,-0.138158,230.928865,0.360421,41.102772,-7.451242,1.675222,-0.354001,0.063455,-0.009599,0.001041,-5.2e-05,0.770654,9.885109,-4.374247,0.047965,0.048191,-0.015996,0.003377,-0.000306,5e-06,-0.138153,13.040962,0.49608,-0.54275,0.199777,-0.051704,0.009791,-0.001168,6.5e-05,,,,,,,,,,,,,,,,,,,,,,,上野 達也,https://youtu.be/l9A4IqlQncM/&t=532,22A
