PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,Steal,Runner,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,URL,season
1,2022/10/9,00:42.1,2022/10/9,00:42.1,1,1,"Kosei, Shoji",1000101253,Right,RIK,"Yu, Miyazaki",1000073899,Left,TOK,Undefined,1,Top,0,0,0,Splitter,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,139.32795,-4.125184,-2.138349,1504.804826,243.542499,2:00,1.915042,0.46298,1.61273,-73.9549,23.8006,41.2335,-0.007969,0.263053,127.67711,-9.432189,0.74791,0.446504,,,,,,,,,,,,-22.3247,15.9413,-0.407422,15.24,1.793913,1.210362,-38.175155,-3.075082,-4.236413,8.031214,-6.781576,RIK,TOK,JinguStadium,TeamExclusive,Team,20221009-JinguStadium-1,2e5419d0-4776-11ed-9ea7-a5123dc86f09,6f329b7a-33b6-4f4d-830d-c7f7f521444d,v3,,,,"Shingo, Tomaru",1000101287.0,Right,RIK,135.85544,,,11.65084,,,,16.827118,-38.507602,4.015607,1.915394,-2.794363,-3.390788,-0.461154,1.385726,-2.118207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,https://youtu.be/eJsfZEnVw8Q/&t=390,22A
2,2022/10/9,00:55.4,2022/10/9,00:55.4,1,2,"Kosei, Shoji",1000101253,Right,RIK,"Yu, Miyazaki",1000073899,Left,TOK,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,148.69809,-2.913414,-2.890485,2089.336596,203.727209,12:45,1.888739,0.44358,1.733685,-29.9774,53.5283,22.408,0.759551,-0.154168,136.64483,-5.179987,-1.316115,0.412679,,,,,,,,,,,,-13.208,29.8202,-0.371111,15.24,1.811654,1.939917,-40.830209,-2.177425,-2.90209,8.186201,-3.25448,RIK,TOK,JinguStadium,TeamExclusive,Team,20221009-JinguStadium-1,363cf130-4776-11ed-9ea7-a5123dc86f09,6f329b7a-33b6-4f4d-830d-c7f7f521444d,v3,,,,"Shingo, Tomaru",1000101287.0,Right,RIK,146.99064,,,12.05327,,,,16.705879,-41.123058,4.0931,1.887466,-2.061001,-1.62724,-0.442365,2.043735,-1.451045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,https://youtu.be/eJsfZEnVw8Q/&t=403,22A
3,2022/10/9,01:06.8,2022/10/9,01:06.8,1,3,"Kosei, Shoji",1000101253,Right,RIK,"Yu, Miyazaki",1000073899,Left,TOK,Undefined,1,Top,0,1,1,Cutter,Slider,FoulBall,Undefined,Undefined,GroundBall,Undefined,0,0,,,,135.08668,-1.548121,-2.38007,2132.600783,161.503819,11:30,1.872168,0.504439,1.729522,-88.4642,12.5211,-3.203,0.547135,-0.204285,125.03442,-7.919738,-2.605513,0.45382,23.3565,-57.891484,131.589824,,,,,0.73117,0.73117,55.097596,0.133867,0.0733,8.2214,-0.44298,15.24,1.825582,1.559358,-37.152039,-1.365149,0.013325,6.858883,-8.31279,RIK,TOK,JinguStadium,TeamExclusive,Team,20221009-JinguStadium-1,3d0cde80-4776-11ed-9ea7-a5123dc86f09,6f329b7a-33b6-4f4d-830d-c7f7f521444d,v3,,,,"Shingo, Tomaru",1000101287.0,Right,RIK,133.66533,0.798336,,10.05225,,,,16.710732,-37.422575,3.429442,1.872961,-1.037266,-4.156395,-0.504475,1.558833,0.006663,0.750895,0.798336,0.224976,180.0,0.755095,-2.484057,,,,,,,,0.808419,-5.963631,,,,,,,,0.220244,2.798862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,https://youtu.be/eJsfZEnVw8Q/&t=415,22A
4,2022/10/9,01:43.3,2022/10/9,01:43.3,1,4,"Kosei, Shoji",1000101253,Right,RIK,"Yu, Miyazaki",1000073899,Left,TOK,Undefined,1,Top,0,1,2,Splitter,Splitter,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,135.36706,3.232566,-1.597841,1101.633556,339.066731,5:15,1.863779,0.448752,1.670886,-130.451,-28.3941,12.0744,1.48246,0.113711,123.71199,-6.11534,-0.75162,0.456222,,,,,,,,,,,,-7.1668,-15.406,-0.407028,15.24,1.939704,0.975045,-37.181707,1.511623,-1.295642,7.328432,-12.591801,RIK,TOK,JinguStadium,TeamExclusive,Team,20221009-JinguStadium-1,52d02880-4776-11ed-9ea7-a5123dc86f09,6f329b7a-33b6-4f4d-830d-c7f7f521444d,v3,,,,"Shingo, Tomaru",1000101287.0,Right,RIK,132.9617,,,11.65507,,,,16.769549,-37.481966,3.664216,1.867201,2.027531,-6.295901,-0.448065,1.02813,-0.647821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,https://youtu.be/eJsfZEnVw8Q/&t=451,22A
5,2022/10/9,01:57.4,2022/10/9,01:57.4,1,5,"Kosei, Shoji",1000101253,Right,RIK,"Yu, Miyazaki",1000073899,Left,TOK,Undefined,1,Top,0,2,2,Splitter,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,134.91971,0.330765,-1.627413,1380.812849,222.398281,1:30,1.882322,0.468925,1.672223,-80.5313,22.0314,17.1485,1.171367,0.176223,123.33301,-5.52261,-0.424913,0.457351,,,,,,,,,,,,-9.7207,11.913,-0.426848,15.24,1.884687,0.96561,-37.080814,-0.118057,-1.748197,7.273845,-7.664188,RIK,TOK,JinguStadium,TeamExclusive,Team,20221009-JinguStadium-1,5b27ee50-4776-11ed-9ea7-a5123dc86f09,6f329b7a-33b6-4f4d-830d-c7f7f521444d,v3,,,,"Shingo, Tomaru",1000101287.0,Right,RIK,132.63341,,,11.5867,,,,16.766796,-37.379113,3.636922,1.883083,0.19625,-3.832094,-0.467918,1.037303,-0.874098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,https://youtu.be/eJsfZEnVw8Q/&t=465,22A
6,2022/10/9,02:16.3,2022/10/9,02:16.4,1,6,"Kosei, Shoji",1000101253,Right,RIK,"Yu, Miyazaki",1000073899,Left,TOK,Undefined,1,Top,0,3,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,,,,146.9245,-1.911261,-1.143503,1836.76313,199.031466,12:45,1.870474,0.476614,1.824192,-38.388,46.7585,15.1593,0.946352,0.305123,133.80429,-4.808026,-0.070501,0.416714,,,,,,,,,,,,-8.5477,26.1761,-0.450056,15.24,1.821886,0.726112,-40.384224,-1.475021,-1.817386,8.890748,-4.241159,RIK,TOK,JinguStadium,TeamExclusive,Team,20221009-JinguStadium-1,667acbb0-4776-11ed-9ea7-a5123dc86f09,6f329b7a-33b6-4f4d-830d-c7f7f521444d,v3,,,,"Shingo, Tomaru",1000101287.0,Right,RIK,145.5674,,,13.12021,,,,16.614667,-40.685737,4.445374,1.86947,-1.331191,-2.12058,-0.475726,0.787745,-0.908693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.08357,2.168943,1.204685,0.964258,-0.967682,0.824916,-0.304534,-0.841646,1.752874,-0.071638,20.212257,3.312548,-17.820317,-0.793845,23.274363,-1.530311,1.778675,5.358042,-3.899301,-0.139107,-20.177711,1.888867,鈴木 隆行,https://youtu.be/eJsfZEnVw8Q/&t=484,22A
7,2022/10/9,02:45.0,2022/10/9,02:45.0,2,1,"Kosei, Shoji",1000101253,Right,RIK,"Ryohei, Hayashi",1000089940,Right,TOK,Undefined,1,Top,1,0,0,Cutter,Slider,InPlay,Undefined,FlyBall,Popup,Out,1,0,,,,135.10749,-0.842152,-2.649085,2274.417296,159.888547,11:15,1.878964,0.435065,1.760574,-85.2651,14.487,-4.3335,0.787197,-0.360117,125.83819,-6.993274,-2.954372,0.451041,114.99556,48.099912,-23.596477,3882.656647,29.879461,27.572543,-15.209849,61.9476,59.336394,-29.948635,5.155248,0.6482,8.677,-0.36804,15.24,1.851471,1.741048,-37.194824,-0.888385,0.119062,6.285576,-8.212887,RIK,TOK,JinguStadium,TeamExclusive,Team,20221009-JinguStadium-1,77910860-4776-11ed-9ea7-a5123dc86f09,6f329b7a-33b6-4f4d-830d-c7f7f521444d,v3,,,,"Shingo, Tomaru",1000101287.0,Right,RIK,134.48899,27.870813,,9.26929,,,,16.679915,-37.437365,3.142788,1.879637,-0.571475,-4.106443,-0.435134,1.736454,0.059531,0.556633,0.830955,0.350303,163.005112,0.559422,19.487777,-3.972178,0.526595,0.232257,-0.17308,0.046184,-0.00564,0.000263,0.830138,23.791157,-6.038644,0.523135,-0.126776,0.024286,-0.000109,-0.000602,5.3e-05,0.35036,-8.536269,0.577521,0.123036,-0.117858,0.056914,-0.016107,0.002295,-0.000127,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,https://youtu.be/eJsfZEnVw8Q/&t=513,22A
8,2022/10/9,03:17.5,2022/10/9,03:17.5,3,1,"Kosei, Shoji",1000101253,Right,RIK,"Kotaro, Beppu",1000089944,Left,TOK,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,147.3122,-4.448929,-2.328083,2022.177454,209.545369,1:00,1.873363,0.458194,1.739187,-32.1483,52.8688,28.5134,0.284861,0.081824,135.92861,-6.853764,-0.322036,0.416397,,,,,,,,,,,,-16.0027,30.538,-0.400892,15.24,1.757077,1.493635,-40.417218,-3.256973,-3.453224,7.835545,-3.21683,RIK,TOK,JinguStadium,TeamExclusive,Team,20221009-JinguStadium-1,8ae3eea0-4776-11ed-9ea7-a5123dc86f09,6f329b7a-33b6-4f4d-830d-c7f7f521444d,v3,,,,"Shingo, Tomaru",1000101287.0,Right,RIK,145.67825,,,11.38359,,,,16.700865,-40.699446,3.917772,1.872303,-3.141107,-1.608415,-0.456931,1.618016,-1.726612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,https://youtu.be/eJsfZEnVw8Q/&t=545,22A
9,2022/10/9,03:27.6,2022/10/9,03:27.6,3,2,"Kosei, Shoji",1000101253,Right,RIK,"Kotaro, Beppu",1000089944,Left,TOK,Undefined,1,Top,2,1,0,Cutter,Slider,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,,,134.60502,-1.235134,-2.371425,2214.355612,165.714051,11:30,1.855787,0.526886,1.751554,-87.8778,12.6211,-2.5395,0.626162,-0.171829,125.60629,-7.559141,-2.550364,0.452726,,,,,,,,,,,,-0.0956,8.0186,-0.466626,15.24,1.817981,1.546688,-37.058145,-1.155346,-0.01745,6.140813,-8.342544,RIK,TOK,JinguStadium,TeamExclusive,Team,20221009-JinguStadium-1,90fd0f10-4776-11ed-9ea7-a5123dc86f09,6f329b7a-33b6-4f4d-830d-c7f7f521444d,v3,,,,"Shingo, Tomaru",1000101287.0,Right,RIK,133.98833,,,8.99873,,,,16.688687,-37.297431,3.070407,1.856667,-0.830267,-4.171272,-0.526908,1.547368,-0.008725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,https://youtu.be/eJsfZEnVw8Q/&t=556,22A
10,2022/10/9,03:38.8,2022/10/9,03:38.8,3,3,"Kosei, Shoji",1000101253,Right,RIK,"Kotaro, Beppu",1000089944,Left,TOK,Undefined,1,Top,2,1,1,Splitter,Changeup,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,,,136.53264,-3.542735,-2.617973,1619.187488,242.330544,2:00,1.893489,0.474668,1.619542,-80.1104,20.2576,32.9881,0.076551,0.055096,126.67493,-9.262596,-0.309299,0.452431,,,,,,,,,,,,-18.3485,13.3209,-0.405323,15.24,1.788418,1.548167,-37.475271,-2.666533,-3.400345,6.811832,-7.338018,RIK,TOK,JinguStadium,TeamExclusive,Team,20221009-JinguStadium-1,97a52910-4776-11ed-9ea7-a5123dc86f09,6f329b7a-33b6-4f4d-830d-c7f7f521444d,v3,,,,"Shingo, Tomaru",1000101287.0,Right,RIK,134.07573,,,9.8577,,,,16.820796,-37.761517,3.405916,1.893992,-2.358175,-3.669009,-0.473382,1.691056,-1.700172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,https://youtu.be/eJsfZEnVw8Q/&t=567,22A
