PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,Steal,Runner,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,URL,umpire,season
1,2022/10/10,00:37.4,2022/10/10,00:37.4,1,1,"Shota, Masui",1000073328,Left,KEI_KEI,"Tomoya, Nishimura",1000101193,Right,HOS_HOS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,GroundBall,Single,0,0,,,,141.30057,-1.482064,3.976939,2262.580342,153.536029,11:00,1.588267,-0.775504,1.777342,-43.3643,49.4468,-23.0943,0.73362,0.122108,128.73087,-4.735439,2.353041,0.435065,114.99502,0.219304,4.46575,1411.025132,,,,13.065053,13.014914,3.079739,0.417632,14.6787,27.2438,0.678109,15.24,1.548284,-2.579364,-38.76753,-1.153521,2.879518,8.103998,-4.462231,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20221010-JinguStadium-1,18d8d340-4850-11ed-9c8a-9981e4292aae,f2522ecb-410f-4457-a0bb-fc939950c1fb,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,139.42728,0.790832,,12.56971,,,,16.662159,-39.063689,4.051999,1.58746,-0.99045,-2.231115,0.774294,-2.684595,1.439759,0.16958,0.790093,-0.270756,,0.170341,31.821548,-2.376938,,,,,,,0.790892,0.096909,-4.771065,,,,,,,-0.270605,2.482328,-0.368718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/3jJN7fHsoOQ/&t=309,瀧口 耕介,22A
2,2022/10/10,01:16.5,2022/10/10,01:16.5,2,1,"Shota, Masui",1000073328,Left,KEI_KEI,"Shogo, Kishita",1000073842,Right,HOS_HOS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,Bunt,,Sacrifice,1,0,1,,,140.89337,-0.449023,3.545606,2255.479866,145.658033,10:45,1.613588,-0.801774,1.726442,-45.9076,48.3051,-30.8115,1.026648,-0.100915,127.66586,-3.890732,1.383739,0.438338,,,,,,,,,,,,18.3579,25.8075,0.712755,15.24,1.598621,-2.237908,-38.66089,-0.466746,3.564516,8.408959,-4.795672,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20221010-JinguStadium-1,302f1950-4850-11ed-9c8a-9981e4292aae,f2522ecb-410f-4457-a0bb-fc939950c1fb,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,138.38625,,,13.22751,,,,16.713015,-38.979962,4.204479,1.612879,-0.284778,-2.397836,0.800237,-2.373161,1.782258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/3jJN7fHsoOQ/&t=348,瀧口 耕介,22A
3,2022/10/10,02:00.4,2022/10/10,02:00.3,3,1,"Shota, Masui",1000073328,Left,KEI_KEI,"Daiki, Saitoh",1000073731,Right,HOS_HOS,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,2,,,140.48516,-2.4467,5.243067,2210.54996,151.731514,11:00,1.571708,-0.762534,1.777917,-40.2634,55.0814,-27.7248,0.472566,0.449785,126.59982,-5.506604,3.299374,0.440964,,,,,,,,,,,,18.2055,30.9734,0.633738,15.24,1.507768,-3.380307,-38.401285,-1.770973,3.467303,8.717265,-3.90767,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20221010-JinguStadium-1,4a5a0330-4850-11ed-9c8a-9981e4292aae,f2522ecb-410f-4457-a0bb-fc939950c1fb,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,137.56218,,,13.88534,,,,16.660589,-38.722422,4.358632,1.570358,-1.627018,-1.953835,0.760618,-3.50804,1.733651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/3jJN7fHsoOQ/&t=392,瀧口 耕介,22A
4,2022/10/10,02:20.7,2022/10/10,02:20.7,3,2,"Shota, Masui",1000073328,Left,KEI_KEI,"Daiki, Saitoh",1000073731,Right,HOS_HOS,Undefined,1,Top,1,1,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,2,,,129.92143,-1.284065,3.253392,1311.586925,137.549833,10:30,1.601184,-0.774757,1.67195,-73.6347,37.8612,-31.1498,0.498023,-0.157526,118.27898,-6.67038,1.072097,0.476853,,,,,,,,,,,,18.1651,21.1744,0.690405,15.24,1.560937,-1.875702,-35.641762,-1.078442,3.000066,7.097846,-6.309585,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20221010-JinguStadium-1,5675aed0-4850-11ed-9c8a-9981e4292aae,f2522ecb-410f-4457-a0bb-fc939950c1fb,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,127.20912,,,11.64245,,,,16.767363,-35.94464,3.548923,1.601212,-0.8092,-3.154792,0.773176,-2.00372,1.500033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/3jJN7fHsoOQ/&t=412,瀧口 耕介,22A
5,2022/10/10,02:42.4,2022/10/10,02:42.4,3,3,"Shota, Masui",1000073328,Left,KEI_KEI,"Daiki, Saitoh",1000073731,Right,HOS_HOS,Undefined,1,Top,1,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,2,,,139.97281,-2.03558,4.202425,2259.454904,153.873751,11:15,1.588455,-0.749067,1.779357,-38.0786,57.2608,-26.425,0.629224,0.1793,126.59675,-4.938293,2.344978,0.440952,,,,,,,,,,,,16.6633,31.7234,0.646362,15.24,1.535087,-2.683152,-38.347681,-1.48055,3.17596,8.438871,-3.760301,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20221010-JinguStadium-1,635f58d0-4850-11ed-9c8a-9981e4292aae,f2522ecb-410f-4457-a0bb-fc939950c1fb,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,137.56612,,,13.37605,,,,16.659516,-38.658801,4.219435,1.587116,-1.341918,-1.880151,0.747441,-2.800241,1.58798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/3jJN7fHsoOQ/&t=434,瀧口 耕介,22A
6,2022/10/10,03:05.1,2022/10/10,03:05.1,3,4,"Shota, Masui",1000073328,Left,KEI_KEI,"Daiki, Saitoh",1000073731,Right,HOS_HOS,Undefined,1,Top,1,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,2,,,143.54776,-2.733762,2.047451,2256.218794,147.672659,11:00,1.643877,-0.813356,1.721689,-35.841,55.4895,-33.0117,0.507199,-0.561155,129.56554,-5.46295,-0.273257,0.431581,,,,,,,,,,,,18.2749,31.2106,0.762953,15.24,1.570499,-1.230523,-39.364317,-1.993803,3.657423,9.157037,-3.560362,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20221010-JinguStadium-1,70e5df10-4850-11ed-9c8a-9981e4292aae,f2522ecb-410f-4457-a0bb-fc939950c1fb,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,140.55295,,,13.98222,,,,16.71714,-39.706447,4.578519,1.642507,-1.860779,-1.780181,0.811481,-1.367173,1.828712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/3jJN7fHsoOQ/&t=457,瀧口 耕介,22A
7,2022/10/10,03:30.6,2022/10/10,03:30.6,3,5,"Shota, Masui",1000073328,Left,KEI_KEI,"Daiki, Saitoh",1000073731,Right,HOS_HOS,Undefined,1,Top,1,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,2,,,140.57271,-1.283819,4.785825,2257.509022,149.560778,11:00,1.578894,-0.75786,1.779525,-45.9905,48.2226,-26.4571,0.753975,0.336462,127.62683,-4.731597,2.928509,0.438339,,,,,,,,,,,,17.0106,26.49,0.640609,15.24,1.543681,-3.090421,-38.514215,-1.023095,3.284368,8.201739,-4.692044,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20221010-JinguStadium-1,802eaec0-4850-11ed-9c8a-9981e4292aae,f2522ecb-410f-4457-a0bb-fc939950c1fb,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,138.38601,,,12.94588,,,,16.659614,-38.815349,4.100869,1.578082,-0.850822,-2.346022,0.756291,-3.21101,1.642184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/3jJN7fHsoOQ/&t=482,瀧口 耕介,22A
8,2022/10/10,03:57.5,2022/10/10,03:57.5,3,6,"Shota, Masui",1000073328,Left,KEI_KEI,"Daiki, Saitoh",1000073731,Right,HOS_HOS,Undefined,1,Top,1,3,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,,Undefined,0,0,2,,,144.8095,-2.522174,2.512744,2388.694942,152.6923,11:00,1.622163,-0.80641,1.773464,-32.9498,55.9704,-27.2724,0.576765,-0.366599,131.02077,-5.047815,0.590719,0.425848,,,,,,,,,,,,15.8353,31.4103,0.745656,15.24,1.556878,-1.600736,-39.730451,-1.850034,3.237633,9.108071,-3.384581,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20221010-JinguStadium-1,901e1eb0-4850-11ed-9c8a-9981e4292aae,f2522ecb-410f-4457-a0bb-fc939950c1fb,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,142.44508,,,13.78873,,,,16.665652,-40.055944,4.554036,1.620831,-1.72908,-1.692291,0.804929,-1.716438,1.618816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/3jJN7fHsoOQ/&t=509,瀧口 耕介,22A
9,2022/10/10,04:48.5,2022/10/10,04:48.5,4,1,"Shota, Masui",1000073328,Left,KEI_KEI,"Sota, Imaizumi",1000089968,Right,HOS_HOS,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,2,,,145.32719,-2.644982,3.33036,2361.210517,144.697131,10:45,1.617039,-0.781588,1.753573,-38.0431,50.1233,-33.3775,0.484334,-0.169362,132.19037,-5.511493,0.982922,0.424039,,,,,,,,,,,,19.3409,28.2917,0.699715,15.24,1.547253,-2.141991,-39.857937,-1.973008,4.003935,8.69544,-3.949722,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20221010-JinguStadium-1,ae9223f0-4850-11ed-9c8a-9981e4292aae,f2522ecb-410f-4457-a0bb-fc939950c1fb,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,143.05276,,,13.13682,,,,16.685663,-40.172086,4.34772,1.615956,-1.830312,-1.974861,0.779714,-2.286645,2.001968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/3jJN7fHsoOQ/&t=560,瀧口 耕介,22A
10,2022/10/10,05:07.5,2022/10/10,05:07.5,4,2,"Shota, Masui",1000073328,Left,KEI_KEI,"Sota, Imaizumi",1000089968,Right,HOS_HOS,Undefined,1,Top,2,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,2,,,144.28591,-1.133934,2.989812,2338.86014,153.654192,11:00,1.63141,-0.803166,1.773523,-33.2316,56.3975,-26.3569,0.977273,-0.218696,130.19817,-3.691341,1.133722,0.427542,,,,,,,,,,,,15.69,30.4823,0.730382,15.24,1.600744,-1.927999,-39.590027,-0.880485,3.181852,9.126627,-3.625006,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20221010-JinguStadium-1,b9d7e1f0-4850-11ed-9c8a-9981e4292aae,f2522ecb-410f-4457-a0bb-fc939950c1fb,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,141.88068,,,14.08775,,,,16.665204,-39.917225,4.563314,1.629981,-0.750525,-1.812503,0.801547,-2.042072,1.590926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/3jJN7fHsoOQ/&t=579,瀧口 耕介,22A
