PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,Steal,Runner,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,URL,umpire,season
1,2022/10/16,31:04.0,2022/10/16,31:04.0,1,1,"Yuto, Hisano",1000126496,Left,MEI_MEI,"Tomoya, Furukawa",1000073414,Right,KEI_KEI,Undefined,1,Top,0,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,113.27162,2.664231,0.801797,2190.902334,315.03746,4:30,1.757964,-0.629118,1.791539,-168.4952,-23.9624,28.6797,0.827797,-0.115341,103.68752,-9.503395,2.830035,0.542923,,,,,,,,,,,,-13.9598,-12.7034,0.607432,15.24,1.8121,-0.553242,-31.137927,0.858083,-1.752754,5.604429,-11.401656,MEI_MEI,KEI_KEI,JinguStadium,Undefined,Team,20221016-JinguStadium-2,ba8f6330-4d13-11ed-90cb-dd2103856718,347c9791-144c-42e7-8800-d201b6984c50,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,111.72864,,,9.58411,,,,16.649014,-31.390507,2.802214,1.761848,1.371932,-5.700828,0.630585,-0.474249,-0.876377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/zBhc_6ZGl6U/&t=322,青木 秀憲,22A
2,2022/10/16,31:15.0,2022/10/16,31:15.0,1,2,"Yuto, Hisano",1000126496,Left,MEI_MEI,"Tomoya, Furukawa",1000073414,Right,KEI_KEI,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,144.45976,-0.881876,1.983335,2286.801888,174.588945,11:45,1.781583,-0.610132,1.891321,-47.3939,39.8123,-3.5055,1.059379,-0.086994,131.76524,-4.432925,1.734385,0.421724,,,,,,,,,,,,3.2495,22.1046,0.564942,15.24,1.758506,-1.358692,-39.733071,-0.775334,0.669313,8.546441,-5.253659,MEI_MEI,KEI_KEI,JinguStadium,Undefined,Team,20221016-JinguStadium-2,c0f7b510-4d13-11ed-90cb-dd2103856718,347c9791-144c-42e7-8800-d201b6984c50,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,143.83817,,,12.69451,,,,16.547991,-40.013426,4.27322,1.781113,-0.602995,-2.626829,0.609872,-1.380648,0.334657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/zBhc_6ZGl6U/&t=333,青木 秀憲,22A
3,2022/10/16,31:29.5,2022/10/16,31:29.5,1,3,"Yuto, Hisano",1000126496,Left,MEI_MEI,"Tomoya, Furukawa",1000073414,Right,KEI_KEI,Undefined,1,Top,0,1,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,115.18518,1.938399,0.098731,2300.479912,324.018319,4:45,1.764864,-0.524244,1.694713,-176.9086,-35.2277,29.0406,0.547969,-0.205723,105.48506,-10.728767,2.144713,0.53754,,,,,,,,,,,,-14.5998,-17.9434,0.519296,15.24,1.80189,-0.178497,-31.668083,0.40887,-1.889835,5.958036,-12.129279,MEI_MEI,KEI_KEI,JinguStadium,Undefined,Team,20221016-JinguStadium-2,c9b51a80-4d13-11ed-90cb-dd2103856718,347c9791-144c-42e7-8800-d201b6984c50,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,112.84751,,,9.70012,,,,16.74629,-31.95022,2.979018,1.768929,0.983239,-6.064639,0.52563,-0.089006,-0.944918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/zBhc_6ZGl6U/&t=347,青木 秀憲,22A
4,2022/10/16,31:44.1,2022/10/16,31:44.0,1,4,"Yuto, Hisano",1000126496,Left,MEI_MEI,"Tomoya, Furukawa",1000073414,Right,KEI_KEI,Undefined,1,Top,0,1,2,ChangeUp,Splitter,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,,,,123.83717,-0.906698,2.689309,1027.218704,79.836544,8:45,1.722144,-0.624169,1.955619,-119.2507,-1.4168,-28.8782,0.275273,-0.158834,114.00855,-9.597824,0.625159,0.490219,,,,,,,,,,,,17.1517,0.9744,0.567145,15.24,1.695931,-1.485389,-34.075591,-0.942804,2.593795,6.387019,-9.659297,MEI_MEI,KEI_KEI,JinguStadium,Undefined,Team,20221016-JinguStadium-2,d253ad50-4d13-11ed-90cb-dd2103856718,347c9791-144c-42e7-8800-d201b6984c50,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,123.74073,,,9.82862,,,,16.484718,-34.308104,3.19351,1.723853,-0.591167,-4.829649,0.622937,-1.579814,1.296897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/zBhc_6ZGl6U/&t=362,青木 秀憲,22A
5,2022/10/16,32:12.0,2022/10/16,32:12.0,2,1,"Yuto, Hisano",1000126496,Left,MEI_MEI,"Haruto, Asahi",1000073390,Left,KEI_KEI,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,143.6077,-2.827112,2.992017,2192.441383,179.317226,12:00,1.770967,-0.6194,1.989333,-47.9032,39.0407,-0.4335,0.499699,0.21365,132.10897,-6.40111,2.961076,0.421089,,,,,,,,,,,,2.2629,23.2481,0.556031,15.24,1.708437,-2.061059,-39.470538,-2.108044,0.462774,7.963509,-5.052291,MEI_MEI,KEI_KEI,JinguStadium,Undefined,Team,20221016-JinguStadium-2,e2ffdd90-4d13-11ed-90cb-dd2103856718,347c9791-144c-42e7-8800-d201b6984c50,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,144.05498,,,11.49873,,,,16.45036,-39.713987,3.981754,1.770521,-1.953592,-2.526145,0.619255,-2.075206,0.231387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/zBhc_6ZGl6U/&t=390,青木 秀憲,22A
6,2022/10/16,32:25.5,2022/10/16,32:25.5,2,2,"Yuto, Hisano",1000126496,Left,MEI_MEI,"Haruto, Asahi",1000073390,Left,KEI_KEI,Undefined,1,Top,1,0,1,Slider,Slider,FoulBall,Undefined,Undefined,,Undefined,0,0,,,,132.92265,0.066743,1.58357,2342.179718,261.647114,2:45,1.774127,-0.657071,1.736117,-95.5494,10.201,45.4291,0.837598,0.247129,121.10787,-6.86404,4.779833,0.464404,130.23805,57.274046,-64.555389,,,,,,22.9303,,,-21.9009,6.1591,0.61307,15.24,1.768723,-1.227887,-36.5319,-0.340087,-3.780665,7.790123,-8.743427,MEI_MEI,KEI_KEI,JinguStadium,Undefined,Team,20221016-JinguStadium-2,eb0eb380-4d13-11ed-90cb-dd2103856718,347c9791-144c-42e7-8800-d201b6984c50,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,130.61915,30.282,,11.81478,,,,16.703679,-36.842696,3.895062,1.775332,0.008741,-4.371714,0.659049,-1.077053,-1.890332,0.314948,0.82342,-0.256927,,0.314948,8.402944,-4.193534,1.049046,-0.220256,0.03447,-0.000575,-0.001914,0.000377,0.82342,30.434679,-8.754096,1.063383,-0.146392,0.001945,0.008278,-0.003367,0.000514,-0.256927,-17.661061,4.196564,-1.762402,0.541188,-0.141645,0.030715,-0.004327,0.000268,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/zBhc_6ZGl6U/&t=403,青木 秀憲,22A
7,2022/10/16,32:53.6,2022/10/16,32:53.6,2,3,"Yuto, Hisano",1000126496,Left,MEI_MEI,"Haruto, Asahi",1000073390,Left,KEI_KEI,Undefined,1,Top,1,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,145.68534,-2.269528,4.431759,2324.867972,174.548293,11:45,1.764333,-0.628134,1.926704,-48.6246,37.1294,-3.2816,0.638758,0.585585,133.2848,-5.8895,4.199205,0.418198,,,,,,,,,,,,4.8751,21.7862,0.529462,15.24,1.710816,-3.081337,-39.962555,-1.756969,1.017241,8.532319,-5.260749,MEI_MEI,KEI_KEI,JinguStadium,Undefined,Team,20221016-JinguStadium-2,fbc65570-4d13-11ed-90cb-dd2103856718,347c9791-144c-42e7-8800-d201b6984c50,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,145.05095,,,12.40055,,,,16.512745,-40.233378,4.26616,1.763933,-1.589988,-2.630375,0.627779,-3.113625,0.50862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/zBhc_6ZGl6U/&t=432,青木 秀憲,22A
8,2022/10/16,33:09.5,2022/10/16,33:09.5,2,4,"Yuto, Hisano",1000126496,Left,MEI_MEI,"Haruto, Asahi",1000073390,Left,KEI_KEI,Undefined,1,Top,1,1,2,Fastball,Slider,FoulBall,Undefined,Undefined,,Undefined,0,0,,,,135.96488,-1.801267,2.210128,2234.165352,200.244848,12:45,1.736008,-0.704046,1.784198,-81.8955,19.3133,5.7745,0.406388,-0.020084,123.13679,-7.783466,2.617901,0.454322,,,,,,,,,,,,-1.1359,12.3834,0.648907,15.24,1.685681,-1.467667,-37.315559,-1.492601,-0.203386,8.528745,-7.589448,MEI_MEI,KEI_KEI,JinguStadium,Undefined,Team,20221016-JinguStadium-2,0541b3b0-4d14-11ed-90cb-dd2103856718,347c9791-144c-42e7-8800-d201b6984c50,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,133.51761,,,12.82809,,,,16.655174,-37.637618,4.264372,1.736633,-1.206011,-3.794724,0.704183,-1.459987,-0.101693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/zBhc_6ZGl6U/&t=448,青木 秀憲,22A
9,2022/10/16,33:33.4,2022/10/16,33:33.4,2,5,"Yuto, Hisano",1000126496,Left,MEI_MEI,"Haruto, Asahi",1000073390,Left,KEI_KEI,Undefined,1,Top,1,1,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,,,,130.57362,0.400521,1.479876,2354.876945,261.745672,2:45,1.761508,-0.657916,1.744086,-98.7054,9.3934,42.7537,0.888202,0.18985,120.39142,-6.734441,4.489809,0.469532,,,,,,,,,,,,-20.7525,5.5045,0.617054,15.24,1.764395,-1.128266,-35.934977,-0.138722,-3.513644,6.675194,-8.874675,MEI_MEI,KEI_KEI,JinguStadium,Undefined,Team,20221016-JinguStadium-2,138fa8a0-4d14-11ed-90cb-dd2103856718,347c9791-144c-42e7-8800-d201b6984c50,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,129.1925,,,10.18219,,,,16.69608,-36.204445,3.337597,1.762763,0.219535,-4.437338,0.659737,-0.986425,-1.756822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.30818,2.153698,1.294592,0.859106,-0.135948,0.819582,-0.234958,0.582447,1.420198,-1.25319,21.162118,1.829977,-16.870486,0.595547,25.28047,-1.552138,1.439455,4.225527,-4.376147,-1.289635,-20.379532,2.587246,https://youtu.be/zBhc_6ZGl6U/&t=471,青木 秀憲,22A
10,2022/10/16,34:00.8,2022/10/16,34:00.8,3,1,"Yuto, Hisano",1000126496,Left,MEI_MEI,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,2,0,0,ChangeUp,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,125.54816,-1.776167,2.556653,1073.044319,122.9525,10:00,1.727304,-0.603078,1.926736,-98.165,16.1572,-19.6154,0.246407,-0.081074,116.21504,-8.931331,1.158083,0.482859,,,,,,,,,,,,12.0239,10.6213,0.547242,15.24,1.682073,-1.463235,-34.546189,-1.404198,1.88417,6.084658,-8.142273,MEI_MEI,KEI_KEI,JinguStadium,Undefined,Team,20221016-JinguStadium-2,23d045d0-4d14-11ed-90cb-dd2103856718,347c9791-144c-42e7-8800-d201b6984c50,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,125.62686,,,9.33312,,,,16.513476,-34.769765,3.042329,1.728172,-1.105017,-4.071136,0.602279,-1.532467,0.942085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/zBhc_6ZGl6U/&t=499,青木 秀憲,22A
