PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,Steal,Runner,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,URL,umpire,season
1,2022/11/5,02:36.2,2022/11/5,02:36.2,1,1,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Haruto, Asahi",1000073390,Left,KEI_KEI,Undefined,1,Top,0,0,0,Cutter,Slider,FoulBall,Undefined,Undefined,LineDrive,Undefined,0,0,,,,126.26179,0.682003,-1.38742,1985.386071,186.867291,12:15,1.547356,0.269141,1.724231,-90.3174,23.864,2.5211,0.838105,-0.100093,117.69948,-5.848773,-1.210097,0.482561,145.49775,21.344358,56.592907,3154.259085,16.880818,11.006366,28.968279,84.057949,63.112637,67.001373,3.301447,-2.089,12.5998,-0.23355,15.24,1.557964,0.831623,-34.791858,0.074645,-0.336933,5.279459,-7.774434,WAS_EDA,KEI_KEI,JinguStadium,Fall,Team,20221105-JinguStadium-2,abb682c0-5cbe-11ed-8f8e-65d03625db5e,37feb454-3d69-49e6-a298-4d23f2be5759,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,125.70429,12.272019,,8.56231,,,,16.716317,-35.015164,2.63973,1.547852,0.403481,-3.887217,-0.269027,0.845875,-0.168467,0.96547,0.949202,0.071202,,0.96541,20.727866,-6.73758,1.826954,-0.372829,0.046745,-0.000475,-0.000853,9.6e-05,0.949254,14.708793,-4.91349,0.058595,0.005065,0.022072,-0.012205,0.00274,-0.000229,0.071218,31.423728,-4.191466,0.847886,-0.134133,0.013433,0.000113,-0.000277,3.1e-05,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/ePNOb42Uo0Y/&t=712,山口 智久,22A
2,2022/11/5,02:54.6,2022/11/5,02:54.6,1,2,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Haruto, Asahi",1000073390,Left,KEI_KEI,Undefined,1,Top,0,0,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,,,141.09133,-1.52354,-0.303875,2178.009238,213.402411,1:00,1.577696,0.158686,1.818575,-42.4378,50.7112,31.2556,0.722658,0.385366,127.4667,-4.740361,1.907969,0.435857,128.36513,-13.57407,2.352932,,,,,3.484314,3.355555,-4.332643,0.083719,-16.3449,28.2594,-0.153461,15.24,1.538119,0.051379,-38.772633,-1.168125,-3.169694,8.972801,-4.326419,WAS_EDA,KEI_KEI,JinguStadium,Fall,Team,20221105-JinguStadium-2,b6a56e30-5cbe-11ed-8f8e-65d03625db5e,37feb454-3d69-49e6-a298-4d23f2be5759,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,139.17412,0.702307,,13.62463,,,,16.620741,-39.090859,4.4864,1.576826,-1.014685,-2.16321,-0.157276,0.163794,-1.584847,0.568061,0.702307,-0.382647,180.0,0.566941,34.714855,,,,,,,,0.702578,-8.388852,,,,,,,,-0.382693,1.426417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/ePNOb42Uo0Y/&t=730,山口 智久,22A
3,2022/11/5,03:30.7,2022/11/5,03:30.7,2,1,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,141.14543,0.031199,-0.865141,2161.123148,215.683988,1:15,1.55299,0.162935,1.785892,-46.1646,47.449,31.6639,1.100179,0.234573,127.03565,-3.458705,1.370614,0.436942,,,,,,,,,,,,-16.6945,25.0975,-0.143655,15.24,1.550551,0.419833,-38.767535,-0.132897,-3.233727,9.036589,-4.945284,WAS_EDA,KEI_KEI,JinguStadium,Fall,Team,20221105-JinguStadium-2,cc287ae0-5cbe-11ed-8f8e-65d03625db5e,37feb454-3d69-49e6-a298-4d23f2be5759,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,138.82836,,,14.10978,,,,16.652445,-39.095385,4.518294,1.552118,0.046519,-2.472642,-0.161015,0.537153,-1.616863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/ePNOb42Uo0Y/&t=766,山口 智久,22A
4,2022/11/5,03:43.0,2022/11/5,03:43.0,2,2,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Undefined,1,Top,1,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,140.78505,-0.758237,-0.560071,2190.888467,223.794377,1:30,1.51055,0.205919,1.811227,-48.9845,44.5364,39.5576,0.806309,0.443143,127.27398,-4.438537,2.238009,0.436726,,,,,,,,,,,,-20.5225,24.3336,-0.19485,15.24,1.48884,0.175493,-38.690495,-0.679182,-3.970115,8.804197,-5.099264,WAS_EDA,KEI_KEI,JinguStadium,Fall,Team,20221105-JinguStadium-2,d3773520-5cbe-11ed-8f8e-65d03625db5e,37feb454-3d69-49e6-a298-4d23f2be5759,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,138.89716,,,13.51106,,,,16.627486,-39.004946,4.402098,1.509845,-0.497056,-2.549632,-0.20365,0.31729,-1.985058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/ePNOb42Uo0Y/&t=779,山口 智久,22A
5,2022/11/5,03:58.9,2022/11/5,03:58.9,2,3,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Undefined,1,Top,1,2,0,Cutter,Changeup,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,131.72158,0.381666,-1.338,2079.276433,206.668415,1:00,1.525666,0.2827,1.845951,-72.8191,32.2684,14.5664,0.905182,0.050817,120.58501,-4.992174,-0.305744,0.462946,,,,,,,,,,,,-8.3871,17.368,-0.251913,15.24,1.530027,0.779032,-36.242677,-0.01622,-1.442717,6.868358,-6.81905,WAS_EDA,KEI_KEI,JinguStadium,Fall,Team,20221105-JinguStadium-2,dcf41a00-5cbe-11ed-8f8e-65d03625db5e,37feb454-3d69-49e6-a298-4d23f2be5759,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,131.03039,,,11.13657,,,,16.593167,-36.498215,3.434179,1.525911,0.237484,-3.409525,-0.281895,0.832708,-0.721358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/ePNOb42Uo0Y/&t=795,山口 智久,22A
6,2022/11/5,04:14.0,2022/11/5,04:14.0,2,4,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Undefined,1,Top,1,2,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,140.89625,-1.282775,-0.263114,2132.71792,220.55653,1:15,1.522126,0.176225,1.747843,-49.4437,44.5047,35.307,0.66353,0.454614,127.70542,-4.972781,2.224785,0.437723,,,,,,,,,,,,-18.0468,24.5573,-0.172109,15.24,1.485973,-0.005903,-38.711978,-1.044547,-3.503111,8.645949,-5.039774,WAS_EDA,KEI_KEI,JinguStadium,Fall,Team,20221105-JinguStadium-2,e5f31c50-5cbe-11ed-8f8e-65d03625db5e,37feb454-3d69-49e6-a298-4d23f2be5759,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,138.58079,,,13.19082,,,,16.691039,-39.034709,4.322974,1.521452,-0.856426,-2.519887,-0.174329,0.124859,-1.751555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/ePNOb42Uo0Y/&t=810,山口 智久,22A
7,2022/11/5,04:33.4,2022/11/5,04:33.4,2,5,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Undefined,1,Top,1,2,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,LineDrive,Undefined,0,0,,,,140.23868,-1.568588,-1.052244,2181.193181,217.520607,1:15,1.524603,0.191395,1.775907,-46.6402,48.4207,34.516,0.613566,0.238374,126.38069,-5.08285,1.384032,0.440307,135.47569,28.770094,-56.212359,3687.037655,16.026289,14.208433,-29.449529,83.387896,66.26973,-69.997998,3.841569,-18.5578,27.0472,-0.167708,15.24,1.482334,0.534675,-38.512909,-1.213812,-3.541815,9.03529,-4.644611,WAS_EDA,KEI_KEI,JinguStadium,Fall,Team,20221105-JinguStadium-2,f17a9e40-5cbe-11ed-8f8e-65d03625db5e,37feb454-3d69-49e6-a298-4d23f2be5759,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,137.76751,15.748464,,13.85799,,,,16.663335,-38.845394,4.517645,1.523855,-1.042898,-2.322306,-0.189781,0.665009,-1.770907,0.587905,0.64061,-0.245555,126.383127,0.588574,18.325621,-5.99964,1.565783,-0.229245,-0.033258,0.023527,-0.004585,0.000339,0.640662,18.109617,-6.135286,0.434082,0.041279,-0.064652,0.027127,-0.005249,0.000389,-0.245924,-27.405358,2.588437,-0.097161,-0.151041,0.08487,-0.023611,0.003452,-0.000219,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/ePNOb42Uo0Y/&t=829,山口 智久,22A
8,2022/11/5,04:58.8,2022/11/5,04:58.8,2,6,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Undefined,1,Top,1,2,2,Fastball,Four-Seam,InPlay,Undefined,FlyBall,LineDrive,Out,1,0,,,,141.72848,-0.629867,-0.692171,2188.500341,215.868683,1:15,1.557684,0.144609,1.778772,-44.4961,47.7136,32.2581,0.934265,0.271093,128.62104,-3.976767,1.584864,0.433654,156.26794,16.827318,-3.724536,1578.576858,33.30005,8.903796,-3.902927,97.654247,94.568163,-11.228252,3.306948,-17.1096,25.8227,-0.129767,15.24,1.538965,0.309992,-38.973321,-0.582724,-3.372536,8.62288,-4.716649,WAS_EDA,KEI_KEI,JinguStadium,Fall,Team,20221105-JinguStadium-2,00a118e0-5cbf-11ed-8f8e-65d03625db5e,37feb454-3d69-49e6-a298-4d23f2be5759,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,139.88117,10.696044,,13.10744,,,,16.660883,-39.286435,4.31144,1.557016,-0.411453,-2.358324,-0.143247,0.432456,-1.686268,0.775059,0.959124,-0.257903,138.378899,0.77505,41.461961,-6.669814,1.428343,-0.273938,0.042074,-0.003793,-9.4e-05,4.7e-05,0.959178,12.563355,-4.120291,-0.010408,0.053224,-0.014398,0.000813,0.000602,-9.8e-05,-0.257995,-2.695042,-2.067769,0.725409,-0.226717,0.066573,-0.015453,0.002172,-0.00013,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/ePNOb42Uo0Y/&t=855,山口 智久,22A
9,2022/11/5,05:41.2,2022/11/5,05:41.2,3,1,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,2,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,131.7898,0.233713,-2.153956,2116.39701,181.889541,12:00,1.563021,0.169596,1.828537,-81.505,23.7874,0.6772,0.814024,-0.43225,120.81538,-5.739605,-2.106045,0.463397,,,,,,,,,,,,-1.8529,13.0842,-0.117978,15.24,1.563272,1.360198,-36.247588,-0.152291,-0.318738,6.886375,-7.555898,WAS_EDA,KEI_KEI,JinguStadium,Fall,Team,20221105-JinguStadium-2,19f92260-5cbf-11ed-8f8e-65d03625db5e,37feb454-3d69-49e6-a298-4d23f2be5759,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,130.90291,,,10.97442,,,,16.610841,-36.507093,3.443188,1.563646,0.132445,-3.777949,-0.169462,1.372209,-0.159369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/ePNOb42Uo0Y/&t=897,山口 智久,22A
10,2022/11/5,05:56.1,2022/11/5,05:56.1,3,2,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,2,1,0,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,128.16404,-0.146295,-2.149106,1987.754478,134.027844,10:30,1.544453,0.176421,1.766022,-96.9216,15.7978,-12.5899,0.533731,-0.559071,117.34766,-7.189223,-3.036675,0.479462,,,,,,,,,,,,4.8372,9.2837,-0.121622,15.24,1.533856,1.379769,-35.227486,-0.457154,0.782051,6.806997,-8.305713,WAS_EDA,KEI_KEI,JinguStadium,Fall,Team,20221105-JinguStadium-2,22d3acc0-5cbf-11ed-8f8e-65d03625db5e,37feb454-3d69-49e6-a298-4d23f2be5759,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,126.51685,,,10.81638,,,,16.673395,-35.50338,3.403499,1.545563,-0.120516,-4.152856,-0.176903,1.348072,0.391026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/ePNOb42Uo0Y/&t=912,山口 智久,22A
