PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,season
1,2022/4/9,02:18.5,2022/4/9,02:18.5,1,1,"Tatsuya, Hashimoto",1000073325,Right,KEI_KEI,"Reo, Akutsu",1000101208.0,Left,TOK,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,143.48627,-1.245512,-1.913429,2080.132655,224.803424,1:30,1.709314,0.532856,1.898421,-53.039,35.3084,32.2158,0.828428,0.316747,130.89456,-5.200064,0.377205,0.424474,,,,,,,,,,,,-17.9838,20.0638,-0.491075,15.24,1.677765,1.159213,-39.465062,-1.046387,-3.653378,8.453066,-5.730723,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20220409-JinguStadium-1,162237a0-b7a9-11ec-be38-97da206e62f8,dd306f60-72b3-4caa-b36e-e7b11cf35e75,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,142.90611,,,12.59171,,,,16.540876,-39.742722,4.226533,1.709045,-0.858149,-2.865362,-0.531123,1.279216,-1.826689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松本 知一,22S
2,2022/4/9,02:30.5,2022/4/9,02:30.5,1,2,"Tatsuya, Hashimoto",1000073325,Right,KEI_KEI,"Reo, Akutsu",1000101208.0,Left,TOK,Undefined,1,Top,0,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,,143.71524,-0.682841,-2.108074,2113.913946,225.561168,1:30,1.684655,0.560156,1.888368,-50.2376,37.6793,35.5963,0.990001,0.322679,131.32689,-4.435199,0.420436,0.423439,,,,,,,,,,,,-19.7746,20.8066,-0.513781,15.24,1.665899,1.278068,-39.539122,-0.647636,-4.044851,8.244066,-5.550702,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20220409-JinguStadium-1,1d443c90-b7a9-11ec-be38-97da206e62f8,dd306f60-72b3-4caa-b36e-e7b11cf35e75,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,143.2556,,,12.38836,,,,16.551016,-39.811536,4.122033,1.684269,-0.46422,-2.775351,-0.558222,1.411724,-2.022426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松本 知一,22S
3,2022/4/9,02:48.9,2022/4/9,02:48.9,1,3,"Tatsuya, Hashimoto",1000073325,Right,KEI_KEI,"Reo, Akutsu",1000101208.0,Left,TOK,Undefined,1,Top,0,1,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,GroundBall,Single,0,0,,145.654,-2.939248,-2.345307,2143.773358,215.722853,1:15,1.684925,0.548484,1.899069,-35.9013,51.1894,34.4765,0.497993,0.233394,131.10542,-5.697405,0.104603,0.421445,127.32742,2.83386,3.908949,837.641655,,,,16.144471,,2.529249,0.479487,-19.7883,29.8941,-0.497079,15.24,1.615805,1.464081,-39.960008,-2.157082,-4.062763,9.785426,-3.66905,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20220409-JinguStadium-1,28380a00-b7a9-11ec-be38-97da206e62f8,dd306f60-72b3-4caa-b36e-e7b11cf35e75,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,143.93352,0.603218,,14.54858,,,,16.540008,-40.277096,4.892713,1.683777,-2.038189,-1.834525,-0.546654,1.595731,-2.031381,0.162667,0.473705,-0.240149,37.432809,0.165269,35.170461,-3.926678,,,,,,,0.476506,1.670425,-5.567988,,,,,,,-0.239263,2.383325,-0.834685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松本 知一,22S
4,2022/4/9,03:27.1,2022/4/9,03:27.1,2,1,"Tatsuya, Hashimoto",1000073325,Right,KEI_KEI,"Tetsuya, Nakai",1000073897.0,Left,TOK,Undefined,1,Top,0,0,0,Fastball,Four-Seam,HitByPitch,Undefined,Undefined,,Undefined,0,0,1,146.47612,-3.950245,-4.437613,2173.269717,187.446632,12:15,1.708677,0.536269,1.912994,-37.4351,49.1321,5.9968,0.219395,-0.653015,131.9913,-6.799589,-4.013056,0.420176,,,,,,,,,,,,-6.7928,29.6944,-0.436548,15.24,1.617156,3.077742,-40.047712,-2.884039,-1.400825,9.824971,-3.683048,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20220409-JinguStadium-1,3efe1e00-b7a9-11ec-be38-97da206e62f8,dd306f60-72b3-4caa-b36e-e7b11cf35e75,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,144.36809,,,14.48482,,,,16.525618,-40.361883,4.912485,1.707495,-2.766267,-1.841524,-0.53568,3.122536,-0.700412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松本 知一,22S
5,2022/4/9,04:16.7,2022/4/9,04:16.8,3,1,"Tatsuya, Hashimoto",1000073325,Right,KEI_KEI,"Yu, Miyazaki",1000073899.0,Left,TOK,Undefined,1,Top,0,0,0,Splitter,Changeup,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,"1,2",133.13074,-2.028805,-2.94844,1363.329612,263.362155,2:45,1.726102,0.588797,1.722297,-102.4004,7.0368,18.6129,0.124344,-0.063996,117.7413,-9.489768,-1.63787,0.47243,,,,,,,,,,,,-12.4838,7.0433,-0.514018,15.24,1.666019,1.781228,-36.389705,-1.705398,-2.067492,9.858787,-8.640183,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20220409-JinguStadium-1,5ca1b3e0-b7a9-11ec-be38-97da206e62f8,dd306f60-72b3-4caa-b36e-e7b11cf35e75,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,128.40007,,,15.38943,,,,16.715597,-36.787305,4.929394,1.72777,-1.356944,-4.320092,-0.587536,1.864609,-1.033746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松本 知一,22S
6,2022/4/9,04:46.2,2022/4/9,04:46.2,3,2,"Tatsuya, Hashimoto",1000073325,Right,KEI_KEI,"Yu, Miyazaki",1000073899.0,Left,TOK,Undefined,1,Top,0,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,"1,2",146.09047,-2.918477,-4.262563,2267.460971,225.988056,1:30,1.723279,0.545588,1.974327,-38.2417,47.6006,45.9852,0.521061,-0.189776,131.6515,-5.852925,-0.988037,0.418413,,,,,,,,,,,,-27.4178,28.1513,-0.456273,15.24,1.658397,2.759499,-40.034626,-2.156001,-5.664437,9.626217,-3.990685,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20220409-JinguStadium-1,6e30a300-b7a9-11ec-be38-97da206e62f8,dd306f60-72b3-4caa-b36e-e7b11cf35e75,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,144.97632,,,14.43898,,,,16.464964,-40.32809,4.813109,1.722271,-2.034341,-1.995342,-0.543031,2.932185,-2.832219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松本 知一,22S
7,2022/4/9,05:13.0,2022/4/9,05:13.0,3,3,"Tatsuya, Hashimoto",1000073325,Right,KEI_KEI,"Yu, Miyazaki",1000073899.0,Left,TOK,Undefined,1,Top,0,1,1,Fastball,Sinker,InPlay,Undefined,Bunt,,Sacrifice,0,1,"1,2",143.28107,-1.903278,-3.614139,2191.071486,232.060119,1:45,1.719949,0.564938,1.96138,-49.2036,40.1321,47.2176,0.693533,0.023425,128.92891,-5.628791,-0.249714,0.426842,,,,,,,,,,,,-27.626,23.4915,-0.48893,15.24,1.675952,2.256865,-39.314215,-1.46684,-5.488804,9.488973,-5.139304,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20220409-JinguStadium-1,7e23bc70-b7a9-11ec-be38-97da206e62f8,dd306f60-72b3-4caa-b36e-e7b11cf35e75,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,142.11348,,,14.35216,,,,16.47792,-39.611875,4.744486,1.719437,-1.305625,-2.569652,-0.562427,2.429044,-2.744402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松本 知一,22S
8,2022/4/9,06:15.8,2022/4/9,06:15.8,4,1,"Tatsuya, Hashimoto",1000073325,Right,KEI_KEI,"Kodai, Umebayashi",1000089942.0,Left,TOK,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,GroundBall,Single,0,1,"2,3",146.59284,-2.054784,-2.472808,2194.741586,200.825278,12:45,1.709038,0.528151,1.90144,-40.1656,45.7005,16.1793,0.728887,-0.005725,131.94748,-5.115121,-1.323427,0.418471,105.7539,-3.569592,-0.508922,1380.531965,,,,9.585602,,-3.335208,0.330111,-10.4056,26.279,-0.472883,15.24,1.659923,1.655583,-40.233664,-1.570758,-2.166423,9.894843,-4.335427,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20220409-JinguStadium-1,a3948b60-b7a9-11ec-be38-97da206e62f8,dd306f60-72b3-4caa-b36e-e7b11cf35e75,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,144.95623,0.829566,,14.64535,,,,16.537313,-40.551462,4.947422,1.708135,-1.431514,-2.167714,-0.527173,1.725163,-1.083212,0.158765,0.829566,-0.083136,125.742927,0.158917,29.31198,-2.440111,,,,,,,0.829335,-1.819648,-2.096181,,,,,,,-0.082217,-0.297356,-3.47043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松本 知一,22S
9,2022/4/9,07:48.5,2022/4/9,07:48.5,5,1,"Tatsuya, Hashimoto",1000073325,Right,KEI_KEI,"Taiki, Matsuoka",1000073870.0,Right,TOK,Undefined,1,Top,0,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,"1,3",117.65118,2.094954,-2.659979,2881.501609,39.444515,7:15,1.709881,0.505447,1.82786,-175.6262,-38.9218,-36.4366,0.546214,-0.610735,105.74085,-10.615535,-5.239386,0.528015,,,,,,,,,,,,16.069,-20.3869,-0.439261,15.24,1.748941,1.652771,-32.264851,0.546769,2.110357,7.326,-12.484086,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20220409-JinguStadium-1,dadcc420-b7a9-11ec-be38-97da206e62f8,dd306f60-72b3-4caa-b36e-e7b11cf35e75,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,114.88319,,,11.91033,,,,16.612322,-32.574958,3.663,1.714612,1.075216,-6.242043,-0.507332,1.56344,1.055179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松本 知一,22S
10,2022/4/9,08:10.7,2022/4/9,08:10.7,5,2,"Tatsuya, Hashimoto",1000073325,Right,KEI_KEI,"Taiki, Matsuoka",1000073870.0,Right,TOK,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,"1,3",146.26059,-2.468948,-2.69549,2266.557821,203.274012,12:45,1.7057,0.547205,1.948167,-30.6172,54.7953,22.2576,0.706193,0.013577,132.15659,-4.850851,-1.110414,0.417365,,,,,,,,,,,,-13.63,31.2977,-0.489249,15.24,1.649721,1.778877,-40.151221,-1.806883,-2.84106,9.441333,-3.282909,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20220409-JinguStadium-1,e80b3f50-b7a9-11ec-be38-97da206e62f8,dd306f60-72b3-4caa-b36e-e7b11cf35e75,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,145.34058,,,14.10399,,,,16.490584,-40.44422,4.720666,1.704215,-1.705003,-1.641455,-0.545822,1.867045,-1.42053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松本 知一,22S
