PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,Unnamed: 156,Unnamed: 157,umpire,season
1,2022/4/10,12:48.7,2022/4/10,12:48.7,1,1,"Kei, Nishiyama",1000073965,Right,TOK,"Masaya, Hagio",1000073449,Right,KEI_KEI,Undefined,1,Top,0,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,127.49805,1.767,-1.649097,2269.852032,82.419252,8:45,1.597331,0.693533,1.621003,-114.6292,0.7606,-20.5339,0.956855,0.016343,117.08736,-6.459611,-3.083418,0.485108,,,,,,,,,,,,9.1232,0.2687,-0.646179,15.24,1.63619,1.108373,-35.039768,0.6043,1.467857,6.380375,-9.763424,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20220410-JinguStadium-2,dd5c51f0-b88c-11ec-a930-af580d20c9cc,1926491a-30a0-462f-80cf-11723661d90a,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,125.04434,,,10.41069,,,,16.81887,-35.326094,3.190187,1.59924,1.042444,-4.881712,-0.694441,1.042502,0.733929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,萩原 俊幸,22S
2,2022/4/10,13:01.7,2022/4/10,13:01.7,1,2,"Kei, Nishiyama",1000073965,Right,TOK,"Masaya, Hagio",1000073449,Right,KEI_KEI,Undefined,1,Top,0,1,0,Slider,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,126.49429,1.60746,-0.559655,2742.414318,71.196464,8:15,1.61728,0.692059,1.628552,-119.8367,-3.4868,-20.0167,0.878654,0.331873,116.8806,-6.973783,-1.960345,0.487122,,,,,,,,,,,,9.6343,-1.6568,-0.674937,15.24,1.651142,0.436179,-34.804348,0.478486,1.538385,5.939213,-10.071207,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20220410-JinguStadium-2,e5184cf0-b88c-11ec-a930-af580d20c9cc,1926491a-30a0-462f-80cf-11723661d90a,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,124.52733,,,9.6137,,,,16.811576,-35.071505,2.969607,1.61943,0.931509,-5.035604,-0.693001,0.36698,0.769193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,萩原 俊幸,22S
3,2022/4/10,13:15.5,2022/4/10,13:15.5,1,3,"Kei, Nishiyama",1000073965,Right,TOK,"Masaya, Hagio",1000073449,Right,KEI_KEI,Undefined,1,Top,0,2,0,Slider,Slider,InPlay,Undefined,GroundBall,,Single,0,0,,123.48597,0.990539,-1.407872,2318.949864,94.232448,9:15,1.625065,0.742968,1.642786,-117.7319,4.3783,-10.8317,0.730825,0.232387,114.05418,-7.455681,-2.166338,0.499035,,,,,,,,,,,,4.5526,2.4883,-0.703677,15.24,1.641974,0.883835,-33.973133,0.123846,0.690935,5.800849,-9.429012,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20220410-JinguStadium-2,ed5c1590-b88c-11ec-a930-af580d20c9cc,1926491a-30a0-462f-80cf-11723661d90a,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,121.55466,,,9.43179,,,,16.797565,-34.238051,2.900425,1.626486,0.554459,-4.714506,-0.74332,0.852281,0.345468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,萩原 俊幸,22S
4,2022/4/10,14:08.9,2022/4/10,14:08.9,2,1,"Kei, Nishiyama",1000073965,Right,TOK,"Sho, Miyao",1000073415,Left,KEI_KEI,Undefined,1,Top,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,1,127.75987,2.252177,-0.521081,2286.433525,102.350607,9:30,1.616793,0.742393,1.658206,-106.5289,6.8743,-17.0056,1.194629,0.423618,118.01967,-5.414445,-1.712126,0.480914,,,,,,,,,,,,8.2178,3.0691,-0.726911,15.24,1.668661,0.400696,-35.14968,0.948927,1.342626,5.860718,-9.305217,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20220410-JinguStadium-2,0d2b6510-b88d-11ec-a930-af580d20c9cc,1926491a-30a0-462f-80cf-11723661d90a,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,126.13485,,,9.7402,,,,16.781829,-35.405825,2.930359,1.6183,1.355615,-4.652609,-0.743141,0.342016,0.671313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,萩原 俊幸,22S
5,2022/4/10,14:27.3,2022/4/10,14:27.3,2,2,"Kei, Nishiyama",1000073965,Right,TOK,"Sho, Miyao",1000073415,Left,KEI_KEI,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,1,135.75505,-1.254355,-1.486841,1948.039429,187.771749,12:15,1.641331,0.675272,1.857093,-62.1156,35.9972,4.5244,0.666362,0.301241,125.36889,-5.830148,-1.16593,0.447319,,,,,,,,,,,,-3.316,20.3038,-0.640653,15.24,1.607897,0.949918,-37.382965,-1.039933,-0.611109,6.822829,-6.06485,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20220410-JinguStadium-2,181a7790-b88d-11ec-a930-af580d20c9cc,1926491a-30a0-462f-80cf-11723661d90a,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,135.60783,,,10.38616,,,,16.583018,-37.627283,3.411415,1.641247,-0.822757,-3.032425,-0.67506,0.971801,-0.305555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,萩原 俊幸,22S
6,2022/4/10,15:10.4,2022/4/10,15:10.4,2,3,"Kei, Nishiyama",1000073965,Right,TOK,"Sho, Miyao",1000073415,Left,KEI_KEI,Undefined,1,Top,0,1,1,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,1,128.68547,1.492457,-0.763773,2357.936317,74.262851,8:30,1.600084,0.746524,1.6303,-113.4082,-1.3118,-15.7186,0.892807,0.370974,119.14179,-6.628669,-1.863643,0.478135,,,,,,,,,,,,7.4087,-0.6156,-0.724178,15.24,1.631247,0.547911,-35.418503,0.446886,1.228446,5.980428,-9.908717,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20220410-JinguStadium-2,31cfe350-b88d-11ec-a930-af580d20c9cc,1926491a-30a0-462f-80cf-11723661d90a,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,126.86797,,,9.54368,,,,16.810001,-35.682614,2.990214,1.601849,0.88448,-4.954359,-0.747177,0.49366,0.614223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,萩原 俊幸,22S
7,2022/4/10,15:27.6,2022/4/10,15:27.5,2,4,"Kei, Nishiyama",1000073965,Right,TOK,"Sho, Miyao",1000073415,Left,KEI_KEI,Undefined,1,Top,0,2,1,Slider,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,1,125.02928,-0.293714,-1.03053,2328.263089,75.187713,8:30,1.576585,0.746887,1.673744,-120.2185,-0.2313,-15.7731,0.29064,0.295292,114.58666,-8.93025,-2.138896,0.494678,,,,,,,,,,,,7.1628,1.3439,-0.718091,15.24,1.559045,0.691786,-34.365834,-0.655588,1.099024,6.639082,-9.600444,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20220410-JinguStadium-2,3c0e6a80-b88d-11ec-a930-af580d20c9cc,1926491a-30a0-462f-80cf-11723661d90a,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,122.62534,,,10.44262,,,,16.765863,-34.65936,3.319541,1.578647,-0.231135,-4.800222,-0.747602,0.643196,0.549512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,萩原 俊幸,22S
8,2022/4/10,15:49.6,2022/4/10,15:49.6,2,5,"Kei, Nishiyama",1000073965,Right,TOK,"Sho, Miyao",1000073415,Left,KEI_KEI,Undefined,1,Top,0,3,1,Fastball,Slider,BallCalled,Walk,Undefined,,Undefined,0,0,1,137.44547,-0.221081,-1.496514,1904.487589,166.591028,11:30,1.637588,0.680412,1.820919,-62.6392,34.6228,-7.5029,0.948707,0.182434,125.31433,-4.85723,-2.027216,0.445375,,,,,,,,,,,,2.7362,18.8889,-0.643847,15.24,1.628099,1.024046,-37.794044,-0.374468,0.509454,7.798498,-6.289784,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20220410-JinguStadium-2,4927b000-b88d-11ec-a930-af580d20c9cc,1926491a-30a0-462f-80cf-11723661d90a,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,136.19971,,,12.13115,,,,16.618049,-38.077332,3.899249,1.637551,-0.145985,-3.144892,-0.68071,1.00554,0.254727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,萩原 俊幸,22S
9,2022/4/10,17:03.9,2022/4/10,17:03.9,3,1,"Kei, Nishiyama",1000073965,Right,TOK,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,"1,2",136.02209,-2.226357,-3.851001,1912.21315,178.517603,12:00,1.614271,0.628934,1.861715,-65.8741,32.8453,-0.771,0.326303,-0.465803,125.15629,-7.057894,-3.905511,0.4487,,,,,,,,,,,,-2.2554,19.4511,-0.538659,15.24,1.557883,2.517079,-37.340337,-1.691392,-0.412319,7.208262,-6.250748,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20220410-JinguStadium-2,75820ec0-b88d-11ec-a930-af580d20c9cc,1926491a-30a0-462f-80cf-11723661d90a,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,135.19064,,,10.8658,,,,16.577898,-37.59772,3.604131,1.614292,-1.468198,-3.125374,-0.628799,2.531802,-0.20616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,萩原 俊幸,22S
10,2022/4/10,17:24.7,2022/4/10,17:24.7,3,2,"Kei, Nishiyama",1000073965,Right,TOK,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,0,1,0,Cutter,Slider,InPlay,Undefined,LineDrive,LineDrive,Single,0,0,"1,2",129.1662,1.050069,-2.346051,2185.965332,104.588064,9:30,1.594564,0.704845,1.729076,-104.0389,6.3892,-12.3118,0.852848,-0.085302,119.22849,-6.459396,-3.211362,0.474564,169.102,14.442615,16.377832,2489.737545,31.484783,6.70336,11.525081,82.96046,,25.018992,2.442731,4.7326,3.4883,-0.643537,15.24,1.613661,1.512346,-35.53075,0.240928,0.786492,6.275311,-9.226941,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20220410-JinguStadium-2,81e523a0-b88d-11ec-a930-af580d20c9cc,1926491a-30a0-462f-80cf-11723661d90a,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,127.82268,7.158218,,9.93772,,,,16.711096,-35.789627,3.137656,1.59587,0.621568,-4.61347,-0.705257,1.479901,0.393246,0.313479,0.822619,0.092126,256.122714,0.313479,43.642569,-8.032012,1.735045,-0.367681,0.065444,-0.011004,0.001469,-0.000105,0.822619,11.715487,-5.943132,0.550436,-0.075002,0.007898,0.000219,-0.000138,6e-06,0.092124,12.826476,2.158915,-1.234246,0.423877,-0.114244,0.023882,-0.003347,0.000218,,,,,,,,,,,,,,,,,,,,,,,,,萩原 俊幸,22S
