PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,Unnamed: 156,Unnamed: 157,umpire,season
1,2022/4/10,00:50.0,2022/4/10,00:50.0,1,1,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,143.67503,-1.668756,-2.540964,2186.874897,208.106965,1:00,1.509506,0.417397,1.825227,-38.5812,50.8617,25.5272,0.651701,-0.045582,130.29853,-4.598911,-0.736166,0.427098,157.25973,-4.77455,36.873838,,,,,7.628829,,34.291204,0.165756,-15.1309,28.3655,-0.358019,15.24,1.466844,1.624701,-39.466311,-1.275139,-3.057848,8.857119,-4.074188,WAS_EDA,HOS_HOS,JinguStadium,Spring,Team,20220410-JinguStadium-1,0b935430-b872-11ec-8fca-d11cbe1b2991,0ffea640-2ce1-4d4e-9a47-0fc90d62ca19,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,142.02828,0.688144,,13.3765,,,,16.61438,-39.773556,4.42856,1.508626,-1.133809,-2.037094,-0.416218,1.730775,-1.528924,0.752497,0.688144,0.018534,258.614159,0.752898,34.791482,-7.91179,,,,,,,0.688156,-3.636949,-3.105406,,,,,,,0.018542,26.120794,-1.82579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,22S
2,2022/4/10,01:20.6,2022/4/10,01:20.6,2,1,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Yamato, Nakatsu",1000101189,Left,HOS_HOS,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,145.62812,-1.724239,-2.451959,2283.867717,237.328011,2:00,1.511004,0.383572,1.823797,-57.2615,30.2289,42.2757,0.450685,0.113208,131.68112,-5.971082,0.540001,0.422411,,,,,,,,,,,,-23.5392,17.8128,-0.327257,15.24,1.465718,1.491698,-39.982399,-1.425438,-4.859418,9.457441,-6.129391,WAS_EDA,HOS_HOS,JinguStadium,Spring,Team,20220410-JinguStadium-1,1de19bb0-b872-11ec-8fca-d11cbe1b2991,0ffea640-2ce1-4d4e-9a47-0fc90d62ca19,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,143.60437,,,13.947,,,,16.615321,-40.306404,4.728721,1.510955,-1.215449,-3.064696,-0.381213,1.658178,-2.429709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,22S
3,2022/4/10,01:33.0,2022/4/10,01:33.0,2,2,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Yamato, Nakatsu",1000101189,Left,HOS_HOS,Undefined,1,Top,1,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,145.77305,-0.462088,-1.977806,2289.099043,211.128644,1:00,1.506605,0.332717,1.79339,-36.2558,51.5531,29.2071,1.013177,0.064771,131.01299,-3.242094,0.084194,0.423179,,,,,,,,,,,,-16.3997,27.544,-0.286003,15.24,1.492727,1.225139,-40.019827,-0.433667,-3.383049,9.678427,-4.124692,WAS_EDA,HOS_HOS,JinguStadium,Spring,Team,20220410-JinguStadium-1,25389350-b872-11ec-8fca-d11cbe1b2991,0ffea640-2ce1-4d4e-9a47-0fc90d62ca19,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,143.34361,,,14.76006,,,,16.645044,-40.358193,4.839213,1.505367,-0.289464,-2.062346,-0.330902,1.343413,-1.691525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,22S
4,2022/4/10,01:47.4,2022/4/10,01:47.4,2,3,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Yamato, Nakatsu",1000101189,Left,HOS_HOS,Undefined,1,Top,1,0,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,,146.84607,-1.041237,-0.955575,,215.306185,1:15,1.507306,0.321201,1.80885,-36.8873,48.7965,32.4918,0.84393,0.375887,133.07858,-3.844428,1.342104,0.418027,,,,,,,,,,,,-17.0011,26.4403,-0.299865,15.24,1.479345,0.493171,-40.352127,-0.848021,-3.595685,9.172149,-4.214608,WAS_EDA,HOS_HOS,JinguStadium,Spring,Team,20220410-JinguStadium-1,2dc60f20-b872-11ec-8fca-d11cbe1b2991,0ffea640-2ce1-4d4e-9a47-0fc90d62ca19,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,145.11032,,,13.76749,,,,16.629195,-40.666669,4.586074,1.505948,-0.703489,-2.107304,-0.318892,0.616479,-1.797843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,22S
5,2022/4/10,02:04.5,2022/4/10,02:04.5,2,4,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Yamato, Nakatsu",1000101189,Left,HOS_HOS,Undefined,1,Top,1,0,2,ChangeUp,Changeup,FoulBall,Undefined,Undefined,,Undefined,0,0,,136.34194,-1.084506,-2.982273,1489.347675,242.963463,2:00,1.45766,0.483012,1.847146,-81.2332,16.7534,26.9903,0.338937,-0.089147,125.50172,-7.011163,-1.070099,0.447032,,,,,,,,,,,,-16.0768,10.2196,-0.414203,15.24,1.426702,1.830664,-37.499854,-1.020269,-2.966622,7.212964,-7.920854,WAS_EDA,HOS_HOS,JinguStadium,Spring,Team,20220410-JinguStadium-1,3802e8a0-b872-11ec-8fca-d11cbe1b2991,0ffea640-2ce1-4d4e-9a47-0fc90d62ca19,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,135.69513,,,10.84022,,,,16.593166,-37.759233,3.606482,1.45827,-0.735434,-3.960427,-0.481952,1.937344,-1.483311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,22S
6,2022/4/10,02:26.2,2022/4/10,02:26.2,2,5,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Yamato, Nakatsu",1000101189,Left,HOS_HOS,Undefined,1,Top,1,0,2,ChangeUp,Changeup,InPlay,Undefined,FlyBall,FlyBall,Out,1,0,,135.20484,-0.467692,-1.713609,1436.735716,222.425214,1:30,1.470081,0.500099,1.757993,-76.9031,25.8806,20.1698,0.568324,0.215576,121.69173,-6.12955,-0.291443,0.457843,155.09767,39.907845,-13.105179,4186.373919,31.83696,25.758716,-10.513451,96.771167,,-24.883345,5.452693,-11.7049,14.6768,-0.458374,15.24,1.452797,1.010738,-37.111642,-0.599331,-2.069215,8.554003,-7.212071,WAS_EDA,HOS_HOS,JinguStadium,Spring,Team,20220410-JinguStadium-1,44f74100-b872-11ec-8fca-d11cbe1b2991,0ffea640-2ce1-4d4e-9a47-0fc90d62ca19,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,132.49075,33.404419,,13.51311,,,,16.68078,-37.44226,4.277002,1.470575,-0.32058,-3.606036,-0.498985,1.090715,-1.034607,0.353762,0.546215,-0.217525,151.238955,0.357224,32.118848,-7.812764,1.733563,-0.13673,-0.051425,0.017575,-0.002089,8.9e-05,0.546149,27.636776,-6.735489,0.4195,0.035598,-0.047624,0.015065,-0.002116,0.000111,-0.216998,-7.504253,-0.860732,0.456068,-0.099015,0.009476,-1.3e-05,-4.2e-05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,22S
7,2022/4/10,03:04.2,2022/4/10,03:04.2,3,1,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Daiki, Saitoh",1000073731,Right,HOS_HOS,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,144.38928,-0.269407,-4.103189,2194.050535,219.606794,1:15,1.470072,0.414492,1.871347,-46.943,43.5587,32.9028,0.92456,-0.414238,127.53564,-3.860237,-1.776108,0.429619,,,,,,,,,,,,-20.5989,23.6598,-0.320833,15.24,1.460903,2.65903,-39.504907,-0.335808,-4.067237,10.770327,-5.135049,WAS_EDA,HOS_HOS,JinguStadium,Spring,Team,20220410-JinguStadium-1,5ba0cc50-b872-11ec-8fca-d11cbe1b2991,0ffea640-2ce1-4d4e-9a47-0fc90d62ca19,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,141.19499,,,16.85364,,,,16.565981,-39.864774,5.385163,1.469257,-0.164232,-2.567525,-0.411949,2.794928,-2.033619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,22S
8,2022/4/10,03:15.7,2022/4/10,03:15.7,3,2,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Daiki, Saitoh",1000073731,Right,HOS_HOS,Undefined,1,Top,2,1,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,112.15263,4.015316,-1.57256,1629.573665,31.95028,7:00,1.494217,0.450747,1.796439,-171.6273,-21.3536,-16.9043,0.916513,-0.163419,100.58592,-8.462694,-2.765699,0.5536,,,,,,,,,,,,7.1054,-12.4504,-0.41105,15.24,1.581525,0.914222,-30.71802,1.559874,0.853958,6.210684,-11.303005,WAS_EDA,HOS_HOS,JinguStadium,Spring,Team,20220410-JinguStadium-1,628c7f00-b872-11ec-8fca-d11cbe1b2991,0ffea640-2ce1-4d4e-9a47-0fc90d62ca19,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,109.57371,,,11.56671,,,,16.642847,-31.000355,3.105342,1.498934,2.073705,-5.651503,-0.451728,0.875401,0.426979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,22S
9,2022/4/10,03:28.7,2022/4/10,03:28.7,3,3,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Daiki, Saitoh",1000073731,Right,HOS_HOS,Undefined,1,Top,2,1,1,ChangeUp,Changeup,BallinDirt,Undefined,Undefined,,Undefined,0,0,,120.24464,-0.97309,-4.615373,1323.492045,251.117123,2:15,1.477963,0.402331,2.255035,-105.1892,17.5155,37.7358,0.157593,-0.492205,108.72244,-8.870843,-1.878385,0.500248,,,,,,,,,,,,-24.4268,11.6993,-0.32662,15.24,1.458756,2.53537,-33.016578,-0.832935,-3.40833,6.916512,-8.174233,WAS_EDA,HOS_HOS,JinguStadium,Spring,Team,20220410-JinguStadium-1,6a417520-b872-11ec-8fca-d11cbe1b2991,0ffea640-2ce1-4d4e-9a47-0fc90d62ca19,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,121.2599,,,11.5222,,,,16.184316,-33.21381,3.458256,1.479185,-0.599838,-4.087117,-0.400305,2.632562,-1.704165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,22S
10,2022/4/10,03:47.3,2022/4/10,03:47.3,3,4,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Daiki, Saitoh",1000073731,Right,HOS_HOS,Undefined,1,Top,2,2,1,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,131.99163,-0.640469,-3.453641,2088.629084,168.586587,11:30,1.419851,0.493133,1.754645,-89.4431,18.5171,-2.9513,0.343371,-0.517418,119.37604,-7.165812,-3.661155,0.469231,,,,,,,,,,,,-1.3584,11.1229,-0.405562,15.24,1.397213,2.198055,-36.186087,-0.751669,-0.228875,7.977072,-7.932596,WAS_EDA,HOS_HOS,JinguStadium,Spring,Team,20220410-JinguStadium-1,7549b4f0-b872-11ec-8fca-d11cbe1b2991,0ffea640-2ce1-4d4e-9a47-0fc90d62ca19,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,129.2754,,,12.61558,,,,16.684146,-36.503055,3.988536,1.420818,-0.436469,-3.966298,-0.493083,2.20715,-0.114437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,22S
