PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,Unnamed: 156,Unnamed: 157,umpire,season
1,2022/4/16,01:14.9,2022/4/16,01:14.9,1,1,"Minoru, Makita",1000089793,Right,MEI_MEI,"Reo, Akutsu",1000101208,Left,TOK,Undefined,1,Top,0,0,0,Curveball,Curveball,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,109.52009,2.887684,1.116262,2104.657104,41.719909,7:30,1.70711,0.217566,1.660741,-178.0856,-22.4833,-24.2176,0.751121,0.29396,101.23016,-9.840522,-0.583027,0.56333,103.35404,-15.885317,41.424759,,,,,2.760567,,29.782287,0.094265,13.0433,-12.1441,-0.245492,15.24,1.769934,-0.489387,-30.113816,0.887024,1.548981,4.742045,-11.248853,MEI_MEI,TOK,JinguStadium,Undefined,Team,20220416-JinguStadium-2,161b9d20-bd29-11ec-8636-0998471c9c6f,26c3d44a-b914-4d4a-8ea7-c44e7891db59,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,107.68117,0.735682,,8.28993,,,,16.780448,-30.355422,2.371022,1.71014,1.460151,-5.624427,-0.218547,-0.568307,0.774491,0.462668,0.735682,-0.32157,162.271326,0.46268,20.7034,-2.065133,,,,,,,0.735648,-7.853382,0.527253,,,,,,,-0.321543,18.266121,-3.28062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,22S
2,2022/4/16,01:51.4,2022/4/16,01:51.5,2,1,"Minoru, Makita",1000089793,Right,MEI_MEI,"Tetsuya, Nakai",1000073897,Left,TOK,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,142.77079,-2.942453,-1.489815,2230.752541,203.623192,12:45,1.65746,0.282568,1.964321,-38.2109,50.8117,20.8863,0.450297,0.074107,129.77279,-5.858185,0.001339,0.426094,,,,,,,,,,,,-12.0324,29.6988,-0.25141,15.24,1.591663,0.921803,-39.232345,-2.125327,-2.403782,8.725063,-3.873546,MEI_MEI,TOK,JinguStadium,Undefined,Team,20220416-JinguStadium-2,2bd01a10-bd29-11ec-8636-0998471c9c6f,26c3d44a-b914-4d4a-8ea7-c44e7891db59,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,142.3631,,,12.99801,,,,16.474947,-39.506036,4.362531,1.656425,-2.00382,-1.936773,-0.281508,0.997206,-1.201891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,22S
3,2022/4/16,02:04.1,2022/4/16,02:04.1,2,2,"Minoru, Makita",1000089793,Right,MEI_MEI,"Tetsuya, Nakai",1000073897,Left,TOK,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,143.04435,-1.396435,-1.367247,2132.388396,209.225156,1:00,1.660797,0.320157,1.833938,-32.7136,56.9143,30.1956,0.939214,0.236024,130.22007,-3.907885,0.77075,0.42754,,,,,,,,,,,,-16.4399,31.0961,-0.289402,15.24,1.625238,0.786069,-39.335976,-1.050446,-3.316869,8.422089,-3.532779,MEI_MEI,TOK,JinguStadium,Undefined,Team,20220416-JinguStadium-2,3350b9c0-bd29-11ec-8636-0998471c9c6f,26c3d44a-b914-4d4a-8ea7-c44e7891db59,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,141.88161,,,12.82428,,,,16.605312,-39.62722,4.211045,1.659452,-0.928279,-1.76639,-0.318568,0.900769,-1.658435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,22S
4,2022/4/16,02:18.9,2022/4/16,02:18.9,2,3,"Minoru, Makita",1000089793,Right,MEI_MEI,"Tetsuya, Nakai",1000073897,Left,TOK,Undefined,1,Top,1,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,143.59338,-1.300863,-2.679066,2222.407984,213.577174,1:00,1.656763,0.318999,1.89587,-39.0828,49.5178,30.8889,0.899603,-0.126149,130.38197,-4.27672,-0.485813,0.425082,,,,,,,,,,,,-17.8508,27.4215,-0.259551,15.24,1.624629,1.691292,-39.456483,-1.013992,-3.61462,8.664534,-4.254058,MEI_MEI,TOK,JinguStadium,Undefined,Team,20220416-JinguStadium-2,3c2bb950-bd29-11ec-8636-0998471c9c6f,26c3d44a-b914-4d4a-8ea7-c44e7891db59,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,142.7018,,,13.21141,,,,16.543094,-39.741609,4.332267,1.655693,-0.874002,-2.127029,-0.317164,1.810239,-1.80731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,22S
5,2022/4/16,02:38.8,2022/4/16,02:38.8,2,4,"Minoru, Makita",1000089793,Right,MEI_MEI,"Tetsuya, Nakai",1000073897,Left,TOK,Undefined,1,Top,1,1,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,,Undefined,0,0,,146.17602,-2.227613,-1.166777,2202.455238,207.752394,1:00,1.659023,0.31646,1.874446,-37.1374,47.8298,23.7757,0.659853,0.225579,133.99092,-5.029987,0.521426,0.416275,,,,,,,,,,,,-13.0418,27.0341,-0.290813,15.24,1.604999,0.699488,-40.213422,-1.683437,-2.766439,8.324377,-4.072134,MEI_MEI,TOK,JinguStadium,Undefined,Team,20220416-JinguStadium-2,47f3edc0-bd29-11ec-8636-0998471c9c6f,26c3d44a-b914-4d4a-8ea7-c44e7891db59,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,145.72098,,,12.1851,,,,16.565057,-40.486786,4.162189,1.658085,-1.549712,-2.036067,-0.315275,0.790335,-1.38322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.35956,2.634822,1.736141,0.898682,-0.438588,0.581859,-0.234192,0.43242,1.555782,-1.031134,20.450028,1.835846,-17.582269,0.469615,23.986204,-1.929357,1.558908,3.328985,-3.359014,-1.070153,-20.129774,1.931585,,,安 秀明,22S
6,2022/4/16,03:09.3,2022/4/16,03:09.3,3,1,"Minoru, Makita",1000089793,Right,MEI_MEI,"Yu, Miyazaki",1000073899,Left,TOK,Undefined,1,Top,2,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,110.0317,2.823295,0.801813,2233.060299,35.28071,7:15,1.682927,0.212526,1.63007,-188.5772,-34.4021,-27.4869,0.605037,0.166902,102.23707,-10.586804,-1.125296,0.56074,,,,,,,,,,,,14.3095,-17.7192,-0.232096,15.24,1.744154,-0.309513,-30.275393,0.798231,1.722861,4.654924,-11.940048,MEI_MEI,TOK,JinguStadium,Undefined,Team,20220416-JinguStadium-2,5a3ed9e0-bd29-11ec-8636-0998471c9c6f,26c3d44a-b914-4d4a-8ea7-c44e7891db59,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,108.17843,,,7.79463,,,,16.811696,-30.516089,2.327462,1.686917,1.415625,-5.970024,-0.213788,-0.398598,0.861431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,22S
7,2022/4/16,03:22.7,2022/4/16,03:22.7,3,2,"Minoru, Makita",1000089793,Right,MEI_MEI,"Yu, Miyazaki",1000073899,Left,TOK,Undefined,1,Top,2,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,144.52731,-1.734823,-3.428399,2255.964151,203.293059,12:45,1.626132,0.322269,1.971619,-33.6019,52.9342,21.5616,0.803468,-0.422967,131.58536,-4.321481,-1.892491,0.420101,,,,,,,,,,,,-13.7006,29.7325,-0.249564,15.24,1.586842,2.274763,-39.705129,-1.292291,-2.816682,8.570717,-3.693984,MEI_MEI,TOK,JinguStadium,Undefined,Team,20220416-JinguStadium-2,623ac410-bd29-11ec-8636-0998471c9c6f,26c3d44a-b914-4d4a-8ea7-c44e7891db59,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,144.39396,,,12.94194,,,,16.467579,-39.969235,4.285359,1.62491,-1.178461,-1.846992,-0.320998,2.361559,-1.408341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,22S
8,2022/4/16,03:37.6,2022/4/16,03:37.7,3,3,"Minoru, Makita",1000089793,Right,MEI_MEI,"Yu, Miyazaki",1000073899,Left,TOK,Undefined,1,Top,2,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,144.07232,-1.838453,-0.419913,2229.257178,198.991591,12:45,1.659317,0.329467,1.903925,-35.8236,51.2394,16.7083,0.784084,0.378506,132.06256,-4.558802,0.768696,0.421378,,,,,,,,,,,,-8.8976,28.6044,-0.320857,15.24,1.615401,0.208209,-39.653,-1.378332,-1.835669,8.071314,-3.90528,MEI_MEI,TOK,JinguStadium,Undefined,Team,20220416-JinguStadium-2,6b1611c0-bd29-11ec-8636-0998471c9c6f,26c3d44a-b914-4d4a-8ea7-c44e7891db59,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,143.95643,,,12.00976,,,,16.535357,-39.915798,4.035657,1.658209,-1.251178,-1.95264,-0.328609,0.267978,-0.917834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,22S
9,2022/4/16,03:56.3,2022/4/16,03:56.3,3,4,"Minoru, Makita",1000089793,Right,MEI_MEI,"Yu, Miyazaki",1000073899,Left,TOK,Undefined,1,Top,2,1,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,GroundBall,Undefined,0,0,,146.89377,-1.173651,-1.069103,2269.765417,205.584586,12:45,1.656604,0.313048,1.872422,-35.7967,48.7766,22.0311,0.967964,0.232201,133.72246,-3.898784,0.49485,0.415309,86.21055,21.408189,-150.71438,3390.471864,,,,34.849836,,-155.81627,1.708224,-12.0919,26.8286,-0.289512,15.24,1.627067,0.64115,-40.406847,-0.938213,-2.573526,8.909931,-4.096698,MEI_MEI,TOK,JinguStadium,Undefined,Team,20220416-JinguStadium-2,76281590-bd29-11ec-8636-0998471c9c6f,26c3d44a-b914-4d4a-8ea7-c44e7891db59,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,146.05995,4.251524,,13.17132,,,,16.566709,-40.698342,4.454966,1.655569,-0.804187,-2.048349,-0.311865,0.725344,-1.286763,,,,64.138705,-0.697518,-19.446327,0.652082,0.017141,0.111819,-0.181926,0.14382,-0.055065,0.008192,0.889039,8.740939,-5.961918,0.41373,-0.068727,-0.000566,0.007764,-0.00219,0.000106,-0.286702,-10.906943,1.963985,-0.396634,0.273844,-0.282032,0.208882,-0.08031,0.012083,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,22S
10,2022/4/16,04:23.3,2022/4/16,04:23.3,3,5,"Minoru, Makita",1000089793,Right,MEI_MEI,"Yu, Miyazaki",1000073899,Left,TOK,Undefined,1,Top,2,1,2,Splitter,Splitter,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,,129.45311,-0.811518,-1.16341,922.618152,292.954898,3:45,1.686283,0.254268,1.785161,-110.8336,-0.4629,9.6551,0.348077,0.021316,118.58896,-8.828115,-0.480022,0.47444,,,,,,,,,,,,-5.8176,1.4841,-0.226167,15.24,1.658494,0.678617,-35.60011,-0.936864,-0.957766,7.133056,-9.562326,MEI_MEI,TOK,JinguStadium,Undefined,Team,20220416-JinguStadium-2,8657e9e0-bd29-11ec-8636-0998471c9c6f,26c3d44a-b914-4d4a-8ea7-c44e7891db59,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,127.85594,,,10.86415,,,,16.654554,-35.882419,3.566528,1.688084,-0.55841,-4.781163,-0.253776,0.716523,-0.478883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,22S
