PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,Unnamed: 156,Unnamed: 157,umpire,season
1,2022/4/16,20:35.0,2022/4/16,20:35.0,1,1,"Kosei, Shoji",1000101253,Right,RIK,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,,Out,1,0,,150.57047,-2.711426,-2.025821,2035.585049,204.726791,12:45,1.82725,0.438496,1.904987,-32.9785,46.7686,20.4091,0.734262,0.072909,138.21362,-5.209487,-0.574893,0.403285,,,,,,,,,,,,-12.0181,26.9211,-0.393809,15.24,1.763795,1.363641,-41.411864,-2.068094,-2.706868,8.722198,-3.743135,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20220416-JinguStadium-3,f1f0aaf0-bd44-11ec-98c7-e1352aab25c0,15c67dec-4349-43ed-9c9d-d0a3160d25b6,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,150.41472,,,12.35685,,,,16.53506,-41.683738,4.361099,1.826439,-1.951419,-1.871568,-0.437629,1.448015,-1.353434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,瀧口 耕介,22S
2,2022/4/16,21:00.7,2022/4/16,21:00.7,2,1,"Kosei, Shoji",1000101253,Right,RIK,"Yamato, Nakatsu",1000101189,Left,HOS_HOS,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,149.36204,-2.538751,-1.939029,1947.873147,207.082816,1:00,1.83353,0.423956,1.838624,-35.0386,46.9153,22.6604,0.765704,0.103062,136.6694,-5.183141,-0.334413,0.408827,,,,,,,,,,,,-12.947,26.6552,-0.379206,15.24,1.770707,1.271024,-41.052209,-1.936752,-2.858573,8.778219,-3.921428,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20220416-JinguStadium-3,01520bb0-bd45-11ec-98c7-e1352aab25c0,15c67dec-4349-43ed-9c9d-d0a3160d25b6,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,148.37579,,,12.69264,,,,16.600773,-41.34216,4.38911,1.83254,-1.807224,-1.960714,-0.422749,1.365445,-1.429287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,瀧口 耕介,22S
3,2022/4/16,21:10.8,2022/4/16,21:10.8,2,2,"Kosei, Shoji",1000101253,Right,RIK,"Yamato, Nakatsu",1000101189,Left,HOS_HOS,Undefined,1,Top,1,0,1,Cutter,Slider,FoulBall,Undefined,Undefined,GroundBall,Undefined,0,0,,138.55238,-0.513596,-1.240394,2236.364042,116.179457,9:45,1.823566,0.49936,1.827578,-86.8086,8.7809,-11.6345,0.810381,0.032621,126.7669,-6.840178,-2.064705,0.44153,128.15863,-25.803651,83.508045,,,,,1.782038,,62.42605,0.050593,5.0981,5.7596,-0.46882,15.24,1.805499,0.880704,-38.121125,-0.68768,0.964748,8.004641,-8.716714,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20220416-JinguStadium-3,0741d230-bd45-11ec-98c7-e1352aab25c0,15c67dec-4349-43ed-9c9d-d0a3160d25b6,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,137.38604,0.786231,,11.78548,,,,16.612309,-38.408201,4.002321,1.824556,-0.375067,-4.358357,-0.499785,0.846105,0.482374,0.641036,0.786231,-0.036082,180.0,0.640952,3.634023,,,,,,,,0.786591,-15.540277,,,,,,,,-0.036821,31.93528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,瀧口 耕介,22S
4,2022/4/16,21:27.7,2022/4/16,21:27.7,2,3,"Kosei, Shoji",1000101253,Right,RIK,"Yamato, Nakatsu",1000101189,Left,HOS_HOS,Undefined,1,Top,1,0,2,Splitter,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,,141.95315,0.303532,-2.266079,1524.61204,198.092647,12:30,1.834639,0.476036,1.771095,-65.3429,24.5087,7.2567,1.267307,-0.094002,132.05825,-4.45208,-1.754669,0.428073,,,,,,,,,,,,-4.9834,13.1084,-0.419926,15.24,1.837507,1.511035,-39.100946,-0.059175,-1.016176,6.593629,-7.133673,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20220416-JinguStadium-3,1152e0c0-bd45-11ec-98c7-e1352aab25c0,15c67dec-4349-43ed-9c9d-d0a3160d25b6,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,141.70492,,,9.89491,,,,16.668977,-39.341178,3.296814,1.834928,0.200733,-3.566837,-0.475654,1.548059,-0.508088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,瀧口 耕介,22S
5,2022/4/16,21:39.9,2022/4/16,21:39.9,2,4,"Kosei, Shoji",1000101253,Right,RIK,"Yamato, Nakatsu",1000101189,Left,HOS_HOS,Undefined,1,Top,1,1,2,Fastball,Changeup,InPlay,Undefined,GroundBall,,Out,1,0,,139.94391,-0.279616,-1.240924,1504.22557,220.961332,1:15,1.82644,0.482268,1.776303,-80.3694,11.9609,8.3282,0.943502,0.213895,130.46702,-6.091534,-0.652778,0.433937,,,,,,,,,,,,-5.0055,6.9766,-0.451996,15.24,1.81367,0.795845,-38.577787,-0.520142,-0.992291,6.514097,-8.423603,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20220416-JinguStadium-3,18989a50-bd45-11ec-98c7-e1352aab25c0,15c67dec-4349-43ed-9c9d-d0a3160d25b6,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,139.78985,,,9.47689,,,,16.664305,-38.817544,3.257049,1.827109,-0.210103,-4.211801,-0.48196,0.832368,-0.496145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,瀧口 耕介,22S
6,2022/4/16,22:09.1,2022/4/16,22:09.1,3,1,"Kosei, Shoji",1000101253,Right,RIK,"Daiki, Saitoh",1000073731,Right,HOS_HOS,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,149.80622,-2.87923,-2.617528,1953.912804,200.991143,12:45,1.835715,0.420346,1.870316,-28.4628,52.4963,19.1857,0.738488,-0.125658,137.49981,-5.055167,-1.257736,0.406338,,,,,,,,,,,,-11.6227,29.775,-0.3606,15.24,1.766803,1.783317,-41.16675,-2.154143,-2.590404,8.505434,-3.170553,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20220416-JinguStadium-3,29f72aa0-bd45-11ec-98c7-e1352aab25c0,15c67dec-4349-43ed-9c9d-d0a3160d25b6,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,149.28457,,,12.30642,,,,16.569317,-41.440489,4.252717,1.83449,-2.052102,-1.585276,-0.419335,1.866686,-1.295202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,瀧口 耕介,22S
7,2022/4/16,22:20.1,2022/4/16,22:20.1,3,2,"Kosei, Shoji",1000101253,Right,RIK,"Daiki, Saitoh",1000073731,Right,HOS_HOS,Undefined,1,Top,2,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,118.17594,-0.225804,-2.683089,2249.115335,24.072826,6:45,1.873531,0.40193,1.711251,-170.2143,-37.4032,-18.427,0.107082,-0.546163,110.30665,-12.299508,-3.982635,0.520441,,,,,,,,,,,,7.5482,-18.0399,-0.330573,15.24,1.854231,1.600443,-32.5216,-0.767542,1.043709,5.619482,-12.301065,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20220416-JinguStadium-3,3093fa00-bd45-11ec-98c7-e1352aab25c0,15c67dec-4349-43ed-9c9d-d0a3160d25b6,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,116.55492,,,7.86929,,,,16.730402,-32.778118,2.809741,1.876452,-0.206022,-6.150533,-0.402542,1.552799,0.521855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,瀧口 耕介,22S
8,2022/4/16,22:35.1,2022/4/16,22:35.1,3,3,"Kosei, Shoji",1000101253,Right,RIK,"Daiki, Saitoh",1000073731,Right,HOS_HOS,Undefined,1,Top,2,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,118.22041,0.87775,-0.987838,2279.533694,20.863692,6:45,1.856859,0.434817,1.795168,-177.2413,-45.5322,-18.8924,0.332912,-0.0337,109.53674,-11.812359,-2.329175,0.518278,,,,,,,,,,,,9.0053,-23.0456,-0.409223,15.24,1.866059,0.638578,-32.565761,-0.148752,1.241638,5.925404,-12.984152,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20220416-JinguStadium-3,398f52d0-bd45-11ec-98c7-e1352aab25c0,15c67dec-4349-43ed-9c9d-d0a3160d25b6,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,117.04148,,,8.68367,,,,16.646584,-32.820694,2.962702,1.860442,0.409875,-6.492076,-0.435548,0.585158,0.620819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,瀧口 耕介,22S
9,2022/4/16,22:51.8,2022/4/16,22:51.8,3,4,"Kosei, Shoji",1000101253,Right,RIK,"Daiki, Saitoh",1000073731,Right,HOS_HOS,Undefined,1,Top,2,2,1,Cutter,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,137.8436,-1.43235,-2.420025,2181.8183,111.235144,9:45,1.826548,0.486766,1.883316,-87.1143,8.6056,-14.5809,0.551798,-0.340611,126.88581,-7.770987,-3.455668,0.441831,,,,,,,,,,,,5.8412,6.388,-0.430172,15.24,1.788269,1.66998,-37.913331,-1.285527,1.097847,7.6273,-8.60605,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20220416-JinguStadium-3,4380a460-bd45-11ec-98c7-e1352aab25c0,15c67dec-4349-43ed-9c9d-d0a3160d25b6,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,137.29241,,,10.95778,,,,16.556521,-38.177266,3.81365,1.827601,-0.987723,-4.303025,-0.487302,1.63199,0.548923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,瀧口 耕介,22S
10,2022/4/16,23:06.6,2022/4/16,23:06.6,3,5,"Kosei, Shoji",1000101253,Right,RIK,"Daiki, Saitoh",1000073731,Right,HOS_HOS,Undefined,1,Top,2,2,2,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,141.18517,-3.106083,-2.739828,2213.709994,192.756638,12:30,1.828955,0.422132,1.93251,-74.3205,16.1718,3.0507,0.212297,-0.316772,130.57454,-8.521574,-2.522423,0.429596,,,,,,,,,,,,-3.4503,11.322,-0.361546,15.24,1.755739,1.843392,-38.807507,-2.386855,-0.68265,7.636869,-7.566544,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20220416-JinguStadium-3,4c462020-bd45-11ec-98c7-e1352aab25c0,15c67dec-4349-43ed-9c9d-d0a3160d25b6,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,141.20229,,,10.61063,,,,16.507717,-39.056182,3.818435,1.829449,-2.140469,-3.783272,-0.421933,1.865621,-0.341325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,瀧口 耕介,22S
