PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,Unnamed: 156,Unnamed: 157,umpire,season
1,2022/4/17,00:40.6,2022/4/17,00:40.6,1,1,"Rai, Ohgiya",1000073791,Right,HOS_HOS,"Satoru, Michihara",1000074062,Left,RIK,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,138.52585,-2.254652,-1.271831,1893.022852,200.46944,12:45,1.882246,0.555287,2.017009,-44.7902,49.5431,17.2334,0.80451,0.372549,125.29546,-5.675513,-0.037223,0.438619,,,,,,,,,,,,-10.0007,28.7848,-0.529677,15.24,1.833215,0.766047,-38.072543,-1.621346,-1.871314,8.601677,-4.420473,HOS_HOS,RIK,JinguStadium,TeamExclusive,Team,20220417-JinguStadium-1,2e849960-bdf2-11ec-9ca5-87ca613673a2,7f6d40ff-33b5-453a-a091-a91bf07976f5,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,138.29774,,,13.23039,,,,16.421559,-38.338562,4.300838,1.881243,-1.484637,-2.210236,-0.554263,0.82392,-0.935657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,22S
2,2022/4/17,00:50.1,2022/4/17,00:50.1,1,2,"Rai, Ohgiya",1000073791,Right,HOS_HOS,"Satoru, Michihara",1000074062,Left,RIK,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,140.63478,-3.663911,-3.789235,1842.085723,193.969004,12:30,1.885573,0.53209,2.086805,-53.6217,36.7387,8.4026,0.327466,-0.438517,128.82644,-7.673109,-3.186403,0.429283,,,,,,,,,,,,-7.2543,23.1195,-0.45855,15.24,1.811576,2.520417,-38.592461,-2.639567,-1.40842,8.126774,-5.31801,HOS_HOS,RIK,JinguStadium,TeamExclusive,Team,20220417-JinguStadium-1,342ef270-bdf2-11ec-9ca5-87ca613673a2,7f6d40ff-33b5-453a-a091-a91bf07976f5,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,141.30539,,,11.80834,,,,16.352949,-38.826118,4.063387,1.88527,-2.486666,-2.659005,-0.531598,2.560911,-0.70421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,22S
3,2022/4/17,01:03.6,2022/4/17,01:03.6,1,3,"Rai, Ohgiya",1000073791,Right,HOS_HOS,"Satoru, Michihara",1000074062,Left,RIK,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,137.94785,-1.62836,-0.27752,1998.479087,192.854307,12:30,1.869319,0.553709,1.961204,-43.8292,51.695,11.0326,0.974779,0.586298,124.91199,-4.973321,0.510187,0.441379,,,,,,,,,,,,-5.9137,29.1612,-0.548204,15.24,1.831526,0.131571,-37.927003,-1.19965,-1.100693,8.372584,-4.379035,HOS_HOS,RIK,JinguStadium,TeamExclusive,Team,20220417-JinguStadium-1,3c3256b0-bdf2-11ec-9ca5-87ca613673a2,7f6d40ff-33b5-453a-a091-a91bf07976f5,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,137.43303,,,13.03586,,,,16.477196,-38.199144,4.186292,1.868206,-1.057315,-2.189518,-0.553062,0.167348,-0.550346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,22S
4,2022/4/17,01:16.3,2022/4/17,01:16.3,1,4,"Rai, Ohgiya",1000073791,Right,HOS_HOS,"Satoru, Michihara",1000074062,Left,RIK,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,141.86619,-3.611677,-2.718719,2078.381973,204.758975,12:45,1.881277,0.518268,2.063238,-42.9537,46.5564,20.0128,0.444038,-0.038871,128.77388,-6.881684,-1.282532,0.427258,,,,,,,,,,,,-12.6604,28.3668,-0.464936,15.24,1.807204,1.758429,-38.936485,-2.578192,-2.484495,8.795349,-4.23992,HOS_HOS,RIK,JinguStadium,TeamExclusive,Team,20220417-JinguStadium-1,43c51ed0-bdf2-11ec-9ca5-87ca613673a2,7f6d40ff-33b5-453a-a091-a91bf07976f5,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,141.97496,,,13.09231,,,,16.37579,-39.192208,4.397675,1.880373,-2.454917,-2.11996,-0.517112,1.830665,-1.242247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,22S
5,2022/4/17,01:31.9,2022/4/17,01:31.8,1,5,"Rai, Ohgiya",1000073791,Right,HOS_HOS,"Satoru, Michihara",1000074062,Left,RIK,Undefined,1,Top,0,3,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,FlyBall,Out,1,0,,141.91623,-1.974242,-2.267915,2118.606732,203.858721,12:45,1.867441,0.508455,2.016751,-42.0846,47.4657,19.6295,0.894854,0.071354,128.77691,-5.18614,-0.86299,0.427354,126.07975,38.655174,13.060015,3086.541273,32.86872,22.805327,6.615976,79.554022,,7.743813,4.909578,-12.0844,27.4192,-0.462388,15.24,1.82437,1.455824,-39.016847,-1.46556,-2.384028,8.745414,-4.397355,HOS_HOS,RIK,JinguStadium,TeamExclusive,Team,20220417-JinguStadium-1,4d015130-bdf2-11ec-9ca5-87ca613673a2,7f6d40ff-33b5-453a-a091-a91bf07976f5,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,141.94305,25.251983,,13.13932,,,,16.42259,-39.281023,4.372707,1.866634,-1.332727,-2.198678,-0.507453,1.52784,-1.192014,0.309579,0.892266,-0.070246,175.513863,0.310542,26.61928,-5.255826,1.160995,-0.095955,-0.038527,0.014666,-0.001959,9.5e-05,0.891632,21.888668,-5.449285,0.337663,-0.074978,0.013819,0.000515,-0.000502,4.3e-05,-0.06985,6.171925,-1.518181,0.194997,0.015482,-0.017513,0.004521,-0.000529,2.4e-05,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,22S
6,2022/4/17,02:00.4,2022/4/17,02:00.4,2,1,"Rai, Ohgiya",1000073791,Right,HOS_HOS,"Jinto, Miyazaki",1000074131,Right,RIK,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,117.27364,-0.921638,-3.608411,2678.528236,50.302304,7:45,1.881572,0.482294,1.897639,-161.0128,-26.4507,-37.4071,0.011725,-0.907875,107.82911,-12.492318,-6.269553,0.523861,,,,,,,,,,,,16.3953,-11.6937,-0.397867,15.24,1.851133,2.176884,-32.205552,-1.064003,2.177638,6.558245,-11.359814,HOS_HOS,RIK,JinguStadium,TeamExclusive,Team,20220417-JinguStadium-1,5e160740-bdf2-11ec-9ca5-87ca613673a2,7f6d40ff-33b5-453a-a091-a91bf07976f5,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,115.79411,,,9.44453,,,,16.543023,-32.469811,3.279122,1.884784,-0.606268,-5.679907,-0.483815,2.089138,1.088819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,22S
7,2022/4/17,02:13.1,2022/4/17,02:13.1,2,2,"Rai, Ohgiya",1000073791,Right,HOS_HOS,"Jinto, Miyazaki",1000074131,Right,RIK,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,142.11194,-2.817168,-4.610644,1971.012833,198.951682,12:45,1.849165,0.541003,2.102699,-40.6705,47.6029,15.3549,0.657129,-0.588319,129.83854,-5.917708,-3.510651,0.424297,,,,,,,,,,,,-11.4321,28.1756,-0.452846,15.24,1.792948,3.076246,-38.986611,-2.030607,-2.268909,8.168263,-4.214725,HOS_HOS,RIK,JinguStadium,TeamExclusive,Team,20220417-JinguStadium-1,65a85a30-bdf2-11ec-9ca5-87ca613673a2,7f6d40ff-33b5-453a-a091-a91bf07976f5,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,142.96604,,,12.2734,,,,16.336553,-39.215682,4.084131,1.848237,-1.912409,-2.107362,-0.540009,3.139876,-1.134454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,22S
8,2022/4/17,02:26.2,2022/4/17,02:26.2,2,3,"Rai, Ohgiya",1000073791,Right,HOS_HOS,"Jinto, Miyazaki",1000074131,Right,RIK,Undefined,1,Top,1,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,140.5642,-1.395975,-1.626565,2090.736096,189.356409,12:15,1.84376,0.552259,2.016674,-43.1124,47.1605,7.3092,1.022728,0.171186,128.79066,-4.664616,-1.103227,0.429075,,,,,,,,,,,,-4.9573,26.6198,-0.51891,15.24,1.812579,1.065855,-38.700005,-1.067476,-0.972819,7.790688,-4.582739,HOS_HOS,RIK,JinguStadium,TeamExclusive,Team,20220417-JinguStadium-1,6d74f700-bdf2-11ec-9ca5-87ca613673a2,7f6d40ff-33b5-453a-a091-a91bf07976f5,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,141.37384,,,11.77354,,,,16.422678,-38.937362,3.895344,1.842974,-0.927855,-2.29137,-0.551834,1.095493,-0.48641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,22S
9,2022/4/17,02:40.2,2022/4/17,02:40.2,2,4,"Rai, Ohgiya",1000073791,Right,HOS_HOS,"Jinto, Miyazaki",1000074131,Right,RIK,Undefined,1,Top,1,3,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,142.94942,-3.397135,-2.686978,2052.105063,192.368495,12:30,1.852739,0.546602,2.054534,-39.1139,48.2553,9.965,0.51341,-0.102569,130.93606,-6.36884,-1.972551,0.422118,,,,,,,,,,,,-7.1903,28.8232,-0.49316,15.24,1.782598,1.799518,-39.281465,-2.4426,-1.450415,8.202828,-3.992496,HOS_HOS,RIK,JinguStadium,TeamExclusive,Team,20220417-JinguStadium-1,75c98880-bdf2-11ec-9ca5-87ca613673a2,7f6d40ff-33b5-453a-a091-a91bf07976f5,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,143.70391,,,12.01335,,,,16.385189,-39.519882,4.101414,1.851906,-2.326557,-1.996248,-0.546076,1.841675,-0.725208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,22S
10,2022/4/17,02:53.1,2022/4/17,02:53.1,2,5,"Rai, Ohgiya",1000073791,Right,HOS_HOS,"Jinto, Miyazaki",1000074131,Right,RIK,Undefined,1,Top,1,3,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,,141.64599,-2.35412,-2.464409,2001.329334,190.429757,12:15,1.851896,0.552201,2.057958,-41.2699,47.8401,8.2636,0.782784,-0.05173,129.16485,-5.500586,-1.871703,0.426302,,,,,,,,,,,,-6.1936,27.9402,-0.50329,15.24,1.802775,1.639697,-38.94927,-1.715755,-1.223273,8.372466,-4.288324,HOS_HOS,RIK,JinguStadium,TeamExclusive,Team,20220417-JinguStadium-1,7d6e2af0-bdf2-11ec-9ca5-87ca613673a2,7f6d40ff-33b5-453a-a091-a91bf07976f5,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,142.29336,,,12.48114,,,,16.381462,-39.193869,4.186233,1.85107,-1.590473,-2.144162,-0.551715,1.675434,-0.611636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,22S
