PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,Unnamed: 156,Unnamed: 157,umpire,season
1,2022/4/23,29:57.8,2022/4/23,29:57.8,1,1,"Masaki, Saito",1000089851,Left,WAS_EDA,"Koji, Naoi",1000101248,Left,MEI_MEI,Undefined,1,Top,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,123.82209,1.204003,-0.084989,1195.930011,235.482632,1:45,1.627695,-0.786902,1.726132,-108.0999,14.4188,14.6385,0.88894,-0.664671,111.99645,-6.67731,0.945471,0.499869,,,,,,,,,,,,-7.5778,7.4317,0.787916,15.24,1.650518,-0.014429,-34.013898,0.314505,-1.128698,7.01686,-8.699715,WAS_EDA,MEI_MEI,JinguStadium,Spring,Team,20220423-JinguStadium-2,08684a30-c2be-11ec-9c13-69856295e718,00410e85-05d2-446d-a4e7-29418fa65ba8,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,121.35191,,,11.82564,,,,16.713491,-34.316525,3.50843,1.628863,0.68971,-4.349857,0.787489,0.03425,-0.564349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,22S
2,2022/4/23,30:11.1,2022/4/23,30:11.1,1,2,"Masaki, Saito",1000089851,Left,WAS_EDA,"Koji, Naoi",1000101248,Left,MEI_MEI,Undefined,1,Top,0,1,0,Slider,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,123.58066,0.919561,1.743689,2477.740093,225.905744,1:30,1.61977,-0.746207,1.696183,-98.781,23.7607,20.3749,0.893935,-0.045815,112.71871,-6.264686,3.173168,0.499915,,,,,,,,,,,,-8.9343,12.5902,0.698756,15.24,1.636266,-1.127815,-33.944301,0.175813,-1.339102,6.405828,-7.919588,WAS_EDA,MEI_MEI,JinguStadium,Spring,Team,20220423-JinguStadium-2,105b33b0-c2be-11ec-9c13-69856295e718,00410e85-05d2-446d-a4e7-29418fa65ba8,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,121.34052,,,10.86195,,,,16.742702,-34.22671,3.202914,1.620819,0.524957,-3.959794,0.747176,-1.068779,-0.669551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,22S
3,2022/4/23,30:22.8,2022/4/23,30:22.8,1,3,"Masaki, Saito",1000089851,Left,WAS_EDA,"Koji, Naoi",1000101248,Left,MEI_MEI,Undefined,1,Top,0,1,1,Fastball,Cutter,BallCalled,Undefined,Undefined,,Undefined,0,0,,132.75854,0.029132,5.704109,2224.861325,196.674079,12:30,1.650112,-0.713333,1.780719,-74.5816,31.1883,8.3219,0.912588,0.99099,121.20984,-5.423894,6.28573,0.464447,,,,,,,,,,,,-0.0435,16.9644,0.570784,15.24,1.645629,-3.668421,-36.328579,-0.257048,-0.007489,7.207725,-6.888405,WAS_EDA,MEI_MEI,JinguStadium,Spring,Team,20220423-JinguStadium-2,1752a630-c2be-11ec-9c13-69856295e718,00410e85-05d2-446d-a4e7-29418fa65ba8,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,130.60706,,,11.54869,,,,16.658211,-36.608876,3.603862,1.650416,0.010831,-3.444202,0.713437,-3.66813,-0.003744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,22S
4,2022/4/23,30:34.2,2022/4/23,30:34.2,1,4,"Masaki, Saito",1000089851,Left,WAS_EDA,"Koji, Naoi",1000101248,Left,MEI_MEI,Undefined,1,Top,0,2,1,Slider,Slider,FoulBall,Undefined,Undefined,,Undefined,0,0,,123.9258,1.166413,1.448937,2544.900883,246.628696,2:15,1.59612,-0.758898,1.65973,-102.5754,21.1566,38.6944,0.903379,0.041619,111.92504,-6.297947,4.157491,0.502337,104.26239,50.115386,-91.381602,5323.515044,,,,,,,,-18.2854,10.9403,0.716567,15.24,1.619181,-1.040387,-34.004999,0.302887,-2.71698,7.119894,-8.18106,WAS_EDA,MEI_MEI,JinguStadium,Spring,Team,20220423-JinguStadium-2,1e274e70-c2be-11ec-9c13-69856295e718,00410e85-05d2-446d-a4e7-29418fa65ba8,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,120.75547,9.438096,,12.00076,,,,16.779378,-34.325797,3.559947,1.59723,0.671498,-4.09053,0.760684,-0.917969,-1.35849,0.26239,0.870039,-0.064581,40.339953,0.263682,-0.488135,-1.579553,,,,,,,0.870059,22.222933,-4.884459,,,,,,,-0.065266,-18.544875,1.113426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,22S
5,2022/4/23,30:52.9,2022/4/23,30:52.9,1,5,"Masaki, Saito",1000089851,Left,WAS_EDA,"Koji, Naoi",1000101248,Left,MEI_MEI,Undefined,1,Top,0,2,2,Slider,Curveball,InPlay,Undefined,GroundBall,,Single,0,0,,124.66503,2.037402,1.017467,1765.790879,268.348485,3:00,1.585135,-0.791956,1.685275,-115.4244,4.282,22.7197,1.011736,-0.274826,114.4395,-6.290422,2.611285,0.494098,100.35678,-28.676306,45.760916,,,,,,,,,-10.8143,1.7712,0.763122,15.24,1.629809,-0.712164,-34.278098,0.769105,-1.664289,6.135519,-9.534063,WAS_EDA,MEI_MEI,JinguStadium,Spring,Team,20220423-JinguStadium-2,294d2860-c2be-11ec-9c13-69856295e718,00410e85-05d2-446d-a4e7-29418fa65ba8,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,122.76909,0.911537,,10.22553,,,,16.754847,-34.54818,3.067759,1.586716,1.18879,-4.767031,0.792859,-0.638903,-0.832144,0.397761,0.911537,0.297364,180.0,0.397674,17.090218,,,,,,,,0.911605,-13.398386,,,,,,,,0.297275,17.550288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,22S
6,2022/4/23,31:55.6,2022/4/23,31:55.6,2,1,"Masaki, Saito",1000089851,Left,WAS_EDA,"Kyuto, Ueda",1000101233,Left,MEI_MEI,Undefined,1,Top,0,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,1,111.76198,3.739797,2.045267,2676.890545,301.817658,4:00,1.676333,-0.696814,1.645981,-167.092,-15.1725,32.6197,1.075744,0.213783,101.80477,-8.25244,4.323792,0.556623,,,,,,,,,,,,-14.6535,-8.8353,0.638455,15.24,1.764182,-1.23452,-30.636923,1.390599,-1.780018,5.454189,-10.879913,WAS_EDA,MEI_MEI,JinguStadium,Spring,Team,20220423-JinguStadium-2,4eb17430-c2be-11ec-9c13-69856295e718,00410e85-05d2-446d-a4e7-29418fa65ba8,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,108.97855,,,9.9572,,,,16.794081,-30.912353,2.727094,1.680086,1.940021,-5.439956,0.698527,-1.144631,-0.890009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,22S
7,2022/4/23,32:12.9,2022/4/23,32:12.9,2,2,"Masaki, Saito",1000089851,Left,WAS_EDA,"Kyuto, Ueda",1000101233,Left,MEI_MEI,Undefined,1,Top,0,1,0,Slider,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,1,122.20822,1.186737,1.499185,2476.394775,242.068027,2:00,1.615672,-0.803526,1.723752,-108.0278,17.4864,24.8658,0.872893,-0.128621,110.99075,-6.67774,3.247216,0.505942,,,,,,,,,,,,-11.3433,9.2905,0.762958,15.24,1.638224,-0.991641,-33.55793,0.296437,-1.652157,6.577849,-8.453473,WAS_EDA,MEI_MEI,JinguStadium,Spring,Team,20220423-JinguStadium-2,58f18200-c2be-11ec-9c13-69856295e718,00410e85-05d2-446d-a4e7-29418fa65ba8,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,119.89506,,,11.21747,,,,16.71508,-33.845833,3.288925,1.617152,0.666433,-4.226736,0.804778,-0.919328,-0.826079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,22S
8,2022/4/23,32:46.1,2022/4/23,32:46.1,2,3,"Masaki, Saito",1000089851,Left,WAS_EDA,"Kyuto, Ueda",1000101233,Left,MEI_MEI,Undefined,1,Top,0,1,1,Slider,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,1,123.22399,0.899578,3.307682,2588.661206,247.135834,2:15,1.591454,-0.773937,1.670258,-109.6921,14.677,24.9318,0.751531,0.41974,112.28202,-7.027205,5.049709,0.503629,,,,,,,,,,,,-9.9735,7.9661,0.683327,15.24,1.606694,-2.068249,-33.796493,0.111756,-1.475764,6.581462,-8.627925,WAS_EDA,MEI_MEI,JinguStadium,Spring,Team,20220423-JinguStadium-2,6cc88c60-c2be-11ec-9c13-69856295e718,00410e85-05d2-446d-a4e7-29418fa65ba8,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,120.44578,,,10.94196,,,,16.768945,-34.092937,3.290731,1.592908,0.500376,-4.313962,0.774989,-2.001777,-0.737882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,22S
9,2022/4/23,33:09.9,2022/4/23,33:09.9,2,4,"Masaki, Saito",1000089851,Left,WAS_EDA,"Kyuto, Ueda",1000101233,Left,MEI_MEI,Undefined,1,Top,0,1,2,Slider,Slider,InPlay,Undefined,FlyBall,LineDrive,Single,0,0,1,123.67705,0.560029,3.721088,1300.500691,274.670484,3:15,1.597359,-0.793413,1.668372,-119.9277,1.8957,20.0026,0.558156,0.469439,114.49106,-8.019803,5.118684,0.498448,117.62073,23.806497,-4.104949,2223.79873,33.303876,10.683157,-3.869888,75.31559,,-8.321602,3.433068,-7.6601,1.544,0.691951,15.24,1.602473,-2.298782,-33.971944,-0.135443,-1.161663,5.840447,-9.572509,WAS_EDA,MEI_MEI,JinguStadium,Spring,Team,20220423-JinguStadium-2,7aed4e70-c2be-11ec-9c13-69856295e718,00410e85-05d2-446d-a4e7-29418fa65ba8,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,121.69772,11.185712,,9.18599,,,,16.772021,-34.234316,2.920224,1.598898,0.294584,-4.786254,0.794047,-2.246596,-0.580831,0.535013,0.586592,-0.460164,160.223527,0.534952,29.818371,-4.20223,0.91562,-0.240415,0.086952,-0.028448,0.005512,-0.000434,0.58671,13.183435,-4.258892,0.022868,0.135361,-0.101551,0.039777,-0.007682,0.000576,-0.460145,-2.140287,-0.582723,0.185858,-0.053356,0.015729,-0.00415,0.000703,-5.1e-05,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,22S
10,2022/4/23,33:58.0,2022/4/23,33:58.0,3,1,"Masaki, Saito",1000089851,Left,WAS_EDA,"Rui, Muneyama",1000101247,Left,MEI_MEI,Undefined,1,Top,0,0,0,Slider,Slider,FoulBall,Undefined,Undefined,GroundBall,Undefined,0,0,"1,3",122.97186,0.272821,2.195317,2473.973611,248.864978,2:15,1.603752,-0.782146,1.695809,-112.8379,11.3551,18.543,0.553114,0.028689,112.19031,-7.884622,3.496939,0.503273,74.28172,-4.943584,-126.053209,,,,,4.467633,,-116.175106,0.246928,-7.7574,6.6131,0.722857,15.24,1.602001,-1.376868,-33.776752,-0.263745,-1.14563,6.616594,-8.830007,WAS_EDA,MEI_MEI,JinguStadium,Spring,Team,20220423-JinguStadium-2,97a301e0-c2be-11ec-9c13-69856295e718,00410e85-05d2-446d-a4e7-29418fa65ba8,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,120.53109,0.630636,,10.78155,,,,16.744031,-34.070106,3.308297,1.605016,0.127742,-4.415003,0.782776,-1.326075,-0.572815,1.07961,0.630636,0.022599,126.064586,1.079582,-12.09713,-1.036215,,,,,,,0.630666,-1.779677,-3.136569,,,,,,,0.022533,-16.61621,1.165364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,22S
