PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,Unnamed: 156,Unnamed: 157,umpire,season
1,2022/4/24,01:02.5,2022/4/24,01:02.5,1,1,"Kenichi, Murata",1000089794,Right,MEI_MEI,"Toyo, Kumada",1000089879,Left,WAS_EDA,Undefined,1,Top,0,0,0,Sinker,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,,132.52212,0.27649,-2.003087,1495.062204,279.796636,3:15,1.652799,0.818786,1.828876,-105.4479,-2.8278,32.0737,0.676454,0.573582,123.44155,-7.34233,0.26996,0.457479,,,,,,,,,,,,-17.6668,-0.6955,-0.772822,15.24,1.652477,1.130938,-36.523689,-0.239016,-3.129623,6.045812,-9.929854,MEI_MEI,WAS_EDA,JinguStadium,Undefined,Team,20220424-JinguStadium-1,02d4e860-c36a-11ec-82fe-c50e8a93e683,bb5cec8f-1f77-4146-9975-3351dbd2d28e,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,132.59633,,,9.08057,,,,16.611805,-36.750064,3.022906,1.654466,0.13279,-4.964927,-0.817362,1.248121,-1.564811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,22S
2,2022/4/24,01:14.1,2022/4/24,01:14.1,1,2,"Kenichi, Murata",1000089794,Right,MEI_MEI,"Toyo, Kumada",1000089879,Left,WAS_EDA,Undefined,1,Top,0,1,0,Fastball,Sinker,InPlay,Undefined,FlyBall,LineDrive,Out,1,0,,143.57792,-1.863748,-3.713378,1910.369366,225.439445,1:30,1.670578,0.747223,1.899382,-50.975,36.4991,34.4645,0.635475,0.046244,132.44442,-5.642855,-1.268269,0.422371,149.68197,18.350782,9.466757,1771.808933,33.216711,9.617801,4.556715,96.591578,,5.10451,3.536433,-20.3057,20.9391,-0.664699,15.24,1.62501,2.398536,-39.47354,-1.469066,-4.178169,7.499815,-5.498164,MEI_MEI,WAS_EDA,JinguStadium,Undefined,Team,20220424-JinguStadium-1,09adaf50-c36a-11ec-82fe-c50e8a93e683,bb5cec8f-1f77-4146-9975-3351dbd2d28e,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,143.61767,11.697299,,11.1335,,,,16.54086,-39.719929,3.749907,1.670306,-1.288437,-2.749082,-0.745752,2.5358,-2.089085,0.30094,0.618949,-0.054443,158.416568,0.300993,38.924712,-6.028849,1.30085,-0.236041,0.028476,6e-05,-0.000685,7.8e-05,0.618883,13.092355,-3.91964,0.010793,0.002936,0.013315,-0.007342,0.001695,-0.000146,-0.054429,6.490395,-2.201734,0.540187,-0.114915,0.019565,-0.002155,8.4e-05,5e-06,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,22S
3,2022/4/24,01:45.7,2022/4/24,01:45.7,2,1,"Kenichi, Murata",1000089794,Right,MEI_MEI,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,118.16452,2.10468,-1.251207,1863.355055,88.802517,9:00,1.700255,0.708282,1.807615,-127.576,3.6284,-15.8426,1.020088,0.19597,108.69761,-7.156454,-2.371185,0.517284,,,,,,,,,,,,7.1946,1.7878,-0.676795,15.24,1.74298,0.776939,-32.500772,0.744689,0.996055,5.480124,-9.559135,MEI_MEI,WAS_EDA,JinguStadium,Undefined,Team,20220424-JinguStadium-1,1c9354d0-c36a-11ec-82fe-c50e8a93e683,bb5cec8f-1f77-4146-9975-3351dbd2d28e,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,117.26638,,,9.46691,,,,16.632024,-32.734647,2.740062,1.702493,1.152644,-4.779568,-0.709046,0.734431,0.498027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,22S
4,2022/4/24,01:56.3,2022/4/24,01:56.3,2,2,"Kenichi, Murata",1000089794,Right,MEI_MEI,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Top,1,0,1,Sinker,Changeup,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,134.0852,0.162739,-2.652508,1598.711575,283.682703,3:30,1.61944,0.794528,1.779902,-107.4079,-5.432,34.7672,0.59151,0.390275,123.64322,-7.590815,-0.197055,0.45604,,,,,,,,,,,,-19.4934,-1.8673,-0.731059,15.24,1.615941,1.542733,-36.892547,-0.336281,-3.485943,6.895158,-10.140567,MEI_MEI,WAS_EDA,JinguStadium,Undefined,Team,20220424-JinguStadium-1,22e0cbb0-c36a-11ec-82fe-c50e8a93e683,bb5cec8f-1f77-4146-9975-3351dbd2d28e,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,133.01451,,,10.44198,,,,16.660433,-37.157075,3.447579,1.62138,0.052756,-5.070283,-0.79281,1.676469,-1.742971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,22S
5,2022/4/24,02:10.2,2022/4/24,02:10.2,2,3,"Kenichi, Murata",1000089794,Right,MEI_MEI,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Top,1,0,2,Fastball,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,,142.16893,0.948115,-2.666529,1975.309587,230.455175,1:45,1.650835,0.799191,1.852545,-54.3736,35.8885,40.0659,1.374787,0.447328,129.73332,-3.099706,0.170545,0.42905,,,,,,,,,,,,-22.3141,18.6583,-0.738713,15.24,1.669696,1.618841,-39.091178,0.451394,-4.465777,7.985456,-6.072517,MEI_MEI,WAS_EDA,JinguStadium,Undefined,Team,20220424-JinguStadium-1,2b307b30-c36a-11ec-82fe-c50e8a93e683,bb5cec8f-1f77-4146-9975-3351dbd2d28e,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,141.38227,,,12.43561,,,,16.586833,-39.365344,3.992728,1.650619,0.659883,-3.036258,-0.796925,1.772166,-2.232888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,22S
6,2022/4/24,02:24.5,2022/4/24,02:24.5,2,4,"Kenichi, Murata",1000089794,Right,MEI_MEI,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Top,1,1,2,Fastball,Sinker,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,143.96052,-1.995655,-3.354121,1946.845665,224.76076,1:30,1.643238,0.773828,1.914202,-51.3377,35.4347,32.6372,0.568033,0.156848,132.90168,-5.800392,-1.035086,0.420674,151.3189,-15.767301,-11.503857,,,,,1.598212,,-15.121721,0.038337,-19.1067,20.4852,-0.700181,15.24,1.595235,2.165346,-39.592561,-1.564747,-3.956746,7.514514,-5.564442,MEI_MEI,WAS_EDA,JinguStadium,Undefined,Team,20220424-JinguStadium-1,33a3b840-c36a-11ec-82fe-c50e8a93e683,bb5cec8f-1f77-4146-9975-3351dbd2d28e,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,144.19723,0.43835,,11.05883,,,,16.525932,-39.835879,3.757257,1.642984,-1.384573,-2.782221,-0.772369,2.293464,-1.978373,0.021583,0.43835,-0.10731,180.0,0.021319,39.681532,,,,,,,,0.438426,-11.43398,,,,,,,,-0.107256,-8.076081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,22S
7,2022/4/24,02:57.0,2022/4/24,02:57.0,3,1,"Kenichi, Murata",1000089794,Right,MEI_MEI,"Masaki, Nakamura",1000089877,Right,WAS_EDA,Undefined,1,Top,2,0,0,Curveball,Curveball,InPlay,Undefined,FlyBall,LineDrive,Out,1,0,,118.30067,1.736388,-1.77558,1954.745448,67.481813,8:15,1.686372,0.669546,1.789357,-135.5165,-4.5589,-20.2828,0.823181,-0.036126,109.28816,-8.051545,-3.20791,0.516797,152.12031,15.016021,13.514538,3045.804079,31.876346,7.508454,10.39334,85.118496,,25.270683,2.920731,9.1997,-2.3993,-0.624316,15.24,1.719725,1.092832,-32.552694,0.50486,1.279112,5.440706,-10.140244,MEI_MEI,WAS_EDA,JinguStadium,Undefined,Team,20220424-JinguStadium-1,47130020-c36a-11ec-82fe-c50e8a93e683,bb5cec8f-1f77-4146-9975-3351dbd2d28e,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,117.37684,8.299916,,9.01251,,,,16.651081,-32.787687,2.720353,1.68846,0.942834,-5.070122,-0.670324,1.037585,0.639556,0.28525,0.810437,0.042889,235.174589,0.285254,39.682017,-7.372921,1.493801,-0.253367,0.022588,0.002005,-0.000875,8.4e-05,0.810438,10.948607,-4.08457,0.058515,-0.024406,0.03268,-0.013503,0.00276,-0.000226,0.042888,9.538619,2.33028,-0.827887,0.155957,0.007491,-0.01287,0.003109,-0.000265,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,22S
8,2022/4/24,05:18.3,2022/4/24,05:18.3,1,1,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Koji, Naoi",1000101248,Left,MEI_MEI,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,143.0127,-0.193607,-1.842482,2207.125256,215.445952,1:15,1.497803,0.426272,1.763829,-39.3878,51.2085,34.3234,1.048998,0.246881,129.86058,-3.174928,0.576631,0.429843,,,,,,,,,,,,-18.7189,27.0526,-0.38242,15.24,1.490105,1.084147,-39.306858,-0.261839,-3.766112,8.510199,-4.363879,MEI_MEI,WAS_EDA,JinguStadium,Undefined,Team,20220424-JinguStadium-1,9b462d20-c36a-11ec-82fe-c50e8a93e683,bb5cec8f-1f77-4146-9975-3351dbd2d28e,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,141.12125,,,13.15211,,,,16.675219,-39.616374,4.2551,1.496742,-0.103125,-2.181939,-0.424342,1.22112,-1.883056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,22S
9,2022/4/24,05:30.4,2022/4/24,05:30.4,1,2,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Koji, Naoi",1000101248,Left,MEI_MEI,Undefined,1,Bottom,0,1,0,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,134.45848,1.150782,-2.780678,2172.119482,211.357467,1:00,1.459363,0.475311,1.800453,-74.1228,25.5128,14.0432,1.044136,-0.171573,125.31666,-4.245328,-1.79012,0.450777,,,,,,,,,,,,-8.7069,13.2753,-0.408187,15.24,1.482395,1.732966,-37.028468,0.461591,-1.596634,5.720988,-7.372285,MEI_MEI,WAS_EDA,JinguStadium,Undefined,Team,20220424-JinguStadium-1,a27a3370-c36a-11ec-82fe-c50e8a93e683,bb5cec8f-1f77-4146-9975-3351dbd2d28e,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,134.56763,,,9.14182,,,,16.639683,-37.244094,2.860494,1.459761,0.739455,-3.686142,-0.474637,1.793144,-0.798317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,22S
10,2022/4/24,05:45.7,2022/4/24,05:45.7,1,3,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Koji, Naoi",1000101248,Left,MEI_MEI,Undefined,1,Bottom,0,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,141.17815,-0.586454,-1.517619,2158.866183,218.0348,1:15,1.48741,0.395959,1.85119,-44.9685,46.6478,34.1996,0.872263,0.309841,128.78687,-3.969804,0.906607,0.432256,,,,,,,,,,,,-18.5243,25.2651,-0.362182,15.24,1.470632,0.857157,-38.836576,-0.544698,-3.651065,8.047559,-4.827018,MEI_MEI,WAS_EDA,JinguStadium,Undefined,Team,20220424-JinguStadium-1,ab9410c0-c36a-11ec-82fe-c50e8a93e683,bb5cec8f-1f77-4146-9975-3351dbd2d28e,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,140.33349,,,12.39128,,,,16.587881,-39.114882,4.02378,1.486583,-0.377767,-2.413509,-0.394008,0.98342,-1.825532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,22S
