PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,Unnamed: 156,Unnamed: 157,umpire,season
1,2022/4/30,01:42.0,2022/4/30,01:42.0,1,1,"Kentaro, Shinogi",1000101178,Right,HOS_HOS,"Masaya, Hagio",1000073449,Right,KEI_KEI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,152.96413,-0.347875,-4.198778,2451.316969,189.344298,12:15,1.646742,0.608152,1.895944,-20.8384,57.253,9.0055,1.340255,-0.484813,139.01883,-2.002386,-3.561722,0.399076,,,,,,,,,,,,-7.683,30.5397,-0.512752,15.24,1.637375,3.034409,-41.984183,-0.29335,-1.766244,9.57425,-2.785875,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,Team,20220430-JinguStadium-1,15f0c7a0-c821-11ec-b9b1-197d09d07558,181d8bc9-1651-4d5d-8451-f48d74fb7527,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,152.00097,,,13.94529,,,,16.5431,-42.280303,4.787125,1.645116,-0.207186,-1.392938,-0.607447,3.089037,-0.883122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,22S
2,2022/4/30,01:51.4,2022/4/30,01:51.4,1,2,"Kentaro, Shinogi",1000101178,Right,HOS_HOS,"Masaya, Hagio",1000073449,Right,KEI_KEI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,149.54059,-1.8794,-4.506153,2287.488225,197.763003,12:30,1.591416,0.670224,1.870594,-24.4958,57.4642,17.553,0.815215,-0.426213,136.21006,-3.793368,-3.266915,0.408842,,,,,,,,,,,,-12.2417,31.7553,-0.566323,15.24,1.545971,3.141273,-41.013053,-1.406788,-2.690624,8.980258,-2.827107,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,Team,20220430-JinguStadium-1,1b95f090-c821-11ec-b9b1-197d09d07558,181d8bc9-1651-4d5d-8451-f48d74fb7527,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,148.37024,,,13.33054,,,,16.568751,-41.302973,4.490129,1.589915,-1.315517,-1.413553,-0.669139,3.228137,-1.345312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,22S
3,2022/4/30,02:02.5,2022/4/30,02:02.5,1,3,"Kentaro, Shinogi",1000101178,Right,HOS_HOS,"Masaya, Hagio",1000073449,Right,KEI_KEI,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,150.03636,-0.690236,-3.09927,2236.097397,196.614724,12:30,1.577811,0.681356,1.884533,-29.0034,51.889,14.7166,1.093218,-0.044613,136.77444,-2.924722,-2.056307,0.406171,,,,,,,,,,,,-9.7617,28.0378,-0.610849,15.24,1.560038,2.156392,-41.237928,-0.577287,-2.170692,9.018381,-3.571917,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,Team,20220430-JinguStadium-1,222b9400-c821-11ec-b9b1-197d09d07558,181d8bc9-1651-4d5d-8451-f48d74fb7527,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,149.34614,,,13.26192,,,,16.554698,-41.524446,4.50919,1.576576,-0.463806,-1.785958,-0.680454,2.225356,-1.085346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,22S
4,2022/4/30,02:13.9,2022/4/30,02:13.9,1,4,"Kentaro, Shinogi",1000101178,Right,HOS_HOS,"Masaya, Hagio",1000073449,Right,KEI_KEI,Undefined,1,Top,0,1,1,Cutter,Slider,FoulBall,Undefined,Undefined,,Undefined,0,0,,134.4956,0.968613,-1.292542,2154.676627,133.461992,10:30,1.567008,0.6723,1.653945,-85.4589,17.1316,-14.9679,0.989028,0.153574,123.97524,-5.204245,-2.340495,0.457413,,,,,,,,,,,,6.7831,8.7997,-0.63604,15.24,1.586012,0.907632,-37.01077,0.270247,1.224227,6.747549,-8.218459,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,Team,20220430-JinguStadium-1,2910de10-c821-11ec-b9b1-197d09d07558,181d8bc9-1651-4d5d-8451-f48d74fb7527,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,132.61542,,,10.52036,,,,16.786419,-37.291636,3.373775,1.567643,0.612341,-4.10923,-0.67276,0.856674,0.612113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,22S
5,2022/4/30,02:35.1,2022/4/30,02:35.1,1,5,"Kentaro, Shinogi",1000101178,Right,HOS_HOS,"Masaya, Hagio",1000073449,Right,KEI_KEI,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,152.85593,-1.733681,-3.985157,2285.520643,208.403772,1:00,1.614461,0.598092,1.851956,-27.4074,50.2345,25.9438,0.850125,-0.268166,140.72348,-3.824431,-2.152576,0.397926,125.93082,35.924016,150.202189,4806.04471,,,,,,,,-15.9743,27.7753,-0.505709,15.24,1.571728,2.793342,-42.007103,-1.360154,-3.724519,8.443296,-3.330674,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,Team,20220430-JinguStadium-1,35b086c0-c821-11ec-b9b1-197d09d07558,181d8bc9-1651-4d5d-8451-f48d74fb7527,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,152.44025,12.865479,,12.13245,,,,16.58834,-42.277246,4.221648,1.613542,-1.253589,-1.665337,-0.596989,2.912508,-1.86226,0.319969,0.804462,0.26033,317.588295,0.319969,-24.581915,0.638211,0.175135,-0.114335,0.178963,-0.188503,0.103872,-0.02296,0.804462,20.52384,-8.595273,1.178082,-0.443821,0.505555,-0.487767,0.25032,-0.050751,0.26033,14.076993,-3.245737,0.163925,-0.022289,-0.017678,0.034605,-0.029159,0.009116,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,22S
6,2022/4/30,02:52.3,2022/4/30,02:52.3,1,6,"Kentaro, Shinogi",1000101178,Right,HOS_HOS,"Masaya, Hagio",1000073449,Right,KEI_KEI,Undefined,1,Top,0,2,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,,151.0411,-1.331277,-3.839544,2311.439319,198.842095,12:45,1.563105,0.684034,1.822258,-25.3115,55.1784,17.9586,0.932943,-0.222812,137.82446,-3.292359,-2.573411,0.405159,,,,,,,,,,,,-11.8257,29.9289,-0.592568,15.24,1.529198,2.686375,-41.466758,-1.03143,-2.663566,8.970416,-3.065597,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,Team,20220430-JinguStadium-1,3fd851a0-c821-11ec-b9b1-197d09d07558,181d8bc9-1651-4d5d-8451-f48d74fb7527,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,149.71905,,,13.21663,,,,16.617002,-41.763579,4.485208,1.561649,-0.929992,-1.532799,-0.682916,2.774509,-1.331783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.7068,2.697744,1.665126,1.032617,-0.678559,0.867328,0.271875,-1.375242,1.528139,1.774918,21.546005,1.890862,16.485852,-1.32237,24.721292,-2.469797,1.544766,4.39914,-3.927107,1.779859,14.798582,-0.537117,,,前田 則政,22S
7,2022/4/30,03:17.3,2022/4/30,03:17.3,2,1,"Kentaro, Shinogi",1000101178,Right,HOS_HOS,"Haruto, Asahi",1000073390,Left,KEI_KEI,Undefined,1,Top,2,0,0,Cutter,Slider,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,136.28807,-1.302514,-3.108523,2200.788438,168.076276,11:30,1.573656,0.662431,1.770685,-68.8024,30.1738,-5.7463,0.515847,-0.276962,125.58222,-6.321361,-3.51301,0.449283,,,,,,,,,,,,0.8607,17.2065,-0.584279,15.24,1.536142,2.061625,-37.453663,-1.117142,0.158757,7.054403,-6.632993,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,Team,20220430-JinguStadium-1,4ecc4a90-c821-11ec-b9b1-197d09d07558,181d8bc9-1651-4d5d-8451-f48d74fb7527,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,135.01513,,,10.70584,,,,16.668968,-37.721849,3.527202,1.573819,-0.864976,-3.316497,-0.662541,2.055589,0.079379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,22S
8,2022/4/30,03:27.9,2022/4/30,03:27.8,2,2,"Kentaro, Shinogi",1000101178,Right,HOS_HOS,"Haruto, Asahi",1000073390,Left,KEI_KEI,Undefined,1,Top,2,0,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,150.23289,-1.945801,-3.783897,2270.196393,196.094576,12:30,1.604,0.681777,1.850126,-25.25,55.3305,15.2718,0.80128,-0.234302,138.06143,-3.891094,-2.705315,0.405387,95.6363,9.287799,2.727996,1760.430883,,,,22.537384,,0.525284,0.915449,-10.3961,30.6393,-0.593355,15.24,1.556354,2.653176,-41.279126,-1.476727,-2.334367,8.381788,-2.926836,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,Team,20220430-JinguStadium-1,55166610-c821-11ec-b9b1-197d09d07558,181d8bc9-1651-4d5d-8451-f48d74fb7527,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,149.63493,1.485712,,12.17146,,,,16.59006,-41.552353,4.190894,1.602937,-1.381319,-1.463418,-0.681083,2.729271,-1.167183,0.615634,0.677987,0.137224,71.210906,0.615634,26.187655,-2.69255,0.313616,-0.051585,-0.003983,0.005885,-0.003449,0.000834,0.677987,4.287526,-5.85069,0.454079,-0.08108,0.014525,-0.00073,-0.000465,0.000148,0.137224,1.247803,-1.61545,0.464654,-0.127236,0.023909,-0.002293,-0.000698,0.000312,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,22S
9,2022/4/30,04:19.3,2022/4/30,04:19.3,3,1,"Kentaro, Shinogi",1000101178,Right,HOS_HOS,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,150.5121,-0.370738,-1.093506,2293.777025,201.08682,12:45,1.684372,0.530096,1.843491,-17.762,63.5016,23.4189,1.402122,0.4557,136.03612,-1.823526,0.565739,0.407102,,,,,,,,,,,,-12.7472,33.5566,-0.505549,15.24,1.674265,0.662446,-41.377778,-0.284539,-2.829495,9.800806,-2.358074,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,Team,20220430-JinguStadium-1,73b43a70-c821-11ec-b9b1-197d09d07558,181d8bc9-1651-4d5d-8451-f48d74fb7527,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,149.00461,,,14.47599,,,,16.595186,-41.697534,4.900403,1.682294,-0.207606,-1.179037,-0.528667,0.75476,-1.414748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,22S
10,2022/4/30,04:32.0,2022/4/30,04:32.0,3,2,"Kentaro, Shinogi",1000101178,Right,HOS_HOS,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,2,1,0,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,137.41187,0.817633,-3.319054,2286.273802,121.749804,10:00,1.589469,0.682054,1.774917,-82.4449,14.8667,-19.4547,0.99711,-0.454038,126.51703,-5.170433,-4.686849,0.445489,,,,,,,,,,,,7.6791,7.9785,-0.597931,15.24,1.60404,2.285699,-37.763724,0.206479,1.440082,7.164115,-8.310423,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,Team,20220430-JinguStadium-1,7b4d1d10-c821-11ec-b9b1-197d09d07558,181d8bc9-1651-4d5d-8451-f48d74fb7527,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,136.16496,,,10.89484,,,,16.664711,-38.033044,3.582058,1.590405,0.518892,-4.155211,-0.68284,2.231562,0.720041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,22S
