PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,Unnamed: 156,Unnamed: 157,umpire,season
1,2022/5/1,24:42.4,2022/5/1,24:42.4,1,1,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,Undefined,1,Top,0,0,0,TwoSeamFastBall,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,,140.39823,-0.854587,-1.449892,2173.894457,253.664711,2:30,1.585892,0.320301,1.822896,-73.8548,19.3995,55.8041,0.605808,0.468626,128.15055,-6.26678,2.503157,0.436103,,,,,,,,,,,,-29.5467,11.5652,-0.288932,15.24,1.560462,0.698082,-38.621682,-0.86895,-5.734653,8.273367,-7.561985,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20220501-JinguStadium-3,9fd73270-c906-11ec-946d-5fdd7ba04705,8fb4ae28-96e3-4249-a34f-7871564f8062,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,139.09556,,,12.24767,,,,16.616863,-38.91551,4.136683,1.586553,-0.600387,-3.780992,-0.317341,0.901748,-2.867327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,22S
2,2022/5/1,24:54.0,2022/5/1,24:54.0,1,2,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,Undefined,1,Top,0,1,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,135.52125,-0.950936,-0.685625,2401.232279,196.75057,12:30,1.593027,0.347395,1.788272,-76.2853,23.8186,6.2183,0.560893,0.215449,124.2273,-6.52674,-0.246028,0.451835,,,,,,,,,,,,-3.6521,13.8527,-0.3309,15.24,1.564271,0.415976,-37.279741,-0.914014,-0.663788,7.361454,-7.288877,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20220501-JinguStadium-3,a6bec670-c906-11ec-946d-5fdd7ba04705,8fb4ae28-96e3-4249-a34f-7871564f8062,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,134.25246,,,11.29395,,,,16.650976,-37.557326,3.680727,1.593555,-0.639165,-3.644439,-0.347058,0.441007,-0.331894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,22S
3,2022/5/1,25:07.2,2022/5/1,25:07.2,1,3,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,142.84851,-0.759634,-0.986148,2235.326229,202.879675,12:45,1.587355,0.358139,1.809747,-35.1873,54.6667,21.8665,1.020649,0.297939,130.35181,-3.439184,0.559974,0.428078,,,,,,,,,,,,-11.8423,29.3599,-0.335602,15.24,1.566462,0.564892,-39.297822,-0.627067,-2.391883,8.174374,-3.876585,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20220501-JinguStadium-3,ae9b68d0-c906-11ec-946d-5fdd7ba04705,8fb4ae28-96e3-4249-a34f-7871564f8062,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,141.70302,,,12.49669,,,,16.629444,-39.585787,4.087187,1.586147,-0.490504,-1.938292,-0.356986,0.649152,-1.195941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,22S
4,2022/5/1,25:22.7,2022/5/1,25:22.7,1,4,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,Undefined,1,Top,0,2,1,Slider,Slider,InPlay,Undefined,LineDrive,LineDrive,Single,0,0,,126.28389,0.745471,0.42263,2875.287211,77.413843,8:30,1.57526,0.353946,1.636043,-123.6175,-5.7824,-42.7544,0.552146,0.047186,115.77088,-8.118413,-2.573898,0.490221,159.39807,12.644529,-2.890126,5134.886352,33.454099,5.854093,-2.224633,84.677197,,-5.710352,2.585334,21.8746,-2.4232,-0.361686,15.24,1.585047,-0.054841,-34.729494,-0.054934,3.434513,6.663542,-10.187112,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20220501-JinguStadium-3,b7dfb180-c906-11ec-946d-5fdd7ba04705,8fb4ae28-96e3-4249-a34f-7871564f8062,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,123.74009,6.386287,,10.51301,,,,16.80436,-35.028361,3.331771,1.577264,0.401969,-5.093556,-0.355772,-0.208883,1.717256,0.447442,0.545328,-0.051508,160.89927,0.447442,43.148387,-6.229445,1.248612,-0.262061,0.05175,-0.009078,0.00118,-7.6e-05,0.545328,9.69236,-4.217239,0.180465,-0.018517,0.002488,0.000103,-3.3e-05,0.0,-0.051509,-2.17834,-0.407989,-0.036988,0.027303,-0.008356,0.001746,-0.000236,1.5e-05,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,22S
5,2022/5/1,26:05.8,2022/5/1,26:05.8,2,1,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Kiri, Takata",1000073715,Left,HOS_HOS,Undefined,1,Top,0,0,0,TwoSeamFastBall,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,1,137.83326,0.926288,-1.368737,2080.581167,249.236499,2:15,1.597794,0.344165,1.804795,-78.1658,18.7005,41.1082,1.078224,0.368041,125.61114,-4.807136,1.537603,0.444469,,,,,,,,,,,,-21.966,9.871,-0.313515,15.24,1.615107,0.703211,-37.91085,0.305398,-4.114418,7.858461,-7.957717,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20220501-JinguStadium-3,d19125a0-c906-11ec-946d-5fdd7ba04705,8fb4ae28-96e3-4249-a34f-7871564f8062,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,136.47759,,,12.22213,,,,16.634783,-38.198877,3.92923,1.598568,0.597064,-3.978858,-0.342053,0.854012,-2.057209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,22S
6,2022/5/1,26:28.6,2022/5/1,26:28.6,2,2,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Kiri, Takata",1000073715,Left,HOS_HOS,Undefined,1,Top,0,1,0,Fastball,Changeup,InPlay,Undefined,Bunt,,Sacrifice,1,0,1,138.55345,-0.640846,-2.60193,2065.034512,230.578206,1:45,1.572669,0.376894,1.871697,-62.8628,32.5472,35.7073,0.763339,0.000571,125.99679,-5.308214,-0.068809,0.441115,,,,,,,,,,,,-20.5103,18.2499,-0.318656,15.24,1.553881,1.563569,-38.089727,-0.651792,-3.865998,8.155553,-6.366716,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20220501-JinguStadium-3,df2ce190-c906-11ec-946d-5fdd7ba04705,8fb4ae28-96e3-4249-a34f-7871564f8062,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,137.51521,,,12.55666,,,,16.568081,-38.373034,4.077777,1.572682,-0.430626,-3.183358,-0.375304,1.697866,-1.932999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,22S
7,2022/5/1,27:13.0,2022/5/1,27:13.0,3,1,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Daiki, Saitoh",1000073731,Right,HOS_HOS,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,2,111.45828,6.195277,1.709026,2620.350133,27.278893,7:00,1.580591,0.233616,1.629083,-205.3104,-51.5927,-29.2881,1.306484,0.429501,101.02232,-8.455353,-0.3344,0.559908,,,,,,,,,,,,15.8139,-28.6234,-0.277978,15.24,1.733801,-0.780856,-30.483983,2.525712,1.903091,5.370193,-13.251268,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20220501-JinguStadium-3,f9ab1b90-c906-11ec-946d-5fdd7ba04705,8fb4ae28-96e3-4249-a34f-7871564f8062,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,108.33927,,,10.43596,,,,16.812759,-30.759799,2.685097,1.586601,3.206305,-6.625634,-0.235362,-0.8786,0.951546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,22S
8,2022/5/1,27:35.7,2022/5/1,27:35.7,3,2,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Daiki, Saitoh",1000073731,Right,HOS_HOS,Undefined,1,Top,1,1,0,Cutter,Slider,InPlay,Undefined,LineDrive,LineDrive,Single,0,0,2,136.5276,-0.457497,-1.441498,2435.604142,160.591691,11:15,1.561231,0.312728,1.771471,-75.0514,21.8795,-6.8502,0.681008,-0.164411,127.51175,-5.894419,-1.924841,0.444617,152.98011,17.314061,-18.25054,1563.269167,31.331999,7.720057,-11.934453,82.893179,,-26.039147,2.623777,2.7306,12.191,-0.276215,15.24,1.54434,0.978797,-37.635677,-0.597752,0.516115,6.071362,-7.502368,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20220501-JinguStadium-3,07217530-c907-11ec-946d-5fdd7ba04705,8fb4ae28-96e3-4249-a34f-7871564f8062,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,136.43205,8.255443,,9.01585,,,,16.669147,-37.865524,3.035681,1.561594,-0.31373,-3.751184,-0.3129,0.959258,0.258058,0.846344,0.720803,0.155353,109.92031,0.846345,38.52818,-6.126268,1.290712,-0.275512,0.055014,-0.010502,0.001483,-9.9e-05,0.720803,12.646717,-5.755868,0.43897,-0.066696,0.008344,-0.000148,-5.5e-05,5e-06,0.155354,-12.705085,-1.177089,0.514846,-0.159296,0.041775,-0.009315,0.001429,-0.000104,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,22S
9,2022/5/1,28:35.3,2022/5/1,28:35.3,4,1,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Kazuhiro, Ura",1000089980,Left,HOS_HOS,Undefined,1,Top,1,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,"1,3",138.70607,0.660925,-1.04009,2046.887017,244.765885,2:15,1.585534,0.358651,1.800708,-65.7301,30.1888,57.3726,1.115255,0.638092,126.09013,-4.196981,3.01494,0.44229,,,,,,,,,,,,-30.0513,15.9039,-0.337068,15.24,1.59723,0.407695,-38.152323,0.191387,-5.682843,8.184726,-6.799149,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20220501-JinguStadium-3,2aa31e50-c907-11ec-946d-5fdd7ba04705,8fb4ae28-96e3-4249-a34f-7871564f8062,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,137.14998,,,12.61594,,,,16.638999,-38.451275,4.092363,1.585704,0.43973,-3.399574,-0.355751,0.615265,-2.841421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,22S
10,2022/5/1,28:55.8,2022/5/1,28:55.8,4,2,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Kazuhiro, Ura",1000089980,Left,HOS_HOS,Undefined,1,Top,1,1,0,Splitter,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,"1,3",125.48479,1.894974,-0.882773,1288.850014,250.870323,2:15,1.549059,0.298481,1.833831,-98.5524,17.9089,40.94,1.098807,0.458626,114.50161,-5.33055,2.016374,0.487355,,,,,,,,,,,,-21.5823,8.9971,-0.279979,15.24,1.58795,0.350007,-34.511116,0.790456,-3.351191,6.491623,-8.409623,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20220501-JinguStadium-3,36ef4fd0-c907-11ec-946d-5fdd7ba04705,8fb4ae28-96e3-4249-a34f-7871564f8062,v3,,,,"Tsutomu, Yoshinami",1000089828,Right,KEI_KEI,124.4678,,,10.98317,,,,16.605713,-34.76706,3.245812,1.550249,1.122022,-4.204811,-0.296384,0.482134,-1.675595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,22S
