PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,season
1,2022/5/1,00:10.8,2022/5/1,00:10.8,1,1,"Masaki, Saito",1000089851,Left,WAS_EDA,"Yu, Miyazaki",1000073899,Left,TOK,Undefined,1,Top,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,124.34184,1.365668,2.691015,2490.790659,237.34474,2:00,1.618101,-0.752627,1.702753,-101.4638,21.6235,26.561,0.992663,0.279466,111.68144,-6.050678,4.551834,0.501027,,,,,,,,,,,,-10.9164,11.2032,0.680133,15.24,1.64619,-1.728162,-34.064024,0.432536,-1.620921,7.377505,-8.143148,WAS_EDA,TOK,JinguStadium,Spring,Team,20220501-JinguStadium-1,0d06e1a0-c8ea-11ec-ab05-8186aaec0c2a,b908a455-82f0-4e42-b800-9cb7a0f65442,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,121.07126,,,12.6604,,,,16.735117,-34.386308,3.688753,1.619524,0.788267,-4.071574,0.754081,-1.657353,-0.81046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松本 知一,22S
2,2022/5/1,00:22.1,2022/5/1,00:22.1,1,2,"Masaki, Saito",1000089851,Left,WAS_EDA,"Yu, Miyazaki",1000073899,Left,TOK,Undefined,1,Top,0,1,0,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,123.95313,0.267689,4.727247,1240.203847,239.087713,2:00,1.614088,-0.770084,1.743145,-105.6627,18.7264,23.203,0.633722,0.807139,111.18316,-7.435801,6.350253,0.50367,,,,,,,,,,,,-7.3084,10.849,0.64781,15.24,1.613393,-2.910841,-33.876505,-0.230904,-1.067322,7.602212,-8.222252,WAS_EDA,TOK,JinguStadium,Spring,Team,20220501-JinguStadium-1,13c3e330-c8ea-11ec-ab05-8186aaec0c2a,b908a455-82f0-4e42-b800-9cb7a0f65442,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,120.43607,,,12.76997,,,,16.69438,-34.201324,3.801106,1.615754,0.120408,-4.111126,0.771207,-2.865238,-0.533661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松本 知一,22S
3,2022/5/1,00:39.4,2022/5/1,00:39.4,1,3,"Masaki, Saito",1000089851,Left,WAS_EDA,"Yu, Miyazaki",1000073899,Left,TOK,Undefined,1,Top,0,2,0,Slider,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,124.2633,0.783324,2.231926,1284.997606,236.19882,1:45,1.598829,-0.762894,1.691652,-107.3093,14.4097,15.3833,0.749021,0.026945,113.11538,-6.99465,3.310874,0.498235,,,,,,,,,,,,-5.999,7.9865,0.702803,15.24,1.611105,-1.401487,-34.11344,0.054726,-0.904897,6.673841,-8.601957,WAS_EDA,TOK,JinguStadium,Spring,Team,20220501-JinguStadium-1,1e0ec670-c8ea-11ec-ab05-8186aaec0c2a,b908a455-82f0-4e42-b800-9cb7a0f65442,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,121.74987,,,11.14792,,,,16.747254,-34.407051,3.33692,1.600373,0.433163,-4.300978,0.763585,-1.361676,-0.452449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松本 知一,22S
4,2022/5/1,00:52.2,2022/5/1,00:52.2,1,4,"Masaki, Saito",1000089851,Left,WAS_EDA,"Yu, Miyazaki",1000073899,Left,TOK,Undefined,1,Top,0,2,1,Slider,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,124.42044,1.25043,1.933999,3364.570737,239.640074,2:00,1.60589,-0.748558,1.694629,-109.1718,12.806,14.4979,0.870507,-0.05264,112.58109,-6.682453,2.951117,0.498764,,,,,,,,,,,,-5.6771,6.8755,0.696526,15.24,1.630378,-1.221685,-34.136437,0.324385,-0.85313,6.972184,-8.773418,WAS_EDA,TOK,JinguStadium,Spring,Team,20220501-JinguStadium-1,25afe670-c8ea-11ec-ab05-8186aaec0c2a,b908a455-82f0-4e42-b800-9cb7a0f65442,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,121.62063,,,11.83935,,,,16.743826,-34.442216,3.486092,1.607714,0.709161,-4.386709,0.749285,-1.18427,-0.426565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松本 知一,22S
5,2022/5/1,01:07.2,2022/5/1,01:07.2,1,5,"Masaki, Saito",1000089851,Left,WAS_EDA,"Yu, Miyazaki",1000073899,Left,TOK,Undefined,1,Top,0,2,2,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,123.58843,-0.673996,3.937643,1362.805059,233.811586,1:45,1.589849,-0.778678,1.698956,-103.9487,22.1086,23.2657,0.358021,0.576743,110.59483,-8.243478,5.56512,0.507036,,,,,,,,,,,,-7.9763,13.3201,0.673376,15.24,1.564198,-2.434958,-33.793142,-0.783631,-1.15379,7.816666,-7.879868,WAS_EDA,TOK,JinguStadium,Spring,Team,20220501-JinguStadium-1,2eb0bd80-c8ea-11ec-ab05-8186aaec0c2a,b908a455-82f0-4e42-b800-9cb7a0f65442,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,119.63654,,,12.9936,,,,16.738943,-34.138101,3.908333,1.591107,-0.435883,-3.939934,0.77971,-2.384039,-0.576895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松本 知一,22S
6,2022/5/1,01:24.8,2022/5/1,01:24.8,1,6,"Masaki, Saito",1000089851,Left,WAS_EDA,"Yu, Miyazaki",1000073899,Left,TOK,Undefined,1,Top,0,3,2,Slider,Slider,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,124.97101,0.732422,2.309631,2557.727361,237.296731,2:00,1.594087,-0.779814,1.699743,-99.2772,22.4659,27.8955,0.809996,0.156987,112.38708,-6.520113,4.265583,0.498284,99.67382,-3.555239,14.121071,2346.972512,,,,7.71191,,11.260252,0.261004,-12.1529,11.9724,0.716937,15.24,1.605633,-1.510381,-34.26866,0.068694,-1.823975,7.537179,-8.009758,WAS_EDA,TOK,JinguStadium,Spring,Team,20220501-JinguStadium-1,39217840-c8ea-11ec-ab05-8186aaec0c2a,b908a455-82f0-4e42-b800-9cb7a0f65442,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,121.73782,0.834264,,12.58393,,,,16.739246,-34.596839,3.76859,1.595049,0.417449,-4.004879,0.780971,-1.430962,-0.911987,0.728496,0.834264,-0.138386,47.887031,0.728563,26.795384,-2.332039,,,,,,,0.834631,-1.735521,-5.607892,,,,,,,-0.138221,6.733487,-1.666578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松本 知一,22S
7,2022/5/1,01:57.4,2022/5/1,01:57.4,2,1,"Masaki, Saito",1000089851,Left,WAS_EDA,"Tetsuya, Nakai",1000073897,Left,TOK,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,114.39926,2.941741,1.561263,2664.455748,304.835947,4:15,1.690268,-0.670625,1.660648,-157.7043,-14.0132,26.7304,0.953717,0.042305,104.78553,-8.373567,3.433194,0.541339,,,,,,,,,,,,-12.2037,-7.6703,0.626379,15.24,1.756578,-0.972532,-31.411477,1.025614,-1.566822,5.471006,-10.791426,WAS_EDA,TOK,JinguStadium,Spring,Team,20220501-JinguStadium-1,4c9294e0-c8ea-11ec-ab05-8186aaec0c2a,b908a455-82f0-4e42-b800-9cb7a0f65442,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,112.05539,,,9.61373,,,,16.779512,-31.678482,2.735503,1.693673,1.552275,-5.395713,0.671976,-0.896065,-0.783411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松本 知一,22S
8,2022/5/1,02:06.7,2022/5/1,02:06.7,2,2,"Masaki, Saito",1000089851,Left,WAS_EDA,"Tetsuya, Nakai",1000073897,Left,TOK,Undefined,1,Top,1,0,1,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,125.06046,-0.204415,3.284471,1453.272591,255.305637,2:30,1.591501,-0.743676,1.67445,-112.038,8.5706,17.2348,0.412742,0.36615,114.23289,-8.26962,4.49084,0.495957,,,,,,,,,,,,-6.1397,5.7113,0.654577,15.24,1.577023,-2.049107,-34.3096,-0.561587,-0.936396,6.775876,-8.935598,WAS_EDA,TOK,JinguStadium,Spring,Team,20220501-JinguStadium-1,52254740-c8ea-11ec-ab05-8186aaec0c2a,b908a455-82f0-4e42-b800-9cb7a0f65442,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,122.30904,,,10.82757,,,,16.764903,-34.609446,3.387938,1.593125,-0.166169,-4.467799,0.744337,-2.00767,-0.468198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松本 知一,22S
9,2022/5/1,02:16.1,2022/5/1,02:16.0,2,3,"Masaki, Saito",1000089851,Left,WAS_EDA,"Tetsuya, Nakai",1000073897,Left,TOK,Undefined,1,Top,1,1,1,Fastball,Cutter,BallCalled,Undefined,Undefined,,Undefined,0,0,,134.19016,0.449817,4.536015,2349.876962,183.247913,12:00,1.639178,-0.710033,1.871456,-62.4318,38.6444,2.0237,1.141963,0.590567,123.30005,-4.1663,4.678762,0.454024,,,,,,,,,,,,1.9782,20.5984,0.604347,15.24,1.645744,-2.931719,-36.8368,0.076595,0.353097,6.795166,-6.129914,WAS_EDA,TOK,JinguStadium,Spring,Team,20220501-JinguStadium-1,57a1b280-c8ea-11ec-ab05-8186aaec0c2a,b908a455-82f0-4e42-b800-9cb7a0f65442,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,133.60517,,,10.89012,,,,16.56789,-37.080942,3.397583,1.639036,0.296836,-3.064957,0.709908,-2.944406,0.176548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松本 知一,22S
10,2022/5/1,02:26.2,2022/5/1,02:26.2,2,4,"Masaki, Saito",1000089851,Left,WAS_EDA,"Tetsuya, Nakai",1000073897,Left,TOK,Undefined,1,Top,1,2,1,Slider,Curveball,InPlay,Undefined,LineDrive,LineDrive,Single,0,0,,124.58877,1.416338,2.098263,1796.756902,258.087708,2:30,1.593814,-0.732452,1.655962,-112.1003,8.4998,22.6368,0.87744,0.093106,114.30568,-6.658996,3.682034,0.495939,126.369,15.6424,4.427336,1190.563852,33.511442,5.843747,1.051643,61.775452,,-0.022097,2.331983,-9.9484,4.3348,0.673841,15.24,1.62273,-1.358441,-34.235606,0.40648,-1.524044,6.241528,-9.142576,WAS_EDA,TOK,JinguStadium,Spring,Team,20220501-JinguStadium-1,5db8fe30-c8ea-11ec-ab05-8186aaec0c2a,b908a455-82f0-4e42-b800-9cb7a0f65442,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,122.31334,5.848592,,10.28309,,,,16.783978,-34.515942,3.120764,1.595252,0.817116,-4.571288,0.733317,-1.289989,-0.762022,0.201122,0.86042,-0.10258,130.752891,0.201124,33.701316,-4.303843,0.726579,-0.103156,-0.019723,0.02242,-0.007886,0.001071,0.860416,9.465093,-4.74438,0.269482,-0.052521,0.039769,-0.022807,0.007456,-0.000992,-0.10258,2.609308,-1.925586,0.613173,-0.164935,0.02812,-0.000922,-0.001091,0.000212,,,,,,,,,,,,,,,,,,,,,,,松本 知一,22S
