PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,Unnamed: 156,Unnamed: 157,umpire,season
1,2022/5/2,14:19.1,2022/5/2,14:19.1,1,1,"Taiho, Tsunashima",1000073964,Right,TOK,"Toyo, Kumada",1000089879,Left,WAS_EDA,Undefined,1,Top,0,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,127.29147,0.208505,-2.943747,2178.304464,102.839115,9:30,1.465958,0.828639,1.493566,-111.7324,4.5858,-6.4198,0.40882,-0.084905,118.56634,-7.699434,-3.388509,0.487055,,,,,,,,,,,,1.4154,3.0946,-0.7401,15.24,1.460847,1.831279,-34.993732,-0.361115,0.230059,5.579241,-9.303649,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20220502-JinguStadium-2,b87dcfc0-c9d6-11ec-b80d-d3ad50409cb5,023098ee-0b8c-49f4-a91c-20f23be3a212,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,124.54433,,,8.72514,,,,16.94675,-35.264798,2.789621,1.467411,0.090902,-4.651824,-0.828801,1.820102,0.115029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,22S
2,2022/5/2,14:31.2,2022/5/2,14:31.2,1,2,"Taiho, Tsunashima",1000073964,Right,TOK,"Toyo, Kumada",1000089879,Left,WAS_EDA,Undefined,1,Top,0,1,0,Fastball,Changeup,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,134.56844,-0.303187,-3.515082,2232.481428,219.249369,1:15,1.509613,0.767512,1.632553,-69.0188,33.2938,24.9122,0.732596,0.010599,124.73895,-5.298833,-1.776711,0.456793,149.20707,-16.583446,37.087573,,,,,2.803343,,31.191043,0.061393,-14.685,17.7804,-0.673349,15.24,1.495389,2.149871,-36.995572,-0.477607,-2.670153,6.174685,-6.573657,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20220502-JinguStadium-2,bfb7a270-c9d6-11ec-b80d-d3ad50409cb5,023098ee-0b8c-49f4-a91c-20f23be3a212,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,132.7954,0.727578,,9.82949,,,,16.807741,-37.256315,3.087343,1.509696,-0.200017,-3.286829,-0.766513,2.262626,-1.335077,0.449137,0.727578,-0.021497,,0.448557,31.745852,,,,,,,,0.727795,-11.851182,,,,,,,,-0.021935,23.998377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,22S
3,2022/5/2,15:02.7,2022/5/2,15:02.7,2,1,"Taiho, Tsunashima",1000073964,Right,TOK,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Top,1,0,0,Sinker,Changeup,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,136.31385,0.245096,-3.26314,1997.714221,252.280013,2:30,1.453803,0.805472,1.574485,-81.0282,20.769,54.8398,0.713943,0.416794,124.55043,-5.605506,0.55522,0.455641,,,,,,,,,,,,-29.4098,11.1879,-0.717839,15.24,1.453428,1.84021,-37.422253,-0.194364,-5.391568,7.349582,-7.755617,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20220502-JinguStadium-2,d2799350-c9d6-11ec-b80d-d3ad50409cb5,023098ee-0b8c-49f4-a91c-20f23be3a212,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,133.13116,,,11.76342,,,,16.8653,-37.740106,3.674791,1.454581,0.141049,-3.877809,-0.802466,2.073383,-2.695784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,22S
4,2022/5/2,15:14.9,2022/5/2,15:14.9,2,2,"Taiho, Tsunashima",1000073964,Right,TOK,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Top,1,0,1,ChangeUp,Splitter,BallCalled,Undefined,Undefined,,Undefined,0,0,,122.52579,1.84057,-1.318219,872.315867,264.018895,2:45,1.521677,0.798728,1.618051,-117.3433,7.7125,36.6683,0.87515,0.788203,112.3443,-6.601495,1.244965,0.505018,,,,,,,,,,,,-19.1706,3.8493,-0.765534,15.24,1.562437,0.601783,-33.672348,0.615145,-2.846606,5.927002,-9.235073,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20220502-JinguStadium-2,d9d39830-c9d6-11ec-b80d-d3ad50409cb5,023098ee-0b8c-49f4-a91c-20f23be3a212,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,120.11461,,,10.1815,,,,16.821678,-33.949613,2.963501,1.523555,1.047162,-4.617537,-0.7968,0.734947,-1.423303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,22S
5,2022/5/2,15:27.7,2022/5/2,15:27.7,2,3,"Taiho, Tsunashima",1000073964,Right,TOK,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Top,1,1,1,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,129.49638,-0.38475,-2.881896,2205.990295,170.583521,11:45,1.4503,0.811123,1.550443,-96.5782,16.1513,-2.1129,0.373845,-0.038613,119.3225,-7.291116,-3.028795,0.479483,,,,,,,,,,,,-0.8928,9.3396,-0.727768,15.24,1.430113,1.800805,-35.562185,-0.650412,-0.14833,6.413679,-8.254926,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20220502-JinguStadium-2,e16723a0-c9d6-11ec-b80d-d3ad50409cb5,023098ee-0b8c-49f4-a91c-20f23be3a212,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,126.51119,,,10.17388,,,,16.889173,-35.858381,3.20684,1.451348,-0.269183,-4.127463,-0.811091,1.807655,-0.074165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,22S
6,2022/5/2,15:40.9,2022/5/2,15:40.9,2,4,"Taiho, Tsunashima",1000073964,Right,TOK,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Top,1,2,1,Fastball,Changeup,FoulBall,Undefined,Undefined,,Undefined,0,0,,134.44116,0.33833,-3.043281,,211.412245,1:00,1.492979,0.785018,1.588387,-59.4755,44.8408,25.3915,0.995333,0.165857,122.84691,-4.02308,-1.275544,0.461244,,,,,,,,,,,,-14.5057,23.0439,-0.701465,15.24,1.497252,1.824627,-36.89582,-0.013515,-2.592877,6.9382,-5.687598,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20220502-JinguStadium-2,e934aad0-c9d6-11ec-b80d-d3ad50409cb5,023098ee-0b8c-49f4-a91c-20f23be3a212,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,131.51388,,,11.59425,,,,16.849946,-37.197336,3.4691,1.492469,0.233653,-2.843799,-0.783207,1.937307,-1.296439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,22S
7,2022/5/2,16:01.5,2022/5/2,16:01.5,2,5,"Taiho, Tsunashima",1000073964,Right,TOK,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Top,1,2,2,Fastball,Changeup,InPlay,Undefined,GroundBall,GroundBall,Single,0,0,,134.72893,0.376899,-3.063545,2160.827481,223.501778,1:30,1.500574,0.818844,1.65549,-66.9125,36.6789,31.5594,0.939188,0.259129,122.49438,-4.532833,-0.856882,0.459639,155.69697,0.084116,-24.860956,2195.387436,,,,20.526611,,-28.406219,0.499888,-18.0785,19.1796,-0.738767,15.24,1.505302,1.818606,-36.979236,-0.018743,-3.222019,7.474063,-6.388389,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20220502-JinguStadium-2,f58b1580-c9d6-11ec-b80d-d3ad50409cb5,023098ee-0b8c-49f4-a91c-20f23be3a212,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,131.97323,0.897304,,12.23455,,,,16.783747,-37.289945,3.737032,1.50056,0.246833,-3.194195,-0.817153,1.952551,-1.61101,-0.102514,0.897304,-0.24956,103.072952,-0.098343,39.130062,-5.647351,,,,,,,0.897891,0.04799,-3.691479,,,,,,,-0.246347,-18.269077,-1.557041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,22S
8,2022/5/2,16:39.7,2022/5/2,16:39.7,3,1,"Taiho, Tsunashima",1000073964,Right,TOK,"Masaki, Nakamura",1000089877,Right,WAS_EDA,Undefined,1,Top,1,0,0,Fastball,Changeup,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,1,135.87576,-0.072153,-3.612488,2198.746568,228.07187,1:30,1.525089,0.758555,1.662051,-66.4054,36.0012,36.1013,0.840407,0.087446,122.91531,-4.955023,-1.088798,0.457003,147.30965,-11.172625,-22.287002,,,,,4.693264,,-20.710997,0.105672,-21.0001,19.2096,-0.664427,15.24,1.517792,2.168639,-37.258686,-0.307749,-3.777074,7.9907,-6.351615,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20220502-JinguStadium-2,0c4b3610-c9d7-11ec-b80d-d3ad50409cb5,023098ee-0b8c-49f4-a91c-20f23be3a212,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,132.73449,0.839583,,12.96045,,,,16.77727,-37.586931,3.99535,1.525074,-0.046834,-3.175807,-0.756698,2.323795,-1.888537,0.456663,0.839583,-0.04767,180.0,0.455354,37.221884,,,,,,,,0.839862,-7.945191,,,,,,,,-0.047133,-15.255944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,22S
9,2022/5/2,17:20.6,2022/5/2,17:20.6,4,1,"Taiho, Tsunashima",1000073964,Right,TOK,"Takuya, Hiruma",1000074108,Left,WAS_EDA,Undefined,1,Top,2,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,1,135.40671,-0.01422,-1.209878,2174.990613,228.447765,1:30,1.511919,0.773986,1.645076,-72.0088,30.6849,30.7378,0.787768,0.735739,123.08516,-5.276174,0.942507,0.457643,,,,,,,,,,,,-16.2414,16.4598,-0.743721,15.24,1.505582,0.625863,-37.196228,-0.301491,-2.921908,7.719631,-6.845462,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20220502-JinguStadium-2,24af69b0-c9d7-11ec-b80d-d3ad50409cb5,023098ee-0b8c-49f4-a91c-20f23be3a212,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,132.54879,,,12.32155,,,,16.793844,-37.517323,3.859816,1.512201,-0.016756,-3.422731,-0.772281,0.747399,-1.460954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,22S
10,2022/5/2,17:38.7,2022/5/2,17:38.7,4,2,"Taiho, Tsunashima",1000073964,Right,TOK,"Takuya, Hiruma",1000074108,Left,WAS_EDA,Undefined,1,Top,2,1,0,Fastball,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,1,137.58025,-0.517143,-5.175137,2187.613099,236.360388,2:00,1.530686,0.743637,1.657545,-71.4838,27.7832,36.9945,0.667642,-0.367481,125.79359,-5.711625,-2.59775,0.449943,,,,,,,,,,,,-22.1554,15.291,-0.606905,15.24,1.510809,3.223049,-37.690629,-0.637222,-4.126088,7.353356,-6.958945,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20220502-JinguStadium-2,2f72ff60-c9d7-11ec-b80d-d3ad50409cb5,023098ee-0b8c-49f4-a91c-20f23be3a212,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,134.81722,,,11.78666,,,,16.782139,-37.990305,3.676678,1.530999,-0.353619,-3.479472,-0.741683,3.391203,-2.063044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,22S
