PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,Unnamed: 156,Unnamed: 157,umpire,season
1,2022/5/7,01:52.5,2022/5/7,01:52.5,1,1,"Minoru, Makita",1000089793,Right,MEI_MEI,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,145.41605,-1.904817,-0.257109,2284.962201,217.608856,1:15,1.665765,0.34951,1.853486,-43.7726,43.1791,30.9748,0.690697,0.586755,132.01963,-5.195464,1.94004,0.421108,,,,,,,,,,,,-16.0409,24.555,-0.345305,15.24,1.618098,0.019915,-39.970932,-1.477896,-3.323967,9.113317,-4.718387,MEI_MEI,HOS_HOS,JinguStadium,Undefined,Team,20220507-JinguStadium-1,a7455a30-cda9-11ec-9571-09086a168a2c,d328373f-54e0-4b71-8070-7c975015a9f5,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,144.04853,,,13.39641,,,,16.585457,-40.276526,4.556659,1.665003,-1.319676,-2.359194,-0.347841,0.131377,-1.661983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,22S
2,2022/5/7,02:07.2,2022/5/7,02:07.2,1,2,"Minoru, Makita",1000089793,Right,MEI_MEI,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,Undefined,1,Top,0,1,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,112.30078,2.020991,-0.438194,2340.018398,28.311914,7:00,1.69496,0.179172,1.671204,-177.0276,-28.6267,-17.9401,0.501268,-0.125192,103.57478,-10.626121,-1.699784,0.55014,,,,,,,,,,,,8.7302,-14.5541,-0.165955,15.24,1.734483,0.310914,-30.88799,0.441036,1.084113,5.277112,-11.613974,MEI_MEI,HOS_HOS,JinguStadium,Undefined,Team,20220507-JinguStadium-1,b01adb80-cda9-11ec-9571-09086a168a2c,d328373f-54e0-4b71-8070-7c975015a9f5,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,110.26291,,,8.726,,,,16.769822,-31.148259,2.638556,1.698605,1.01384,-5.806987,-0.179971,0.257445,0.542057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,22S
3,2022/5/7,02:24.4,2022/5/7,02:24.4,1,3,"Minoru, Makita",1000089793,Right,MEI_MEI,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,Undefined,1,Top,0,1,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,LineDrive,Undefined,0,0,,143.44339,-1.834873,-1.800089,2311.18697,193.058377,12:30,1.659894,0.332703,1.864968,-27.4106,61.521,13.5839,0.868308,-0.038871,130.46223,-3.974529,-0.836979,0.425876,172.01614,12.653454,41.028025,3203.38524,24.181392,5.073936,23.224541,66.51019,,48.065527,1.823893,-8.4012,34.1265,-0.291543,15.24,1.615351,1.173903,-39.439736,-1.332411,-1.700897,8.604313,-2.897456,MEI_MEI,HOS_HOS,JinguStadium,Undefined,Team,20220507-JinguStadium-1,ba4fecd0-cda9-11ec-9571-09086a168a2c,d328373f-54e0-4b71-8070-7c975015a9f5,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,142.43598,5.080323,,12.98115,,,,16.574808,-39.729875,4.302156,1.658633,-1.234709,-1.448728,-0.332094,1.231258,-0.850448,0.749009,0.884405,0.001158,265.590073,0.748998,35.17174,-8.909844,2.238885,-0.582554,0.10849,0.022528,-0.022111,0.004217,0.884409,10.466578,-7.121487,0.852049,-0.179824,0.043002,-0.018521,0.007469,-0.001237,0.001168,30.603146,-2.181097,0.128544,0.045218,-0.009106,-0.02347,0.01536,-0.002847,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,22S
4,2022/5/7,02:55.5,2022/5/7,02:55.5,1,4,"Minoru, Makita",1000089793,Right,MEI_MEI,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,Undefined,1,Top,0,1,2,Splitter,Splitter,BallCalled,Undefined,Undefined,,Undefined,0,0,,119.77059,3.047502,-1.577357,863.257973,232.220635,1:45,1.714089,0.259113,1.679652,-120.4333,12.2323,9.4832,1.379517,-0.095754,107.52591,-5.723193,-0.912968,0.520156,,,,,,,,,,,,-6.0446,5.1778,-0.217948,15.24,1.785695,0.859412,-32.809409,1.296864,-0.835741,6.650441,-9.09075,MEI_MEI,HOS_HOS,JinguStadium,Undefined,Team,20220507-JinguStadium-1,ccdc75d0-cda9-11ec-9571-09086a168a2c,d328373f-54e0-4b71-8070-7c975015a9f5,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,116.61883,,,12.24468,,,,16.758563,-33.11579,3.325221,1.716302,1.715668,-4.545375,-0.258428,0.897914,-0.417871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,22S
5,2022/5/7,03:14.9,2022/5/7,03:14.9,1,5,"Minoru, Makita",1000089793,Right,MEI_MEI,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,Undefined,1,Top,0,2,2,Fastball,Four-Seam,InPlay,Undefined,FlyBall,FlyBall,Out,1,0,,145.43256,-1.880984,-2.465069,2252.346273,206.53657,1:00,1.654069,0.351619,1.916208,-34.9212,52.1446,24.4314,0.775818,-0.096921,130.77654,-4.579489,-0.727925,0.421384,143.33908,33.707096,21.506423,2159.017882,30.872042,19.560741,13.078323,97.225729,,24.235782,4.876607,-14.7605,29.5916,-0.297626,15.24,1.609754,1.598651,-39.929216,-1.410059,-3.024756,9.797179,-3.742675,MEI_MEI,HOS_HOS,JinguStadium,Undefined,Team,20220507-JinguStadium-1,d871b360-cda9-11ec-9571-09086a168a2c,d328373f-54e0-4b71-8070-7c975015a9f5,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,143.9541,24.585635,,14.65601,,,,16.5229,-40.242762,4.898589,1.652964,-1.290279,-1.871337,-0.350338,1.695454,-1.512378,0.625493,0.782909,0.091111,199.514235,0.626805,30.789988,-6.06201,1.365331,-0.15896,-0.019795,0.009192,-0.000987,2.9e-05,0.782814,22.094786,-5.723231,0.291211,0.022151,-0.033907,0.012755,-0.002068,0.000121,0.091948,12.123825,-1.07444,-0.133424,0.159493,-0.066396,0.015457,-0.001853,8.8e-05,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,22S
6,2022/5/7,03:52.0,2022/5/7,03:52.0,2,1,"Minoru, Makita",1000089793,Right,MEI_MEI,"Kiri, Takata",1000073715,Left,HOS_HOS,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,145.92618,-2.496017,-0.773844,2267.968568,210.874126,1:00,1.651599,0.331995,1.878719,-34.9933,51.5967,28.9784,0.598406,0.403891,131.72805,-5.179987,1.284498,0.420231,,,,,,,,,,,,-15.5373,29.5579,-0.315802,15.24,1.591719,0.393848,-40.079524,-1.848612,-3.218679,9.611195,-3.683513,MEI_MEI,HOS_HOS,JinguStadium,Undefined,Team,20220507-JinguStadium-1,ee86c6e0-cda9-11ec-9571-09086a168a2c,d328373f-54e0-4b71-8070-7c975015a9f5,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,144.34905,,,14.19813,,,,16.560199,-40.394871,4.805597,1.65039,-1.727754,-1.841757,-0.330457,0.499454,-1.60934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,22S
7,2022/5/7,04:03.8,2022/5/7,04:03.8,2,2,"Minoru, Makita",1000089793,Right,MEI_MEI,"Kiri, Takata",1000073715,Left,HOS_HOS,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,146.47066,-0.426493,-0.986243,2257.738459,208.382347,1:00,1.657746,0.315604,1.859397,-39.3913,46.6602,23.5538,1.14359,0.273105,131.94886,-3.43082,0.68444,0.418923,,,,,,,,,,,,-12.8099,25.1999,-0.293854,15.24,1.645217,0.569161,-40.249245,-0.423679,-2.676642,9.679818,-4.541135,MEI_MEI,HOS_HOS,JinguStadium,Undefined,Team,20220507-JinguStadium-1,f58c1c10-cda9-11ec-9571-09086a168a2c,d328373f-54e0-4b71-8070-7c975015a9f5,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,144.79993,,,14.5218,,,,16.579044,-40.570003,4.839909,1.656763,-0.273201,-2.270567,-0.314184,0.657856,-1.338321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,22S
8,2022/5/7,04:18.3,2022/5/7,04:18.3,2,3,"Minoru, Makita",1000089793,Right,MEI_MEI,"Kiri, Takata",1000073715,Left,HOS_HOS,Undefined,1,Top,1,1,1,Splitter,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,,132.42239,-2.68481,-2.075271,1210.53772,227.777362,1:30,1.690193,0.309198,1.70544,-86.2626,21.1027,19.0891,0.06248,-0.090738,120.6266,-8.931655,-0.732053,0.467936,,,,,,,,,,,,-11.3888,13.8732,-0.256521,15.24,1.613278,1.22524,-36.327015,-2.045565,-1.942604,7.748994,-7.440276,MEI_MEI,HOS_HOS,JinguStadium,Undefined,Team,20220507-JinguStadium-1,fe2de330-cda9-11ec-9571-09086a168a2c,d328373f-54e0-4b71-8070-7c975015a9f5,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,129.63309,,,11.7958,,,,16.734121,-36.644343,3.874497,1.690807,-1.740879,-3.720138,-0.308325,1.304791,-0.971302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,22S
9,2022/5/7,04:39.2,2022/5/7,04:39.2,2,4,"Minoru, Makita",1000089793,Right,MEI_MEI,"Kiri, Takata",1000073715,Left,HOS_HOS,Undefined,1,Top,1,2,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,FlyBall,Out,1,0,,144.37385,-0.941588,-1.79727,2261.473265,211.284535,1:00,1.64493,0.365099,1.87452,-39.6666,48.9597,27.7863,0.982937,0.136644,129.86274,-3.976023,0.174734,0.425144,140.36194,32.654317,6.586967,2556.64811,33.424913,19.690251,2.626077,96.555481,,2.160646,4.987046,-15.8633,27.0191,-0.325124,15.24,1.620667,1.106191,-39.663835,-0.774735,-3.209769,9.617731,-4.339626,MEI_MEI,HOS_HOS,JinguStadium,Undefined,Team,20220507-JinguStadium-1,0aa34790-cdaa-11ec-9571-09086a168a2c,d328373f-54e0-4b71-8070-7c975015a9f5,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,142.68111,24.992312,,14.51111,,,,16.564586,-39.983732,4.808866,1.644036,-0.630393,-2.169813,-0.363693,1.212952,-1.604885,0.354591,0.990105,-0.139056,165.299274,0.355521,32.590561,-6.08076,1.310246,-0.193206,0.013321,0.000432,-6.1e-05,-3e-06,0.989803,21.042597,-5.028308,0.199097,0.016246,-0.025379,0.009216,-0.001443,8.3e-05,-0.138787,3.759241,-1.69676,0.471816,-0.090033,0.010818,-0.000621,8e-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,22S
10,2022/5/7,05:15.5,2022/5/7,05:15.5,3,1,"Minoru, Makita",1000089793,Right,MEI_MEI,"Daiki, Saitoh",1000073731,Right,HOS_HOS,Undefined,1,Top,2,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,114.53494,2.672272,0.882842,2290.036894,41.321865,7:30,1.693318,0.196641,1.693484,-172.7733,-28.6715,-29.6855,0.727244,0.151223,104.05765,-9.748205,-1.205347,0.542112,,,,,,,,,,,,15.6587,-15.0573,-0.217503,15.24,1.750157,-0.356323,-31.447263,0.823769,1.991053,6.059908,-11.721236,MEI_MEI,HOS_HOS,JinguStadium,Undefined,Team,20220507-JinguStadium-1,20557a90-cdaa-11ec-9571-09086a168a2c,d328373f-54e0-4b71-8070-7c975015a9f5,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,111.8956,,,10.47729,,,,16.74694,-31.736323,3.029954,1.697528,1.382876,-5.860618,-0.198241,-0.451297,0.995527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,22S
