PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,Unnamed: 156,Unnamed: 157,umpire,season
1,2022/5/10,55:22.3,2022/5/10,55:22.3,1,1,"Kentaro, Shinogi",1000101178,Right,HOS_HOS,"Koji, Naoi",1000101248,Left,MEI_MEI,Undefined,1,Top,0,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,135.67387,-0.621223,-1.306689,2208.181614,126.658024,10:15,1.597724,0.678024,1.794595,-83.0594,17.0506,-18.5955,0.591261,0.122189,124.14303,-6.678296,-2.621014,0.451849,,,,,,,,,,,,8.5495,10.179,-0.644645,15.24,1.576753,0.940559,-37.313777,-0.730475,1.551248,7.617428,-7.959734,HOS_HOS,MEI_MEI,JinguStadium,TeamExclusive,Team,20220510-JinguStadium-2,0473a0a0-d015-11ec-ab69-0594551d1590,1dfb3b8a-7c6f-4c48-bc2b-66c601040ac2,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,134.24838,,,11.53084,,,,16.644856,-37.599477,3.808714,1.598552,-0.431936,-3.979867,-0.67883,0.882378,0.775624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,22S
2,2022/5/10,55:31.5,2022/5/10,55:31.5,1,2,"Kentaro, Shinogi",1000101178,Right,HOS_HOS,"Koji, Naoi",1000101248,Left,MEI_MEI,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,150.56116,-1.060345,-2.593442,2198.784928,204.616205,12:45,1.655078,0.609196,1.773286,-26.2312,55.3515,24.1383,1.091932,0.115122,136.90904,-3.091524,-0.892801,0.4079,,,,,,,,,,,,-14.106,29.7118,-0.546155,15.24,1.626716,1.741162,-41.365089,-0.838035,-3.149757,9.243992,-3.172217,HOS_HOS,MEI_MEI,JinguStadium,TeamExclusive,Team,20220510-JinguStadium-2,09de58a0-d015-11ec-ab69-0594551d1590,1dfb3b8a-7c6f-4c48-bc2b-66c601040ac2,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,148.71291,,,13.65212,,,,16.665874,-41.682515,4.621996,1.653622,-0.729105,-1.586108,-0.607801,1.849321,-1.574878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,22S
3,2022/5/10,55:40.6,2022/5/10,55:40.6,1,3,"Kentaro, Shinogi",1000101178,Right,HOS_HOS,"Koji, Naoi",1000101248,Left,MEI_MEI,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,149.85947,-2.513594,-1.893865,2101.483894,210.54525,1:00,1.601839,0.700369,1.75003,-30.3918,51.9743,29.1116,0.583726,0.453818,136.92907,-4.822087,0.156265,0.409854,,,,,,,,,,,,-16.071,28.9566,-0.654479,15.24,1.535835,1.20254,-41.172277,-1.906106,-3.567172,8.875318,-3.379355,HOS_HOS,MEI_MEI,JinguStadium,TeamExclusive,Team,20220510-JinguStadium-2,0f565710-d015-11ec-ab69-0594551d1590,1dfb3b8a-7c6f-4c48-bc2b-66c601040ac2,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,148.00402,,,12.93039,,,,16.689421,-41.483545,4.437659,1.600606,-1.787588,-1.689677,-0.698847,1.327645,-1.783586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,22S
4,2022/5/10,55:51.2,2022/5/10,55:51.2,1,4,"Kentaro, Shinogi",1000101178,Right,HOS_HOS,"Koji, Naoi",1000101248,Left,MEI_MEI,Undefined,1,Top,0,2,1,Cutter,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,132.40177,-0.078388,-2.340188,1081.147771,115.507439,9:45,1.558899,0.707563,1.65002,-95.6536,10.2618,-15.2084,0.579961,-0.113113,122.57918,-6.942104,-3.404397,0.464766,,,,,,,,,,,,6.174,6.1279,-0.642814,15.24,1.548725,1.562354,-36.418518,-0.450716,1.08037,6.444129,-8.734347,HOS_HOS,MEI_MEI,JinguStadium,TeamExclusive,Team,20220510-JinguStadium-2,15a55490-d015-11ec-ab69-0594551d1590,1dfb3b8a-7c6f-4c48-bc2b-66c601040ac2,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,130.51735,,,9.82259,,,,16.790089,-36.691775,3.222065,1.559985,-0.080343,-4.367174,-0.708093,1.516542,0.540185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,22S
5,2022/5/10,56:02.1,2022/5/10,56:02.1,1,5,"Kentaro, Shinogi",1000101178,Right,HOS_HOS,"Koji, Naoi",1000101248,Left,MEI_MEI,Undefined,1,Top,0,2,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,GroundBall,Single,0,0,,150.54949,-2.600712,-1.95356,2021.92112,208.292644,1:00,1.604804,0.612802,1.804987,-31.282,49.5173,25.3065,0.555475,0.313115,138.05029,-4.969085,-0.165466,0.405937,148.3764,-0.018321,-18.876086,2034.796768,,,,14.500276,,-22.470384,0.366213,-14.2945,27.9132,-0.566872,15.24,1.539164,1.278339,-41.386337,-1.983596,-3.215839,8.705543,-3.527009,HOS_HOS,MEI_MEI,JinguStadium,TeamExclusive,Team,20220510-JinguStadium-2,1c18a2f0-d015-11ec-ab69-0594551d1590,1dfb3b8a-7c6f-4c48-bc2b-66c601040ac2,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,149.43216,0.585603,,12.49919,,,,16.634815,-41.678701,4.352771,1.603792,-1.865146,-1.763504,-0.611617,1.386338,-1.607919,-0.068823,0.585603,-0.411512,,-0.066838,38.926946,-5.900088,,,,,,,0.58621,-0.035185,-4.279354,,,,,,,-0.41006,-13.387284,-1.721023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,22S
6,2022/5/10,56:49.9,2022/5/10,56:49.9,2,1,"Kentaro, Shinogi",1000101178,Right,HOS_HOS,"Wataru, Hioki",1000073666,Right,MEI_MEI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,1,144.68047,-1.244752,-2.561828,2189.104412,203.969373,12:45,1.633764,0.629011,1.829856,-33.4565,53.9004,22.7429,0.947271,0.132492,132.23908,-3.794852,-0.953802,0.422088,,,,,,,,,,,,-13.5742,29.5124,-0.569154,15.24,1.601748,1.668316,-39.78699,-0.969343,-2.813698,8.286296,-3.689227,HOS_HOS,MEI_MEI,JinguStadium,TeamExclusive,Team,20220510-JinguStadium-2,38a634f0-d015-11ec-ab69-0594551d1590,1dfb3b8a-7c6f-4c48-bc2b-66c601040ac2,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,143.71399,,,12.44139,,,,16.610158,-40.071332,4.143148,1.632839,-0.842748,-1.844614,-0.628058,1.764867,-1.406849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,22S
7,2022/5/10,57:17.3,2022/5/10,57:17.3,2,2,"Kentaro, Shinogi",1000101178,Right,HOS_HOS,"Wataru, Hioki",1000073666,Right,MEI_MEI,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,1,146.09609,-0.27244,-3.025927,2231.928802,207.790486,1:00,1.60895,0.626967,1.812268,-33.532,52.9895,26.4004,1.1965,0.034718,132.42402,-2.842004,-1.162506,0.420065,,,,,,,,,,,,-15.9312,28.3282,-0.555338,15.24,1.600141,1.988491,-40.136726,-0.295577,-3.334412,9.053477,-3.877549,HOS_HOS,MEI_MEI,JinguStadium,TeamExclusive,Team,20220510-JinguStadium-2,48f773f0-d015-11ec-ab69-0594551d1590,1dfb3b8a-7c6f-4c48-bc2b-66c601040ac2,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,144.40617,,,13.67207,,,,16.627513,-40.448491,4.526739,1.60802,-0.16205,-1.938775,-0.62579,2.103315,-1.667206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,22S
8,2022/5/10,57:56.9,2022/5/10,57:56.9,2,3,"Kentaro, Shinogi",1000101178,Right,HOS_HOS,"Wataru, Hioki",1000073666,Right,MEI_MEI,Undefined,1,Top,0,0,2,Cutter,Slider,InPlay,Undefined,Bunt,,Out,2,0,1,131.664,1.624511,-1.376684,1494.712448,101.245896,9:15,1.595682,0.675174,1.671537,-100.2528,7.0208,-19.2778,1.056666,0.089737,120.97971,-5.607479,-2.727665,0.467736,,,,,,,,,,,,8.8632,3.2916,-0.636735,15.24,1.630858,0.962278,-36.211356,0.614454,1.525234,6.717809,-9.240204,HOS_HOS,MEI_MEI,JinguStadium,TeamExclusive,Team,20220510-JinguStadium-2,608ee1b0-d015-11ec-ab69-0594551d1590,1dfb3b8a-7c6f-4c48-bc2b-66c601040ac2,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,129.68842,,,10.68428,,,,16.768715,-36.493856,3.358905,1.596848,1.003026,-4.620102,-0.675852,0.898138,0.762617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,22S
9,2022/5/10,58:29.9,2022/5/10,58:29.9,3,1,"Kentaro, Shinogi",1000101178,Right,HOS_HOS,"Rui, Muneyama",1000101247,Left,MEI_MEI,Undefined,1,Top,2,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,,152.30425,-1.217096,-2.676182,2340.078033,203.221191,12:45,1.598893,0.613403,1.761583,-29.1257,50.7522,20.6522,0.962046,0.060424,138.51441,-3.44563,-1.222375,0.403616,,,,,,,,,,,,-12.4945,27.5556,-0.547594,15.24,1.566207,1.843381,-41.842219,-0.98392,-2.852522,9.524439,-3.515647,HOS_HOS,MEI_MEI,JinguStadium,TeamExclusive,Team,20220510-JinguStadium-2,743231e0-d015-11ec-ab69-0594551d1590,1dfb3b8a-7c6f-4c48-bc2b-66c601040ac2,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,150.29148,,,13.78984,,,,16.677995,-42.168275,4.762219,1.597831,-0.863567,-1.757823,-0.612371,1.941034,-1.426261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,22S
10,2022/5/10,58:52.9,2022/5/10,58:52.9,3,2,"Kentaro, Shinogi",1000101178,Right,HOS_HOS,"Rui, Muneyama",1000101247,Left,MEI_MEI,Undefined,1,Top,2,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,151.71319,-0.062615,-3.750924,2127.469204,202.768161,12:45,1.605894,0.644274,1.836716,-27.5308,52.0733,20.8063,1.312873,-0.207999,138.28321,-2.183835,-2.282292,0.402923,,,,,,,,,,,,-13.236,27.4788,-0.556039,15.24,1.60251,2.61964,-41.66775,-0.122295,-3.008967,9.092611,-3.559858,HOS_HOS,MEI_MEI,JinguStadium,TeamExclusive,Team,20220510-JinguStadium-2,81efcdb0-d015-11ec-ab69-0594551d1590,1dfb3b8a-7c6f-4c48-bc2b-66c601040ac2,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,150.54977,,,13.42997,,,,16.602503,-41.964018,4.546305,1.604605,-0.006303,-1.779929,-0.642993,2.717682,-1.504484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,22S
