PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,Unnamed: 156,Unnamed: 157,umpire,season
1,2022/5/15,00:20.7,2022/5/15,00:20.7,1,1,"Naoya, Shimada",1000074158,Right,RIK,"Toyo, Kumada",1000089879,Left,WAS_EDA,Undefined,1,Top,0,0,0,Slider,Slider,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,131.0759,0.25027,-1.140973,2519.364847,71.760455,8:30,1.706277,0.338097,1.939245,-105.8747,-1.7734,-14.2856,0.717744,-0.124836,121.45896,-7.464122,-2.160501,0.460768,129.74489,-0.216474,19.463975,941.574184,,,,13.02858,12.6154,19.307229,0.367517,6.7502,-0.2635,-0.312159,15.24,1.705841,0.779722,-36.132856,-0.224509,1.160924,6.44528,-9.851968,RIK,WAS_EDA,JinguStadium,TeamExclusive,Team,20220515-JinguStadium-1,c60b52e0-d3f2-11ec-b000-2dd98ddb16d7,466f6685-8c4d-4271-8bd9-211ffe9b3ad7,v3,,,,"Yosuke, Kuroiwa",1000089907.0,Right,RIK,131.64969,0.729222,,9.61694,,,,16.501307,-36.357148,3.22264,1.707689,0.118334,-4.925984,-0.33859,0.739322,0.580462,0.311232,0.729222,0.138669,60.410283,0.31237,33.939014,-3.633661,,,,,,,0.730145,-0.169562,-4.951004,,,,,,,0.139317,11.98551,-1.75566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,22S
2,2022/5/15,00:45.9,2022/5/15,00:45.9,2,1,"Naoya, Shimada",1000074158,Right,RIK,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,121.26466,1.159055,0.085059,2442.878637,34.904264,7:15,1.705038,0.316466,1.745691,-148.7885,-24.5589,-19.4835,0.546221,0.145777,113.10256,-9.491302,-1.291239,0.503347,,,,,,,,,,,,9.9872,-12.183,-0.317171,15.24,1.723427,0.034299,-33.424211,0.106979,1.474207,5.346686,-11.604979,RIK,WAS_EDA,JinguStadium,TeamExclusive,Team,20220515-JinguStadium-1,d523c3c0-d3f2-11ec-b000-2dd98ddb16d7,466f6685-8c4d-4271-8bd9-211ffe9b3ad7,v3,,,,"Yosuke, Kuroiwa",1000089907.0,Right,RIK,120.51336,,,8.1621,,,,16.695578,-33.656246,2.673343,1.707856,0.610612,-5.802489,-0.317271,-0.029679,0.737104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,22S
3,2022/5/15,00:55.5,2022/5/15,00:55.5,2,2,"Naoya, Shimada",1000074158,Right,RIK,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Top,1,0,1,Splitter,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,,136.65155,-1.841561,0.494863,1602.287378,208.924679,1:00,1.699379,0.336811,1.981797,-66.278,29.2884,14.6178,0.521224,0.621431,126.12027,-6.739121,1.540675,0.441476,,,,,,,,,,,,-7.2951,17.4953,-0.348024,15.24,1.656649,-0.390282,-37.635805,-1.435161,-1.359323,7.08911,-6.54669,RIK,WAS_EDA,JinguStadium,TeamExclusive,Team,20220515-JinguStadium-1,dac458d0-d3f2-11ec-b000-2dd98ddb16d7,466f6685-8c4d-4271-8bd9-211ffe9b3ad7,v3,,,,"Yosuke, Kuroiwa",1000089907.0,Right,RIK,137.40269,,,10.53128,,,,16.457691,-37.864476,3.544555,1.699536,-1.223987,-3.273345,-0.336142,-0.346435,-0.679661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,22S
4,2022/5/15,01:14.9,2022/5/15,01:14.9,2,3,"Naoya, Shimada",1000074158,Right,RIK,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Top,1,1,1,Slider,Slider,FoulBall,Undefined,Undefined,LineDrive,Undefined,0,0,,131.04526,0.66888,0.24037,2617.249405,87.265704,9:00,1.67298,0.353789,1.940432,-102.0981,2.1874,-17.3001,0.839612,0.248206,121.00997,-6.794222,-0.994428,0.461176,149.21678,26.257009,-36.604944,4134.736451,24.709496,14.120997,-22.662006,93.757521,85.422434,-52.033831,4.024468,9.1946,1.6255,-0.35816,15.24,1.682035,-0.077477,-36.119066,0.053607,1.577754,6.537372,-9.527721,RIK,WAS_EDA,JinguStadium,TeamExclusive,Team,20220515-JinguStadium-1,e66667a0-d3f2-11ec-b000-2dd98ddb16d7,466f6685-8c4d-4271-8bd9-211ffe9b3ad7,v3,,,,"Yosuke, Kuroiwa",1000089907.0,Right,RIK,131.53332,16.998998,,10.03529,,,,16.499822,-36.346372,3.268686,1.674412,0.384888,-4.763861,-0.354512,-0.132336,0.788877,-0.080167,0.799015,-0.249416,127.119613,-0.080165,29.841614,-7.719333,2.007924,-0.512637,0.126418,-0.028374,0.004194,-0.000267,0.799185,18.331517,-5.77074,0.300377,0.076858,-0.066562,0.023159,-0.003871,0.00025,-0.249362,-22.16783,0.671493,0.368398,-0.157354,0.030683,-0.001614,-0.000419,5.2e-05,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,22S
5,2022/5/15,01:40.1,2022/5/15,01:40.1,2,4,"Naoya, Shimada",1000074158,Right,RIK,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Top,1,1,2,Splitter,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,,138.42321,-4.251719,-1.262767,1598.440693,231.205838,1:45,1.657792,0.341652,2.02663,-68.8046,24.5153,26.8994,-0.218818,0.258317,127.83994,-9.302857,0.669428,0.436256,,,,,,,,,,,,-15.3138,16.7488,-0.317062,15.24,1.566972,0.728228,-38.050466,-3.060399,-2.902268,7.603244,-6.632432,RIK,WAS_EDA,JinguStadium,TeamExclusive,Team,20220515-JinguStadium-1,f55cd190-d3f2-11ec-b000-2dd98ddb16d7,466f6685-8c4d-4271-8bd9-211ffe9b3ad7,v3,,,,"Yosuke, Kuroiwa",1000089907.0,Right,RIK,139.04667,,,10.58327,,,,16.41395,-38.284326,3.801622,1.657966,-2.856399,-3.316216,-0.340834,0.817496,-1.451134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,22S
6,2022/5/15,02:01.6,2022/5/15,02:01.6,2,5,"Naoya, Shimada",1000074158,Right,RIK,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Top,1,2,2,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,134.15787,-2.410484,-2.085307,1928.657017,92.878614,9:00,1.655572,0.337345,1.986169,-96.3412,3.9116,-14.0545,0.017165,-0.386664,123.42,-9.435372,-3.091684,0.452171,,,,,,,,,,,,5.8852,4.6928,-0.292354,15.24,1.599343,1.402305,-36.90084,-1.894611,1.041645,7.622206,-8.976061,RIK,WAS_EDA,JinguStadium,TeamExclusive,Team,20220515-JinguStadium-1,0234c850-d3f3-11ec-b000-2dd98ddb16d7,466f6685-8c4d-4271-8bd9-211ffe9b3ad7,v3,,,,"Yosuke, Kuroiwa",1000089907.0,Right,RIK,134.15275,,,10.73787,,,,16.454079,-37.150773,3.811103,1.656642,-1.600285,-4.488031,-0.337776,1.368149,0.520823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,22S
7,2022/5/15,02:17.4,2022/5/15,02:17.4,2,6,"Naoya, Shimada",1000074158,Right,RIK,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Top,1,3,2,Slider,Slider,FoulBall,Undefined,Undefined,,Undefined,0,0,,132.26896,0.117537,-0.667904,2567.04579,67.936893,8:15,1.666582,0.372209,1.940179,-108.2958,-5.2429,-20.7534,0.616592,-0.022665,121.63866,-7.784475,-2.149929,0.458442,,,,,,,,,,,,10.4159,-1.9808,-0.356356,15.24,1.66312,0.513433,-36.441415,-0.321186,1.805271,7.16679,-10.149963,RIK,WAS_EDA,JinguStadium,TeamExclusive,Team,20220515-JinguStadium-1,0b9fabd0-d3f3-11ec-b000-2dd98ddb16d7,466f6685-8c4d-4271-8bd9-211ffe9b3ad7,v3,,,,"Yosuke, Kuroiwa",1000089907.0,Right,RIK,132.31758,,,10.6303,,,,16.500237,-36.688424,3.583395,1.668161,0.02864,-5.074981,-0.37298,0.451213,0.902636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,22S
8,2022/5/15,02:37.6,2022/5/15,02:37.6,2,7,"Naoya, Shimada",1000074158,Right,RIK,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Top,1,3,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,,131.58819,-1.012457,-0.169022,2606.066586,54.951044,7:45,1.657256,0.357932,1.962,-111.4317,-8.3934,-16.1105,0.259323,0.149485,122.3057,-9.105803,-1.322611,0.45841,,,,,,,,,,,,8.3367,-2.8235,-0.353453,15.24,1.629396,0.174945,-36.28045,-1.046112,1.444533,6.542955,-10.295888,RIK,WAS_EDA,JinguStadium,TeamExclusive,Team,20220515-JinguStadium-1,17afbeb0-d3f3-11ec-b000-2dd98ddb16d7,466f6685-8c4d-4271-8bd9-211ffe9b3ad7,v3,,,,"Yosuke, Kuroiwa",1000089907.0,Right,RIK,132.32701,,,9.28249,,,,16.478574,-36.503135,3.271478,1.659037,-0.695698,-5.147944,-0.358571,0.125782,0.722267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.99795,,,1.038721,,,,0.116699,1.388991,-0.809123,22.360406,1.302827,-15.671569,0.124911,22.802454,-1.341131,1.413214,4.603411,-4.525638,-0.850962,-16.945977,2.564692,,,榊原 啓資,22S
9,2022/5/15,03:02.0,2022/5/15,03:02.0,3,1,"Naoya, Shimada",1000074158,Right,RIK,"Masaki, Nakamura",1000089877,Right,WAS_EDA,Undefined,1,Top,2,0,0,Fastball,Cutter,BallCalled,Undefined,Undefined,,Undefined,0,0,,142.12579,-0.637554,-1.344062,2518.526806,174.792701,11:45,1.665905,0.348281,2.14878,-42.6214,43.9184,-3.7678,1.063138,-0.061551,130.52482,-3.888472,-1.616079,0.42011,,,,,,,,,,,,1.0974,24.7093,-0.323458,15.24,1.6523,0.93533,-39.178704,-0.548227,0.221235,7.806903,-4.825359,RIK,WAS_EDA,JinguStadium,TeamExclusive,Team,20220515-JinguStadium-1,263628c0-d3f3-11ec-b000-2dd98ddb16d7,466f6685-8c4d-4271-8bd9-211ffe9b3ad7,v3,,,,"Yosuke, Kuroiwa",1000089907.0,Right,RIK,144.39091,,,11.60097,,,,16.290685,-39.387511,3.903452,1.665237,-0.419165,-2.41268,-0.348396,0.929413,0.110618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,22S
10,2022/5/15,03:12.8,2022/5/15,03:12.8,3,2,"Naoya, Shimada",1000074158,Right,RIK,"Masaki, Nakamura",1000089877,Right,WAS_EDA,Undefined,1,Top,2,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,146.53751,-4.274359,-2.483109,2605.257468,196.037959,12:30,1.637356,0.364442,2.123148,-41.5768,40.9791,11.0162,0.03306,-0.214353,134.39811,-7.414636,-1.689337,0.410326,,,,,,,,,,,,-7.6845,25.7813,-0.318049,15.24,1.554818,1.698153,-40.251454,-3.130514,-1.626741,8.654366,-4.348939,RIK,WAS_EDA,JinguStadium,TeamExclusive,Team,20220515-JinguStadium-1,2c9bbb80-d3f3-11ec-b000-2dd98ddb16d7,466f6685-8c4d-4271-8bd9-211ffe9b3ad7,v3,,,,"Yosuke, Kuroiwa",1000089907.0,Right,RIK,147.83374,,,12.1394,,,,16.316813,-40.482315,4.327183,1.63678,-3.014503,-2.174469,-0.363927,1.741547,-0.813371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,22S
