PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,Unnamed: 156,Unnamed: 157,umpire,season
1,2022/5/17,00:53.9,2022/5/17,00:53.9,1,1,"Minoru, Makita",1000089793,Right,MEI_MEI,"Akihiro, Yamamoto",1000073452,Left,KEI_KEI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,144.98027,-1.990043,-0.760234,2259.995397,208.483256,1:00,1.645219,0.39141,1.871764,-38.683,47.6725,24.4138,0.697577,0.4214,132.92126,-4.90446,0.973192,0.419662,,,,,,,,,,,,-13.0898,26.7954,-0.375196,15.24,1.59652,0.407546,-39.894761,-1.511105,-2.732865,8.190775,-4.212341,MEI_MEI,KEI_KEI,JinguStadium,Undefined,Team,20220517-JinguStadium-1,9000a870-d58d-11ec-a21c-d3e6f6e60c11,673a882b-6848-4d12-92ee-907632d42b2a,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,144.54487,,,12.05901,,,,16.567737,-40.166433,4.095387,1.644323,-1.37139,-2.106171,-0.390217,0.49819,-1.366432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,萩原 俊幸,22S
2,2022/5/17,01:06.7,2022/5/17,01:06.7,1,2,"Minoru, Makita",1000089793,Right,MEI_MEI,"Akihiro, Yamamoto",1000073452,Left,KEI_KEI,Undefined,1,Top,0,0,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,114.82086,1.634406,-0.052806,2161.898448,60.367697,8:00,1.684095,0.258076,1.702496,-157.9457,-17.6575,-38.227,0.569957,-0.139224,106.50993,-9.670875,-2.744298,0.534891,,,,,,,,,,,,19.3875,-8.8898,-0.253605,15.24,1.714402,0.187811,-31.614924,0.324706,2.542568,5.130935,-10.972502,MEI_MEI,KEI_KEI,JinguStadium,Undefined,Team,20220517-JinguStadium-1,97bbe020-d58d-11ec-a21c-d3e6f6e60c11,673a882b-6848-4d12-92ee-907632d42b2a,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,113.40628,,,8.31093,,,,16.738624,-31.857214,2.565467,1.686836,0.842844,-5.486251,-0.259639,0.067747,1.271284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,萩原 俊幸,22S
3,2022/5/17,01:21.1,2022/5/17,01:21.1,1,3,"Minoru, Makita",1000089793,Right,MEI_MEI,"Akihiro, Yamamoto",1000073452,Left,KEI_KEI,Undefined,1,Top,0,0,2,Splitter,Splitter,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,,130.93925,0.130345,-0.179168,1089.870977,245.189571,2:15,1.726817,0.282582,1.667191,-100.3958,8.333,10.725,0.760039,0.338727,120.23533,-7.10719,0.573679,0.470898,,,,,,,,,,,,-5.5174,5.1815,-0.278677,15.24,1.722119,0.060118,-36.014953,-0.333685,-0.936704,6.816315,-8.926973,MEI_MEI,KEI_KEI,JinguStadium,Undefined,Team,20220517-JinguStadium-1,a03fe610-d58d-11ec-a21c-d3e6f6e60c11,673a882b-6848-4d12-92ee-907632d42b2a,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,128.81768,,,10.70392,,,,16.772395,-36.303821,3.408158,1.728244,0.04463,-4.463486,-0.282065,0.099814,-0.468352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.42903,2.748391,1.859328,0.889063,-0.341537,0.661048,-0.346712,0.643534,1.555463,-1.269471,20.74116,1.858832,-17.290583,0.670264,24.071316,-1.666514,1.562612,3.562109,-3.627038,-1.295197,-19.390605,1.558431,,,萩原 俊幸,22S
4,2022/5/17,01:51.5,2022/5/17,01:51.5,2,1,"Minoru, Makita",1000089793,Right,MEI_MEI,"Haruto, Asahi",1000073390,Left,KEI_KEI,Undefined,1,Top,1,0,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,LineDrive,Single,0,0,,147.44713,-1.470705,-2.05683,2330.593181,217.634876,1:15,1.644095,0.380056,1.87466,-40.3712,43.1564,31.2744,0.825844,0.113306,135.00112,-4.505387,0.162703,0.412733,159.3982,10.060845,0.334551,753.367259,33.513936,4.266016,-0.968558,67.334123,67.334123,-3.378625,1.936017,-17.7126,24.1828,-0.334336,15.24,1.607488,1.303451,-40.572981,-1.181489,-3.820273,8.568573,-4.590865,MEI_MEI,KEI_KEI,JinguStadium,Undefined,Team,20220517-JinguStadium-1,b248e730-d58d-11ec-a21c-d3e6f6e60c11,673a882b-6848-4d12-92ee-907632d42b2a,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,146.97135,4.276187,,12.44601,,,,16.565458,-40.851944,4.284286,1.64352,-1.032026,-2.295433,-0.378796,1.427826,-1.910136,0.82338,0.868039,-0.115671,129.744488,0.823385,43.59512,-6.724524,1.365433,-0.237053,0.017402,0.00639,-0.002372,0.000261,0.868028,7.73619,-4.571805,0.285446,-0.154501,0.107606,-0.046526,0.011106,-0.001112,-0.115658,0.253188,-1.876337,0.485694,-0.002622,-0.081483,0.044223,-0.011113,0.00113,,,,,,,,,,,,,,,,,,,,,,,,,萩原 俊幸,22S
5,2022/5/17,02:44.7,2022/5/17,02:44.7,3,1,"Minoru, Makita",1000089793,Right,MEI_MEI,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,1,143.46668,-2.779878,-3.768796,2211.006538,213.633019,1:00,1.635508,0.403229,1.865266,-42.0653,47.0759,29.3434,0.429215,-0.366858,130.84525,-5.944226,-1.692433,0.426377,,,,,,,,,,,,-17.8274,27.1815,-0.316937,15.24,1.567785,2.447067,-39.35612,-2.05256,-3.603794,8.360798,-4.311942,MEI_MEI,KEI_KEI,JinguStadium,Undefined,Team,20220517-JinguStadium-1,d2085830-d58d-11ec-a21c-d3e6f6e60c11,673a882b-6848-4d12-92ee-907632d42b2a,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,142.26843,,,12.62143,,,,16.574171,-39.638537,4.180399,1.634658,-1.906908,-2.155971,-0.401652,2.568799,-1.801897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,萩原 俊幸,22S
6,2022/5/17,03:05.5,2022/5/17,03:05.5,3,2,"Minoru, Makita",1000089793,Right,MEI_MEI,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,1,144.31076,-1.998044,-1.222058,2248.083574,207.263597,1:00,1.676131,0.33065,1.864772,-36.8289,50.8904,24.7456,0.744451,0.233687,131.572,-4.794922,0.533812,0.422963,,,,,,,,,,,,-13.6254,28.5617,-0.303612,15.24,1.627109,0.722963,-39.683325,-1.497909,-2.798767,8.544175,-3.939843,MEI_MEI,KEI_KEI,JinguStadium,Undefined,Team,20220517-JinguStadium-1,de6f3da0-d58d-11ec-a21c-d3e6f6e60c11,673a882b-6848-4d12-92ee-907632d42b2a,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,143.41684,,,12.73877,,,,16.574585,-39.96964,4.272088,1.675092,-1.365885,-1.969922,-0.32941,0.81675,-1.399383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,萩原 俊幸,22S
7,2022/5/17,04:00.6,2022/5/17,04:00.6,3,3,"Minoru, Makita",1000089793,Right,MEI_MEI,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,1,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,1,146.10817,-2.343488,-1.187285,2237.599994,208.625159,1:00,1.664054,0.367903,1.899588,-34.629,50.7744,26.1537,0.658301,0.295546,132.9704,-4.987538,0.672542,0.417342,,,,,,,,,,,,-14.3647,28.8606,-0.342354,15.24,1.608588,0.701049,-40.167305,-1.74526,-3.016716,8.920252,-3.745672,MEI_MEI,KEI_KEI,JinguStadium,Undefined,Team,20220517-JinguStadium-1,ff44d990-d58d-11ec-a21c-d3e6f6e60c11,673a882b-6848-4d12-92ee-907632d42b2a,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,145.34839,,,13.13778,,,,16.539613,-40.454891,4.460126,1.662908,-1.624501,-1.872836,-0.366524,0.798307,-1.508358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,萩原 俊幸,22S
8,2022/5/17,04:25.6,2022/5/17,04:25.6,3,4,"Minoru, Makita",1000089793,Right,MEI_MEI,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,1,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,1,146.27546,-2.086313,-0.293312,2253.421521,210.280534,1:00,1.682439,0.334954,1.878863,-31.6445,53.4424,29.6064,0.778332,0.548436,133.55491,-4.50871,1.809431,0.416568,,,,,,,,,,,,-15.8094,30.2249,-0.330094,15.24,1.632356,0.065818,-40.256521,-1.563077,-3.341032,8.812924,-3.41917,MEI_MEI,KEI_KEI,JinguStadium,Undefined,Team,20220517-JinguStadium-1,0e3cf130-d58e-11ec-a21c-d3e6f6e60c11,673a882b-6848-4d12-92ee-907632d42b2a,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,145.61844,,,12.72055,,,,16.561564,-40.544805,4.406462,1.681657,-1.451231,-1.709585,-0.334035,0.175108,-1.670516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,萩原 俊幸,22S
9,2022/5/17,04:53.3,2022/5/17,04:53.3,3,5,"Minoru, Makita",1000089793,Right,MEI_MEI,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,1,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,1,145.50322,-2.327392,-3.788509,2225.941952,212.043812,1:00,1.636978,0.368678,1.893177,-37.8295,48.0212,28.3676,0.602199,-0.414899,133.27417,-5.184965,-1.77818,0.418434,,,,,,,,,,,,-17.2007,27.246,-0.283596,15.24,1.581297,2.504355,-39.952782,-1.746145,-3.60364,8.169618,-4.098461,MEI_MEI,KEI_KEI,JinguStadium,Undefined,Team,20220517-JinguStadium-1,1eb1bdc0-d58e-11ec-a21c-d3e6f6e60c11,673a882b-6848-4d12-92ee-907632d42b2a,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,144.96917,,,12.22905,,,,16.546353,-40.219021,4.084809,1.636025,-1.612581,-2.04923,-0.367124,2.621794,-1.80182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,萩原 俊幸,22S
10,2022/5/17,05:20.4,2022/5/17,05:20.4,3,6,"Minoru, Makita",1000089793,Right,MEI_MEI,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,1,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,,Undefined,0,0,1,146.06416,-3.640597,-1.692875,2265.896572,204.717632,12:45,1.647265,0.38759,1.856791,-29.8977,55.6795,24.3715,0.320055,0.15389,133.82046,-5.924456,0.03492,0.417767,,,,,,,,,,,,-13.7968,32.1398,-0.349378,15.24,1.559724,1.065402,-40.124908,-2.640472,-2.910796,8.368274,-3.025934,MEI_MEI,KEI_KEI,JinguStadium,Undefined,Team,20220517-JinguStadium-1,2edd7360-d58e-11ec-a21c-d3e6f6e60c11,673a882b-6848-4d12-92ee-907632d42b2a,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,145.20066,,,12.2437,,,,16.583129,-40.404054,4.184137,1.646121,-2.539534,-1.512967,-0.386536,1.162499,-1.455398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,萩原 俊幸,22S
