PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,Unnamed: 156,Unnamed: 157,umpire,season
1,2022/5/21,01:47.8,2022/5/21,01:47.8,1,1,"Minoru, Makita",1000089793,Right,MEI_MEI,"Satoru, Michihara",1000074062,Left,RIK,Undefined,1,Top,0,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,112.65022,3.365026,0.712969,2159.362308,47.403751,7:30,1.689715,0.290377,1.584887,-162.4338,-13.7136,-19.859,1.031241,0.29619,103.56746,-8.231546,-0.672432,0.550731,,,,,,,,,,,,10.3418,-7.6433,-0.308646,15.24,1.770081,-0.297773,-30.935955,1.201144,1.296458,4.992661,-10.76482,MEI_MEI,RIK,JinguStadium,Undefined,Team,20220521-JinguStadium-1,f94c90e0-d8a9-11ec-8cec-57bab46c70e8,c733f667-274c-4e27-9d03-166c8a43f2f0,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,110.14448,,,9.08276,,,,16.855487,-31.195584,2.49633,1.693064,1.760938,-5.38241,-0.291408,-0.365191,0.648229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,22S
2,2022/5/21,02:03.0,2022/5/21,02:03.0,1,2,"Minoru, Makita",1000089793,Right,MEI_MEI,"Satoru, Michihara",1000074062,Left,RIK,Undefined,1,Top,0,1,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,FlyBall,Out,1,0,,141.80751,-2.732248,-1.454138,2201.907991,213.327243,1:00,1.668187,0.385994,1.834981,-38.4758,52.7622,32.7198,0.511246,0.302582,129.45753,-5.640446,0.863273,0.431363,127.18508,35.844298,10.62694,2539.171391,33.316857,19.553404,3.756823,86.212628,85.239333,2.428554,4.728876,-17.9591,30.0769,-0.353449,15.24,1.600423,0.830163,-38.974742,-1.982315,-3.559068,8.227544,-3.846132,MEI_MEI,RIK,JinguStadium,Undefined,Team,20220521-JinguStadium-1,02404890-d8aa-11ec-8cec-57bab46c70e8,c733f667-274c-4e27-9d03-166c8a43f2f0,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,140.62413,22.380578,,12.34998,,,,16.604821,-39.261798,4.113772,1.667244,-1.848125,-1.923066,-0.38458,0.954338,-1.779534,0.527011,0.523093,-0.301275,148.15835,0.528145,28.120128,-4.247081,0.667985,0.062764,-0.089842,0.026842,-0.003505,0.000173,0.522487,20.700376,-5.481325,0.381453,-0.093828,0.023979,-0.001828,-0.000268,3.5e-05,-0.300947,5.274985,-2.464426,0.711509,-0.127741,0.005842,0.001717,-0.000206,3e-06,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,22S
3,2022/5/21,02:39.8,2022/5/21,02:39.8,2,1,"Minoru, Makita",1000089793,Right,MEI_MEI,"Kyosuke, Shibata",1000101303,Left,RIK,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,144.33711,-2.266599,-1.759357,2204.332025,208.910441,1:00,1.670945,0.415947,1.861271,-32.4851,55.3683,28.9674,0.706609,0.209583,131.44122,-4.758175,0.294772,0.423286,,,,,,,,,,,,-16.1708,31.0497,-0.376506,15.24,1.615741,1.072998,-39.67137,-1.661928,-3.317437,8.589765,-3.436799,MEI_MEI,RIK,JinguStadium,Undefined,Team,20220521-JinguStadium-1,183e78b0-d8aa-11ec-8cec-57bab46c70e8,c733f667-274c-4e27-9d03-166c8a43f2f0,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,143.30735,,,12.89589,,,,16.578064,-39.960042,4.294882,1.669652,-1.546429,-1.7184,-0.414439,1.184485,-1.658719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,22S
4,2022/5/21,02:53.3,2022/5/21,02:53.3,2,2,"Minoru, Makita",1000089793,Right,MEI_MEI,"Kyosuke, Shibata",1000101303,Left,RIK,Undefined,1,Top,1,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,115.19034,-0.035538,-0.021444,2351.200047,44.489809,7:30,1.680582,0.29954,1.700913,-167.3723,-26.8352,-30.7075,-0.003258,-0.01364,106.69024,-11.963787,-2.189661,0.535365,,,,,,,,,,,,15.7038,-12.6031,-0.296449,15.24,1.666325,0.137701,-31.707065,-0.632077,2.051002,5.6542,-11.452685,MEI_MEI,RIK,JinguStadium,Undefined,Team,20220521-JinguStadium-1,204b52d0-d8aa-11ec-8cec-57bab46c70e8,c733f667-274c-4e27-9d03-166c8a43f2f0,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,113.30581,,,8.5001,,,,16.740286,-31.973486,2.8271,1.683394,-0.092436,-5.726342,-0.30066,0.04106,1.025501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,22S
5,2022/5/21,03:14.1,2022/5/21,03:14.1,2,3,"Minoru, Makita",1000089793,Right,MEI_MEI,"Kyosuke, Shibata",1000101303,Left,RIK,Undefined,1,Top,1,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,143.57172,-2.764567,-1.134712,2327.030088,207.255306,1:00,1.660463,0.41588,1.861231,-33.6859,54.8586,26.7868,0.543639,0.363883,131.24862,-5.330875,0.765586,0.424948,,,,,,,,,,,,-14.5689,31.0886,-0.390932,15.24,1.593507,0.648322,-39.467914,-2.00346,-2.967943,8.250007,-3.473354,MEI_MEI,RIK,JinguStadium,Undefined,Team,20220521-JinguStadium-1,2ca3b950-d8aa-11ec-8cec-57bab46c70e8,c733f667-274c-4e27-9d03-166c8a43f2f0,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,142.747,,,12.3231,,,,16.578178,-39.74665,4.125003,1.659214,-1.886109,-1.736677,-0.41453,0.748597,-1.483972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,22S
6,2022/5/21,03:31.7,2022/5/21,03:31.7,2,4,"Minoru, Makita",1000089793,Right,MEI_MEI,"Kyosuke, Shibata",1000101303,Left,RIK,Undefined,1,Top,1,1,2,Splitter,Changeup,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,,131.67162,-0.849886,-1.440977,1213.373719,251.221524,2:15,1.704987,0.314114,1.647287,-96.1229,10.3356,21.9071,0.500946,0.121572,122.60618,-7.731121,0.095212,0.465956,,,,,,,,,,,,-11.9415,6.5925,-0.276917,15.24,1.673762,0.806558,-36.255534,-0.940223,-2.082685,6.0134,-8.656865,MEI_MEI,RIK,JinguStadium,Undefined,Team,20220521-JinguStadium-1,372c41d0-d8aa-11ec-8cec-57bab46c70e8,c733f667-274c-4e27-9d03-166c8a43f2f0,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,130.18401,,,9.06544,,,,16.793109,-36.512226,3.0067,1.70601,-0.57069,-4.328432,-0.313243,0.895461,-1.041342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,22S
7,2022/5/21,04:06.9,2022/5/21,04:06.9,3,1,"Minoru, Makita",1000089793,Right,MEI_MEI,"Jinto, Miyazaki",1000074131,Right,RIK,Undefined,1,Top,2,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,131.78426,-0.35804,-2.847424,2287.397405,172.235192,11:45,1.690184,0.342153,1.687015,-89.3956,17.3698,-1.9396,0.694098,-0.48913,121.61839,-6.80772,-2.983373,0.466627,,,,,,,,,,,,-0.8971,10.0102,-0.266637,15.24,1.673572,1.811076,-36.223774,-0.58879,-0.154967,6.517773,-8.07744,MEI_MEI,RIK,JinguStadium,Undefined,Team,20220521-JinguStadium-1,4c3340b0-d8aa-11ec-8cec-57bab46c70e8,c733f667-274c-4e27-9d03-166c8a43f2f0,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,129.99675,,,10.16587,,,,16.75267,-36.494934,3.258887,1.691078,-0.252742,-4.03872,-0.342118,1.817523,-0.077483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,22S
8,2022/5/21,04:21.2,2022/5/21,04:21.2,3,2,"Minoru, Makita",1000089793,Right,MEI_MEI,"Jinto, Miyazaki",1000074131,Right,RIK,Undefined,1,Top,2,1,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,LineDrive,Undefined,0,0,,144.91142,-2.339003,-2.967287,2281.222333,209.602672,1:00,1.665175,0.396537,1.838947,-34.8906,51.58,27.8568,0.654846,-0.163143,133.5432,-4.969414,-0.997186,0.419942,141.18325,22.071443,46.243862,4098.817116,20.812231,11.077151,26.286407,85.151752,78.858035,59.794485,3.552387,-16.2776,28.8812,-0.327697,15.24,1.607123,1.928062,-39.843762,-1.742138,-3.412627,7.637097,-3.751653,MEI_MEI,RIK,JinguStadium,Undefined,Team,20220521-JinguStadium-1,54a8a0a0-d8aa-11ec-8cec-57bab46c70e8,c733f667-274c-4e27-9d03-166c8a43f2f0,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,144.44864,12.495477,,11.36822,,,,16.601176,-40.103818,3.818548,1.664271,-1.614388,-1.875827,-0.39533,2.044268,-1.706313,0.010083,0.622978,0.143092,232.173695,0.009921,25.140066,-6.972293,1.830824,-0.503359,0.141091,-0.034612,0.005357,-0.000351,0.623149,14.73101,-4.854342,0.097827,0.11467,-0.070794,0.023323,-0.00383,0.000244,0.142978,26.25435,-2.009693,0.084928,0.012484,0.011714,-0.008222,0.001868,-0.000146,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,22S
9,2022/5/21,04:46.6,2022/5/21,04:46.6,3,3,"Minoru, Makita",1000089793,Right,MEI_MEI,"Jinto, Miyazaki",1000074131,Right,RIK,Undefined,1,Top,2,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,143.82264,-1.679859,-3.063471,2314.605895,214.172131,1:15,1.661818,0.376699,1.895176,-39.0423,49.5627,31.5675,0.798103,-0.170087,130.32404,-4.655405,-0.823221,0.425093,,,,,,,,,,,,-18.6091,27.8112,-0.30852,15.24,1.621032,1.956655,-39.494695,-1.27758,-3.765669,8.880123,-4.178869,MEI_MEI,RIK,JinguStadium,Undefined,Team,20220521-JinguStadium-1,63c83d70-d8aa-11ec-8cec-57bab46c70e8,c733f667-274c-4e27-9d03-166c8a43f2f0,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,142.69829,,,13.4986,,,,16.543944,-39.786798,4.440061,1.660796,-1.14012,-2.089434,-0.37492,2.080524,-1.882835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,22S
10,2022/5/21,05:04.6,2022/5/21,05:04.6,3,4,"Minoru, Makita",1000089793,Right,MEI_MEI,"Jinto, Miyazaki",1000074131,Right,RIK,Undefined,1,Top,2,1,2,Curveball,Curveball,InPlay,Undefined,FlyBall,,Out,1,0,,114.96171,2.372389,-0.448907,2290.583614,60.671537,8:00,1.68857,0.28287,1.63218,-156.2287,-14.27,-33.1501,0.804845,-0.176954,105.86358,-8.8007,-2.769865,0.538066,,,,,,,,,,,,16.4177,-7.7391,-0.267575,15.24,1.740077,0.389139,-31.60818,0.723042,2.142691,5.347333,-10.816688,MEI_MEI,RIK,JinguStadium,Undefined,Team,20220521-JinguStadium-1,6e8b8500-d8aa-11ec-8cec-57bab46c70e8,c733f667-274c-4e27-9d03-166c8a43f2f0,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,112.73706,,,9.09813,,,,16.808626,-31.872449,2.673666,1.691135,1.257609,-5.408344,-0.28419,0.283246,1.071346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,22S
