PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,Unnamed: 156,Unnamed: 157,umpire,season
1,2022/5/21,56:53.8,2022/5/21,56:53.8,1,1,"Shunsuke, Izawa",1000073948,Right,TOK,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,Undefined,1,Top,0,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,109.29149,2.924725,-1.261889,2135.633174,33.96902,7:15,1.718771,0.349206,1.625821,-177.8773,-19.3111,-16.5406,0.777292,-0.177113,100.08405,-9.797651,-2.419226,0.56867,,,,,,,,,,,,7.2932,-10.291,-0.313009,15.24,1.783991,0.730101,-30.002947,0.889012,0.851171,5.15165,-11.007691,TOK,HOS_HOS,JinguStadium,TeamExclusive,Team,20220521-JinguStadium-2,32cf0590-d8d3-11ec-894b-913f2574c80c,43e5ccb1-6571-4585-bbf8-a7b845893a9e,v3,,,,"Taiki, Matsuoka",1000073870.0,Right,TOK,106.67003,,,9.20744,,,,16.814557,-30.272099,2.575825,1.722521,1.464117,-5.503846,-0.349992,0.685631,0.425586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山口 智久,22S
2,2022/5/21,57:05.7,2022/5/21,57:05.7,1,2,"Shunsuke, Izawa",1000073948,Right,TOK,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,Undefined,1,Top,0,0,1,Fastball,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,,129.93826,-2.036378,-1.143816,1712.459292,244.571767,2:15,1.656108,0.457524,1.725971,-90.7051,18.2375,31.7029,0.169928,0.449419,120.57542,-8.567884,1.091189,0.471361,,,,,,,,,,,,-16.9667,11.5228,-0.430552,15.24,1.596667,0.568829,-35.756806,-1.625653,-2.860221,6.252609,-7.864145,TOK,HOS_HOS,JinguStadium,TeamExclusive,Team,20220521-JinguStadium-2,39ccb9a0-d8d3-11ec-894b-913f2574c80c,43e5ccb1-6571-4585-bbf8-a7b845893a9e,v3,,,,"Taiki, Matsuoka",1000073870.0,Right,TOK,128.6912,,,9.36284,,,,16.714367,-36.013698,3.126305,1.656821,-1.30255,-3.932073,-0.456337,0.686343,-1.430111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山口 智久,22S
3,2022/5/21,57:20.5,2022/5/21,57:20.5,1,3,"Shunsuke, Izawa",1000073948,Right,TOK,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,Undefined,1,Top,0,1,1,Fastball,Cutter,BallCalled,Undefined,Undefined,,Undefined,0,0,,137.97289,0.105933,-1.236681,2136.324575,189.511338,12:15,1.724907,0.383946,1.840704,-54.0519,42.1622,6.5431,1.21429,0.100315,125.65701,-3.932536,-0.773246,0.44297,,,,,,,,,,,,-4.246,22.5297,-0.35496,15.24,1.723904,0.787281,-37.947629,-0.115361,-0.797391,7.826055,-5.575598,TOK,HOS_HOS,JinguStadium,TeamExclusive,Team,20220521-JinguStadium-2,42a436c0-d8d3-11ec-894b-913f2574c80c,43e5ccb1-6571-4585-bbf8-a7b845893a9e,v3,,,,"Taiki, Matsuoka",1000073870.0,Right,TOK,136.93938,,,12.31588,,,,16.598223,-38.226713,3.913027,1.724472,0.08347,-2.787799,-0.383543,0.815717,-0.398695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山口 智久,22S
4,2022/5/21,57:32.8,2022/5/21,57:32.8,1,4,"Shunsuke, Izawa",1000073948,Right,TOK,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,Undefined,1,Top,0,2,1,Cutter,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,128.76014,0.273148,-1.883289,2307.221506,113.552764,9:45,1.707771,0.368312,1.663569,-100.1712,11.8626,-19.7181,0.784032,-0.366373,118.91639,-6.932847,-3.264733,0.478001,,,,,,,,,,,,8.7031,6.8074,-0.316052,15.24,1.706853,1.258176,-35.417771,-0.236222,1.436476,6.264693,-8.683069,TOK,HOS_HOS,JinguStadium,TeamExclusive,Team,20220521-JinguStadium-2,49f9a7c0-d8d3-11ec-894b-913f2574c80c,43e5ccb1-6571-4585-bbf8-a7b845893a9e,v3,,,,"Taiki, Matsuoka",1000073870.0,Right,TOK,126.90338,,,9.84375,,,,16.776366,-35.688488,3.132347,1.708953,0.139001,-4.341535,-0.369081,1.196101,0.718238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山口 智久,22S
5,2022/5/21,57:46.2,2022/5/21,57:46.2,1,5,"Shunsuke, Izawa",1000073948,Right,TOK,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,Undefined,1,Top,0,2,2,Curveball,Curveball,InPlay,Undefined,GroundBall,GroundBall,Single,0,0,,112.88851,1.776043,-0.544168,2226.902058,31.882918,7:00,1.709557,0.326373,1.620677,-170.8008,-23.1953,-17.2935,0.509777,-0.002228,104.17585,-10.394687,-1.756104,0.548663,137.70284,2.446871,11.81062,1556.743423,,,,17.590311,17.390665,13.023238,0.466718,8.3279,-11.781,-0.309768,15.24,1.743571,0.367563,-31.045611,0.325822,1.046142,5.267606,-11.286561,TOK,HOS_HOS,JinguStadium,TeamExclusive,Team,20220521-JinguStadium-2,51f8ed50-d8d3-11ec-894b-913f2574c80c,43e5ccb1-6571-4585-bbf8-a7b845893a9e,v3,,,,"Taiki, Matsuoka",1000073870.0,Right,TOK,110.55961,0.723545,,8.71266,,,,16.820278,-31.312593,2.633803,1.712561,0.897868,-5.643281,-0.327053,0.31454,0.523071,0.599389,0.622199,0.014846,,0.600949,37.362243,-4.141819,,,,,,,0.62499,1.553203,-6.209456,,,,,,,0.013073,7.872831,1.276873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山口 智久,22S
6,2022/5/21,58:37.9,2022/5/21,58:37.9,2,1,"Shunsuke, Izawa",1000073948,Right,TOK,"Daiki, Saitoh",1000073731,Right,HOS_HOS,Undefined,1,Top,0,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,1,129.12727,0.28144,-1.541035,2265.789389,120.742693,10:00,1.703867,0.387768,1.684324,-94.9853,17.3154,-22.9515,0.834237,-0.280958,117.91035,-6.603524,-3.151325,0.47857,,,,,,,,,,,,10.4079,9.6697,-0.345071,15.24,1.70379,1.065083,-35.481653,-0.202466,1.704616,6.994063,-8.222932,TOK,HOS_HOS,JinguStadium,TeamExclusive,Team,20220521-JinguStadium-2,70c72080-d8d3-11ec-894b-913f2574c80c,43e5ccb1-6571-4585-bbf8-a7b845893a9e,v3,,,,"Taiki, Matsuoka",1000073870.0,Right,TOK,126.75249,,,11.21693,,,,16.754929,-35.779026,3.497032,1.704966,0.147157,-4.111466,-0.388815,0.992606,0.852308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山口 智久,22S
7,2022/5/21,58:55.1,2022/5/21,58:55.1,2,2,"Shunsuke, Izawa",1000073948,Right,TOK,"Daiki, Saitoh",1000073731,Right,HOS_HOS,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,1,138.82893,1.141402,-2.295996,2140.284481,184.611744,12:15,1.724233,0.390307,1.89228,-42.0542,53.0826,4.0226,1.625083,-0.215705,125.45838,-2.073598,-2.010566,0.440483,,,,,,,,,,,,-3.8485,27.4656,-0.338014,15.24,1.747741,1.509688,-38.139369,0.639849,-0.725297,8.37318,-4.630427,TOK,HOS_HOS,JinguStadium,TeamExclusive,Team,20220521-JinguStadium-2,7b0cac90-d8d3-11ec-894b-913f2574c80c,43e5ccb1-6571-4585-bbf8-a7b845893a9e,v3,,,,"Taiki, Matsuoka",1000073870.0,Right,TOK,137.71259,,,13.37054,,,,16.546343,-38.425096,4.18659,1.723211,0.797858,-2.315214,-0.389953,1.534438,-0.362649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山口 智久,22S
8,2022/5/21,59:15.4,2022/5/21,59:15.4,2,3,"Shunsuke, Izawa",1000073948,Right,TOK,"Daiki, Saitoh",1000073731,Right,HOS_HOS,Undefined,1,Top,0,1,1,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,1,130.50034,1.388124,-2.348402,2233.806436,145.703399,10:45,1.705636,0.365772,1.737418,-85.8993,22.1665,-12.9984,1.2413,-0.431568,120.19782,-4.857197,-3.26166,0.46946,,,,,,,,,,,,5.0667,11.3487,-0.304726,15.24,1.734738,1.532907,-35.885376,0.538663,0.859809,6.333692,-7.880796,TOK,HOS_HOS,JinguStadium,TeamExclusive,Team,20220521-JinguStadium-2,87162fc0-d8d3-11ec-894b-913f2574c80c,43e5ccb1-6571-4585-bbf8-a7b845893a9e,v3,,,,"Taiki, Matsuoka",1000073870.0,Right,TOK,129.21223,,,10.30252,,,,16.702222,-36.142534,3.166846,1.706372,0.858636,-3.940398,-0.366256,1.497998,0.429904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山口 智久,22S
9,2022/5/21,59:34.3,2022/5/21,59:34.3,2,4,"Shunsuke, Izawa",1000073948,Right,TOK,"Daiki, Saitoh",1000073731,Right,HOS_HOS,Undefined,1,Top,0,2,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Popup,Undefined,0,0,1,138.29637,-1.049025,-1.485048,2184.041596,194.508123,12:30,1.681746,0.381991,1.901457,-49.4158,46.1192,11.0903,0.892521,0.075276,125.48534,-4.775669,-0.696522,0.441404,119.89164,75.605508,165.472479,,-33.185669,24.769072,4.778861,42.67223,41.083899,172.118317,4.992178,-6.9322,25.7348,-0.348925,15.24,1.654991,0.934745,-38.031695,-0.854889,-1.299447,8.306374,-4.982628,TOK,HOS_HOS,JinguStadium,TeamExclusive,Team,20220521-JinguStadium-2,92698250-d8d3-11ec-894b-913f2574c80c,43e5ccb1-6571-4585-bbf8-a7b845893a9e,v3,,,,"Taiki, Matsuoka",1000073870.0,Right,TOK,137.42525,34.537155,,12.81103,,,,16.538001,-38.314138,4.153187,1.681179,-0.685463,-2.491314,-0.381461,0.97893,-0.649724,0.969587,0.913025,-0.08441,356.092682,0.968151,-7.986608,-2.266881,1.296535,-0.444788,0.108072,-0.015712,0.001131,-2.9e-05,0.913873,32.235871,-9.784168,1.207829,-0.06706,-0.059606,0.021235,-0.002973,0.000154,-0.084128,2.07068,-0.348679,0.031295,0.02401,-0.01372,0.003202,-0.000357,1.6e-05,,,,,,,,,,,,,,,,,,,,,,,,,山口 智久,22S
10,2022/5/21,59:59.7,2022/5/21,59:59.6,2,5,"Shunsuke, Izawa",1000073948,Right,TOK,"Daiki, Saitoh",1000073731,Right,HOS_HOS,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,FlyBall,Undefined,0,0,1,142.9318,-2.113175,-2.7056,2200.861892,193.790942,12:30,1.672711,0.393651,1.933656,-46.3382,41.8993,9.6208,0.615461,-0.269872,131.30474,-5.578224,-2.021,0.42421,141.62665,36.496392,73.330532,5477.520637,6.524473,21.169852,32.886999,80.482318,49.085911,87.397296,4.314337,-6.8716,24.1311,-0.334237,15.24,1.623182,1.812825,-39.308301,-1.605958,-1.393857,7.892737,-4.911859,TOK,HOS_HOS,JinguStadium,TeamExclusive,Team,20220521-JinguStadium-2,a17bd8b0-d8d3-11ec-894b-913f2574c80c,43e5ccb1-6571-4585-bbf8-a7b845893a9e,v3,,,,"Taiki, Matsuoka",1000073870.0,Right,TOK,142.99505,23.151435,,11.62706,,,,16.50621,-39.561727,3.946368,1.672216,-1.448244,-2.455929,-0.393163,1.85758,-0.696928,0.535689,0.729618,-0.213066,,0.535547,9.07558,-5.032715,1.588799,-0.434602,0.110002,-0.022087,0.00275,-0.000149,0.73,23.390063,-6.734069,0.203415,0.157818,-0.076468,0.016886,-0.001812,7.1e-05,-0.213238,30.301243,-7.078304,2.25883,-0.618193,0.155019,-0.030785,0.003806,-0.000205,,,,,,,,,,,,,,,,,,,,,,,,,山口 智久,22S
