PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,Unnamed: 156,Unnamed: 157,umpire,season
1,2022/5/22,51:01.5,2022/5/22,51:01.5,1,1,"Naoya, Shimada",1000074158,Right,RIK,"Daichi, Myoshin",1000073644,Right,MEI_MEI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,145.24147,-3.630429,-3.040901,2513.621985,187.881556,12:15,1.702745,0.306548,2.270295,-36.1879,45.4329,5.9622,0.340786,-0.469997,134.35946,-6.397181,-2.607886,0.407995,,,,,,,,,,,,-5.2019,27.8378,-0.257178,15.24,1.64221,2.100093,-39.966373,-2.623106,-1.096769,7.724266,-3.937365,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20220522-JinguStadium-2,c712e020-d98a-11ec-bca6-4b6c1266f188,13e0e6e8-2382-4923-a1b6-02a3e24c1169,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,148.67818,,,10.88201,,,,16.169925,-40.145696,3.862133,1.702045,-2.531698,-1.968682,-0.306229,2.125555,-0.548384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浅田 祐太朗,22S
2,2022/5/22,51:11.0,2022/5/22,51:11.0,1,2,"Naoya, Shimada",1000074158,Right,RIK,"Daichi, Myoshin",1000073644,Right,MEI_MEI,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,143.63993,-1.869231,-1.247111,2474.2043,191.165509,12:15,1.682598,0.274237,2.216002,-38.4235,45.7345,8.5201,0.78278,0.015602,131.8524,-4.821901,-0.629163,0.414288,,,,,,,,,,,,-5.4519,26.7707,-0.252977,15.24,1.648854,0.827025,-39.593601,-1.384087,-1.12052,8.109157,-4.304507,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20220522-JinguStadium-2,ccbd8750-d98a-11ec-bca6-4b6c1266f188,13e0e6e8-2382-4923-a1b6-02a3e24c1169,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,146.41987,,,11.78753,,,,16.223706,-39.794564,4.054578,1.681833,-1.277412,-2.152253,-0.273816,0.854794,-0.56026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浅田 祐太朗,22S
3,2022/5/22,51:21.1,2022/5/22,51:21.1,1,3,"Naoya, Shimada",1000074158,Right,RIK,"Daichi, Myoshin",1000073644,Right,MEI_MEI,Undefined,1,Top,0,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,146.79894,-3.196594,-1.894846,2493.69387,198.268015,12:30,1.683067,0.319319,2.148643,-35.8811,45.5879,14.2163,0.437912,-0.063276,134.83637,-5.939743,-0.868473,0.407616,,,,,,,,,,,,-8.9235,27.4036,-0.284922,15.24,1.622612,1.275471,-40.401769,-2.350394,-1.910137,8.42383,-3.940728,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20220522-JinguStadium-2,d2d06630-d98a-11ec-bca6-4b6c1266f188,13e0e6e8-2382-4923-a1b6-02a3e24c1169,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,148.81668,,,11.96258,,,,16.291252,-40.620365,4.211915,1.682277,-2.248133,-1.970364,-0.318664,1.325039,-0.955069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浅田 祐太朗,22S
4,2022/5/22,51:35.7,2022/5/22,51:35.7,1,4,"Naoya, Shimada",1000074158,Right,RIK,"Daichi, Myoshin",1000073644,Right,MEI_MEI,Undefined,1,Top,0,1,2,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,132.57678,-0.408947,-2.737181,2551.360969,51.927333,7:45,1.660428,0.357785,1.985708,-105.2171,-4.3177,-8.9426,0.493749,-0.497764,123.58682,-8.063223,-3.376313,0.453627,,,,,,,,,,,,3.0208,-1.2296,-0.299184,15.24,1.646264,1.783658,-36.535238,-0.636305,0.533669,6.274998,-10.023872,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20220522-JinguStadium-2,db7e3b40-d98a-11ec-bca6-4b6c1266f188,13e0e6e8-2382-4923-a1b6-02a3e24c1169,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,133.7222,,,8.98997,,,,16.455003,-36.743325,3.137499,1.661853,-0.303901,-5.011936,-0.358039,1.765961,0.266834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浅田 祐太朗,22S
5,2022/5/22,51:48.3,2022/5/22,51:48.3,1,5,"Naoya, Shimada",1000074158,Right,RIK,"Daichi, Myoshin",1000073644,Right,MEI_MEI,Undefined,1,Top,0,2,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,,147.28042,-3.297918,-3.098378,2483.893595,189.776046,12:15,1.694798,0.2893,2.128805,-34.3192,46.9155,7.6532,0.435124,-0.493829,135.37452,-5.921081,-2.547594,0.407029,,,,,,,,,,,,-6.1868,28.0698,-0.231456,15.24,1.631268,2.158127,-40.489801,-2.424507,-1.331746,8.360067,-3.764444,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20220522-JinguStadium-2,e30ce4b0-d98a-11ec-bca6-4b6c1266f188,13e0e6e8-2382-4923-a1b6-02a3e24c1169,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,149.03117,,,11.9059,,,,16.310993,-40.710332,4.180033,1.693915,-2.325205,-1.882222,-0.288849,2.193257,-0.665873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浅田 祐太朗,22S
6,2022/5/22,52:12.0,2022/5/22,52:12.0,2,1,"Naoya, Shimada",1000074158,Right,RIK,"Yuga, Horiuchi",1000089814,Left,MEI_MEI,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,147.01291,-2.966653,-1.018031,2559.276603,197.591759,12:30,1.658613,0.334189,2.172592,-36.4282,43.9965,13.2111,0.473425,0.184866,135.81998,-5.741336,-0.06218,0.404995,,,,,,,,,,,,-7.7665,26.3069,-0.316295,15.24,1.603701,0.664326,-40.509734,-2.195099,-1.681583,7.970447,-4.110719,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20220522-JinguStadium-2,f1241230-d98a-11ec-bca6-4b6c1266f188,13e0e6e8-2382-4923-a1b6-02a3e24c1169,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,149.77977,,,11.19293,,,,16.267524,-40.711401,3.985223,1.657925,-2.09109,-2.05536,-0.333642,0.706873,-0.840792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浅田 祐太朗,22S
7,2022/5/22,52:23.8,2022/5/22,52:23.8,2,2,"Naoya, Shimada",1000074158,Right,RIK,"Yuga, Horiuchi",1000089814,Left,MEI_MEI,Undefined,1,Top,1,0,1,Splitter,Changeup,InPlay,Undefined,FlyBall,FlyBall,Out,1,0,,137.59265,-0.09021,-0.812217,1723.85192,188.606149,12:15,1.674765,0.297529,2.024768,-48.6977,45.7571,6.4662,1.162616,0.135567,125.39791,-3.786539,-0.348861,0.438901,138.90744,34.114326,-1.655458,3259.29089,33.439143,20.620247,-2.438686,90.402078,83.238649,-7.623943,5.212534,-4.0211,25.1253,-0.281134,15.24,1.670452,0.509385,-37.896461,-0.201558,-0.752245,7.886757,-5.106314,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20220522-JinguStadium-2,f8391ed0-d98a-11ec-bca6-4b6c1266f188,13e0e6e8-2382-4923-a1b6-02a3e24c1169,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,138.2088,26.014156,,12.19473,,,,16.414884,-38.140186,3.943378,1.674243,-0.043757,-2.553157,-0.297234,0.532632,-0.376122,0.850256,1.194647,-0.133019,160.323451,0.852006,31.896442,-6.029292,1.083128,-0.05772,-0.045182,0.014124,-0.001639,6.9e-05,1.193506,21.661758,-5.361804,0.421442,-0.121661,0.033925,-0.004603,0.00022,1e-06,-0.133037,-0.92099,-1.197178,0.532172,-0.159683,0.038811,-0.007325,0.000834,-4e-05,,,,,,,,,,,,,,,,,,,,,,,,,浅田 祐太朗,22S
8,2022/5/22,52:57.2,2022/5/22,52:57.2,3,1,"Naoya, Shimada",1000074158,Right,RIK,"Rui, Muneyama",1000101247,Left,MEI_MEI,Undefined,1,Top,2,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,121.28962,-0.076367,0.563371,2436.992441,38.429772,7:15,1.71456,0.283282,1.876425,-156.8066,-32.8173,-29.1225,0.124988,0.150702,112.10216,-11.375742,-1.515252,0.50286,,,,,,,,,,,,15.6059,-15.9884,-0.294524,15.24,1.703139,-0.211089,-33.41746,-0.604149,2.262932,6.307726,-12.125039,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20220522-JinguStadium-2,0c290860-d98b-11ec-bca6-4b6c1266f188,13e0e6e8-2382-4923-a1b6-02a3e24c1169,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,120.6301,,,9.18746,,,,16.564828,-33.666599,3.153863,1.717543,-0.12524,-6.062519,-0.284421,-0.300469,1.131466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浅田 祐太朗,22S
9,2022/5/22,53:08.7,2022/5/22,53:08.7,3,2,"Naoya, Shimada",1000074158,Right,RIK,"Rui, Muneyama",1000101247,Left,MEI_MEI,Undefined,1,Top,2,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,147.95582,-2.922405,-0.416473,2590.097236,200.299639,12:45,1.675458,0.288761,2.268028,-34.3293,44.287,15.5193,0.528503,0.329524,136.34516,-5.563428,0.713319,0.400416,,,,,,,,,,,,-8.6626,26.7027,-0.282238,15.24,1.62642,0.232229,-40.780583,-2.158571,-1.895618,8.303477,-3.963383,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20220522-JinguStadium-2,12f23ef0-d98b-11ec-bca6-4b6c1266f188,13e0e6e8-2382-4923-a1b6-02a3e24c1169,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,151.49263,,,11.61066,,,,16.171678,-40.969846,4.151739,1.674591,-2.068233,-1.981692,-0.288024,0.275437,-0.947809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浅田 祐太朗,22S
10,2022/5/22,53:22.7,2022/5/22,53:22.7,3,3,"Naoya, Shimada",1000074158,Right,RIK,"Rui, Muneyama",1000101247,Left,MEI_MEI,Undefined,1,Top,2,1,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,,Single,0,0,,147.40754,-1.995304,-1.474262,2539.970155,195.915239,12:30,1.708594,0.268187,2.185371,-36.7749,43.3646,11.6767,0.789342,-0.022323,135.45925,-4.812691,-0.629102,0.404276,,,,,,,,,,,,-7.3026,25.4655,-0.242362,15.24,1.671639,0.996602,-40.629047,-1.510654,-1.582393,8.436674,-4.288559,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20220522-JinguStadium-2,1b535390-d98b-11ec-bca6-4b6c1266f188,13e0e6e8-2382-4923-a1b6-02a3e24c1169,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,150.04603,,,11.94828,,,,16.254643,-40.839195,4.218337,1.707937,-1.40383,-2.14428,-0.267677,1.036018,-0.791196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浅田 祐太朗,22S
