PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,Unnamed: 156,Unnamed: 157,umpire,season
1,2022/5/29,03:48.8,2022/5/29,03:48.8,1,1,"Taisei, Shimizu",1000089854,Left,WAS_EDA,"Akihiro, Yamamoto",1000073452,Left,KEI_KEI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,136.09384,-1.401066,2.894637,2176.009756,179.828254,12:00,1.683104,-0.558244,1.742706,-47.4069,53.8676,-0.1507,0.810652,0.262805,123.00486,-4.966455,2.884051,0.454469,,,,,,,,,,,,2.3693,29.467,0.484461,15.24,1.643909,-1.886418,-37.322631,-1.068783,0.426672,8.167811,-4.500204,WAS_EDA,KEI_KEI,JinguStadium,Spring,Team,20220529-JinguStadium-1,583def80-df04-11ec-881f-3fd6a8bc3d44,a0c2dab2-dcbe-425c-b092-02fff58005b7,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,133.47431,,,13.08898,,,,16.695621,-37.639836,4.083905,1.682023,-0.894013,-2.250102,0.558044,-1.902988,0.213336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,22S
2,2022/5/29,03:59.2,2022/5/29,03:59.2,1,2,"Taisei, Shimizu",1000089854,Left,WAS_EDA,"Akihiro, Yamamoto",1000073452,Left,KEI_KEI,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,136.82151,-1.234218,3.655043,2278.303062,179.439677,12:00,1.70776,-0.529813,1.734482,-49.9545,49.7358,-0.454,0.856845,0.505333,124.57792,-4.953542,3.623205,0.450901,,,,,,,,,,,,2.9153,27.1111,0.436096,15.24,1.672372,-2.394871,-37.526536,-0.983244,0.534923,7.716077,-4.832093,WAS_EDA,KEI_KEI,JinguStadium,Spring,Team,20220529-JinguStadium-1,5e5a4440-df04-11ec-881f-3fd6a8bc3d44,a0c2dab2-dcbe-425c-b092-02fff58005b7,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,134.53071,,,12.2436,,,,16.704248,-37.826412,3.858038,1.706935,-0.79545,-2.416046,0.529574,-2.41566,0.267462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,22S
3,2022/5/29,04:09.0,2022/5/29,04:09.0,1,3,"Taisei, Shimizu",1000089854,Left,WAS_EDA,"Akihiro, Yamamoto",1000073452,Left,KEI_KEI,Undefined,1,Top,0,1,1,Curveball,Curveball,BallinDirt,Undefined,Undefined,,Undefined,0,0,,100.46961,2.898546,2.504931,2067.611038,340.648235,5:15,1.630475,-0.498964,1.708726,-234.6189,-46.8922,18.7893,0.110463,0.402077,92.36469,-13.839936,3.829121,0.618753,,,,,,,,,,,,-7.3908,-24.5996,0.432116,15.24,1.687858,-1.275333,-27.578064,0.642846,-0.719469,4.826863,-12.201335,WAS_EDA,KEI_KEI,JinguStadium,Spring,Team,20220529-JinguStadium-1,644e0260-df04-11ec-881f-3fd6a8bc3d44,a0c2dab2-dcbe-425c-b092-02fff58005b7,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,98.03581,,,8.10492,,,,16.733061,-27.838161,2.413432,1.635504,1.300319,-6.100668,0.499793,-1.236564,-0.359734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,22S
4,2022/5/29,04:22.8,2022/5/29,04:22.8,1,4,"Taisei, Shimizu",1000089854,Left,WAS_EDA,"Akihiro, Yamamoto",1000073452,Left,KEI_KEI,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,135.50325,-2.799043,3.188597,2329.942592,174.456985,11:45,1.690733,-0.553172,1.77362,-51.8268,49.343,-4.459,0.377399,0.306769,123.68917,-6.645805,2.874707,0.454234,,,,,,,,,,,,4.6135,28.2627,0.47391,15.24,1.617132,-2.048707,-37.162772,-1.997085,0.83028,7.559279,-4.720252,WAS_EDA,KEI_KEI,JinguStadium,Spring,Team,20220529-JinguStadium-1,6c73bbb0-df04-11ec-881f-3fd6a8bc3d44,a0c2dab2-dcbe-425c-b092-02fff58005b7,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,133.54338,,,11.81408,,,,16.665497,-37.45161,3.779639,1.689995,-1.816726,-2.360126,0.552796,-2.080431,0.41514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,22S
5,2022/5/29,04:36.9,2022/5/29,04:36.9,1,5,"Taisei, Shimizu",1000089854,Left,WAS_EDA,"Akihiro, Yamamoto",1000073452,Left,KEI_KEI,Undefined,1,Top,0,3,1,Slider,Curveball,BallCalled,Walk,Undefined,,Undefined,0,0,,109.93394,1.478977,2.074866,2152.025765,314.653669,4:30,1.597042,-0.615524,1.573039,-176.1869,-18.013,23.6569,0.259842,0.216553,100.85648,-11.048875,3.726092,0.567966,,,,,,,,,,,,-10.1657,-8.6931,0.554217,15.24,1.622881,-1.193071,-30.177092,0.128318,-1.195331,5.393426,-10.828828,WAS_EDA,KEI_KEI,JinguStadium,Spring,Team,20220529-JinguStadium-1,74f24360-df04-11ec-881f-3fd6a8bc3d44,a0c2dab2-dcbe-425c-b092-02fff58005b7,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,106.80226,,,9.07746,,,,16.867366,-30.466556,2.696713,1.600399,0.709499,-5.414414,0.616527,-1.128918,-0.597666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,22S
6,2022/5/29,05:25.8,2022/5/29,05:25.8,2,1,"Taisei, Shimizu",1000089854,Left,WAS_EDA,"Haruto, Asahi",1000073390,Left,KEI_KEI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,1,136.08527,-1.785355,3.577783,2209.53538,180.716724,12:00,1.681772,-0.565027,1.796103,-49.9499,49.6082,0.5809,0.675883,0.454582,124.58941,-5.501642,3.618685,0.450602,,,,,,,,,,,,2.2221,27.6382,0.477076,15.24,1.634428,-2.338456,-37.355768,-1.335402,0.405718,7.358444,-4.760399,WAS_EDA,KEI_KEI,JinguStadium,Spring,Team,20220529-JinguStadium-1,91f9c050-df04-11ec-881f-3fd6a8bc3d44,a0c2dab2-dcbe-425c-b092-02fff58005b7,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,134.61993,,,11.49587,,,,16.6433,-37.631178,3.679222,1.681075,-1.15723,-2.3802,0.564883,-2.353641,0.202859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,22S
7,2022/5/29,06:06.1,2022/5/29,06:06.1,2,2,"Taisei, Shimizu",1000089854,Left,WAS_EDA,"Haruto, Asahi",1000073390,Left,KEI_KEI,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,1,134.03556,-0.340158,1.860014,2204.412035,178.646043,12:00,1.686473,-0.600498,1.686989,-53.2371,52.845,-1.152,1.05714,-0.081921,119.75991,-4.349045,1.779243,0.465132,,,,,,,,,,,,2.2446,28.241,0.551393,15.24,1.673481,-1.188047,-36.757152,-0.402218,0.386899,8.787926,-4.938869,WAS_EDA,KEI_KEI,JinguStadium,Spring,Team,20220529-JinguStadium-1,a9ffa750-df04-11ec-881f-3fd6a8bc3d44,a0c2dab2-dcbe-425c-b092-02fff58005b7,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,130.41469,,,14.27565,,,,16.752068,-37.116898,4.393963,1.685808,-0.200039,-2.469434,0.600351,-1.203886,0.19345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,22S
8,2022/5/29,06:53.6,2022/5/29,06:53.6,2,3,"Taisei, Shimizu",1000089854,Left,WAS_EDA,"Haruto, Asahi",1000073390,Left,KEI_KEI,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,1,135.54153,-2.744538,5.426487,2268.500007,168.223081,11:30,1.693327,-0.599735,1.775475,-49.8185,51.9501,-10.1075,0.413374,0.841406,123.4727,-6.450932,4.718818,0.455577,,,,,,,,,,,,9.1941,29.6039,0.464936,15.24,1.62114,-3.472134,-37.06391,-1.951082,1.644048,7.593483,-4.513012,WAS_EDA,KEI_KEI,JinguStadium,Spring,Team,20220529-JinguStadium-1,c65bf020-df04-11ec-881f-3fd6a8bc3d44,a0c2dab2-dcbe-425c-b092-02fff58005b7,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,133.14986,,,12.06883,,,,16.6637,-37.354452,3.796742,1.692489,-1.778405,-2.256506,0.598991,-3.535039,0.822024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,22S
9,2022/5/29,07:30.8,2022/5/29,07:30.8,2,4,"Taisei, Shimizu",1000089854,Left,WAS_EDA,"Haruto, Asahi",1000073390,Left,KEI_KEI,Undefined,1,Top,0,1,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,FlyBall,Undefined,0,0,1,132.82454,-0.061157,3.405395,2345.682281,180.471094,12:00,1.705792,-0.580607,1.748377,-51.8691,54.1313,0.4152,1.169712,0.391219,120.25437,-3.952331,3.434537,0.464952,109.10364,45.716488,-140.535714,3200.121391,-27.851776,19.623654,-18.665619,66.65013,40.427484,-150.387785,3.841821,2.4406,28.6964,0.49407,15.24,1.700531,-2.170377,-36.440367,-0.210285,0.419745,7.666969,-4.871338,WAS_EDA,KEI_KEI,JinguStadium,Spring,Team,20220529-JinguStadium-1,dc866060-df04-11ec-881f-3fd6a8bc3d44,a0c2dab2-dcbe-425c-b092-02fff58005b7,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,130.46499,19.623645,,12.57016,,,,16.690771,-36.744338,3.833485,1.705039,-0.017152,-2.435669,0.580448,-2.187018,0.209872,0.59734,1.170453,-0.377014,51.663846,0.59738,-16.337134,0.587142,-0.136441,0.026922,-0.006017,0.001135,-9.9e-05,1e-06,1.170407,21.699427,-7.522602,0.979401,-0.298136,0.097927,-0.026178,0.004142,-0.000275,-0.376889,-13.450486,2.766541,-0.591155,0.041073,0.017838,-0.007195,0.001225,-8.6e-05,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,22S
10,2022/5/29,07:54.6,2022/5/29,07:54.6,2,5,"Taisei, Shimizu",1000089854,Left,WAS_EDA,"Haruto, Asahi",1000073390,Left,KEI_KEI,Undefined,1,Top,0,1,2,Slider,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,1,117.57814,1.841938,3.566301,2464.136472,306.102228,4:15,1.619449,-0.680755,1.561179,-161.6941,-23.9019,38.5867,0.532521,0.730291,108.43966,-9.609719,6.24562,0.530111,,,,,,,,,,,,-16.5811,-12.0031,0.574737,15.24,1.657178,-2.185026,-32.259833,0.391713,-2.246136,5.753151,-11.432634,WAS_EDA,KEI_KEI,JinguStadium,Spring,Team,20220529-JinguStadium-1,eab90520-df04-11ec-881f-3fd6a8bc3d44,a0c2dab2-dcbe-425c-b092-02fff58005b7,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,114.42881,,,9.13847,,,,16.879729,-32.550946,2.876576,1.622721,0.970209,-5.716317,0.682424,-2.07137,-1.123068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,22S
