count,PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PlayID,LocalDateTime,UTCDateTime,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,unixtime,umpire,PitchNo.1,Date(opensen),pitchcount,time1,time2,time3,fielding_alignment,PAofInning(opensen),PitchofPA(opensen),Inning(opensen),Top/Bottom(opensen),Outs(opensen),Balls(opensen),Strikes(opensen),dajun,Batter(opensen),BatterSide(opensen),Pitcher(opensen),PitcherThrows(opensen),Notes(opensen),on_1b,on_2b,on_3b,TaggedPitchType(opensen),PitchCall(opensen),TaggedHitType(opensen),PlayResult(opensen),KorBB(opensen),OutsOnPlay(opensen),RunsScored(opensen),relateddefenceplayer,relateddefencepos,runevent,runrelatedplayer,RelSpeed(opensen),zone,C,1B,2B,3B,SS,LF,CF,RF,result,truetime,c_time,c_URL,n_time,n_URL,playid,season
0,1.0,2023/9/9,07:40.6,2023/9/9,07:40.6,1.0,1.0,"Kenichi, Murata",1000089794,Right,MEI_MEI,"Shunsuke, Yaoi",1000091930,Right,TOK,Undefined,1,Top,0,0.0,0.0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,143.99979,-2.133622,-4.194065,2095.260953,220.370317,1:15,1.647797,0.655028,1.832032,-44.0742,44.3816,35.339,0.602698,-0.177958,131.77849,-5.428342,-1.700338,0.424735,,,,,,,,,,,,-20.9598,25.1064,-0.556798,15.24,1.593684,2.718711,-39.513138,-1.628491,-4.292187,8.042972,-4.665301,MEI_MEI,TOK,JinguStadium,Undefined,Team,20230909-JinguStadium-1,a7ccd490-4eb5-11ee-ad26-8b0d9645af04,49f89e99-66f4-41ac-8843-c27f050b3891,v3,,,,"Taiga, Kojima",1000126501,Right,MEI_MEI,142.81855,,,12.2213,,,,16.607581,-39.790538,4.021486,1.647075,-1.467586,-2.332651,-0.653118,2.866747,-2.146094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e72e4903-7a68-42bc-8491-310a47b82bac,2023-09-09T11:07:40.5731916+09:00,2023-09-09T02:07:40.5731916Z,NoShift,26.13923345,19.63336279,43.85218452,14.1514331,24.91408848,-18.62421681,42.37800026,-11.385266,78.05075571,-43.48190597,93.64280297,-4.397405702,75.73767984,42.37578555,1694225261,松本 知一,1.0,2023/9/9,1.0,314.3733864,316.0117321,316.0117352,Normal,1.0,1.0,1,Top,0,0,0,1,矢追,Right,村田,Right,,,,,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,137,9.0,小島河,加藤,堀内,上田希,宗山,飯森,直井,斉藤,,0:18:01,1079,https://youtu.be/GtDsVbUuvUE&t=1079,1054,https://youtu.be/xa59YbRifT4&t=1054,2325100000,23A
1,2.0,2023/9/9,07:49.0,2023/9/9,07:49.0,1.0,2.0,"Kenichi, Murata",1000089794,Right,MEI_MEI,"Shunsuke, Yaoi",1000091930,Right,TOK,Undefined,1,Top,0,0.0,1.0,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,134.94493,-1.733813,-4.605684,2035.316325,178.157271,12:00,1.630873,0.663473,1.848244,-74.9854,24.8966,-0.7096,0.390208,-0.645609,125.11369,-7.18519,-4.655731,0.451334,,,,,,,,,,,,-2.5532,14.8438,-0.554361,15.24,1.58491,2.987591,-37.046243,-1.403358,-0.462944,6.572989,-7.115135,MEI_MEI,TOK,JinguStadium,Undefined,Team,20230909-JinguStadium-1,acd7b950-4eb5-11ee-ad26-8b0d9645af04,49f89e99-66f4-41ac-8843-c27f050b3891,v3,,,,"Taiga, Kojima",1000126501,Right,MEI_MEI,134.40149,,,9.83124,,,,16.591761,-37.28531,3.286495,1.631245,-1.144572,-3.557568,-0.663329,3.004429,-0.231472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b3d6fd4e-372c-4215-be23-0f5f5b3f6e7e,2023-09-09T11:07:48.9976908+09:00,2023-09-09T02:07:48.9976908Z,NoShift,25.93407461,19.67407528,43.86028378,14.07681946,25.29981325,-18.95789369,42.13110106,-11.57519841,80.44154422,-44.933607,93.78063668,-4.410863252,75.3349059,43.62908536,1694225269,松本 知一,2.0,2023/9/9,2.0,322.8144422,324.45279,324.4527919,Normal,1.0,2.0,1,Top,0,0,1,1,矢追,Right,村田,Right,,,,,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,127,19.0,小島河,加藤,堀内,上田希,宗山,飯森,直井,斉藤,,0:18:09,1087,https://youtu.be/GtDsVbUuvUE&t=1087,1062,https://youtu.be/xa59YbRifT4&t=1062,2325100001,23A
2,3.0,2023/9/9,07:58.6,2023/9/9,07:58.6,1.0,3.0,"Kenichi, Murata",1000089794,Right,MEI_MEI,"Shunsuke, Yaoi",1000091930,Right,TOK,Undefined,1,Top,0,1.0,1.0,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,126.877,-1.350191,-3.98628,2040.369922,92.199619,9:00,1.612675,0.637964,1.816912,-112.7424,5.0838,-9.1498,0.102652,-0.581992,113.82164,-9.553942,-4.632213,0.490203,,,,,,,,,,,,0.9152,5.1927,-0.54082,15.24,1.572536,2.460942,-34.726038,-1.236024,0.139674,8.307004,-9.014202,MEI_MEI,TOK,JinguStadium,Undefined,Team,20230909-JinguStadium-1,b28f0ab0-4eb5-11ee-ad26-8b0d9645af04,49f89e99-66f4-41ac-8843-c27f050b3891,v3,,,,"Taiga, Kojima",1000126501,Right,MEI_MEI,123.74474,,,13.05536,,,,16.621887,-35.055048,4.153502,1.614421,-0.879004,-4.507101,-0.638179,2.45541,0.069837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9cf912c8-9946-4fe1-9dc2-8032e757d2b3,2023-09-09T11:07:58.5770572+09:00,2023-09-09T02:07:58.5770572Z,NoShift,26.14024437,19.5366142,43.88494637,14.21422816,26.209034,-19.92781419,42.09447788,-11.65191767,79.22317415,-43.597993,92.81359839,-4.250955191,74.97854981,43.95099737,1694225279,松本 知一,3.0,2023/9/9,3.0,332.2792304,333.9175761,333.917578,Normal,1.0,3.0,1,Top,0,1,1,1,矢追,Right,村田,Right,,,,,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,124,18.0,小島河,加藤,堀内,上田希,宗山,飯森,直井,斉藤,,0:18:19,1097,https://youtu.be/GtDsVbUuvUE&t=1097,1072,https://youtu.be/xa59YbRifT4&t=1072,2325100002,23A
3,4.0,2023/9/9,08:10.3,2023/9/9,08:10.3,1.0,4.0,"Kenichi, Murata",1000089794,Right,MEI_MEI,"Shunsuke, Yaoi",1000091930,Right,TOK,Undefined,1,Top,0,2.0,1.0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,143.08698,-2.136171,-3.367883,2080.04191,226.44969,1:30,1.609241,0.659065,1.839491,-49.6141,39.6836,38.7884,0.508875,0.095319,131.14953,-5.821664,-0.624277,0.426751,,,,,,,,,,,,-22.2583,22.7483,-0.581355,15.24,1.555081,2.121168,-39.307661,-1.647356,-4.511088,7.954907,-5.196243,MEI_MEI,TOK,JinguStadium,Undefined,Team,20230909-JinguStadium-1,b9839700-4eb5-11ee-ad26-8b0d9645af04,49f89e99-66f4-41ac-8843-c27f050b3891,v3,,,,"Taiga, Kojima",1000126501,Right,MEI_MEI,142.14368,,,11.93745,,,,16.600387,-39.582012,3.977454,1.608805,-1.468146,-2.598121,-0.657193,2.276748,-2.255544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9c54eef8-0068-4b2e-a5d3-ed56cc7c23cb,2023-09-09T11:08:10.2860364+09:00,2023-09-09T02:08:10.2860364Z,NoShift,26.29309772,19.57223599,43.80373672,14.62589664,26.83989356,-20.98202378,42.36545576,-11.66898059,79.03377357,-43.96393685,92.52092008,-4.14352268,75.08891285,43.7794759,1694225290,松本 知一,4.0,2023/9/9,4.0,344.0395031,345.6778471,345.6778488,Normal,1.0,4.0,1,Top,0,2,1,1,矢追,Right,村田,Right,,,,,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,141,8.0,小島河,加藤,堀内,上田希,宗山,飯森,直井,斉藤,,0:18:31,1109,https://youtu.be/GtDsVbUuvUE&t=1109,1083,https://youtu.be/xa59YbRifT4&t=1083,2325100003,23A
4,5.0,2023/9/9,08:21.4,2023/9/9,08:21.4,1.0,5.0,"Kenichi, Murata",1000089794,Right,MEI_MEI,"Shunsuke, Yaoi",1000091930,Right,TOK,Undefined,1,Top,0,2.0,2.0,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,,145.77073,-2.19136,-4.695473,2166.41494,216.700384,1:15,1.619463,0.671233,1.849033,-41.6656,44.4847,31.1393,0.58231,-0.34479,133.52334,-5.311437,-2.49876,0.419163,,,,,,,,,,,,-19.1963,25.2208,-0.562041,15.24,1.564802,3.126977,-39.979906,-1.677914,-4.029174,8.141616,-4.512968,MEI_MEI,TOK,JinguStadium,Undefined,Team,20230909-JinguStadium-1,c02632c0-4eb5-11ee-ad26-8b0d9645af04,49f89e99-66f4-41ac-8843-c27f050b3891,v3,,,,"Taiga, Kojima",1000126501,Right,MEI_MEI,144.71693,,,12.24739,,,,16.590727,-40.254032,4.070808,1.618739,-1.525963,-2.256484,-0.669609,3.262638,-2.014587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4b3d918e-48d5-485d-a703-6a62a1dfb2e3,2023-09-09T11:08:21.4266956+09:00,2023-09-09T02:08:21.4266956Z,NoShift,26.5448402,19.61946142,43.88046962,14.51677419,26.89467085,-21.14818726,42.16526678,-11.60665041,79.34232968,-44.55762788,92.87173445,-3.622632969,75.26260162,43.49633243,1694225301,松本 知一,5.0,2023/9/9,5.0,355.1774771,356.8158228,356.815825,Normal,1.0,5.0,1,Top,0,2,2,1,矢追,Right,村田,Right,,,,,Cutter,StrikeSwinging,Undefined,Undefined,Strikeout,0,0,,,,,138,6.0,小島河,加藤,堀内,上田希,宗山,飯森,直井,斉藤,空三振,0:18:42,1120,https://youtu.be/GtDsVbUuvUE&t=1120,1094,https://youtu.be/xa59YbRifT4&t=1094,2325100004,23A
5,6.0,2023/9/9,08:44.0,2023/9/9,08:44.0,2.0,1.0,"Kenichi, Murata",1000089794,Right,MEI_MEI,"Yasunori, Abe",1000091911,Right,TOK,Undefined,1,Top,1,0.0,0.0,Fastball,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,,141.76596,0.552005,-3.446346,2135.66495,220.766921,1:15,1.620394,0.647875,1.942637,-50.1778,39.6572,31.7789,1.273703,-0.001977,129.41255,-3.215338,-1.186348,0.428033,,,,,,,,,,,,-18.8138,21.0926,-0.57359,15.24,1.629668,2.194009,-38.971353,0.211561,-3.743005,7.920344,-5.610281,MEI_MEI,TOK,JinguStadium,Undefined,Team,20230909-JinguStadium-1,cd927a40-4eb5-11ee-ad26-8b0d9645af04,49f89e99-66f4-41ac-8843-c27f050b3891,v3,,,,"Taiga, Kojima",1000126501,Right,MEI_MEI,141.71799,,,12.35341,,,,16.496703,-39.225927,3.960172,1.61997,0.391886,-2.80514,-0.646043,2.314316,-1.871503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0be68267-0a5f-4f09-be4e-ef690c91630d,2023-09-09T11:08:43.9768652+09:00,2023-09-09T02:08:43.9768652Z,NoShift,26.91480812,19.53086804,43.87740522,13.71715738,26.28677166,-19.87165446,41.37477385,-10.76050552,81.74994142,-43.86379195,93.51957919,-4.041155467,73.03881065,43.39170169,1694225324,松本 知一,6.0,2023/9/9,6.0,377.8813572,379.5197048,379.519707,Normal,2.0,1.0,1,Top,1,0,0,2,阿部,Right,村田,Right,,,,,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,137,12.0,小島河,加藤,堀内,上田希,宗山,飯森,直井,斉藤,,0:19:04,1142,https://youtu.be/GtDsVbUuvUE&t=1142,1108,https://youtu.be/xa59YbRifT4&t=1108,2325100005,23A
6,7.0,2023/9/9,08:53.1,2023/9/9,08:53.1,2.0,2.0,"Kenichi, Murata",1000089794,Right,MEI_MEI,"Yasunori, Abe",1000091911,Right,TOK,Undefined,1,Top,1,1.0,0.0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,143.47243,-2.576192,-3.941121,2232.632558,216.854478,1:15,1.608612,0.672223,1.850998,-43.7414,45.0452,31.6716,0.442411,-0.124346,131.56124,-5.845064,-1.702522,0.425528,,,,,,,,,,,,-18.9941,25.8225,-0.581126,15.24,1.544846,2.556955,-39.378965,-1.925451,-3.867248,7.90919,-4.549103,MEI_MEI,TOK,JinguStadium,Undefined,Team,20230909-JinguStadium-1,d30a9fc0-4eb5-11ee-ad26-8b0d9645af04,49f89e99-66f4-41ac-8843-c27f050b3891,v3,,,,"Taiga, Kojima",1000126501,Right,MEI_MEI,142.55226,,,11.91119,,,,16.588829,-39.648949,3.954595,1.607922,-1.770165,-2.274551,-0.670663,2.688965,-1.933624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363936b9-bba5-41c7-b5d8-3b57b00653a5,2023-09-09T11:08:53.1120716+09:00,2023-09-09T02:08:53.1120716Z,NoShift,25.85280786,19.11996621,43.69622241,13.81768143,25.44251414,-19.59393066,41.50280653,-11.03277027,77.02392077,-42.93303798,92.58399413,-4.279162478,75.18552631,42.58226014,1694225333,松本 知一,7.0,2023/9/9,7.0,386.8646731,388.50302,388.5030229,Normal,2.0,2.0,1,Top,1,1,0,2,阿部,Right,村田,Right,,,,,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,140,18.0,小島河,加藤,堀内,上田希,宗山,飯森,直井,斉藤,,0:19:13,1151,https://youtu.be/GtDsVbUuvUE&t=1151,1117,https://youtu.be/xa59YbRifT4&t=1117,2325100006,23A
7,8.0,2023/9/9,09:03.7,2023/9/9,09:03.7,2.0,3.0,"Kenichi, Murata",1000089794,Right,MEI_MEI,"Yasunori, Abe",1000091911,Right,TOK,Undefined,1,Top,1,2.0,0.0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,LineDrive,Undefined,0,0,,142.52854,-1.670549,-4.283093,2052.476379,217.860311,1:15,1.579641,0.687256,1.872595,-48.9659,40.9472,29.6001,0.618009,-0.225358,130.33516,-5.323731,-2.189802,0.428219,108.80087,18.299984,136.400853,4470.241979,-26.339317,3.623476,20.745267,44.878089,24.817953,144.095438,1.878673,-18.2663,23.1923,-0.58946,15.24,1.537691,2.785591,-39.119224,-1.313766,-3.660717,8.000995,-5.158719,MEI_MEI,TOK,JinguStadium,Undefined,Team,20230909-JinguStadium-1,d9690690-4eb5-11ee-ad26-8b0d9645af04,49f89e99-66f4-41ac-8843-c27f050b3891,v3,,,,"Taiga, Kojima",1000126501,Right,MEI_MEI,141.65644,4.571658,,12.19337,,,,16.567081,-39.389715,4.000498,1.579158,-1.139365,-2.579359,-0.685725,2.90935,-1.830359,-0.070745,0.533855,0.238432,283.981866,-0.070743,-20.779687,0.653326,0.095085,-0.049854,0.056588,-0.042303,0.017118,-0.002807,0.533855,9.489716,-5.974907,0.540958,-0.130872,0.077352,-0.047412,0.017974,-0.002841,0.238427,19.78806,-3.721512,0.458335,-0.133524,0.054169,-0.018249,0.001027,0.000729,,,,,,,,,,,,,,,,,,,,,,,cbd455ae-afdd-4883-a371-d1174e5b3f25,2023-09-09T11:09:03.7309516+09:00,2023-09-09T02:09:03.7309516Z,NoShift,26.47460357,19.35607053,43.55561511,13.94207999,25.86431289,-19.78075127,41.55163392,-10.9861902,76.72943874,-42.86155549,92.2378202,-4.023809471,74.91566063,42.40915079,1694225344,松本 知一,8.0,2023/9/9,8.0,397.4036353,399.0419819,399.0419841,Normal,2.0,3.0,1,Top,1,2,0,2,阿部,Right,村田,Right,,,,,Fastball,FoulBall,Other,Undefined,Undefined,0,0,,,,,138,5.0,小島河,加藤,堀内,上田希,宗山,飯森,直井,斉藤,,0:19:24,1162,https://youtu.be/GtDsVbUuvUE&t=1162,1128,https://youtu.be/xa59YbRifT4&t=1128,2325100007,23A
8,9.0,2023/9/9,09:17.6,2023/9/9,09:17.6,2.0,4.0,"Kenichi, Murata",1000089794,Right,MEI_MEI,"Yasunori, Abe",1000091911,Right,TOK,Undefined,1,Top,1,2.0,1.0,Fastball,Changeup,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,138.42642,-0.521365,-3.648096,1942.718021,225.392512,1:30,1.608659,0.62461,1.82971,-58.4678,38.1886,35.2882,0.876442,-0.054144,125.21781,-4.880016,-1.155674,0.443987,101.1919,-57.28789,-43.047044,,,,,0.824472,0.395068,-23.373153,0.036564,-21.0094,21.0179,-0.539431,15.24,1.592329,2.251233,-37.989671,-0.554067,-3.924912,8.371265,-5.880156,MEI_MEI,TOK,JinguStadium,Undefined,Team,20230909-JinguStadium-1,e1a66690-4eb5-11ee-ad26-8b0d9645af04,49f89e99-66f4-41ac-8843-c27f050b3891,v3,,,,"Taiga, Kojima",1000126501,Right,MEI_MEI,136.62571,0.869299,,13.20862,,,,16.609705,-38.290305,4.185633,1.608435,-0.342895,-2.940078,-0.62281,2.392187,-1.962456,0.348785,0.869299,0.054039,,0.348444,11.159255,,,,,,,,0.870027,-23.774496,,,,,,,,0.054358,-10.423317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b7be112c-22ac-4dd4-91d2-d282c7f92f63,2023-09-09T11:09:17.6371276+09:00,2023-09-09T02:09:17.6371276Z,NoShift,26.7219363,19.99432814,43.82842442,14.09891952,27.0433584,-20.62827037,41.27455163,-11.03047874,80.64117622,-38.79165267,92.71773406,3.919523669,73.57198676,45.25324016,1694225358,松本 知一,9.0,2023/9/9,9.0,411.3397622,412.9781091,412.978112,Normal,2.0,4.0,1,Top,1,2,1,2,阿部,Right,村田,Right,,,,,Cutter,InPlay,GroundBall,Out,Undefined,1,0,"加藤,宗山",6.0,,阿部,138,9.0,小島河,加藤,堀内,上田希,宗山,飯森,直井,斉藤,遊ゴロ,0:19:38,1176,https://youtu.be/GtDsVbUuvUE&t=1176,1137,https://youtu.be/xa59YbRifT4&t=1137,2325100008,23A
9,10.0,2023/9/9,09:46.8,2023/9/9,09:46.8,3.0,1.0,"Kenichi, Murata",1000089794,Right,MEI_MEI,"Suguru, Sakai",1000126414,Left,TOK,Undefined,1,Top,2,0.0,0.0,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,110.03467,2.114899,-1.467161,1774.847424,62.2485,8:00,1.626663,0.629642,1.747435,-172.8794,-16.4562,-42.3929,0.498635,-0.210818,99.60624,-10.373746,-4.455875,0.564814,,,,,,,,,,,,20.0807,-8.335,-0.589306,15.24,1.667957,0.947271,-30.192486,0.518999,2.33194,5.992297,-10.774583,MEI_MEI,TOK,JinguStadium,Undefined,Team,20230909-JinguStadium-1,f31aa1c0-4eb5-11ee-ad26-8b0d9645af04,49f89e99-66f4-41ac-8843-c27f050b3891,v3,,,,"Taiga, Kojima",1000126501,Right,MEI_MEI,107.39825,,,10.42843,,,,16.692307,-30.479362,2.996148,1.630763,1.034823,-5.387291,-0.631984,0.835631,1.16597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aeaee842-4264-47ba-b197-2326728112c5,2023-09-09T11:09:46.7861068+09:00,2023-09-09T02:09:46.7861068Z,NoShift,25.70421332,22.44573079,43.57406536,14.90894186,25.19834069,-18.96939527,42.802815,-10.32575625,73.96119747,-44.84294939,93.95692486,-5.393495438,79.25312506,43.35961619,1694225387,松本 知一,10.0,2023/9/9,10.0,440.5073164,442.145664,442.1456668,Normal,3.0,1.0,1,Top,2,0,0,3,酒井捷,Left,村田,Right,,,,,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,110,3.0,小島河,加藤,堀内,上田希,宗山,飯森,直井,斉藤,,0:20:07,1205,https://youtu.be/GtDsVbUuvUE&t=1205,1154,https://youtu.be/xa59YbRifT4&t=1154,2325100009,23A
