count,PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PlayID,LocalDateTime,UTCDateTime,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,unixtime,umpire,PitchNo.1,Date(opensen),pitchcount,time1,time2,time3,fielding_alignment,PAofInning(opensen),PitchofPA(opensen),Inning(opensen),Top/Bottom(opensen),Outs(opensen),Balls(opensen),Strikes(opensen),dajun,Batter(opensen),BatterSide(opensen),Pitcher(opensen),PitcherThrows(opensen),Notes(opensen),on_1b,on_2b,on_3b,TaggedPitchType(opensen),PitchCall(opensen),TaggedHitType(opensen),PlayResult(opensen),KorBB(opensen),OutsOnPlay(opensen),RunsScored(opensen),relateddefenceplayer,relateddefencepos,runevent,runrelatedplayer,RelSpeed(opensen),zone,C,1B,2B,3B,SS,LF,CF,RF,result,truetime,c_time,c_URL,n_time,n_URL,playid,season
0,1.0,2023/9/17,11:39.3,2023/9/17,11:39.3,1.0,1.0,"Shinji, Shionome",1000126676,Right,RIK,"Ren, Takekawa",1000101186,Left,HOS_HOS,Undefined,1,Top,0,0.0,0.0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,,Out,1,0,,141.08678,-1.265117,-2.78232,2192.634059,197.369346,12:30,1.588244,0.638037,1.930072,-42.3548,49.5489,14.4857,0.809159,0.001411,127.52761,-4.494995,-1.752095,0.432933,146.92211,62.58409,-45.823584,3869.091121,,,,,60.642929,,,-9.8177,27.8115,-0.57703,15.24,1.55771,1.816485,-38.760846,-0.984352,-1.904868,8.886086,-4.410566,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20230917-JinguStadium-2,aef80550-5518-11ee-98be-c7454be4e4b2,ee961caa-839e-4148-bd89-587f168b8956,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,140.11392,38.948596,,13.55917,,,,16.509445,-39.050788,4.443043,1.58748,-0.840441,-2.205283,-0.637314,1.878638,-0.952434,,,,175.322765,2.058995,13.096103,-3.872876,1.440604,-0.362078,-0.081953,0.226718,-0.137357,0.028765,3.664445,36.228036,-9.281522,1.235913,-0.221637,-0.008615,0.047154,-0.02584,0.00498,-1.071371,-13.477293,3.455422,-0.616574,0.079392,0.030494,-0.044025,0.022457,-0.004254,,,,,,,,,,,,,,,,,,,,,,,dac17784-a382-4dc4-81f3-6e99fc6580ed,2023-09-17T14:11:39.2900000+09:00,2023-09-17T05:11:39.2900000Z,NoShift,27.89612354,22.80936569,45.8376359,13.35464809,25.38276372,-20.33570621,42.52355087,-11.60492965,83.19748152,-45.21233618,96.09391527,-1.140033332,80.99565112,40.27716308,1694927499,前田 則政,1.0,2023/9/17,1.0,1043.212511,1050.212519,1694927523,Normal,1.0,1.0,1,Top,0,0,0,1,武川,Right,塩野目,Right,,,,,Undefined,InPlay,FlyBall,Out,Undefined,1,0,西川侑,7.0,,武川,,,戸丸,菅谷,柴田,吉野,西川晋,西川侑,桑垣,鈴木唯,左飛,0:04:54,292,https://youtu.be/Ay4qmI8JUiE&t=292,1076,https://youtu.be/HrZohM5Ng6E&t=1076,2325914000,23A
1,2.0,2023/9/17,12:18.3,2023/9/17,12:18.3,2.0,1.0,"Shinji, Shionome",1000126676,Right,RIK,"Yuki, Takahara",1000089970,Right,HOS_HOS,Undefined,1,Top,1,0.0,0.0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,141.35921,-1.173897,-3.615791,2194.79414,193.084763,12:30,1.58913,0.595098,1.909114,-43.3815,47.3991,10.3568,0.824723,-0.318793,129.363,-4.44085,-2.88139,0.43028,,,,,,,,,,,,-7.8575,26.256,-0.513955,15.24,1.559948,2.404575,-38.838339,-0.933702,-1.553196,7.837835,-4.616637,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20230917-JinguStadium-2,c6496960-5518-11ee-98be-c7454be4e4b2,ee961caa-839e-4148-bd89-587f168b8956,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,140.97796,,,11.99621,,,,16.530211,-39.097845,3.918918,1.588332,-0.780848,-2.308319,-0.59442,2.456001,-0.776598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9e59b165-28ed-4573-91c6-86afa676be65,2023-09-17T14:12:18.3362808+09:00,2023-09-17T05:12:18.3362808Z,NoShift,26.81224596,22.32395165,45.10907553,13.69876451,25.2887115,-20.76356903,42.64724121,-11.61026553,81.30563708,-44.56177166,95.36626578,-2.033502158,83.44957257,37.6801034,1694927538,前田 則政,2.0,2023/9/17,2.0,1070.857617,1070.857623,1694927544,Normal,2.0,1.0,1,Top,1,0,0,2,高原,Right,塩野目,Right,,,,,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,戸丸,菅谷,柴田,吉野,西川晋,西川侑,桑垣,鈴木唯,,0:05:33,331,https://youtu.be/Ay4qmI8JUiE&t=331,1104,https://youtu.be/HrZohM5Ng6E&t=1104,2325914001,23A
2,3.0,2023/9/17,12:29.1,2023/9/17,12:29.1,2.0,2.0,"Shinji, Shionome",1000126676,Right,RIK,"Yuki, Takahara",1000089970,Right,HOS_HOS,Undefined,1,Top,1,0.0,1.0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,142.92098,-0.665228,-3.004546,2234.282355,189.893879,12:15,1.609011,0.621986,1.884132,-37.739,51.8293,8.5213,1.044123,-0.139222,129.80685,-3.544587,-2.40065,0.427397,,,,,,,,,,,,-6.5977,28.0914,-0.553279,15.24,1.591281,2.017941,-39.260678,-0.566264,-1.32355,8.533091,-4.171341,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20230917-JinguStadium-2,ccaed510-5518-11ee-98be-c7454be4e4b2,ee961caa-839e-4148-bd89-587f168b8956,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,141.92878,,,13.11412,,,,16.554622,-39.545371,4.266546,1.607852,-0.427094,-2.08567,-0.621341,2.062099,-0.661775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5db8552a-9d1a-418d-9736-85d34505e6fa,2023-09-17T14:12:29.0885880+09:00,2023-09-17T05:12:29.0885880Z,NoShift,27.12528154,22.62863318,45.65398375,13.55197941,25.75883574,-21.04981619,42.87019352,-11.45915307,83.87212533,-43.6567071,96.14837932,-1.959781127,82.51562012,38.08828247,1694927549,前田 則政,3.0,2023/9/17,3.0,1076.427115,1076.427121,1694927549,Normal,2.0,2.0,1,Top,1,0,1,2,高原,Right,塩野目,Right,,,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,戸丸,菅谷,柴田,吉野,西川晋,西川侑,桑垣,鈴木唯,,0:05:44,342,https://youtu.be/Ay4qmI8JUiE&t=342,1115,https://youtu.be/HrZohM5Ng6E&t=1115,2325914002,23A
3,4.0,2023/9/17,12:43.8,2023/9/17,12:43.8,2.0,3.0,"Shinji, Shionome",1000126676,Right,RIK,"Yuki, Takahara",1000089970,Right,HOS_HOS,Undefined,1,Top,1,1.0,1.0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,140.53217,-1.125204,-3.627288,2235.768579,200.955842,12:45,1.572721,0.61556,1.886939,-43.4965,49.957,17.8456,0.82044,-0.228092,126.72391,-4.435333,-2.363311,0.436569,,,,,,,,,,,,-12.0364,27.6212,-0.53316,15.24,1.544129,2.354604,-38.545464,-0.888899,-2.308835,8.807117,-4.508303,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20230917-JinguStadium-2,d5764ca0-5518-11ee-98be-c7454be4e4b2,ee961caa-839e-4148-bd89-587f168b8956,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,138.94722,,,13.80826,,,,16.551443,-38.843955,4.403559,1.571667,-0.736104,-2.254152,-0.614288,2.432855,-1.154417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26d9139d-9949-483d-bfec-1dd39f99ee35,2023-09-17T14:12:43.7870000+09:00,2023-09-17T05:12:43.7870000Z,NoShift,27.53435792,22.85371107,46.28552261,13.45329816,26.74953649,-21.87794425,42.98884087,-11.40656196,83.47174017,-43.47655401,96.40041621,-2.348769405,82.82664864,37.96318943,1694927564,前田 則政,4.0,2023/9/17,4.0,1091.117089,1091.117094,1694927564,Normal,2.0,3.0,1,Top,1,1,1,2,高原,Right,塩野目,Right,,,,,Undefined,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,,,,,戸丸,菅谷,柴田,吉野,西川晋,西川侑,桑垣,鈴木唯,,0:05:59,357,https://youtu.be/Ay4qmI8JUiE&t=357,1130,https://youtu.be/HrZohM5Ng6E&t=1130,2325914003,23A
4,5.0,2023/9/17,12:58.5,2023/9/17,12:58.5,2.0,4.0,"Shinji, Shionome",1000126676,Right,RIK,"Yuki, Takahara",1000089970,Right,HOS_HOS,Undefined,1,Top,1,1.0,2.0,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,,143.83546,-1.182628,-4.365731,2283.409088,188.917985,12:15,1.595623,0.585796,1.924517,-32.9732,55.6314,8.2489,0.932854,-0.559774,130.15113,-3.731761,-3.781406,0.425092,,,,,,,,,,,,-7.6313,30.6242,-0.488679,15.24,1.567136,2.970211,-39.441342,-0.899724,-1.538552,8.93176,-3.632511,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20230917-JinguStadium-2,de37d0c0-5518-11ee-98be-c7454be4e4b2,ee961caa-839e-4148-bd89-587f168b8956,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,142.6986,,,13.68433,,,,16.514187,-39.728842,4.46588,1.594215,-0.782799,-1.816255,-0.585083,3.019735,-0.769276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c1dce790-1555-48e3-8e02-06b781abbed7,2023-09-17T14:12:58.5070000+09:00,2023-09-17T05:12:58.5070000Z,NoShift,27.66276988,22.94041017,46.54707769,13.85951115,26.58313313,-21.60859867,43.20535407,-11.54832351,83.53320778,-44.12776529,96.00122482,-1.551597795,82.07655559,39.57299882,1694927579,前田 則政,5.0,2023/9/17,5.0,1105.831205,1105.831211,1694927579,Normal,2.0,4.0,1,Top,1,1,2,2,高原,Right,塩野目,Right,,,,,Undefined,StrikeSwinging,Undefined,Undefined,Strikeout,0,0,,,,,,,戸丸,菅谷,柴田,吉野,西川晋,西川侑,桑垣,鈴木唯,空三振,0:06:13,371,https://youtu.be/Ay4qmI8JUiE&t=371,1145,https://youtu.be/HrZohM5Ng6E&t=1145,2325914004,23A
5,6.0,2023/9/17,0:13:24,2023/9/17,0:13:24,3.0,1.0,"Shinji, Shionome",1000126676,Right,RIK,"Sota, Imaizumi",1000089968,Right,HOS_HOS,Undefined,1,Top,2,0.0,0.0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20230917-JinguStadium-2,f4830f70-5518-11ee-98be-c7454be4e4b2,ee961caa-839e-4148-bd89-587f168b8956,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1694927605,前田 則政,6.0,2023/9/17,6.0,1132.282054,1132.282061,1694927605,Normal,3.0,1.0,1,Top,2,0,0,3,今泉,Right,塩野目,Right,,,,,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,戸丸,菅谷,柴田,吉野,西川晋,西川侑,桑垣,鈴木唯,,0:06:39,397,https://youtu.be/Ay4qmI8JUiE&t=397,1165,https://youtu.be/HrZohM5Ng6E&t=1165,2325914005,23A
6,7.0,2023/9/17,13:36.0,2023/9/17,13:35.9,3.0,2.0,"Shinji, Shionome",1000126676,Right,RIK,"Sota, Imaizumi",1000089968,Right,HOS_HOS,Undefined,1,Top,2,0.0,1.0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,LineDrive,Single,0,0,,141.20887,-1.558839,-3.785447,2300.537485,200.934081,12:45,1.55364,0.609344,1.859728,-37.3777,55.9312,20.06,0.739386,-0.258658,126.79026,-4.439105,-2.367498,0.436231,140.34958,17.22344,-16.992525,1223.061928,31.849268,7.36907,-10.475619,76.990367,76.186765,-21.009003,2.609658,-13.5543,31.1805,-0.521782,15.24,1.514711,2.463137,-38.709309,-1.161798,-2.60837,9.265586,-3.80634,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20230917-JinguStadium-2,f4830f70-5518-11ee-98be-c7454be4e4b2,ee961caa-839e-4148-bd89-587f168b8956,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,139.05489,7.626108,,14.41861,,,,16.579331,-39.028579,4.632793,1.552484,-1.03064,-1.90317,-0.608204,2.553015,-1.304185,0.498142,0.736065,0.260701,130.150801,0.498142,35.612042,-4.732782,0.931461,-0.189392,0.035176,-0.006062,0.000818,-5.4e-05,0.736066,11.543697,-5.18752,0.346939,-0.057334,0.010132,-0.001115,0.000139,-1.3e-05,0.260701,-10.882629,-0.035906,0.09497,-0.033793,0.008459,-0.001602,0.000206,-1.3e-05,,,,,,,,,,,,,,,,,,,,,,,e459d14d-787a-4be8-b8ad-4f44291d037b,2023-09-17T14:13:35.9510000+09:00,2023-09-17T05:13:35.9510000Z,NoShift,27.46827143,22.93509368,46.01377909,12.66492248,26.84725919,-21.93095704,43.06082371,-11.11581082,80.07444229,-44.19631786,97.53804567,-2.148821047,83.27481235,39.28974307,1694927616,前田 則政,7.0,2023/9/17,7.0,1143.281573,1143.28158,1694927616,Normal,3.0,2.0,1,Top,2,0,1,3,今泉,Right,塩野目,Right,,,,,Undefined,InPlay,LineDrive,Single,Undefined,0,0,西川侑,7.0,,今泉,,,戸丸,菅谷,柴田,吉野,西川晋,西川侑,桑垣,鈴木唯,左安,0:06:51,409,https://youtu.be/Ay4qmI8JUiE&t=409,1176,https://youtu.be/HrZohM5Ng6E&t=1176,2325914006,23A
7,8.0,2023/9/17,14:16.5,2023/9/17,14:16.5,4.0,1.0,"Shinji, Shionome",1000126676,Right,RIK,"Takato, Utsumi",1000089963,Right,HOS_HOS,Undefined,1,Top,2,0.0,0.0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,1,142.83904,-1.132282,-1.6095,2249.298593,201.147906,12:45,1.591167,0.661097,1.879081,-41.2449,49.3764,17.8054,0.859764,0.385888,128.36345,-4.285109,-0.345414,0.429902,,,,,,,,,,,,-10.4349,27.3184,-0.624908,15.24,1.56242,1.011262,-39.223804,-0.899082,-2.063932,9.43659,-4.403284,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20230917-JinguStadium-2,0cb44c30-5519-11ee-98be-c7454be4e4b2,ee961caa-839e-4148-bd89-587f168b8956,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,141.10183,,,14.47559,,,,16.55913,-39.539891,4.718295,1.590065,-0.75159,-2.201642,-0.659939,1.080395,-1.031966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57565eae-91c5-4f2e-9e25-6b2f6becff7d,2023-09-17T14:14:16.4970000+09:00,2023-09-17T05:14:16.4970000Z,NoShift,19.19104009,17.62701536,44.83938749,18.19631668,25.21716352,-18.46347945,41.32035453,-7.975352339,82.89560767,-43.83855288,101.7322712,2.370375964,82.51244328,44.37042745,1694927656,前田 則政,8.0,2023/9/17,8.0,1183.797759,1183.797765,1694927657,Normal,4.0,1.0,1,Top,2,0,0,4,内海貴,Left,塩野目,Right,1,今泉,,,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,戸丸,菅谷,柴田,吉野,西川晋,西川侑,桑垣,鈴木唯,,0:07:31,449,https://youtu.be/Ay4qmI8JUiE&t=449,1204,https://youtu.be/HrZohM5Ng6E&t=1204,2325914007,23A
8,9.0,2023/9/17,14:41.0,2023/9/17,14:41.0,4.0,2.0,"Shinji, Shionome",1000126676,Right,RIK,"Takato, Utsumi",1000089963,Right,HOS_HOS,Undefined,1,Top,2,0.0,1.0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,1,138.9602,-1.657035,-1.214048,2196.640192,208.180587,1:00,1.56516,0.686629,1.910562,-50.2931,44.0448,21.8989,0.596377,0.564427,126.44896,-5.435525,0.344624,0.43863,,,,,,,,,,,,-12.2183,25.0324,-0.66044,15.24,1.524796,0.705572,-38.211733,-1.267856,-2.319117,8.167429,-5.055317,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20230917-JinguStadium-2,1b47ae90-5519-11ee-98be-c7454be4e4b2,ee961caa-839e-4148-bd89-587f168b8956,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,138.29439,,,12.51124,,,,16.528493,-38.486152,4.083714,1.564542,-1.098002,-2.527659,-0.685456,0.783493,-1.159558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80a25a28-c525-45ec-9d7a-909191320a47,2023-09-17T14:14:40.9500000+09:00,2023-09-17T05:14:40.9500000Z,NoShift,19.5949073,17.53031001,45.54188377,18.3005276,25.05505345,-18.92504653,39.94631276,-7.784963743,84.38855789,-44.0376134,100.2413709,0.749039614,83.02291501,42.8836601,1694927681,前田 則政,9.0,2023/9/17,9.0,1208.279163,1208.27917,1694927681,Normal,4.0,2.0,1,Top,2,0,1,4,内海貴,Left,塩野目,Right,1,今泉,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,戸丸,菅谷,柴田,吉野,西川晋,西川侑,桑垣,鈴木唯,,0:07:56,474,https://youtu.be/Ay4qmI8JUiE&t=474,1229,https://youtu.be/HrZohM5Ng6E&t=1229,2325914008,23A
9,,2023/9/17,0:15:02,2023/9/17,0:15:02,,,"Shinji, Shionome",1000126676,Right,RIK,"Takato, Utsumi",1000089963,Right,HOS_HOS,,1,Top,2,,,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20230917-JinguStadium-2,,ee961caa-839e-4148-bd89-587f168b8956,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1694927703,前田 則政,,2023/9/17,,1229.948103,1229.948111,1694927703,Normal,,,1,Top,2,1,1,4,内海貴,Left,塩野目,Right,1,今泉,,,,,,,,0,0,"菅谷,塩野目",,PickOff,今泉,,,戸丸,菅谷,柴田,吉野,西川晋,西川侑,桑垣,鈴木唯,,0:08:17,495,https://youtu.be/Ay4qmI8JUiE&t=495,1251,https://youtu.be/HrZohM5Ng6E&t=1251,2325914009,23A
