count,PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PlayID,LocalDateTime,UTCDateTime,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,unixtime,umpire,PitchNo.1,Date(opensen),pitchcount,time1,time2,time3,fielding_alignment,PAofInning(opensen),PitchofPA(opensen),Inning(opensen),Top/Bottom(opensen),Outs(opensen),Balls(opensen),Strikes(opensen),dajun,Batter(opensen),BatterSide(opensen),Pitcher(opensen),PitcherThrows(opensen),Notes(opensen),on_1b,on_2b,on_3b,TaggedPitchType(opensen),PitchCall(opensen),TaggedHitType(opensen),PlayResult(opensen),KorBB(opensen),OutsOnPlay(opensen),RunsScored(opensen),relateddefenceplayer,relateddefencepos,runevent,runrelatedplayer,RelSpeed(opensen),zone,C,1B,2B,3B,SS,LF,CF,RF,result,truetime,c_time,c_URL,n_time,n_URL,playid,season
0,1.0,2023/9/23,50:53.4,2023/9/23,50:53.4,1.0,1.0,"Kentaro, Shinogi",1000101178,Right,HOS_HOS,"Kaito, Yoshikawa",1000089827,Left,KEI_KEI,Undefined,1,Top,0,0.0,0.0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,152.31933,-0.380858,-1.975996,2185.017728,199.534238,12:45,1.707153,0.564018,1.836906,-23.246,56.199,18.9786,1.367119,0.1958,137.71446,-2.215845,-0.632794,0.40252,,,,,,,,,,,,-11.1823,29.8438,-0.518074,15.24,1.696463,1.340255,-41.858074,-0.329068,-2.541085,9.996419,-3.024892,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,NL,20230923-JinguStadium-2,650cbde0-59c4-11ee-9ec7-53908ffea09b,b39a210f-c220-400d-b24f-6aad6e7d686c,v3,,,,"Ryoya, Yoshiyasu",1000101184,Right,HOS_HOS,150.70044,,,14.60487,,,,16.6019,-42.182065,4.998209,1.705539,-0.231029,-1.512446,-0.562847,1.422613,-1.270543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1830baa0-2070-4d9d-b723-3d0a140ae6fa,2023-09-23T12:50:53.4018104+09:00,2023-09-23T03:50:53.4018104Z,NoShift,23.44274706,18.1222425,45.22038188,13.72120815,21.50612976,-16.02675834,39.80949244,-13.85077002,76.09197901,-43.04704004,97.51474044,-1.257383093,80.63984413,41.67783114,1695441053,松本 知一,1.0,2023/9/23,1.0,1437.766588,1437.766594,1695441054,Normal,1.0,1.0,1,Top,0,0,0,1,吉川,Left,篠木,Right,,,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,吉安,内海貴,高原,武川,今泉,西村,中津,浦,,0:03:27,205,https://youtu.be/5EJGrydlJu4&t=205,1031,https://youtu.be/GRqcwskEGtM&t=1031,2326512000,23A
1,2.0,2023/9/23,51:01.0,2023/9/23,51:01.0,1.0,2.0,"Kentaro, Shinogi",1000101178,Right,HOS_HOS,"Kaito, Yoshikawa",1000089827,Left,KEI_KEI,Undefined,1,Top,0,1.0,0.0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,GroundBall,Single,0,0,,146.33893,-1.869055,-2.226321,1924.351954,201.04133,12:45,1.672475,0.596623,1.9098,-31.9908,52.7533,19.243,0.826765,0.163125,133.53893,-4.323423,-0.85845,0.415728,132.83395,-21.055972,36.348723,,,,,2.551373,1.825554,25.992137,0.066774,-11.6483,29.632,-0.547502,15.24,1.628368,1.471694,-40.246344,-1.406617,-2.463876,8.695792,-3.538794,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,NL,20230923-JinguStadium-2,69924600-59c4-11ee-9ec7-53908ffea09b,b39a210f-c220-400d-b24f-6aad6e7d686c,v3,,,,"Ryoya, Yoshiyasu",1000101184,Right,HOS_HOS,145.91265,0.887821,,12.8,,,,16.530096,-40.524129,4.347896,1.671497,-1.293571,-1.769397,-0.595772,1.550402,-1.231938,0.435909,0.887821,-0.248698,,0.435031,27.816215,,,,,,,,0.888241,-13.295887,,,,,,,,-0.249344,20.469482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8410512c-6da7-4369-a499-7233306d3156,2023-09-23T12:51:00.9632312+09:00,2023-09-23T03:51:00.9632312Z,NoShift,23.59415526,18.35679926,46.08548598,14.2000646,22.12865024,-16.3977533,,,75.96767303,-42.80677298,96.82630673,-1.066579958,81.09348492,42.2386955,1695441061,松本 知一,2.0,2023/9/23,2.0,1443.23777,1443.237776,1695441061,Normal,1.0,2.0,1,Top,0,1,0,1,吉川,Left,篠木,Right,,,,,Undefined,InPlay,GroundBall,Single,Undefined,0,0,"内海貴,篠木",1.0,,吉川,,,吉安,内海貴,高原,武川,今泉,西村,中津,浦,投安,0:03:35,213,https://youtu.be/5EJGrydlJu4&t=213,1039,https://youtu.be/GRqcwskEGtM&t=1039,2326512001,23A
2,,2023/9/23,0:51:38,2023/9/23,0:51:38,,,"Kentaro, Shinogi",1000101178,Right,HOS_HOS,"Ryuta, Hirose",1000089826,Right,KEI_KEI,,1,Top,0,,,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,NL,20230923-JinguStadium-2,,b39a210f-c220-400d-b24f-6aad6e7d686c,v3,,,,"Ryoya, Yoshiyasu",1000101184,Right,HOS_HOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695441099,松本 知一,,2023/9/23,,1480.828872,1480.828879,1695441099,Normal,,,1,Top,0,0,0,2,廣瀬,Right,篠木,Right,1,吉川,,,,,,,,0,0,"内海貴,篠木",,PickOff,吉川,,,吉安,内海貴,高原,武川,今泉,西村,中津,浦,,0:04:12,250,https://youtu.be/5EJGrydlJu4&t=250,1062,https://youtu.be/GRqcwskEGtM&t=1062,2326512002,23A
3,3.0,2023/9/23,51:49.4,2023/9/23,51:49.4,2.0,1.0,"Kentaro, Shinogi",1000101178,Right,HOS_HOS,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,0,0.0,0.0,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,1,135.77978,0.030625,-0.335395,2252.043107,145.32395,10:45,1.645396,0.619828,1.791765,-74.6376,25.0718,-15.1694,0.907689,0.373194,124.19418,-5.442363,-1.407398,0.450944,,,,,,,,,,,,7.4765,13.7956,-0.61055,15.24,1.641008,0.292753,-37.3551,-0.267117,1.363491,7.43583,-7.290747,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,NL,20230923-JinguStadium-2,86783130-59c4-11ee-9ec7-53908ffea09b,b39a210f-c220-400d-b24f-6aad6e7d686c,v3,,,,"Ryoya, Yoshiyasu",1000101184,Right,HOS_HOS,134.51777,,,11.58561,,,,16.647418,-37.634215,3.717915,1.645898,0.006552,-3.645374,-0.620578,0.241573,0.681745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29b67d3d-5550-494e-974d-e3d1f5d66093,2023-09-23T12:51:49.3781560+09:00,2023-09-23T03:51:49.3781560Z,NoShift,19.50888516,18.534713,40.66121655,10.43873794,27.51228681,-22.47069735,40.99841527,-7.538500889,79.71024463,-43.30050285,101.3080769,-1.564479146,82.01550063,42.09427572,1695441109,松本 知一,3.0,2023/9/23,3.0,1491.706689,1491.706697,1695441109,Normal,2.0,1.0,1,Top,0,0,0,2,廣瀬,Right,篠木,Right,1,吉川,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,吉安,内海貴,高原,武川,今泉,西村,中津,浦,,0:04:23,261,https://youtu.be/5EJGrydlJu4&t=261,1072,https://youtu.be/GRqcwskEGtM&t=1072,2326512003,23A
4,4.0,2023/9/23,52:01.6,2023/9/23,52:01.6,2.0,2.0,"Kentaro, Shinogi",1000101178,Right,HOS_HOS,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,0,1.0,0.0,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,1,138.32897,-2.066691,-2.364185,2206.508366,205.862191,12:45,1.638752,0.679358,1.90765,-65.6991,29.0187,12.6294,0.40018,0.140832,127.04248,-6.907624,-1.465809,0.439512,,,,,,,,,,,,-8.2279,17.4311,-0.626635,15.24,1.588119,1.512508,-38.038605,-1.609352,-1.558601,7.587845,-6.504685,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,NL,20230923-JinguStadium-2,8dbc3d10-59c4-11ee-9ec7-53908ffea09b,b39a210f-c220-400d-b24f-6aad6e7d686c,v3,,,,"Ryoya, Yoshiyasu",1000101184,Right,HOS_HOS,138.01674,,,11.28649,,,,16.5321,-38.295482,3.793922,1.638874,-1.389144,-3.252342,-0.678732,1.565273,-0.7793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15ff1648-ef25-4b18-97b2-f7f02fc43e44,2023-09-23T12:52:01.6017976+09:00,2023-09-23T03:52:01.6017976Z,NoShift,19.70532084,18.20461317,41.38585085,10.61438827,28.09883322,-22.73379608,40.78749765,-7.456571537,79.49015413,-43.42354166,100.8129199,-1.264475483,82.34353884,43.1299585,1695441122,松本 知一,4.0,2023/9/23,4.0,1503.882714,1503.88272,1695441122,Normal,2.0,2.0,1,Top,0,1,0,2,廣瀬,Right,篠木,Right,1,吉川,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,吉安,内海貴,高原,武川,今泉,西村,中津,浦,,0:04:35,273,https://youtu.be/5EJGrydlJu4&t=273,1085,https://youtu.be/GRqcwskEGtM&t=1085,2326512004,23A
5,5.0,2023/9/23,52:15.4,2023/9/23,52:15.4,2.0,3.0,"Kentaro, Shinogi",1000101178,Right,HOS_HOS,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,0,2.0,0.0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,GroundBall,Single,0,0,1,149.07755,-1.770756,-2.427173,1994.291972,198.720573,12:30,1.649367,0.564476,1.900996,-25.6592,56.6248,18.2354,0.894301,0.063995,135.09457,-3.783765,-1.132128,0.409649,161.95964,-1.555402,-42.329271,2649.422267,,,,14.002405,13.516586,-42.318489,0.316392,-11.3413,31.5897,-0.510385,15.24,1.607552,1.644986,-40.96693,-1.329402,-2.469276,9.554344,-2.928812,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,NL,20230923-JinguStadium-2,95ee0450-59c4-11ee-9ec7-53908ffea09b,b39a210f-c220-400d-b24f-6aad6e7d686c,v3,,,,"Ryoya, Yoshiyasu",1000101184,Right,HOS_HOS,148.07782,0.895341,,13.98298,,,,16.538555,-41.268668,4.777172,1.648076,-1.236906,-1.464406,-0.563567,1.722969,-1.234638,0.52424,0.895341,-0.035448,82.437361,0.526117,33.168322,-6.678524,,,,,,,0.896116,-1.253789,-4.996559,,,,,,,-0.035436,-30.28452,1.898835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4be8f52c-ae6f-4ab8-b2db-c10ab423afa0,2023-09-23T12:52:15.3702456+09:00,2023-09-23T03:52:15.3702456Z,NoShift,19.82612183,18.2038897,40.39878699,9.618798018,28.54852676,-23.2477201,40.51047701,-7.171776715,80.37315394,-43.65113041,99.55162565,-0.951751,81.86249259,43.65422739,1695441135,松本 知一,5.0,2023/9/23,5.0,1517.641894,1517.641901,1695441135,Normal,2.0,3.0,1,Top,0,2,0,2,廣瀬,Right,篠木,Right,1,吉川,,,Undefined,InPlay,GroundBall,Single,Undefined,0,0,武川,5.0,,"吉川,廣瀬",,,吉安,内海貴,高原,武川,今泉,西村,中津,浦,三安,0:04:49,287,https://youtu.be/5EJGrydlJu4&t=287,1098,https://youtu.be/GRqcwskEGtM&t=1098,2326512005,23A
6,6.0,2023/9/23,53:01.1,2023/9/23,53:01.1,3.0,1.0,"Kentaro, Shinogi",1000101178,Right,HOS_HOS,"Sotaro, Homma",1000126437,Right,KEI_KEI,Undefined,1,Top,0,0.0,0.0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,"1,2",146.58249,-1.136925,-1.812394,1736.097865,204.909825,12:45,1.680995,0.554539,1.936831,-31.2768,54.1359,23.6796,1.049078,0.282724,131.64884,-3.581158,-0.125585,0.417365,,,,,,,,,,,,-13.6691,29.8611,-0.515638,15.24,1.653941,1.152436,-40.264183,-0.873866,-2.849224,9.936757,-3.582339,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,NL,20230923-JinguStadium-2,b131b130-59c4-11ee-9ec7-53908ffea09b,b39a210f-c220-400d-b24f-6aad6e7d686c,v3,,,,"Ryoya, Yoshiyasu",1000101184,Right,HOS_HOS,145.34046,,,14.93366,,,,16.501447,-40.5743,4.968379,1.679469,-0.762064,-1.79117,-0.552992,1.241358,-1.424612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e809bfd7-c11b-4be1-aef9-99cc773d0fa9,2023-09-23T12:53:01.0893880+09:00,2023-09-23T03:53:01.0893880Z,NoShift,19.30322939,13.73721461,36.00089565,9.354416674,22.32580507,-17.10642482,,,71.09576463,-41.63904286,89.30250248,-1.144961868,76.2866385,42.10075822,1695441181,松本 知一,6.0,2023/9/23,6.0,1563.379279,1563.379288,1695441181,Normal,3.0,1.0,1,Top,0,0,0,3,本間,Right,篠木,Right,"1,2",廣瀬,吉川,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,吉安,内海貴,高原,武川,今泉,西村,中津,浦,,0:05:35,333,https://youtu.be/5EJGrydlJu4&t=333,1127,https://youtu.be/GRqcwskEGtM&t=1127,2326512006,23A
7,7.0,2023/9/23,53:14.9,2023/9/23,53:14.9,3.0,2.0,"Kentaro, Shinogi",1000101178,Right,HOS_HOS,"Sotaro, Homma",1000126437,Right,KEI_KEI,Undefined,1,Top,0,1.0,0.0,Cutter,Cutter,StrikeCalled,Undefined,Undefined,,Undefined,0,0,"1,2",138.16097,-0.942889,-1.444599,2158.579136,174.264883,11:45,1.651546,0.647731,1.889825,-67.591,27.8321,-2.4847,0.71024,0.21635,126.18635,-5.936691,-1.621214,0.441145,,,,,,,,,,,,0.2215,16.0686,-0.614498,15.24,1.625888,0.970236,-38.001626,-0.871429,0.041697,7.881403,-6.781808,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,NL,20230923-JinguStadium-2,b9710d00-59c4-11ee-9ec7-53908ffea09b,b39a210f-c220-400d-b24f-6aad6e7d686c,v3,,,,"Ryoya, Yoshiyasu",1000101184,Right,HOS_HOS,137.5058,,,11.97462,,,,16.549173,-38.27218,3.940701,1.651807,-0.638621,-3.390904,-0.64778,0.968805,0.020849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67ec2d22-884d-4ff1-9a51-f62b95748cd3,2023-09-23T12:53:14.9188664+09:00,2023-09-23T03:53:14.9188664Z,NoShift,20.97479983,15.23200101,36.36296372,8.890701293,22.59765686,-17.46900572,39.00312187,-8.050854507,72.4857055,-41.58294196,90.8029668,-1.074485097,76.18687377,41.91422186,1695441195,松本 知一,7.0,2023/9/23,7.0,1577.143465,1577.143479,1695441195,Normal,3.0,2.0,1,Top,0,1,0,3,本間,Right,篠木,Right,"1,2",廣瀬,吉川,,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,吉安,内海貴,高原,武川,今泉,西村,中津,浦,,0:05:49,347,https://youtu.be/5EJGrydlJu4&t=347,1141,https://youtu.be/GRqcwskEGtM&t=1141,2326512007,23A
8,8.0,2023/9/23,53:30.2,2023/9/23,53:30.2,3.0,3.0,"Kentaro, Shinogi",1000101178,Right,HOS_HOS,"Sotaro, Homma",1000126437,Right,KEI_KEI,Undefined,1,Top,0,1.0,1.0,Cutter,Cutter,BallCalled,Undefined,Undefined,,Undefined,0,0,"1,2",139.27735,-2.445493,-1.763289,2244.94458,193.874644,12:30,1.629795,0.591257,1.903165,-68.9413,25.6459,5.5188,0.252153,0.150586,126.59469,-7.531945,-1.370482,0.439209,,,,,,,,,,,,-4.2502,16.2369,-0.551576,15.24,1.570258,1.151461,-38.254478,-1.886078,-0.804211,8.569149,-6.734361,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,NL,20230923-JinguStadium-2,c2917a00-59c4-11ee-9ec7-53908ffea09b,b39a210f-c220-400d-b24f-6aad6e7d686c,v3,,,,"Ryoya, Yoshiyasu",1000101184,Right,HOS_HOS,138.11201,,,12.68266,,,,16.5359,-38.543671,4.284574,1.630075,-1.658805,-3.367181,-0.590893,1.178601,-0.402105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2bd3f87d-1a46-497d-9a43-0741d5eb52d7,2023-09-23T12:53:30.2407224+09:00,2023-09-23T03:53:30.2407224Z,NoShift,22.86642284,17.20531117,37.1657894,9.11720519,22.80451845,-17.73726933,39.06752545,-7.825163742,75.28271023,-40.88274799,91.10422425,-1.06648607,75.69411954,41.55788561,1695441210,松本 知一,8.0,2023/9/23,8.0,1592.489458,1592.489464,1695441210,Normal,3.0,3.0,1,Top,0,1,1,3,本間,Right,篠木,Right,"1,2",廣瀬,吉川,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,吉安,内海貴,高原,武川,今泉,西村,中津,浦,,0:06:04,362,https://youtu.be/5EJGrydlJu4&t=362,1156,https://youtu.be/GRqcwskEGtM&t=1156,2326512008,23A
9,9.0,2023/9/23,53:47.3,2023/9/23,53:47.3,3.0,4.0,"Kentaro, Shinogi",1000101178,Right,HOS_HOS,"Sotaro, Homma",1000126437,Right,KEI_KEI,Undefined,1,Top,0,2.0,1.0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,"1,2",149.79505,-2.509834,-2.868379,2017.822081,201.440889,12:45,1.645424,0.494952,1.908925,-25.9146,55.7777,20.7799,0.67962,-0.104003,135.54491,-4.541307,-1.392677,0.408174,,,,,,,,,,,,-12.9291,31.6312,-0.431274,15.24,1.587025,1.952583,-41.116462,-1.863546,-2.832294,9.719834,-2.877423,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,NL,20230923-JinguStadium-2,ccc293b0-59c4-11ee-9ec7-53908ffea09b,b39a210f-c220-400d-b24f-6aad6e7d686c,v3,,,,"Ryoya, Yoshiyasu",1000101184,Right,HOS_HOS,148.61315,,,14.25014,,,,16.530075,-41.42031,4.859917,1.643874,-1.773596,-1.438711,-0.493697,2.041122,-1.416147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c2432086-9467-409b-9765-7971b6e492eb,2023-09-23T12:53:47.3443896+09:00,2023-09-23T03:53:47.3443896Z,NoShift,21.49009282,16.06543383,38.30057964,9.503659977,23.69753607,-18.41765287,39.80198955,-7.721702095,74.73761643,-41.4304699,89.29671763,-1.025307254,73.90956042,40.5616093,1695441227,松本 知一,9.0,2023/9/23,9.0,1609.57947,1609.579479,1695441227,Normal,3.0,4.0,1,Top,0,2,1,3,本間,Right,篠木,Right,"1,2",廣瀬,吉川,,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,吉安,内海貴,高原,武川,今泉,西村,中津,浦,,0:06:21,379,https://youtu.be/5EJGrydlJu4&t=379,1173,https://youtu.be/GRqcwskEGtM&t=1173,2326512009,23A
