count,PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PlayID,LocalDateTime,UTCDateTime,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,unixtime,umpire,PitchNo.1,Date(opensen),pitchcount,time1,time2,time3,fielding_alignment,PAofInning(opensen),PitchofPA(opensen),Inning(opensen),Top/Bottom(opensen),Outs(opensen),Balls(opensen),Strikes(opensen),dajun,Batter(opensen),BatterSide(opensen),Pitcher(opensen),PitcherThrows(opensen),Notes(opensen),on_1b,on_2b,on_3b,TaggedPitchType(opensen),PitchCall(opensen),TaggedHitType(opensen),PlayResult(opensen),KorBB(opensen),OutsOnPlay(opensen),RunsScored(opensen),relateddefenceplayer,relateddefencepos,runevent,runrelatedplayer,RelSpeed(opensen),zone,C,1B,2B,3B,SS,LF,CF,RF,result,truetime,c_time,c_URL,n_time,n_URL,playid,season
0,1.0,2023/9/24,57:35.7,2023/9/24,57:35.7,1.0,1.0,"Yuki, Ishihara",1000089790,Left,MEI_MEI,"Yudai, Ose",1000126636,Left,WAS_EDA,Undefined,1,Top,0,0.0,0.0,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,121.0582,1.965112,2.674939,2168.797245,332.511748,5:00,1.648506,-0.548967,1.851596,-163.2481,-38.0755,21.8317,0.571054,0.424294,111.45824,-9.80249,4.222797,0.505254,,,,,,,,,,,,-9.2081,-19.7889,0.484529,15.24,1.684688,-1.64749,-33.296997,0.543099,-1.326873,6.210178,-12.658213,MEI_MEI,WAS_EDA,JinguStadium,Undefined,Team,20230924-JinguStadium-2,e1990440-5a96-11ee-b721-379ef510d445,1e97b59d-9a26-4c7a-b849-5669166ba09d,v3,,,,"Kenshin, Sugawara",1000126438,Right,MEI_MEI,120.05854,,,9.59997,,,,16.589636,-33.547771,3.105089,1.652437,1.054253,-6.329107,0.549975,-1.59391,-0.663436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,877bc019-79ff-4ea7-b1f7-24d39d8f61d7,2023-09-24T13:57:35.7401426+09:00,2023-09-24T04:57:35.7401426Z,NoShift,26.65270494,22.41014106,43.9102328,13.73775936,24.86739012,-17.49124075,43.70992549,-10.03716766,76.34808975,-41.48438513,91.04805942,2.22108348,79.50433064,43.00021613,1695531456,浅田 祐太朗,1.0,2023/9/24,1.0,65.22594905,65.22594905,1695531456,Normal,1.0,1.0,1,Top,0,0,0,1,尾瀬,Left,石原,Left,,,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,菅原,加藤,堀内,上田,宗山,飯森,榊原,斉藤,,0:05:34,332,https://youtu.be/NoWN6CqHBrY&t=332,989,https://youtu.be/6rc3xOb2ycg&t=989,2326611000,23A
1,2.0,2023/9/24,57:49.3,2023/9/24,57:49.3,1.0,2.0,"Yuki, Ishihara",1000089790,Left,MEI_MEI,"Yudai, Ose",1000126636,Left,WAS_EDA,Undefined,1,Top,0,1.0,0.0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,146.61098,-1.490688,4.286465,2234.517182,139.903611,10:45,1.625756,-0.570083,1.858088,-41.9938,43.9675,-34.4826,0.784304,0.295749,132.60519,-4.664872,1.850123,0.418703,,,,,,,,,,,,20.9527,24.6433,0.471398,15.24,1.587997,-2.833993,-40.196941,-1.188968,4.38882,9.256579,-4.644783,MEI_MEI,WAS_EDA,JinguStadium,Undefined,Team,20230924-JinguStadium-2,e9a0ae40-5a96-11ee-b721-379ef510d445,1e97b59d-9a26-4c7a-b849-5669166ba09d,v3,,,,"Kenshin, Sugawara",1000126438,Right,MEI_MEI,144.8759,,,14.0058,,,,16.58097,-40.504563,4.628289,1.624945,-1.034609,-2.322392,0.568003,-2.979846,2.19441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44ed7a5a-2fb1-4280-ad21-09e2c7f8085e,2023-09-24T13:57:49.3480274+09:00,2023-09-24T04:57:49.3480274Z,NoShift,26.41198851,22.48413818,43.98066721,13.74036074,24.79891196,-17.3048639,43.485306,-9.979014984,77.52655446,-42.4512701,91.15228847,2.323038004,79.28629852,42.99506558,1695531469,浅田 祐太朗,2.0,2023/9/24,2.0,79.11024356,79.11024356,1695531469,Normal,1.0,2.0,1,Top,0,1,0,1,尾瀬,Left,石原,Left,,,,,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,菅原,加藤,堀内,上田,宗山,飯森,榊原,斉藤,,0:05:48,346,https://youtu.be/NoWN6CqHBrY&t=346,1002,https://youtu.be/6rc3xOb2ycg&t=1002,2326611001,23A
2,3.0,2023/9/24,58:02.1,2023/9/24,58:02.1,1.0,3.0,"Yuki, Ishihara",1000089790,Left,MEI_MEI,"Yudai, Ose",1000126636,Left,WAS_EDA,Undefined,1,Top,0,1.0,1.0,Slider,Slider,FoulBall,Undefined,Undefined,LineDrive,Undefined,0,0,,127.65663,2.411624,2.048459,2133.516632,305.321593,4:15,1.582439,-0.575864,1.803521,-127.926,-14.2926,25.4062,0.986177,0.257877,116.32724,-6.85981,3.841992,0.481402,123.79605,20.880545,-69.833003,3848.832364,8.70773,8.480869,-32.377306,67.414069,46.497325,-79.977411,2.747152,-11.4116,-8.0208,0.52412,15.24,1.632722,-1.369823,-35.072429,0.981262,-1.820209,7.03012,-11.086001,MEI_MEI,WAS_EDA,JinguStadium,Undefined,Team,20230924-JinguStadium-2,f1448d60-5a96-11ee-b721-379ef510d445,1e97b59d-9a26-4c7a-b849-5669166ba09d,v3,,,,"Kenshin, Sugawara",1000126438,Right,MEI_MEI,126.00699,8.523428,,11.32939,,,,16.63659,-35.351262,3.51506,1.585083,1.420961,-5.543,0.577019,-1.297629,-0.910105,-0.116767,0.899042,-0.269089,117.700394,-0.11676,11.076492,-3.85185,0.823177,-0.170096,0.024864,-0.001237,-0.000397,6.8e-05,0.899033,12.256926,-5.327974,0.391828,-0.08093,0.025271,-0.007693,0.00171,-0.000167,-0.269099,-30.159098,3.169218,-0.51107,0.073176,0.001075,-0.004999,0.001466,-0.000156,,,,,,,,,,,,,,,,,,,,,,,a5b41d4d-ca61-41ae-9ded-7b730b7822a4,2023-09-24T13:58:02.0781394+09:00,2023-09-24T04:58:02.0781394Z,NoShift,26.55840838,22.47334489,44.0683349,14.0937409,24.99394377,-17.35198643,44.03848444,-10.17404564,77.27451133,-42.79900389,91.29726947,2.172803411,80.27337527,43.181969,1695531482,浅田 祐太朗,3.0,2023/9/24,3.0,91.58667469,91.58667469,1695531482,Normal,1.0,3.0,1,Top,0,1,1,1,尾瀬,Left,石原,Left,,,,,Undefined,FoulBall,FlyBall,Undefined,Undefined,0,0,,,,,,,菅原,加藤,堀内,上田,宗山,飯森,榊原,斉藤,,0:06:00,358,https://youtu.be/NoWN6CqHBrY&t=358,1015,https://youtu.be/6rc3xOb2ycg&t=1015,2326611002,23A
3,4.0,2023/9/24,58:29.0,2023/9/24,58:29.0,1.0,4.0,"Yuki, Ishihara",1000089790,Left,MEI_MEI,"Yudai, Ose",1000126636,Left,WAS_EDA,Undefined,1,Top,0,1.0,2.0,Fastball,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,,147.43835,-2.576484,5.428825,2177.927595,139.589947,10:45,1.632464,-0.510534,1.936642,-40.2936,43.5869,-34.7477,0.502978,0.669561,134.42887,-5.619072,2.968595,0.413604,,,,,,,,,,,,21.9219,25.3534,0.392089,15.24,1.57292,-3.666587,-40.382268,-1.954505,4.671199,8.7058,-4.404265,MEI_MEI,WAS_EDA,JinguStadium,Undefined,Team,20230924-JinguStadium-2,015b3460-5a97-11ee-b721-379ef510d445,1e97b59d-9a26-4c7a-b849-5669166ba09d,v3,,,,"Kenshin, Sugawara",1000126438,Right,MEI_MEI,146.6619,,,13.00947,,,,16.503034,-40.653647,4.3529,1.631706,-1.817215,-2.202132,0.508654,-3.812198,2.3356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2ee5400e-a924-4637-a0af-f2a687df569b,2023-09-24T13:58:29.0254674+09:00,2023-09-24T04:58:29.0254674Z,NoShift,26.62614868,22.31793247,43.82515764,14.21961367,27.7239866,-18.7561077,42.3544944,-10.46675217,72.55488709,-44.46211855,89.00400653,-2.15558205,78.68836065,41.17796349,1695531509,浅田 祐太朗,4.0,2023/9/24,4.0,118.6053901,118.6053901,1695531509,Normal,1.0,4.0,1,Top,0,1,2,1,尾瀬,Left,石原,Left,,,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,菅原,加藤,堀内,上田,宗山,飯森,榊原,斉藤,,0:06:27,385,https://youtu.be/NoWN6CqHBrY&t=385,1034,https://youtu.be/6rc3xOb2ycg&t=1034,2326611003,23A
4,5.0,2023/9/24,58:47.9,2023/9/24,58:47.9,1.0,5.0,"Yuki, Ishihara",1000089790,Left,MEI_MEI,"Yudai, Ose",1000126636,Left,WAS_EDA,Undefined,1,Top,0,2.0,2.0,Curveball,Curveball,InPlay,Undefined,LineDrive,LineDrive,Single,0,0,,122.87373,2.005057,1.267928,2189.442312,335.470441,5:15,1.63731,-0.529278,1.906868,-163.3544,-41.8569,20.9819,0.567673,0.036962,112.10176,-9.842698,2.764038,0.497781,149.4196,14.113348,-13.635196,2459.511769,31.847337,6.126633,-10.481902,71.947983,71.117925,-23.524942,2.390357,-9.8372,-22.1148,0.499433,15.24,1.673315,-0.835914,-33.808087,0.589538,-1.447498,6.934652,-13.060739,MEI_MEI,WAS_EDA,JinguStadium,Undefined,Team,20230924-JinguStadium-2,0c8fb450-5a97-11ee-b721-379ef510d445,1e97b59d-9a26-4c7a-b849-5669166ba09d,v3,,,,"Kenshin, Sugawara",1000126438,Right,MEI_MEI,121.86077,6.288589,,10.77197,,,,16.534152,-34.072507,3.467326,1.641341,1.087548,-6.530369,0.530255,-0.780721,-0.723749,0.307057,0.560948,-0.045921,120.00429,0.307031,39.119956,-7.645148,1.797083,-0.445425,0.135115,-0.039579,0.007421,-0.0006,0.560988,10.117832,-4.52785,-0.050124,0.181763,-0.123065,0.048582,-0.010108,0.000867,-0.045959,-9.486311,-2.193696,0.893578,-0.357401,0.156347,-0.053755,0.010755,-0.000908,,,,,,,,,,,,,,,,,,,,,,,917a091a-6f61-4641-8bef-210033913d27,2023-09-24T13:58:47.8839122+09:00,2023-09-24T04:58:47.8839122Z,NoShift,27.21548278,22.86120682,43.22792254,15.74345359,28.25681539,-19.51103503,42.435709,-10.78911713,72.89340158,-44.35569674,89.33070119,-2.650327482,78.86931282,42.05206123,1695531528,浅田 祐太朗,5.0,2023/9/24,5.0,137.3727558,137.3727558,1695531528,Normal,1.0,5.0,1,Top,0,2,2,1,尾瀬,Left,石原,Left,,,,,Undefined,InPlay,FlyBall,Single,Undefined,0,0,飯森,7.0,,尾瀬,,,菅原,加藤,堀内,上田,宗山,飯森,榊原,斉藤,左安,0:06:46,404,https://youtu.be/NoWN6CqHBrY&t=404,1053,https://youtu.be/6rc3xOb2ycg&t=1053,2326611004,23A
5,6.0,2023/9/24,59:25.4,2023/9/24,59:25.4,2.0,1.0,"Yuki, Ishihara",1000089790,Left,MEI_MEI,"Syu, Yamagata",1000126593,Right,WAS_EDA,Undefined,1,Top,0,0.0,0.0,ChangeUp,Changeup,InPlay,Undefined,Bunt,,Sacrifice,1,0,1,133.73779,-0.872264,3.251296,1303.804771,130.771243,10:15,1.649033,-0.597799,1.85572,-72.773,27.559,-28.9171,0.674951,0.030722,124.64355,-6.182966,1.203497,0.45235,,,,,,,,,,,,16.9484,15.5499,0.523215,15.24,1.623783,-1.965665,-36.827186,-0.826947,3.062943,5.91196,-6.996453,MEI_MEI,WAS_EDA,JinguStadium,Undefined,Team,20230924-JinguStadium-2,22e21ef0-5a97-11ee-b721-379ef510d445,1e97b59d-9a26-4c7a-b849-5669166ba09d,v3,,,,"Kenshin, Sugawara",1000126438,Right,MEI_MEI,134.09973,,,9.09424,,,,16.585007,-37.042474,2.95598,1.649258,-0.572166,-3.498227,0.596827,-2.077205,1.531471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67cdc72c-a98d-4616-96ea-9df38480011d,2023-09-24T13:59:25.4081874+09:00,2023-09-24T04:59:25.4081874Z,NoShift,18.91269331,17.69001996,34.19277258,9.289197815,18.20242153,-14.21003706,39.23114675,-7.840770112,71.62085548,-37.55194248,86.63099074,3.093157053,69.47296868,44.95867667,1695531565,浅田 祐太朗,6.0,2023/9/24,6.0,174.7388511,174.7388511,1695531565,Normal,2.0,1.0,1,Top,0,0,0,2,山縣,Right,石原,Left,1,尾瀬,,,Undefined,InPlay,Bunt,Sacrifice,Undefined,1,0,石原,1.2,,"尾瀬,山縣",,,菅原,加藤,堀内,上田,宗山,飯森,榊原,斉藤,投犠,0:07:24,442,https://youtu.be/NoWN6CqHBrY&t=442,1076,https://youtu.be/6rc3xOb2ycg&t=1076,2326611005,23A
6,7.0,2023/9/24,00:10.4,2023/9/24,00:10.4,3.0,1.0,"Yuki, Ishihara",1000089790,Left,MEI_MEI,"Toyo, Kumada",1000089879,Left,WAS_EDA,Undefined,1,Top,1,0.0,0.0,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,2,130.60689,1.381618,3.530452,2183.350774,304.563088,4:15,1.608937,-0.605322,1.883607,-111.4707,-4.3022,11.1422,0.883922,0.501057,119.54156,-6.733071,4.319395,0.467507,,,,,,,,,,,,-3.1527,-2.1491,0.523329,15.24,1.634129,-2.263492,-35.87976,0.447796,-0.528792,7.057471,-10.167108,MEI_MEI,WAS_EDA,JinguStadium,Undefined,Team,20230924-JinguStadium-2,3dde3b80-5a97-11ee-b721-379ef510d445,1e97b59d-9a26-4c7a-b849-5669166ba09d,v3,,,,"Kenshin, Sugawara",1000126438,Right,MEI_MEI,129.752,,,11.06532,,,,16.556249,-36.137736,3.528735,1.610968,0.819441,-5.083554,0.605714,-2.244163,-0.264396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a66e26db-9e87-40a6-ba03-0ed8ab9fc534,2023-09-24T14:00:10.4089938+09:00,2023-09-24T05:00:10.4089938Z,NoShift,26.59052253,22.57170988,42.0149542,12.16289189,27.5630978,-19.14904547,40.2663525,-8.003521923,68.80727052,-40.59812997,87.94617201,-1.522328412,74.70261351,40.62824419,1695531610,浅田 祐太朗,7.0,2023/9/24,7.0,220.0144601,220.0144601,1695531610,Normal,3.0,1.0,1,Top,1,0,0,3,熊田,Left,石原,Left,2,,尾瀬,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,菅原,加藤,堀内,上田,宗山,飯森,榊原,斉藤,,0:08:09,487,https://youtu.be/NoWN6CqHBrY&t=487,1098,https://youtu.be/6rc3xOb2ycg&t=1098,2326611006,23A
7,8.0,2023/9/24,00:33.3,2023/9/24,00:33.3,3.0,2.0,"Yuki, Ishihara",1000089790,Left,MEI_MEI,"Toyo, Kumada",1000089879,Left,WAS_EDA,Undefined,1,Top,1,1.0,0.0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,2,145.40803,0.672822,2.104729,2189.446914,139.068654,10:45,1.643289,-0.574911,1.953546,-45.8907,39.8506,-32.0896,1.373072,-0.305704,131.80015,-2.800451,-0.183001,0.418167,,,,,,,,,,,,18.1724,21.0767,0.530554,15.24,1.655364,-1.310489,-39.989542,0.321748,3.775502,8.990345,-5.427761,MEI_MEI,WAS_EDA,JinguStadium,Undefined,Team,20230924-JinguStadium-2,4b5a8890-5a97-11ee-b721-379ef510d445,1e97b59d-9a26-4c7a-b849-5669166ba09d,v3,,,,"Kenshin, Sugawara",1000126438,Right,MEI_MEI,145.06165,,,13.60788,,,,16.48548,-40.268574,4.495172,1.642764,0.490208,-2.71388,0.573045,-1.427669,1.887751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37633a58-7bab-42e6-9ccf-10f6f3c702da,2023-09-24T14:00:33.3302098+09:00,2023-09-24T05:00:33.3302098Z,NoShift,26.49073032,23.1136279,43.38151612,12.35084297,27.37001016,-19.23247228,39.97944376,-6.916995111,68.45221051,-41.5286003,87.57479298,-1.471495093,75.39452367,40.78066891,1695531633,浅田 祐太朗,8.0,2023/9/24,8.0,242.8415806,242.8415806,1695531633,Normal,3.0,2.0,1,Top,1,1,0,3,熊田,Left,石原,Left,2,,尾瀬,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,菅原,加藤,堀内,上田,宗山,飯森,榊原,斉藤,,0:08:32,510,https://youtu.be/NoWN6CqHBrY&t=510,1121,https://youtu.be/6rc3xOb2ycg&t=1121,2326611007,23A
8,9.0,2023/9/24,01:16.8,2023/9/24,01:16.8,3.0,3.0,"Yuki, Ishihara",1000089790,Left,MEI_MEI,"Toyo, Kumada",1000089879,Left,WAS_EDA,Undefined,1,Top,1,2.0,0.0,Fastball,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,2,144.09178,-1.671306,4.842046,2096.231312,135.634761,10:30,1.635698,-0.528844,1.93253,-46.9346,40.5196,-36.8793,0.695553,0.464337,131.62381,-5.191664,2.227144,0.422323,,,,,,,,,,,,22.5251,23.0977,0.423238,15.24,1.595798,-3.170693,-39.530641,-1.313645,4.608003,8.198263,-5.081515,MEI_MEI,WAS_EDA,JinguStadium,Undefined,Team,20230924-JinguStadium-2,654e35d0-5a97-11ee-b721-379ef510d445,1e97b59d-9a26-4c7a-b849-5669166ba09d,v3,,,,"Kenshin, Sugawara",1000126438,Right,MEI_MEI,143.63402,,,12.46797,,,,16.507191,-39.792576,4.099132,1.635175,-1.15129,-2.540757,0.526893,-3.317919,2.304001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64ef268a-d543-420c-a891-d7319686d209,2023-09-24T14:01:16.8339282+09:00,2023-09-24T05:01:16.8339282Z,NoShift,26.64590145,22.57449388,42.5289943,11.79981559,27.45703916,-19.20430891,42.13547522,-9.124944139,70.32048082,-42.42074766,88.40073106,-1.088503475,76.32147399,41.11721536,1695531677,浅田 祐太朗,9.0,2023/9/24,9.0,286.2531226,286.2531226,1695531677,Normal,3.0,3.0,1,Top,1,2,0,3,熊田,Left,石原,Left,2,,尾瀬,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,菅原,加藤,堀内,上田,宗山,飯森,榊原,斉藤,,0:09:15,553,https://youtu.be/NoWN6CqHBrY&t=553,1158,https://youtu.be/6rc3xOb2ycg&t=1158,2326611008,23A
9,10.0,2023/9/24,01:44.6,2023/9/24,01:44.6,3.0,4.0,"Yuki, Ishihara",1000089790,Left,MEI_MEI,"Toyo, Kumada",1000089879,Left,WAS_EDA,Undefined,1,Top,1,3.0,0.0,Curveball,Curveball,BallCalled,Walk,Undefined,,Undefined,0,0,2,121.90177,1.174104,2.778031,2220.826032,328.023051,5:00,1.617909,-0.535778,1.873984,-163.5029,-39.713,27.313,0.313982,0.520349,111.92793,-10.616347,4.718858,0.502455,,,,,,,,,,,,-11.8996,-20.2703,0.469698,15.24,1.635256,-1.740392,-33.525604,0.091717,-1.726361,6.675831,-12.747411,MEI_MEI,WAS_EDA,JinguStadium,Undefined,Team,20230924-JinguStadium-2,75ebc010-5a97-11ee-b721-379ef510d445,1e97b59d-9a26-4c7a-b849-5669166ba09d,v3,,,,"Kenshin, Sugawara",1000126438,Right,MEI_MEI,120.72722,,,9.97384,,,,16.567172,-33.788845,3.337916,1.621729,0.594374,-6.373705,0.536983,-1.672318,-0.863181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80c21505-c83c-4a21-898a-157c7ee5314a,2023-09-24T14:01:44.6290258+09:00,2023-09-24T05:01:44.6290258Z,NoShift,26.53910877,22.96599642,42.55116647,11.83441779,27.68495898,-19.67722332,40.00245629,-7.975085948,68.74380849,-42.21057995,87.67072487,-1.634514103,76.80253558,40.97556494,1695531705,浅田 祐太朗,10.0,2023/9/24,10.0,314.0158782,314.0158782,1695531705,Normal,3.0,4.0,1,Top,1,3,0,3,熊田,Left,石原,Left,2,,尾瀬,,Undefined,BallCalled,Undefined,Undefined,Walk,0,0,,,,,,,菅原,加藤,堀内,上田,宗山,飯森,榊原,斉藤,四球,0:09:43,581,https://youtu.be/NoWN6CqHBrY&t=581,1186,https://youtu.be/6rc3xOb2ycg&t=1186,2326611009,23A
