count,PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PlayID,LocalDateTime,UTCDateTime,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,unixtime,umpire,PitchNo.1,Date(opensen),pitchcount,time1,time2,time3,fielding_alignment,PAofInning(opensen),PitchofPA(opensen),Inning(opensen),Top/Bottom(opensen),Outs(opensen),Balls(opensen),Strikes(opensen),dajun,Batter(opensen),BatterSide(opensen),Pitcher(opensen),PitcherThrows(opensen),Notes(opensen),on_1b,on_2b,on_3b,TaggedPitchType(opensen),PitchCall(opensen),TaggedHitType(opensen),PlayResult(opensen),KorBB(opensen),OutsOnPlay(opensen),RunsScored(opensen),relateddefenceplayer,relateddefencepos,runevent,runrelatedplayer,RelSpeed(opensen),zone,C,1B,2B,3B,SS,LF,CF,RF,result,truetime,c_time,c_URL,n_time,n_URL,playid,season
0,1.0,2023/9/25,02:03.2,2023/9/25,02:03.2,1.0,1.0,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Taiji, Iimori",1000126480,Left,MEI_MEI,Undefined,1,Top,0,0.0,0.0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,139.3827,-1.036215,-3.494511,2169.133489,227.756273,1:30,1.511043,0.366496,1.871,-57.5,37.097,37.278,0.643581,-0.246297,126.47432,-5.32427,-0.853622,0.439231,,,,,,,,,,,,-21.8647,20.9013,-0.287436,15.24,1.483357,2.156932,-38.270392,-0.894759,-4.156509,8.301716,-5.833289,WAS_EDA,MEI_MEI,JinguStadium,Fall,Team,20230925-JinguStadium-1,85b2fe90-5b47-11ee-8696-6d3f5f904aa2,65fb1238-6eee-4a5d-ade0-9838476ad618,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,138.10488,,,12.90838,,,,16.568375,-38.55747,4.150858,1.510811,-0.693041,-2.916645,-0.364509,2.300666,-2.078255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fd181db6-8b2d-4784-af95-2406f6477fa3,2023-09-25T11:02:03.1663410+09:00,2023-09-25T02:02:03.1663410Z,LeftInfieldShift,25.58301021,17.38647033,45.60159232,-10.89021788,20.5104991,-16.50565849,40.97751891,-11.90583831,77.57851102,-17.47009633,,,83.18376421,19.86679956,1695607323,榊原 啓資,1.0,2023/9/25,1.0,1730.875626,1730.875632,1695607361,Normal,1.0,1.0,1,Top,0,0,0,1,飯森,Left,加藤,Right,,,,,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,印出,島川,山縣,小澤,熊田,中村将,尾瀬,吉納,,0:06:02,360,https://youtu.be/rG_AzscnPAs&t=360,1044,https://youtu.be/6L-XNYT4YSY&t=1044,2326701000,23A
1,2.0,2023/9/25,02:14.0,2023/9/25,02:14.0,1.0,2.0,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Taiji, Iimori",1000126480,Left,MEI_MEI,Undefined,1,Top,0,0.0,1.0,Fastball,Sinker,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,140.75972,-0.635173,-2.45866,2205.669299,224.329573,1:30,1.519791,0.355042,1.922577,-55.332,36.6314,32.7423,0.787952,-0.008312,127.75386,-4.780005,-0.128682,0.433074,141.70402,-10.122458,-25.816673,,,,,3.655094,3.655094,-25.193246,0.09418,-18.8539,20.4461,-0.301865,15.24,1.502395,1.505611,-38.698495,-0.617679,-3.664198,8.500187,-5.833003,WAS_EDA,MEI_MEI,JinguStadium,Fall,Team,20230925-JinguStadium-1,8c273750-5b47-11ee-8696-6d3f5f904aa2,65fb1238-6eee-4a5d-ade0-9838476ad618,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,140.06839,0.730706,,13.00587,,,,16.516773,-38.977932,4.250093,1.519549,-0.425924,-2.916501,-0.353341,1.626068,-1.832099,0.092846,0.730706,0.038412,37.986625,0.092872,34.878394,-7.930405,,,,,,,0.730778,-6.928088,-8.834391,,,,,,,0.038445,-16.879797,-0.519436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a52a5622-503b-4409-96aa-f074ae4f870e,2023-09-25T11:02:13.9838258+09:00,2023-09-25T02:02:13.9838258Z,NoShift,25.49694901,17.39263435,42.69776996,9.82089102,20.97153888,-16.79710534,40.67007875,-11.83043634,77.0601893,-16.80867748,81.86403074,21.53274338,,,1695607334,榊原 啓資,2.0,2023/9/25,2.0,1741.774476,1741.774483,1695607372,Normal,1.0,2.0,1,Top,0,0,1,1,飯森,Left,加藤,Right,,,,,Undefined,InPlay,GroundBall,Out,Undefined,1,0,"島川,熊田",6.0,,飯森,,,印出,島川,山縣,小澤,熊田,中村将,尾瀬,吉納,遊ゴロ,0:06:13,371,https://youtu.be/rG_AzscnPAs&t=371,1055,https://youtu.be/6L-XNYT4YSY&t=1055,2326701001,23A
2,3.0,2023/9/25,02:50.5,2023/9/25,02:50.5,2.0,1.0,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Nanato, Sakakibara",1000242816,Left,MEI_MEI,Undefined,1,Top,1,0.0,0.0,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,112.65024,4.339957,-0.19037,1885.861015,30.175064,7:00,1.571497,0.442893,1.731637,-180.863,-33.0312,-22.0937,0.998293,0.167869,102.51557,-8.683838,-1.745105,0.549084,,,,,,,,,,,,10.9343,-18.2776,-0.436372,15.24,1.669709,0.196638,-30.906618,1.686693,1.351525,5.557474,-12.065827,WAS_EDA,MEI_MEI,JinguStadium,Fall,Team,20230925-JinguStadium-1,a1f75290-5b47-11ee-8696-6d3f5f904aa2,65fb1238-6eee-4a5d-ade0-9838476ad618,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,110.47496,,,10.13467,,,,16.709103,-31.169665,2.778737,1.576358,2.257795,-6.032914,-0.444165,0.132668,0.675763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f1b158b3-71a8-4e75-83ab-4595ae051c06,2023-09-25T11:02:50.4696114+09:00,2023-09-25T02:02:50.4696114Z,NoShift,27.02607972,21.92427057,42.64424291,14.13270858,21.22420972,-16.50238254,41.02619077,-11.76889918,66.49280807,-41.30328605,90.39300715,-0.50866707,74.41302423,38.52088601,1695607370,榊原 啓資,3.0,2023/9/25,3.0,1778.814636,1778.814642,1695607409,Normal,2.0,1.0,1,Top,1,0,0,2,榊原,Left,加藤,Right,,,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,印出,島川,山縣,小澤,熊田,中村将,尾瀬,吉納,,0:06:49,407,https://youtu.be/rG_AzscnPAs&t=407,1073,https://youtu.be/6L-XNYT4YSY&t=1073,2326701002,23A
3,4.0,2023/9/25,03:01.5,2023/9/25,03:01.5,2.0,2.0,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Nanato, Sakakibara",1000242816,Left,MEI_MEI,Undefined,1,Top,1,1.0,0.0,Fastball,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,,140.20835,-1.544199,-2.980585,2172.628275,229.516368,1:45,1.457975,0.441847,1.919843,-58.5711,34.5445,36.6443,0.437911,-0.029511,127.03768,-5.918396,-0.373929,0.435779,,,,,,,,,,,,-21.2844,20.1203,-0.377032,15.24,1.419983,1.829273,-38.507239,-1.241498,-4.083949,8.625999,-5.946067,WAS_EDA,MEI_MEI,JinguStadium,Fall,Team,20230925-JinguStadium-1,a8774b20-5b47-11ee-8696-6d3f5f904aa2,65fb1238-6eee-4a5d-ade0-9838476ad618,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,139.19913,,,13.17067,,,,16.519338,-38.792765,4.313,1.457819,-1.04468,-2.973033,-0.43982,1.964454,-2.041974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ade8a46b-e72d-43cb-bd75-2b7c1310c35e,2023-09-25T11:03:01.4809394+09:00,2023-09-25T02:03:01.4809394Z,NoShift,27.91839786,22.51829088,42.99957529,13.88450595,21.68151553,-17.0423057,42.9158874,-12.16761239,66.0557251,-41.6083763,90.37698034,-1.21865572,74.91509064,38.52606376,1695607381,榊原 啓資,4.0,2023/9/25,4.0,1789.296997,1789.297004,1695607420,Normal,2.0,2.0,1,Top,1,1,0,2,榊原,Left,加藤,Right,,,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,印出,島川,山縣,小澤,熊田,中村将,尾瀬,吉納,,0:07:00,418,https://youtu.be/rG_AzscnPAs&t=418,1084,https://youtu.be/6L-XNYT4YSY&t=1084,2326701003,23A
4,5.0,2023/9/25,03:14.0,2023/9/25,03:14.0,2.0,3.0,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Nanato, Sakakibara",1000242816,Left,MEI_MEI,Undefined,1,Top,1,2.0,0.0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,141.73437,0.113563,-1.920812,2225.643584,218.486885,1:15,1.494944,0.425819,1.873235,-45.6121,46.0814,34.0646,1.070826,0.225274,127.77027,-3.347758,0.496251,0.432438,,,,,,,,,,,,-18.9134,24.5574,-0.383155,15.24,1.494706,1.133234,-38.941675,-0.067392,-3.70403,8.967905,-4.997286,WAS_EDA,MEI_MEI,JinguStadium,Fall,Team,20230925-JinguStadium-1,aff1a940-5b47-11ee-8696-6d3f5f904aa2,65fb1238-6eee-4a5d-ade0-9838476ad618,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,140.27441,,,13.9641,,,,16.565309,-39.245694,4.483952,1.494119,0.10202,-2.498643,-0.423701,1.258803,-1.852015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e419f3d8-967d-4810-ab4e-1470cd80f18f,2023-09-25T11:03:14.0410674+09:00,2023-09-25T02:03:14.0410674Z,NoShift,28.01341392,22.7529973,42.73522161,13.89785053,22.08613126,-16.96725442,42.92702658,-11.89447369,65.3804605,-41.60627985,90.17827029,-1.335185196,76.07432198,39.22003565,1695607394,榊原 啓資,5.0,2023/9/25,5.0,1801.899148,1801.899153,1695607432,Normal,2.0,3.0,1,Top,1,2,0,2,榊原,Left,加藤,Right,,,,,Undefined,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,,,,,印出,島川,山縣,小澤,熊田,中村将,尾瀬,吉納,,0:07:13,431,https://youtu.be/rG_AzscnPAs&t=431,1097,https://youtu.be/6L-XNYT4YSY&t=1097,2326701004,23A
5,6.0,2023/9/25,03:27.3,2023/9/25,03:27.3,2.0,4.0,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Nanato, Sakakibara",1000242816,Left,MEI_MEI,Undefined,1,Top,1,2.0,1.0,Fastball,Sinker,InPlay,Undefined,LineDrive,LineDrive,Double,0,0,,141.5232,-0.652522,-2.063883,2189.125488,223.813499,1:30,1.500564,0.37814,1.847012,-52.5594,39.5683,34.8713,0.790764,0.144372,127.97147,-4.591062,0.406831,0.433461,153.32659,14.723243,-23.127806,3289.573464,29.724675,6.862129,-15.510243,79.553157,79.553157,-33.320807,2.672418,-19.6129,21.8399,-0.331527,15.24,1.48177,1.230005,-38.89189,-0.627817,-3.835094,8.870464,-5.536091,WAS_EDA,MEI_MEI,JinguStadium,Fall,Team,20230925-JinguStadium-1,b7dbb920-5b47-11ee-8696-6d3f5f904aa2,65fb1238-6eee-4a5d-ade0-9838476ad618,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,139.94349,7.276677,,13.55174,,,,16.592373,-39.199126,4.435232,1.500195,-0.43607,-2.768046,-0.37643,1.362836,-1.917547,0.229007,0.783193,-0.151896,117.195029,0.229029,37.880575,-7.659954,1.65283,-0.314639,0.024858,0.008777,-0.003509,0.000405,0.783177,10.825227,-4.849512,0.30872,-0.043576,0.024567,-0.011709,0.003127,-0.000337,-0.151898,-16.179571,-1.108146,0.864275,-0.317737,0.090077,-0.020311,0.003109,-0.000227,,,,,,,,,,,,,,,,,,,,,,,d9a42b23-a8a7-4129-a05a-b454172d4733,2023-09-25T11:03:27.3104178+09:00,2023-09-25T02:03:27.3104178Z,NoShift,28.06102446,22.24444168,42.45187102,13.58101746,23.12978917,-17.87086831,42.81583799,-12.00377805,65.92086651,-41.83899472,90.13430238,-1.264058018,75.58931533,37.57724762,1695607407,榊原 啓資,6.0,2023/9/25,6.0,1815.226464,1815.22647,1695607446,Normal,2.0,4.0,1,Top,1,2,1,2,榊原,Left,加藤,Right,,,,,Undefined,InPlay,LineDrive,Double,Undefined,0,0,中村将,7.3,,榊原,,,印出,島川,山縣,小澤,熊田,中村将,尾瀬,吉納,左2,0:07:26,444,https://youtu.be/rG_AzscnPAs&t=444,1110,https://youtu.be/6L-XNYT4YSY&t=1110,2326701005,23A
6,7.0,2023/9/25,04:28.5,2023/9/25,04:28.5,3.0,1.0,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Rui, Muneyama",1000101247,Left,MEI_MEI,Undefined,1,Top,1,0.0,0.0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,,Undefined,0,0,2,121.77035,1.264566,-3.251444,1574.74991,257.210329,2:30,1.556458,0.286607,2.11164,-107.4253,12.4551,37.5094,0.833726,-0.241494,111.07216,-6.721825,-0.552254,0.494457,,,,,,,,,,,,-22.2609,6.9746,-0.225848,15.24,1.576298,1.759863,-33.494622,0.422402,-3.246612,6.273124,-8.789451,WAS_EDA,MEI_MEI,JinguStadium,Fall,Team,20230925-JinguStadium-1,dc605350-5b47-11ee-8696-6d3f5f904aa2,65fb1238-6eee-4a5d-ade0-9838476ad618,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,122.67996,,,10.69818,,,,16.327978,-33.69777,3.136562,1.558011,0.707039,-4.394726,-0.284542,1.865001,-1.623306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3960d35a-3b34-4e17-a298-a458f66f6bf5,2023-09-25T11:04:28.5071154+09:00,2023-09-25T02:04:28.5071154Z,NoShift,28.45943926,22.75552654,45.65799957,14.46511397,23.58450377,-17.93841876,41.28396294,-6.588401127,69.61394808,-40.67729323,84.45875811,-0.013425134,72.35872584,38.58406952,1695607469,榊原 啓資,7.0,2023/9/25,7.0,1876.442324,1876.44233,1695607507,Normal,3.0,1.0,1,Top,1,0,0,3,宗山,Left,加藤,Right,2,,榊原,,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,印出,島川,山縣,小澤,熊田,中村将,尾瀬,吉納,,0:08:27,505,https://youtu.be/rG_AzscnPAs&t=505,1143,https://youtu.be/6L-XNYT4YSY&t=1143,2326701006,23A
7,8.0,2023/9/25,04:47.2,2023/9/25,04:47.2,3.0,2.0,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Rui, Muneyama",1000101247,Left,MEI_MEI,Undefined,1,Top,1,0.0,1.0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,2,133.08795,0.808945,-3.379478,1704.545175,235.063448,1:45,1.465109,0.37107,1.867745,-77.8028,25.108,31.3445,0.915407,-0.26873,121.70605,-4.919602,-1.159847,0.458126,,,,,,,,,,,,-18.457,13.4025,-0.294128,15.24,1.479148,2.015049,-36.575777,0.236286,-3.23387,6.988458,-7.458372,WAS_EDA,MEI_MEI,JinguStadium,Fall,Team,20230925-JinguStadium-1,e779f840-5b47-11ee-8696-6d3f5f904aa2,65fb1238-6eee-4a5d-ade0-9838476ad618,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,132.40897,,,11.38189,,,,16.571791,-36.82936,3.494229,1.465664,0.506921,-3.729186,-0.369376,2.132394,-1.616935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50f43962-e53f-4c76-8f7b-e709ca584b30,2023-09-25T11:04:47.1845682+09:00,2023-09-25T02:04:47.1845682Z,NoShift,28.65121682,22.61591169,44.38663317,13.25738765,23.32647879,-18.00474374,41.04692173,-6.750827855,69.28243346,-40.92079757,84.30209551,-0.072518688,73.93815926,38.85465615,1695607487,榊原 啓資,8.0,2023/9/25,8.0,1895.070475,1895.07048,1695607526,Normal,3.0,2.0,1,Top,1,0,1,3,宗山,Left,加藤,Right,2,,榊原,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,印出,島川,山縣,小澤,熊田,中村将,尾瀬,吉納,,0:08:46,524,https://youtu.be/rG_AzscnPAs&t=524,1161,https://youtu.be/6L-XNYT4YSY&t=1161,2326701007,23A
8,9.0,2023/9/25,05:03.5,2023/9/25,05:03.5,3.0,3.0,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Rui, Muneyama",1000101247,Left,MEI_MEI,Undefined,1,Top,1,1.0,1.0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,,Undefined,0,0,2,121.7673,0.15365,-2.867627,1512.178779,249.140641,2:15,1.515592,0.304771,2.119325,-103.6593,15.5394,30.8615,0.521668,-0.182617,111.74909,-7.540381,-0.643407,0.493049,,,,,,,,,,,,-18.4726,9.3818,-0.251542,15.24,1.514366,1.56465,-33.525048,-0.212225,-2.709307,6.073856,-8.430653,WAS_EDA,MEI_MEI,JinguStadium,Fall,Team,20230925-JinguStadium-1,f13d8310-5b47-11ee-8696-6d3f5f904aa2,65fb1238-6eee-4a5d-ade0-9838476ad618,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,123.03027,,,10.01822,,,,16.320456,-33.72023,3.036928,1.516833,0.058692,-4.215326,-0.303221,1.651713,-1.354653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101105a0-f5e9-4bfd-a2da-4c107538bf18,2023-09-25T11:05:03.5310898+09:00,2023-09-25T02:05:03.5310898Z,NoShift,28.73394792,22.69362253,44.08378301,13.50593461,23.62459804,-18.26314129,41.13223499,-5.72448458,69.55855124,-41.07181406,84.48948754,-0.103057914,73.51474355,39.26088289,1695607504,榊原 啓資,9.0,2023/9/25,9.0,1911.565872,1911.565878,1695607542,Normal,3.0,3.0,1,Top,1,1,1,3,宗山,Left,加藤,Right,2,,榊原,,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,印出,島川,山縣,小澤,熊田,中村将,尾瀬,吉納,,0:09:02,540,https://youtu.be/rG_AzscnPAs&t=540,1178,https://youtu.be/6L-XNYT4YSY&t=1178,2326701008,23A
9,10.0,2023/9/25,05:25.9,2023/9/25,05:25.9,3.0,4.0,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Rui, Muneyama",1000101247,Left,MEI_MEI,Undefined,1,Top,1,1.0,2.0,Cutter,Slider,FoulBall,Undefined,Undefined,GroundBall,Undefined,0,0,2,131.9382,0.394792,-1.866714,2145.513619,114.901764,9:45,1.469993,0.445867,1.858412,-94.5673,10.748,-15.7533,0.635675,-0.238088,120.41539,-6.52212,-2.98365,0.463447,94.99551,-19.20691,60.505596,,,,,2.102007,1.815133,54.988896,0.06979,6.7308,6.2616,-0.40109,15.24,1.473316,1.253845,-36.285412,-0.102332,1.151258,7.407415,-8.735646,WAS_EDA,MEI_MEI,JinguStadium,Fall,Team,20230925-JinguStadium-1,fe8d68f0-5b47-11ee-8696-6d3f5f904aa2,65fb1238-6eee-4a5d-ade0-9838476ad618,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,130.88863,0.608284,,11.52281,,,,16.581247,-36.558193,3.703707,1.471162,0.219362,-4.367823,-0.446482,1.211449,0.575629,0.346335,0.608284,0.201839,180.0,0.345782,12.317743,,,,,,,,0.608675,-8.715868,,,,,,,,0.200861,21.7765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f7f5ce2c-7cc1-408e-9fa3-66c00ba7bff8,2023-09-25T11:05:25.9122994+09:00,2023-09-25T02:05:25.9122994Z,NoShift,28.61983525,22.50807956,44.19505029,14.81797642,23.52634772,-18.07673812,42.19953577,-7.542931772,68.67378984,-40.4113992,84.73711,-0.349862505,72.31285371,34.50844148,1695607526,榊原 啓資,10.0,2023/9/25,10.0,1933.758595,1933.758601,1695607564,Normal,3.0,4.0,1,Top,1,1,2,3,宗山,Left,加藤,Right,2,,榊原,,Undefined,FoulBall,FlyBall,Undefined,Undefined,0,0,,,,,,,印出,島川,山縣,小澤,熊田,中村将,尾瀬,吉納,,0:09:25,563,https://youtu.be/rG_AzscnPAs&t=563,1200,https://youtu.be/6L-XNYT4YSY&t=1200,2326701009,23A
